San Miguel County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.08,0.51
200002,1.58,0.10
200003,2.96,0.98
200004,0.54,-1.27
200005,1.01,-0.39
200006,0.53,-0.31
200007,0.99,-0.75
200008,2.40,0.33
200009,1.44,-0.20
200010,2.53,0.83
200011,1.08,-0.30
200012,0.82,-0.68
200101,1.20,-0.37
200102,1.46,-0.02
200103,1.37,-0.61
200104,1.84,0.03
200105,1.34,-0.06
200106,0.35,-0.49
200107,1.93,0.19
200108,3.19,1.12
200109,0.63,-1.01
200110,0.85,-0.85
200111,1.65,0.27
200112,1.21,-0.29
200201,0.40,-1.17
200202,0.46,-1.02
200203,1.11,-0.87
200204,0.65,-1.16
200205,0.28,-1.12
200206,0.04,-0.80
200207,1.10,-0.64
200208,1.74,-0.33
200209,3.10,1.46
200210,2.27,0.57
200211,1.54,0.16
200212,0.90,-0.60
200301,0.42,-1.15
200302,2.28,0.80
200303,1.55,-0.43
200304,0.78,-1.03
200305,1.11,-0.29
200306,0.31,-0.53
200307,1.19,-0.55
200308,2.57,0.50
200309,2.58,0.94
200310,0.98,-0.72
200311,1.70,0.32
200312,1.68,0.18
200401,1.40,-0.17
200402,2.12,0.64
200403,0.59,-1.39
200404,2.94,1.13
200405,0.18,-1.22
200406,0.48,-0.36
200407,1.26,-0.48
200408,0.95,-1.12
200409,3.62,1.98
200410,1.95,0.25
200411,2.26,0.88
200412,1.08,-0.42
200501,2.72,1.15
200502,1.95,0.47
200503,1.69,-0.29
200504,1.48,-0.33
200505,0.83,-0.57
200506,1.14,0.30
200507,1.10,-0.64
200508,1.99,-0.08
200509,2.68,1.04
200510,2.14,0.44
200511,0.68,-0.70
200512,1.46,-0.04
200601,1.20,-0.37
200602,0.60,-0.88
200603,2.22,0.24
200604,0.96,-0.85
200605,0.24,-1.16
200606,0.57,-0.27
200607,3.10,1.36
200608,2.56,0.49
200609,3.13,1.49
200610,4.02,2.32
200611,1.13,-0.25
200612,1.09,-0.41
200701,1.02,-0.55
200702,1.33,-0.15
200703,1.10,-0.88
200704,2.00,0.19
200705,1.81,0.41
200706,0.46,-0.38
200707,1.99,0.25
200708,2.01,-0.06
200709,2.68,1.04
200710,1.40,-0.30
200711,0.70,-0.68
200712,3.62,2.12
200801,2.61,1.04
200802,2.26,0.78
200803,0.72,-1.26
200804,1.00,-0.81
200805,1.24,-0.16
200806,0.39,-0.45
200807,1.39,-0.35
200808,1.68,-0.39
200809,0.88,-0.76
200810,0.92,-0.78
200811,1.15,-0.23
200812,3.43,1.93
200901,1.02,-0.55
200902,1.22,-0.26
200903,0.91,-1.07
200904,1.68,-0.13
200905,1.61,0.21
200906,1.91,1.07
200907,1.00,-0.74
200908,0.70,-1.37
200909,1.17,-0.47
200910,1.41,-0.29
200911,0.72,-0.66
200912,2.24,0.74
201001,1.60,0.03
201002,1.76,0.28
201003,2.05,0.07
201004,1.61,-0.20
201005,0.73,-0.67
201006,0.59,-0.25
201007,2.16,0.42
201008,2.91,0.84
201009,1.70,0.06
201010,1.90,0.20
201011,1.27,-0.11
201012,2.72,1.22
201101,0.61,-0.96
201102,0.98,-0.50
201103,1.18,-0.80
201104,2.40,0.59
201105,2.34,0.94
201106,0.24,-0.60
201107,2.24,0.50
201108,1.45,-0.62
201109,1.71,0.07
201110,2.00,0.30
201111,1.16,-0.22
201112,1.32,-0.18
201201,1.34,-0.23
201202,1.93,0.45
201203,0.62,-1.36
201204,0.86,-0.95
201205,0.23,-1.17
201206,0.22,-0.62
201207,2.30,0.56
201208,1.81,-0.26
201209,1.26,-0.38
201210,0.49,-1.21
201211,0.86,-0.52
201212,1.67,0.17
201301,1.84,0.27
201302,0.96,-0.52
201303,0.82,-1.16
201304,0.97,-0.84
201305,0.76,-0.64
201306,0.13,-0.71
201307,3.01,1.27
201308,2.89,0.82
201309,4.06,2.42
201310,2.19,0.49
201311,1.71,0.33
201312,1.00,-0.50
201401,0.72,-0.85
201402,1.37,-0.11
201403,1.13,-0.85
201404,1.44,-0.37
201405,1.96,0.56
201406,0.03,-0.81
201407,2.05,0.31
201408,2.56,0.49
201409,3.52,1.88
201410,0.62,-1.08
201411,1.44,0.06
201412,1.40,-0.10
201501,0.87,-0.70
201502,1.30,-0.18
201503,0.93,-1.05
201504,0.93,-0.88
201505,3.77,2.37
201506,1.89,1.05
201507,2.39,0.65
201508,1.70,-0.37
201509,0.95,-0.69
201510,2.28,0.58
201511,2.13,0.75
201512,2.36,0.86
201601,1.45,-0.12
201602,0.50,-0.98
201603,0.95,-1.03
201604,1.40,-0.41
201605,1.88,0.48
201606,0.62,-0.22
201607,1.34,-0.40
201608,3.72,1.65
201609,1.47,-0.17
201610,0.39,-1.31
201611,1.46,0.08
201612,2.29,0.79
201701,3.24,1.67
201702,1.37,-0.11
201703,1.24,-0.74
201704,0.82,-0.99
201705,1.31,-0.09
201706,0.10,-0.74
201707,2.22,0.48
201708,1.11,-0.96
201709,1.66,0.02
201710,0.51,-1.19
201711,0.29,-1.09
201712,0.28,-1.22
201801,0.97,-0.60
201802,1.40,-0.08
201803,0.81,-1.17
201804,0.80,-1.01
201805,0.44,-0.96
201806,0.34,-0.50
201807,1.42,-0.32
201808,0.88,-1.19
201809,0.62,-1.02
201810,2.38,0.68
201811,0.59,-0.79
201812,1.28,-0.22
201901,1.72,0.15
201902,2.62,1.14
201903,3.74,1.76
201904,1.32,-0.49
201905,3.14,1.74
201906,0.49,-0.35
201907,0.88,-0.86
201908,0.72,-1.35
201909,0.32,-1.32
201910,0.37,-1.33
201911,1.55,0.17
201912,1.89,0.39
202001,1.09,-0.48
