Montgomery County, Alabama, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.41,-0.36
200002,1.58,-3.54
200003,4.15,-1.97
200004,2.19,-2.25
200005,0.99,-2.77
200006,2.55,-1.55
200007,2.32,-2.80
200008,2.34,-1.76
200009,5.14,1.50
200010,0.61,-1.86
200011,6.73,3.15
200012,5.12,0.24
200101,3.86,-0.91
200102,3.34,-1.78
200103,11.94,5.82
200104,3.44,-1.00
200105,3.46,-0.30
200106,7.60,3.50
200107,3.03,-2.09
200108,4.79,0.69
200109,2.44,-1.20
200110,1.84,-0.63
200111,2.93,-0.65
200112,2.84,-2.04
200201,3.33,-1.44
200202,2.73,-2.39
200203,5.60,-0.52
200204,2.06,-2.38
200205,2.36,-1.40
200206,3.99,-0.11
200207,4.14,-0.98
200208,2.37,-1.73
200209,4.19,0.55
200210,4.38,1.91
200211,3.50,-0.08
200212,4.85,-0.03
200301,1.71,-3.06
200302,4.55,-0.57
200303,4.56,-1.56
200304,7.88,3.44
200305,4.67,0.91
200306,6.15,2.05
200307,7.83,2.71
200308,4.66,0.56
200309,3.95,0.31
200310,1.76,-0.71
200311,4.23,0.65
200312,3.54,-1.34
200401,2.51,-2.26
200402,5.11,-0.01
200403,0.76,-5.36
200404,2.95,-1.49
200405,3.04,-0.72
200406,6.38,2.28
200407,2.81,-2.31
200408,4.14,0.04
200409,7.37,3.73
200410,2.24,-0.23
200411,6.62,3.04
200412,2.72,-2.16
200501,2.67,-2.10
200502,4.96,-0.16
200503,8.47,2.35
200504,7.61,3.17
200505,2.34,-1.42
200506,3.74,-0.36
200507,8.27,3.15
200508,5.17,1.07
200509,2.47,-1.17
200510,1.87,-0.60
200511,3.46,-0.12
200512,2.28,-2.60
200601,4.23,-0.54
200602,4.94,-0.18
200603,3.31,-2.81
200604,2.04,-2.40
200605,4.03,0.27
200606,3.11,-0.99
200607,3.74,-1.38
200608,3.83,-0.27
200609,2.59,-1.05
200610,4.08,1.61
200611,4.99,1.41
200612,2.86,-2.02
200701,4.63,-0.14
200702,3.18,-1.94
200703,2.70,-3.42
200704,3.11,-1.33
200705,0.35,-3.41
200706,1.57,-2.53
200707,4.92,-0.20
200708,3.77,-0.33
200709,3.92,0.28
200710,3.26,0.79
200711,2.59,-0.99
200712,3.99,-0.89
200801,5.32,0.55
200802,4.26,-0.86
200803,3.63,-2.49
200804,3.85,-0.59
200805,3.26,-0.50
200806,3.06,-1.04
200807,5.13,0.01
200808,11.39,7.29
200809,0.79,-2.85
200810,3.22,0.75
200811,4.10,0.52
200812,4.45,-0.43
200901,2.82,-1.95
200902,2.95,-2.17
200903,10.67,4.55
200904,3.88,-0.56
200905,9.49,5.73
200906,3.36,-0.74
200907,4.96,-0.16
200908,4.04,-0.06
200909,6.74,3.10
200910,5.60,3.13
200911,4.75,1.17
200912,11.13,6.25
201001,6.94,2.17
201002,3.56,-1.56
201003,4.92,-1.20
201004,1.75,-2.69
201005,4.85,1.09
201006,3.27,-0.83
201007,3.64,-1.48
201008,3.77,-0.33
201009,1.97,-1.67
201010,2.18,-0.29
201011,3.73,0.15
201012,1.83,-3.05
201101,2.79,-1.98
201102,4.97,-0.15
201103,6.72,0.60
201104,2.54,-1.90
201105,1.88,-1.88
201106,3.04,-1.06
201107,4.86,-0.26
201108,1.37,-2.73
201109,4.61,0.97
201110,1.25,-1.22
201111,4.95,1.37
201112,3.82,-1.06
201201,4.00,-0.77
201202,4.72,-0.40
201203,4.09,-2.03
201204,1.77,-2.67
201205,5.50,1.74
201206,3.15,-0.95
201207,3.03,-2.09
201208,4.91,0.81
201209,4.83,1.19
201210,1.51,-0.96
201211,1.13,-2.45
201212,6.16,1.28
201301,3.56,-1.21
201302,12.70,7.58
201303,3.29,-2.83
201304,4.12,-0.32
201305,1.45,-2.31
201306,6.65,2.55
201307,9.84,4.72
201308,3.34,-0.76
201309,2.15,-1.49
201310,0.77,-1.70
201311,2.27,-1.31
201312,8.27,3.39
201401,3.06,-1.71
201402,5.10,-0.02
201403,6.06,-0.06
201404,9.89,5.45
201405,6.46,2.70
201406,5.41,1.31
201407,3.23,-1.89
201408,3.93,-0.17
201409,2.54,-1.10
201410,2.71,0.24
201411,1.63,-1.95
201412,4.77,-0.11
201501,3.40,-1.37
201502,4.26,-0.86
201503,2.26,-3.86
201504,6.51,2.07
201505,5.48,1.72
201506,4.13,0.03
201507,4.18,-0.94
201508,4.01,-0.09
201509,3.45,-0.19
201510,3.12,0.65
201511,6.72,3.14
201512,14.60,9.72
201601,4.96,0.19
201602,5.00,-0.12
201603,4.36,-1.76
201604,7.15,2.71
201605,1.96,-1.80
201606,4.46,0.36
201607,3.35,-1.77
201608,3.55,-0.55
201609,1.67,-1.97
201610,0.27,-2.20
201611,2.56,-1.02
201612,4.58,-0.30
201701,12.30,7.53
201702,4.91,-0.21
201703,3.36,-2.76
201704,3.81,-0.63
201705,10.22,6.46
201706,11.78,7.68
201707,4.53,-0.59
201708,5.36,1.26
201709,4.18,0.54
201710,6.16,3.69
201711,1.18,-2.40
201712,3.29,-1.59
201801,3.11,-1.66
201802,4.17,-0.95
201803,3.74,-2.38
201804,3.73,-0.71
201805,7.72,3.96
201806,3.64,-0.46
201807,5.01,-0.11
201808,5.93,1.83
201809,5.39,1.75
201810,4.12,1.65
201811,5.50,1.92
201812,10.82,5.94
201901,5.12,0.35
201902,1.96,-3.16
201903,3.49,-2.63
201904,5.63,1.19
201905,4.28,0.52
201906,4.79,0.69
201907,3.19,-1.93
201908,3.87,-0.23
201909,0.29,-3.35
201910,4.94,2.47
201911,2.96,-0.62
201912,5.83,0.95
202001,6.83,2.06
