Flathead County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.66,-0.05
200002,3.47,0.05
200003,3.07,-0.05
200004,2.29,-0.33
200005,2.09,-0.91
200006,2.67,-0.75
200007,0.88,-0.75
200008,0.44,-1.17
200009,2.80,0.57
200010,1.43,-1.41
200011,1.41,-2.81
200012,2.76,-1.52
200101,1.59,-3.12
200102,3.07,-0.35
200103,2.38,-0.74
200104,4.36,1.74
200105,1.21,-1.79
200106,3.95,0.53
200107,1.26,-0.37
200108,0.33,-1.28
200109,0.71,-1.52
200110,3.83,0.99
200111,2.54,-1.68
200112,3.13,-1.15
200201,5.12,0.41
200202,3.83,0.41
200203,4.52,1.40
200204,2.76,0.14
200205,3.61,0.61
200206,4.11,0.69
200207,1.19,-0.44
200208,1.43,-0.18
200209,1.92,-0.31
200210,0.81,-2.03
200211,2.44,-1.78
200212,3.33,-0.95
200301,3.56,-1.15
200302,2.18,-1.24
200303,6.00,2.88
200304,2.30,-0.32
200305,2.54,-0.46
200306,2.05,-1.37
200307,0.16,-1.47
200308,0.48,-1.13
200309,2.31,0.08
200310,2.94,0.10
200311,4.36,0.14
200312,2.71,-1.57
200401,5.14,0.43
200402,1.52,-1.90
200403,2.03,-1.09
200404,2.86,0.24
200405,3.39,0.39
200406,2.19,-1.23
200407,1.92,0.29
200408,3.95,2.34
200409,2.88,0.65
200410,3.33,0.49
200411,2.95,-1.27
200412,3.32,-0.96
200501,2.83,-1.88
200502,0.88,-2.54
200503,3.91,0.79
200504,2.24,-0.38
200505,2.32,-0.68
200506,7.18,3.76
200507,0.57,-1.06
200508,1.14,-0.47
200509,3.78,1.55
200510,3.59,0.75
200511,3.59,-0.63
200512,3.50,-0.78
200601,7.12,2.41
200602,3.54,0.12
200603,2.01,-1.11
200604,3.00,0.38
200605,2.39,-0.61
200606,4.65,1.23
200607,0.77,-0.86
200608,0.98,-0.63
200609,1.99,-0.24
200610,2.13,-0.71
200611,7.44,3.22
200612,2.99,-1.29
200701,3.21,-1.50
200702,3.73,0.31
200703,2.35,-0.77
200704,2.37,-0.25
200705,3.32,0.32
200706,2.19,-1.23
200707,0.61,-1.02
200708,0.65,-0.96
200709,1.95,-0.28
200710,2.77,-0.07
200711,2.43,-1.79
200712,4.94,0.66
200801,5.03,0.32
200802,3.73,0.31
200803,2.85,-0.27
200804,1.92,-0.70
200805,4.01,1.01
200806,3.81,0.39
200807,1.37,-0.26
200808,1.94,0.33
200809,2.13,-0.10
200810,1.33,-1.51
200811,3.05,-1.17
200812,5.23,0.95
200901,4.76,0.05
200902,2.79,-0.63
200903,3.69,0.57
200904,2.28,-0.34
200905,2.42,-0.58
200906,1.88,-1.54
200907,2.64,1.01
200908,1.69,0.08
200909,0.42,-1.81
200910,4.07,1.23
200911,2.26,-1.96
200912,3.83,-0.45
201001,2.73,-1.98
201002,1.28,-2.14
201003,2.00,-1.12
201004,3.97,1.35
201005,4.19,1.19
201006,5.07,1.65
201007,1.44,-0.19
201008,2.00,0.39
201009,3.27,1.04
201010,2.19,-0.65
201011,4.85,0.63
201012,4.61,0.33
201101,6.11,1.40
201102,4.04,0.62
201103,4.30,1.18
201104,5.37,2.75
201105,3.72,0.72
201106,4.32,0.90
201107,1.71,0.08
201108,0.36,-1.25
201109,1.28,-0.95
201110,4.65,1.81
201111,3.11,-1.11
201112,2.46,-1.82
201201,4.50,-0.21
201202,3.05,-0.37
201203,4.98,1.86
201204,2.89,0.27
201205,2.88,-0.12
201206,6.34,2.92
201207,1.91,0.28
201208,0.64,-0.97
201209,0.53,-1.70
201210,5.18,2.34
201211,4.70,0.48
201212,4.55,0.27
201301,3.13,-1.58
201302,1.92,-1.50
201303,2.87,-0.25
201304,3.38,0.76
201305,3.54,0.54
201306,3.44,0.02
201307,0.40,-1.23
201308,2.17,0.56
201309,3.81,1.58
201310,1.09,-1.75
201311,4.27,0.05
201312,3.62,-0.66
201401,3.93,-0.78
201402,3.96,0.54
201403,6.60,3.48
201404,2.72,0.10
201405,1.93,-1.07
201406,5.28,1.86
201407,0.81,-0.82
201408,2.13,0.52
201409,1.84,-0.39
201410,2.81,-0.03
201411,6.67,2.45
201412,4.46,0.18
201501,3.73,-0.98
201502,2.83,-0.59
201503,4.02,0.90
201504,1.14,-1.48
201505,1.19,-1.81
201506,1.08,-2.34
201507,0.85,-0.78
201508,0.51,-1.10
201509,1.73,-0.50
201510,2.12,-0.72
201511,3.04,-1.18
201512,5.29,1.01
201601,3.49,-1.22
201602,3.13,-0.29
201603,3.84,0.72
201604,2.20,-0.42
201605,4.75,1.75
201606,2.39,-1.03
201607,1.51,-0.12
201608,1.49,-0.12
201609,2.47,0.24
201610,8.35,5.51
201611,2.62,-1.60
201612,4.17,-0.11
201701,1.99,-2.72
201702,6.41,2.99
201703,5.85,2.73
201704,4.23,1.61
201705,1.81,-1.19
201706,2.83,-0.59
201707,0.13,-1.50
201708,0.34,-1.27
201709,1.44,-0.79
201710,3.04,0.20
201711,5.12,0.90
201712,5.15,0.87
201801,4.48,-0.23
201802,6.37,2.95
201803,2.69,-0.43
201804,3.37,0.75
201805,2.01,-0.99
201806,3.28,-0.14
201807,0.54,-1.09
201808,0.49,-1.12
201809,0.73,-1.50
201810,2.99,0.15
201811,3.32,-0.90
201812,2.82,-1.46
201901,3.11,-1.60
201902,3.77,0.35
201903,1.25,-1.87
201904,3.92,1.30
201905,2.49,-0.51
201906,2.66,-0.76
201907,1.40,-0.23
201908,1.42,-0.19
201909,3.74,1.51
201910,3.00,0.16
201911,2.34,-1.88
201912,3.16,-1.12
202001,5.14,0.43
