Denver County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.41,-0.01
200002,0.26,-0.21
200003,1.75,0.72
200004,0.93,-0.95
200005,2.01,-0.47
200006,1.00,-0.67
200007,1.75,-0.19
200008,2.46,0.81
200009,1.55,0.40
200010,0.44,-0.65
200011,0.78,0.10
200012,0.42,-0.13
200101,0.59,0.17
200102,0.66,0.19
200103,0.99,-0.04
200104,1.57,-0.31
200105,3.80,1.32
200106,1.06,-0.61
200107,3.01,1.07
200108,1.66,0.01
200109,1.11,-0.04
200110,0.16,-0.93
200111,0.80,0.12
200112,0.25,-0.30
200201,0.50,0.08
200202,0.30,-0.17
200203,0.86,-0.17
200204,0.11,-1.77
200205,1.48,-1.00
200206,1.01,-0.66
200207,1.01,-0.93
200208,0.86,-0.79
200209,1.66,0.51
200210,0.87,-0.22
200211,0.37,-0.31
200212,0.02,-0.53
200301,0.05,-0.37
200302,0.66,0.19
200303,3.01,1.98
200304,2.23,0.35
200305,1.95,-0.53
200306,2.04,0.37
200307,0.79,-1.15
200308,2.23,0.58
200309,0.44,-0.71
200310,0.07,-1.02
200311,0.21,-0.47
200312,0.30,-0.25
200401,0.38,-0.04
200402,0.75,0.28
200403,0.28,-0.75
200404,2.52,0.64
200405,1.39,-1.09
200406,2.30,0.63
200407,2.01,0.07
200408,3.58,1.93
200409,1.64,0.49
200410,1.16,0.07
200411,0.84,0.16
200412,0.18,-0.37
200501,0.65,0.23
200502,0.05,-0.42
200503,0.83,-0.20
200504,2.43,0.55
200505,0.95,-1.53
200506,3.31,1.64
200507,0.62,-1.32
200508,2.19,0.54
200509,0.40,-0.75
200510,2.28,1.19
200511,0.33,-0.35
200512,0.40,-0.15
200601,0.34,-0.08
200602,0.25,-0.22
200603,0.76,-0.27
200604,0.59,-1.29
200605,0.73,-1.75
200606,0.26,-1.41
200607,2.15,0.21
200608,1.80,0.15
200609,0.83,-0.32
200610,1.97,0.88
200611,0.37,-0.31
200612,2.04,1.49
200701,0.87,0.45
200702,0.34,-0.13
200703,1.07,0.04
200704,2.59,0.71
200705,3.26,0.78
200706,0.54,-1.13
200707,1.26,-0.68
200708,2.61,0.96
200709,0.88,-0.27
200710,1.14,0.05
200711,0.21,-0.47
200712,1.07,0.52
200801,0.26,-0.16
200802,0.44,-0.03
200803,0.50,-0.53
200804,0.55,-1.33
200805,2.13,-0.35
200806,0.66,-1.01
200807,0.28,-1.66
200808,3.37,1.72
200809,1.43,0.28
200810,0.90,-0.19
200811,0.30,-0.38
200812,0.61,0.06
200901,0.37,-0.05
200902,0.13,-0.34
200903,0.84,-0.19
200904,3.56,1.68
200905,2.62,0.14
200906,3.68,2.01
200907,3.20,1.26
200908,0.83,-0.82
200909,1.00,-0.15
200910,1.87,0.78
200911,0.59,-0.09
200912,0.66,0.11
201001,0.12,-0.30
201002,0.60,0.13
201003,1.45,0.42
201004,2.60,0.72
201005,1.71,-0.77
201006,1.74,0.07
201007,1.83,-0.11
201008,1.10,-0.55
201009,0.15,-1.00
201010,0.60,-0.49
201011,0.51,-0.17
201012,0.21,-0.34
201101,0.52,0.10
201102,0.69,0.22
201103,0.38,-0.65
201104,1.27,-0.61
201105,4.31,1.83
201106,1.46,-0.21
201107,4.70,2.76
201108,0.32,-1.33
201109,1.25,0.10
201110,1.65,0.56
201111,0.49,-0.19
201112,0.93,0.38
201201,0.29,-0.13
201202,1.26,0.79
201203,0.02,-1.01
201204,1.13,-0.75
201205,1.49,-0.99
201206,0.78,-0.89
201207,2.30,0.36
201208,0.33,-1.32
201209,2.26,1.11
201210,0.85,-0.24
201211,0.30,-0.38
201212,0.30,-0.25
201301,0.25,-0.17
201302,0.81,0.34
201303,1.35,0.32
201304,1.60,-0.28
201305,1.60,-0.88
201306,0.60,-1.07
201307,2.16,0.22
201308,1.91,0.26
201309,5.22,4.07
201310,0.78,-0.31
201311,0.22,-0.46
201312,0.31,-0.24
201401,0.95,0.53
201402,0.31,-0.16
201403,0.97,-0.06
201404,1.20,-0.68
201405,3.69,1.21
201406,1.33,-0.34
201407,3.89,1.95
201408,1.72,0.07
201409,2.10,0.95
201410,0.86,-0.23
201411,0.75,0.07
201412,0.71,0.16
201501,0.35,-0.07
201502,1.79,1.32
201503,0.62,-0.41
201504,2.66,0.78
201505,5.64,3.16
201506,3.85,2.18
201507,1.60,-0.34
201508,0.88,-0.77
201509,0.26,-0.89
201510,1.73,0.64
201511,2.04,1.36
201512,0.78,0.23
201601,0.38,-0.04
201602,0.71,0.24
201603,1.63,0.60
201604,2.56,0.68
201605,1.85,-0.63
201606,1.72,0.05
201607,0.75,-1.19
201608,1.02,-0.63
201609,0.16,-0.99
201610,0.33,-0.76
201611,0.41,-0.27
201612,0.74,0.19
201701,0.60,0.18
201702,0.18,-0.29
201703,0.75,-0.28
201704,1.67,-0.21
201705,4.58,2.10
201706,0.68,-0.99
201707,1.01,-0.93
201708,1.51,-0.14
201709,1.38,0.23
201710,1.22,0.13
201711,0.24,-0.44
201712,0.25,-0.30
201801,0.44,0.02
201802,0.47,0.00
201803,1.40,0.37
201804,1.13,-0.75
201805,2.34,-0.14
201806,0.89,-0.78
201807,1.77,-0.17
201808,0.91,-0.74
201809,0.79,-0.36
201810,0.97,-0.12
201811,0.35,-0.33
201812,0.03,-0.52
201901,1.06,0.64
201902,0.65,0.18
201903,1.52,0.49
201904,0.94,-0.94
201905,2.97,0.49
201906,1.48,-0.19
201907,2.04,0.10
201908,0.72,-0.93
201909,0.58,-0.57
201910,1.18,0.09
201911,1.13,0.45
201912,0.28,-0.27
202001,0.08,-0.34
