Pennington County, South Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.38,-0.09
200002,0.61,0.11
200003,1.63,0.63
200004,4.90,2.98
200005,2.22,-0.94
200006,2.35,-0.94
200007,2.44,0.07
200008,0.56,-1.23
200009,0.46,-0.79
200010,1.27,0.09
200011,1.48,0.94
200012,0.32,-0.15
200101,0.52,0.05
200102,0.70,0.20
200103,0.61,-0.39
200104,2.28,0.36
200105,1.98,-1.18
200106,3.27,-0.02
200107,3.72,1.35
200108,1.30,-0.49
200109,0.81,-0.44
200110,1.02,-0.16
200111,0.39,-0.15
200112,0.02,-0.45
200201,0.18,-0.29
200202,0.20,-0.30
200203,1.21,0.21
200204,1.67,-0.25
200205,2.06,-1.10
200206,0.70,-2.59
200207,1.60,-0.77
200208,1.66,-0.13
200209,2.51,1.26
200210,1.08,-0.10
200211,0.11,-0.43
200212,0.14,-0.33
200301,0.57,0.10
200302,0.65,0.15
200303,1.51,0.51
200304,2.48,0.56
200305,1.93,-1.23
200306,2.70,-0.59
200307,0.93,-1.44
200308,0.98,-0.81
200309,1.52,0.27
200310,0.74,-0.44
200311,0.91,0.37
200312,0.24,-0.23
200401,0.31,-0.16
200402,0.60,0.10
200403,1.00,0.00
200404,0.69,-1.23
200405,2.48,-0.68
200406,1.55,-1.74
200407,2.42,0.05
200408,0.99,-0.80
200409,2.82,1.57
200410,1.38,0.20
200411,0.14,-0.40
200412,0.07,-0.40
200501,0.49,0.02
200502,0.15,-0.35
200503,1.05,0.05
200504,2.14,0.22
200505,4.57,1.41
200506,2.39,-0.90
200507,1.78,-0.59
200508,1.77,-0.02
200509,0.84,-0.41
200510,0.90,-0.28
200511,0.35,-0.19
200512,0.49,0.02
200601,0.26,-0.21
200602,0.41,-0.09
200603,1.69,0.69
200604,2.45,0.53
200605,1.83,-1.33
200606,1.28,-2.01
200607,0.91,-1.46
200608,2.08,0.29
200609,2.44,1.19
200610,0.61,-0.57
200611,0.51,-0.03
200612,0.13,-0.34
200701,0.17,-0.30
200702,0.83,0.33
200703,1.31,0.31
200704,1.57,-0.35
200705,3.29,0.13
200706,2.01,-1.28
200707,1.17,-1.20
200708,2.81,1.02
200709,0.96,-0.29
200710,1.01,-0.17
200711,0.07,-0.47
200712,0.65,0.18
200801,0.38,-0.09
200802,0.55,0.05
200803,0.84,-0.16
200804,1.57,-0.35
200805,6.50,3.34
200806,4.32,1.03
200807,3.11,0.74
200808,1.61,-0.18
200809,1.15,-0.10
200810,1.43,0.25
200811,1.08,0.54
200812,0.58,0.11
200901,0.51,0.04
200902,0.83,0.33
200903,1.86,0.86
200904,3.08,1.16
200905,1.12,-2.04
200906,3.14,-0.15
200907,2.43,0.06
200908,1.83,0.04
200909,1.13,-0.12
200910,3.12,1.94
200911,0.15,-0.39
200912,1.08,0.61
201001,0.34,-0.13
201002,0.42,-0.08
201003,0.65,-0.35
201004,3.39,1.47
201005,4.63,1.47
201006,4.41,1.12
201007,1.86,-0.51
201008,1.25,-0.54
201009,1.55,0.30
201010,0.93,-0.25
201011,0.47,-0.07
201012,0.70,0.23
201101,0.75,0.28
201102,1.11,0.61
201103,1.05,0.05
201104,1.87,-0.05
201105,6.00,2.84
201106,3.23,-0.06
201107,2.34,-0.03
201108,2.19,0.40
201109,0.91,-0.34
201110,0.70,-0.48
201111,0.65,0.11
201112,0.31,-0.16
201201,0.30,-0.17
201202,0.56,0.06
201203,0.10,-0.90
201204,2.18,0.26
201205,2.09,-1.07
201206,2.52,-0.77
201207,1.67,-0.70
201208,0.62,-1.17
201209,0.05,-1.20
201210,0.78,-0.40
201211,0.38,-0.16
201212,0.27,-0.20
201301,0.64,0.17
201302,0.19,-0.31
201303,0.79,-0.21
201304,2.74,0.82
201305,3.23,0.07
201306,2.17,-1.12
201307,2.33,-0.04
201308,3.05,1.26
201309,1.40,0.15
201310,6.32,5.14
201311,0.46,-0.08
201312,0.70,0.23
201401,0.29,-0.18
201402,0.39,-0.11
201403,0.86,-0.14
201404,1.90,-0.02
201405,2.53,-0.63
201406,5.26,1.97
201407,1.27,-1.10
201408,2.98,1.19
201409,2.86,1.61
201410,0.65,-0.53
201411,0.69,0.15
201412,0.44,-0.03
201501,0.17,-0.30
201502,0.30,-0.20
201503,0.14,-0.86
201504,1.10,-0.82
201505,7.48,4.32
201506,6.47,3.18
201507,2.26,-0.11
201508,3.00,1.21
201509,0.47,-0.78
201510,1.82,0.64
201511,0.48,-0.06
201512,0.86,0.39
201601,0.20,-0.27
201602,0.62,0.12
201603,1.35,0.35
201604,2.63,0.71
201605,1.65,-1.51
201606,1.32,-1.97
201607,2.75,0.38
201608,2.28,0.49
201609,1.29,0.04
201610,0.53,-0.65
201611,0.31,-0.23
201612,0.82,0.35
201701,0.67,0.20
201702,0.53,0.03
201703,0.77,-0.23
201704,2.39,0.47
201705,1.78,-1.38
201706,1.81,-1.48
201707,1.83,-0.54
201708,1.25,-0.54
201709,1.42,0.17
201710,0.77,-0.41
201711,0.32,-0.22
201712,0.47,0.00
201801,0.38,-0.09
201802,1.04,0.54
201803,1.57,0.57
201804,1.66,-0.26
201805,3.87,0.71
201806,5.36,2.07
201807,3.88,1.51
201808,1.28,-0.51
201809,1.20,-0.05
201810,1.14,-0.04
201811,0.60,0.06
201812,0.86,0.39
201901,0.45,-0.02
201902,0.77,0.27
201903,1.20,0.20
201904,2.25,0.33
201905,6.77,3.61
201906,2.36,-0.93
201907,6.26,3.89
201908,2.85,1.06
201909,2.20,0.95
201910,1.40,0.22
201911,1.03,0.49
201912,0.52,0.05
202001,0.40,-0.07
