Genesee County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.09,-0.54
200002,1.13,-0.33
200003,0.95,-1.07
200004,3.16,0.32
200005,5.87,2.74
200006,3.26,0.02
200007,5.96,3.04
200008,3.33,0.28
200009,5.05,1.88
200010,1.79,-0.62
200011,2.18,-0.15
200012,3.33,1.46
200101,1.16,-0.47
200102,3.40,1.94
200103,0.48,-1.54
200104,2.84,0.00
200105,5.04,1.91
200106,3.80,0.56
200107,0.97,-1.95
200108,1.95,-1.10
200109,4.10,0.93
200110,6.52,4.11
200111,2.73,0.40
200112,1.68,-0.19
200201,1.45,-0.18
200202,2.26,0.80
200203,1.73,-0.29
200204,3.40,0.56
200205,3.83,0.70
200206,2.01,-1.23
200207,2.80,-0.12
200208,1.67,-1.38
200209,0.66,-2.51
200210,1.82,-0.59
200211,1.74,-0.59
200212,1.40,-0.47
200301,0.42,-1.21
200302,1.08,-0.38
200303,1.90,-0.12
200304,3.03,0.19
200305,3.65,0.52
200306,2.68,-0.56
200307,2.09,-0.83
200308,2.92,-0.13
200309,2.87,-0.30
200310,2.09,-0.32
200311,5.71,3.38
200312,2.19,0.32
200401,1.68,0.05
200402,0.71,-0.75
200403,2.24,0.22
200404,0.93,-1.91
200405,8.25,5.12
200406,3.35,0.11
200407,4.86,1.94
200408,2.75,-0.30
200409,0.58,-2.59
200410,2.37,-0.04
200411,3.03,0.70
200412,2.89,1.02
200501,3.14,1.51
200502,1.99,0.53
200503,1.35,-0.67
200504,1.70,-1.14
200505,1.58,-1.55
200506,2.67,-0.57
200507,5.28,2.36
200508,1.39,-1.66
200509,4.70,1.53
200510,0.33,-2.08
200511,3.75,1.42
200512,2.25,0.38
200601,4.04,2.41
200602,1.74,0.28
200603,2.87,0.85
200604,2.52,-0.32
200605,4.62,1.49
200606,3.56,0.32
200607,4.68,1.76
200608,3.36,0.31
200609,3.11,-0.06
200610,4.31,1.90
200611,2.88,0.55
200612,2.48,0.61
200701,2.41,0.78
200702,0.43,-1.03
200703,2.45,0.43
200704,2.52,-0.32
200705,4.32,1.19
200706,2.58,-0.66
200707,1.66,-1.26
200708,5.69,2.64
200709,1.66,-1.51
200710,3.51,1.10
200711,1.42,-0.91
200712,2.27,0.40
200801,2.92,1.29
200802,3.12,1.66
200803,1.31,-0.71
200804,2.30,-0.54
200805,1.79,-1.34
200806,4.76,1.52
200807,3.92,1.00
200808,2.91,-0.14
200809,8.04,4.87
200810,1.66,-0.75
200811,2.11,-0.22
200812,3.83,1.96
200901,1.15,-0.48
200902,2.73,1.27
200903,2.85,0.83
200904,5.49,2.65
200905,2.58,-0.55
200906,6.01,2.77
200907,2.28,-0.64
200908,5.17,2.12
200909,1.34,-1.83
200910,3.74,1.33
200911,0.63,-1.70
200912,1.83,-0.04
201001,0.86,-0.77
201002,1.33,-0.13
201003,0.71,-1.31
201004,3.17,0.33
201005,4.76,1.63
201006,3.78,0.54
201007,2.46,-0.46
201008,1.17,-1.88
201009,4.03,0.86
201010,2.56,0.15
201011,1.95,-0.38
201012,1.18,-0.69
201101,1.44,-0.19
201102,2.34,0.88
201103,3.78,1.76
201104,5.34,2.50
201105,7.53,4.40
201106,2.78,-0.46
201107,5.23,2.31
201108,3.38,0.33
201109,2.56,-0.61
201110,2.92,0.51
201111,3.17,0.84
201112,2.12,0.25
201201,1.95,0.32
201202,1.74,0.28
201203,2.09,0.07
201204,1.32,-1.52
201205,4.34,1.21
201206,1.25,-1.99
201207,4.02,1.10
201208,3.15,0.10
201209,2.61,-0.56
201210,4.00,1.59
201211,0.63,-1.70
201212,2.48,0.61
201301,3.89,2.26
201302,1.83,0.37
201303,0.75,-1.27
201304,7.31,4.47
201305,4.12,0.99
201306,5.11,1.87
201307,2.06,-0.86
201308,2.82,-0.23
201309,0.92,-2.25
201310,2.86,0.45
201311,2.20,-0.13
201312,2.13,0.26
201401,2.18,0.55
201402,1.54,0.08
201403,1.47,-0.55
201404,2.59,-0.25
201405,6.36,3.23
201406,2.76,-0.48
201407,5.46,2.54
201408,3.63,0.58
201409,3.25,0.08
201410,2.23,-0.18
201411,1.95,-0.38
201412,1.69,-0.18
201501,1.28,-0.35
201502,0.98,-0.48
201503,0.97,-1.05
201504,1.70,-1.14
201505,3.90,0.77
201506,4.85,1.61
201507,2.77,-0.15
201508,3.36,0.31
201509,3.24,0.07
201510,2.36,-0.05
201511,2.53,0.20
201512,2.12,0.25
201601,1.54,-0.09
201602,2.25,0.79
201603,4.53,2.51
201604,2.74,-0.10
201605,2.62,-0.51
201606,1.18,-2.06
201607,3.00,0.08
201608,5.35,2.30
201609,3.39,0.22
201610,3.69,1.28
201611,2.30,-0.03
201612,1.82,-0.05
201701,3.19,1.56
201702,1.92,0.46
201703,3.54,1.52
201704,4.73,1.89
201705,3.23,0.10
201706,3.99,0.75
201707,2.48,-0.44
201708,3.77,0.72
201709,0.94,-2.23
201710,4.96,2.55
201711,3.00,0.67
201712,1.40,-0.47
201801,1.71,0.08
201802,3.98,2.52
201803,1.18,-0.84
201804,3.20,0.36
201805,3.58,0.45
201806,3.47,0.23
201807,1.18,-1.74
201808,5.84,2.79
201809,2.74,-0.43
201810,4.07,1.66
201811,2.06,-0.27
201812,1.82,-0.05
201901,1.98,0.35
201902,2.24,0.78
201903,2.26,0.24
201904,3.68,0.84
201905,3.59,0.46
201906,6.23,2.99
201907,2.98,0.06
201908,3.05,0.00
201909,3.77,0.60
201910,6.30,3.89
201911,2.43,0.10
201912,2.28,0.41
202001,3.71,2.08
