Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.96,0.32
200002,3.17,0.75
200003,0.91,-1.13
200004,1.12,0.01
200005,0.48,-0.43
200006,0.57,0.07
200007,0.02,-0.45
200008,1.01,0.51
200009,0.16,-0.37
200010,1.09,0.29
200011,0.35,-1.13
200012,0.24,-1.96
200101,2.33,-0.31
200102,2.54,0.12
200103,1.90,-0.14
200104,2.08,0.97
200105,0.23,-0.68
200106,0.01,-0.49
200107,1.12,0.65
200108,0.16,-0.34
200109,0.25,-0.28
200110,0.40,-0.40
200111,2.50,1.02
200112,2.90,0.70
200201,0.60,-2.04
200202,0.58,-1.84
200203,1.26,-0.78
200204,0.88,-0.23
200205,0.26,-0.65
200206,0.09,-0.41
200207,0.38,-0.09
200208,0.09,-0.41
200209,0.37,-0.16
200210,0.16,-0.64
200211,3.40,1.92
200212,4.26,2.06
200301,0.23,-2.41
200302,1.48,-0.94
200303,1.17,-0.87
200304,1.91,0.80
200305,0.69,-0.22
200306,0.09,-0.41
200307,1.00,0.53
200308,0.70,0.20
200309,0.37,-0.16
200310,0.08,-0.72
200311,1.34,-0.14
200312,3.26,1.06
200401,0.97,-1.67
200402,3.04,0.62
200403,0.56,-1.48
200404,0.39,-0.72
200405,0.52,-0.39
200406,0.24,-0.26
200407,0.30,-0.17
200408,0.55,0.05
200409,0.10,-0.43
200410,2.87,2.07
200411,2.31,0.83
200412,3.59,1.39
200501,4.86,2.22
200502,2.13,-0.29
200503,2.30,0.26
200504,0.93,-0.18
200505,1.56,0.65
200506,0.16,-0.34
200507,0.20,-0.27
200508,0.73,0.23
200509,0.41,-0.12
200510,0.49,-0.31
200511,0.66,-0.82
200512,5.85,3.65
200601,3.88,1.24
200602,2.11,-0.31
200603,2.59,0.55
200604,2.57,1.46
200605,0.73,-0.18
200606,0.11,-0.39
200607,0.56,0.09
200608,0.04,-0.46
200609,0.05,-0.48
200610,0.71,-0.09
200611,0.46,-1.02
200612,1.21,-0.99
200701,0.66,-1.98
200702,2.26,-0.16
200703,0.54,-1.50
200704,0.79,-0.32
200705,0.14,-0.77
200706,0.13,-0.37
200707,0.45,-0.02
200708,0.75,0.25
200709,0.55,0.02
200710,0.44,-0.36
200711,0.30,-1.18
200712,1.81,-0.39
200801,5.25,2.61
200802,2.73,0.31
200803,0.36,-1.68
200804,0.06,-1.05
200805,1.25,0.34
200806,0.00,-0.50
200807,0.23,-0.24
200808,0.05,-0.45
200809,0.08,-0.45
200810,0.74,-0.06
200811,1.87,0.39
200812,1.58,-0.62
200901,1.37,-1.27
200902,2.08,-0.34
200903,1.94,-0.10
200904,0.59,-0.52
200905,0.82,-0.09
200906,1.06,0.56
200907,0.26,-0.21
200908,0.43,-0.07
200909,0.09,-0.44
200910,2.46,1.66
200911,0.63,-0.85
200912,2.36,0.16
201001,3.19,0.55
201002,2.63,0.21
201003,1.13,-0.91
201004,2.29,1.18
201005,0.48,-0.43
201006,0.01,-0.49
201007,0.55,0.08
201008,0.04,-0.46
201009,0.00,-0.53
201010,3.38,2.58
201011,1.95,0.47
201012,6.89,4.69
201101,0.75,-1.89
201102,2.46,0.04
201103,4.71,2.67
201104,0.86,-0.25
201105,0.78,-0.13
201106,1.25,0.75
201107,0.52,0.05
201108,0.18,-0.32
201109,0.86,0.33
201110,1.17,0.37
201111,0.37,-1.11
201112,0.01,-2.19
201201,2.11,-0.53
201202,0.46,-1.96
201203,1.65,-0.39
201204,0.83,-0.28
201205,0.11,-0.80
201206,0.21,-0.29
201207,0.29,-0.18
201208,0.92,0.42
201209,0.16,-0.37
201210,0.74,-0.06
201211,1.42,-0.06
201212,5.28,3.08
201301,0.39,-2.25
201302,0.17,-2.25
201303,0.58,-1.46
201304,0.50,-0.61
201305,0.82,-0.09
201306,0.08,-0.42
201307,0.89,0.42
201308,0.48,-0.02
201309,0.56,0.03
201310,0.57,-0.23
201311,0.32,-1.16
201312,0.72,-1.48
201401,1.08,-1.56
201402,2.20,-0.22
201403,1.23,-0.81
201404,0.50,-0.61
201405,0.86,-0.05
201406,0.04,-0.46
201407,1.00,0.53
201408,0.94,0.44
201409,0.59,0.06
201410,0.06,-0.74
201411,0.60,-0.88
201412,1.58,-0.62
201501,0.18,-2.46
201502,1.50,-0.92
201503,0.28,-1.76
201504,0.77,-0.34
201505,2.97,2.06
201506,0.88,0.38
201507,1.66,1.19
201508,0.24,-0.26
201509,0.29,-0.24
201510,1.43,0.63
201511,1.85,0.37
201512,2.03,-0.17
201601,2.71,0.07
201602,1.01,-1.41
201603,1.88,-0.16
201604,1.98,0.87
201605,1.25,0.34
201606,0.60,0.10
201607,0.21,-0.26
201608,0.05,-0.45
201609,0.28,-0.25
201610,2.53,1.73
201611,0.46,-1.02
201612,2.26,0.06
201701,10.09,7.45
201702,5.85,3.43
201703,1.64,-0.40
201704,2.88,1.77
201705,0.94,0.03
201706,0.12,-0.38
201707,0.19,-0.28
201708,0.91,0.41
201709,0.91,0.38
201710,0.17,-0.63
201711,2.59,1.11
201712,0.16,-2.04
201801,1.06,-1.58
201802,0.48,-1.94
201803,4.66,2.62
201804,1.45,0.34
201805,1.24,0.33
201806,0.01,-0.49
201807,1.61,1.14
201808,0.15,-0.35
201809,0.09,-0.44
201810,0.51,-0.29
201811,2.07,0.59
201812,0.75,-1.45
201901,3.19,0.55
201902,6.02,3.60
201903,2.98,0.94
201904,0.36,-0.75
201905,2.24,1.33
201906,0.23,-0.27
201907,0.57,0.10
201908,0.03,-0.47
201909,0.21,-0.32
201910,0.01,-0.79
201911,1.13,-0.35
201912,2.15,-0.05
202001,0.48,-2.16
