Ada County, Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.76,0.21
200002,2.35,1.01
200003,1.68,0.37
200004,0.94,-0.22
200005,0.89,-0.29
200006,0.15,-0.79
200007,0.07,-0.21
200008,0.04,-0.21
200009,0.60,0.04
200010,2.51,1.68
200011,0.90,-0.58
200012,0.82,-0.64
200101,1.19,-0.36
200102,0.49,-0.85
200103,1.01,-0.30
200104,1.18,0.02
200105,0.42,-0.76
200106,0.23,-0.71
200107,0.34,0.06
200108,0.00,-0.25
200109,0.40,-0.16
200110,0.70,-0.13
200111,1.61,0.13
200112,1.47,0.01
200201,1.19,-0.36
200202,0.32,-1.02
200203,1.14,-0.17
200204,0.95,-0.21
200205,0.09,-1.09
200206,0.19,-0.75
200207,0.09,-0.19
200208,0.07,-0.18
200209,0.27,-0.29
200210,0.24,-0.59
200211,0.76,-0.72
200212,2.18,0.72
200301,1.72,0.17
200302,0.83,-0.51
200303,1.54,0.23
200304,1.37,0.21
200305,1.63,0.45
200306,0.26,-0.68
200307,0.27,-0.01
200308,0.61,0.36
200309,0.08,-0.48
200310,0.03,-0.80
200311,0.97,-0.51
200312,2.16,0.70
200401,1.83,0.28
200402,1.71,0.37
200403,0.50,-0.81
200404,0.45,-0.71
200405,2.13,0.95
200406,0.23,-0.71
200407,0.39,0.11
200408,0.54,0.29
200409,0.34,-0.22
200410,1.44,0.61
200411,0.93,-0.55
200412,1.51,0.05
200501,0.28,-1.27
200502,0.43,-0.91
200503,1.23,-0.08
200504,1.01,-0.15
200505,3.43,2.25
200506,1.10,0.16
200507,0.05,-0.23
200508,0.04,-0.21
200509,0.23,-0.33
200510,0.60,-0.23
200511,1.85,0.37
200512,3.61,2.15
200601,1.95,0.40
200602,0.60,-0.74
200603,2.17,0.86
200604,2.03,0.87
200605,1.21,0.03
200606,0.81,-0.13
200607,0.16,-0.12
200608,0.02,-0.23
200609,0.18,-0.38
200610,0.37,-0.46
200611,1.59,0.11
200612,1.75,0.29
200701,0.20,-1.35
200702,1.39,0.05
200703,0.49,-0.82
200704,1.20,0.04
200705,0.23,-0.95
200706,0.71,-0.23
200707,0.05,-0.23
200708,0.09,-0.16
200709,0.94,0.38
200710,1.18,0.35
200711,1.18,-0.30
200712,1.66,0.20
200801,1.36,-0.19
200802,0.88,-0.46
200803,1.21,-0.10
200804,0.32,-0.84
200805,0.69,-0.49
200806,0.67,-0.27
200807,0.29,0.01
200808,0.01,-0.24
200809,0.69,0.13
200810,0.63,-0.20
200811,1.29,-0.19
200812,1.89,0.43
200901,1.18,-0.37
200902,0.33,-1.01
200903,1.25,-0.06
200904,0.95,-0.21
200905,1.04,-0.14
200906,2.14,1.20
200907,0.11,-0.17
200908,1.09,0.84
200909,0.03,-0.53
200910,1.51,0.68
200911,0.65,-0.83
200912,1.69,0.23
201001,1.79,0.24
201002,0.81,-0.53
201003,1.59,0.28
201004,1.53,0.37
201005,2.12,0.94
201006,1.00,0.06
201007,0.15,-0.13
201008,0.36,0.11
201009,0.05,-0.51
201010,1.28,0.45
201011,1.78,0.30
201012,2.94,1.48
201101,1.52,-0.03
201102,0.42,-0.92
201103,2.85,1.54
201104,1.77,0.61
201105,1.61,0.43
201106,0.86,-0.08
201107,0.05,-0.23
201108,0.06,-0.19
201109,0.13,-0.43
201110,1.73,0.90
201111,0.52,-0.96
201112,0.59,-0.87
201201,2.88,1.33
201202,0.74,-0.60
201203,1.93,0.62
201204,1.87,0.71
201205,0.80,-0.38
201206,0.28,-0.66
201207,0.13,-0.15
201208,0.02,-0.23
201209,0.07,-0.49
201210,0.89,0.06
201211,0.68,-0.80
201212,1.34,-0.12
201301,1.11,-0.44
201302,0.57,-0.77
201303,0.37,-0.94
201304,0.89,-0.27
201305,0.64,-0.54
201306,0.55,-0.39
201307,0.16,-0.12
201308,0.13,-0.12
201309,1.43,0.87
201310,0.72,-0.11
201311,1.26,-0.22
201312,0.66,-0.80
201401,0.91,-0.64
201402,2.17,0.83
201403,1.97,0.66
201404,1.72,0.56
201405,0.84,-0.34
201406,0.23,-0.71
201407,0.15,-0.13
201408,0.77,0.52
201409,0.89,0.33
201410,0.60,-0.23
201411,2.23,0.75
201412,3.27,1.81
201501,1.08,-0.47
201502,1.35,0.01
201503,0.37,-0.94
201504,0.65,-0.51
201505,1.51,0.33
201506,0.26,-0.68
201507,0.76,0.48
201508,0.15,-0.10
201509,0.46,-0.10
201510,1.06,0.23
201511,1.58,0.10
201512,2.36,0.90
201601,1.10,-0.45
201602,0.78,-0.56
201603,1.25,-0.06
201604,0.81,-0.35
201605,0.76,-0.42
201606,0.20,-0.74
201607,0.29,0.01
201608,0.03,-0.22
201609,0.49,-0.07
201610,1.32,0.49
201611,0.29,-1.19
201612,1.95,0.49
201701,3.10,1.55
201702,1.47,0.13
201703,2.70,1.39
201704,1.92,0.76
201705,0.71,-0.47
201706,1.25,0.31
201707,0.02,-0.26
201708,0.31,0.06
201709,0.53,-0.03
201710,0.67,-0.16
201711,1.96,0.48
201712,0.86,-0.60
201801,1.49,-0.06
201802,0.74,-0.60
201803,1.52,0.21
201804,0.89,-0.27
201805,1.70,0.52
201806,0.34,-0.60
201807,0.03,-0.25
201808,0.04,-0.21
201809,0.01,-0.55
201810,1.04,0.21
201811,0.86,-0.62
201812,1.34,-0.12
201901,1.16,-0.39
201902,3.61,2.27
201903,1.05,-0.26
201904,2.01,0.85
201905,2.93,1.75
201906,0.29,-0.65
201907,0.06,-0.22
201908,0.09,-0.16
201909,0.93,0.37
201910,0.44,-0.39
201911,0.13,-1.35
201912,1.26,-0.20
202001,2.49,0.94
