Daviess County, Kentucky, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.95,2.02
200002,5.42,2.19
200003,3.60,-0.99
200004,3.21,-1.01
200005,4.47,0.12
200006,4.18,-0.01
200007,4.77,1.19
200008,6.20,2.97
200009,3.91,0.77
200010,0.89,-2.03
200011,3.74,0.10
200012,4.13,0.31
200101,1.30,-2.63
200102,4.18,0.95
200103,1.96,-2.63
200104,2.33,-1.89
200105,3.49,-0.86
200106,3.53,-0.66
200107,5.01,1.43
200108,3.68,0.45
200109,3.86,0.72
200110,7.07,4.15
200111,6.58,2.94
200112,6.21,2.39
200201,4.26,0.33
200202,2.49,-0.74
200203,6.79,2.20
200204,6.99,2.77
200205,7.11,2.76
200206,2.49,-1.70
200207,1.60,-1.98
200208,1.51,-1.72
200209,7.09,3.95
200210,4.25,1.33
200211,3.60,-0.04
200212,5.09,1.27
200301,2.16,-1.77
200302,6.21,2.98
200303,1.97,-2.62
200304,5.55,1.33
200305,6.31,1.96
200306,4.67,0.48
200307,3.78,0.20
200308,3.62,0.39
200309,6.58,3.44
200310,3.68,0.76
200311,5.15,1.51
200312,2.33,-1.49
200401,3.59,-0.34
200402,1.80,-1.43
200403,3.93,-0.66
200404,5.28,1.06
200405,9.28,4.93
200406,2.36,-1.83
200407,4.80,1.22
200408,4.31,1.08
200409,0.11,-3.03
200410,3.89,0.97
200411,7.17,3.53
200412,3.89,0.07
200501,4.60,0.67
200502,2.63,-0.60
200503,3.10,-1.49
200504,3.81,-0.41
200505,3.41,-0.94
200506,2.94,-1.25
200507,4.18,0.60
200508,7.22,3.99
200509,1.76,-1.38
200510,0.32,-2.60
200511,4.94,1.30
200512,2.16,-1.66
200601,5.37,1.44
200602,2.12,-1.11
200603,6.20,1.61
200604,3.67,-0.55
200605,4.94,0.59
200606,4.30,0.11
200607,7.39,3.81
200608,4.78,1.55
200609,10.14,7.00
200610,5.40,2.48
200611,4.71,1.07
200612,4.05,0.23
200701,5.22,1.29
200702,3.22,-0.01
200703,2.13,-2.46
200704,3.19,-1.03
200705,2.32,-2.03
200706,3.67,-0.52
200707,4.57,0.99
200708,1.70,-1.53
200709,2.90,-0.24
200710,6.16,3.24
200711,2.65,-0.99
200712,8.53,4.71
200801,2.24,-1.69
200802,5.21,1.98
200803,8.37,3.78
200804,5.72,1.50
200805,6.90,2.55
200806,2.93,-1.26
200807,4.79,1.21
200808,0.70,-2.53
200809,1.09,-2.05
200810,2.89,-0.03
200811,2.88,-0.76
200812,5.27,1.45
200901,2.80,-1.13
200902,2.62,-0.61
200903,2.27,-2.32
200904,5.63,1.41
200905,5.36,1.01
200906,3.66,-0.53
200907,6.82,3.24
200908,2.22,-1.01
200909,4.67,1.53
200910,8.06,5.14
200911,1.13,-2.51
200912,2.46,-1.36
201001,2.68,-1.25
201002,1.71,-1.52
201003,3.09,-1.50
201004,4.11,-0.11
201005,5.63,1.28
201006,2.11,-2.08
201007,4.16,0.58
201008,0.87,-2.36
201009,0.51,-2.63
201010,1.34,-1.58
201011,5.83,2.19
201012,1.55,-2.27
201101,1.86,-2.07
201102,4.70,1.47
201103,5.05,0.46
201104,12.81,8.59
201105,7.23,2.88
201106,5.74,1.55
201107,3.63,0.05
201108,1.23,-2.00
201109,5.41,2.27
201110,2.29,-0.63
201111,8.81,5.17
201112,5.84,2.02
201201,3.32,-0.61
201202,1.48,-1.75
201203,2.44,-2.15
201204,1.16,-3.06
201205,3.61,-0.74
201206,1.61,-2.58
201207,3.31,-0.27
201208,4.08,0.85
201209,5.47,2.33
201210,3.01,0.09
201211,1.04,-2.60
201212,4.63,0.81
201301,5.84,1.91
201302,2.99,-0.24
201303,5.22,0.63
201304,3.98,-0.24
201305,4.00,-0.35
201306,6.09,1.90
201307,4.20,0.62
201308,1.06,-2.17
201309,4.24,1.10
201310,5.86,2.94
201311,3.34,-0.30
201312,5.30,1.48
201401,2.09,-1.84
201402,3.22,-0.01
201403,3.07,-1.52
201404,9.40,5.18
201405,3.68,-0.67
201406,3.80,-0.39
201407,2.12,-1.46
201408,5.40,2.17
201409,1.39,-1.75
201410,4.11,1.19
201411,2.10,-1.54
201412,3.36,-0.46
201501,2.10,-1.83
201502,2.46,-0.77
201503,6.41,1.82
201504,6.98,2.76
201505,2.90,-1.45
201506,6.48,2.29
201507,7.08,3.50
201508,2.53,-0.70
201509,1.45,-1.69
201510,5.36,2.44
201511,5.63,1.99
201512,6.91,3.09
201601,1.79,-2.14
201602,4.34,1.11
201603,5.31,0.72
201604,5.14,0.92
201605,4.29,-0.06
201606,3.71,-0.48
201607,8.86,5.28
201608,4.34,1.11
201609,2.36,-0.78
201610,0.57,-2.35
201611,2.61,-1.03
201612,6.49,2.67
201701,3.55,-0.38
201702,1.46,-1.77
201703,4.06,-0.53
201704,3.94,-0.28
201705,4.98,0.63
201706,3.10,-1.09
201707,4.40,0.82
201708,2.94,-0.29
201709,5.08,1.94
201710,6.02,3.10
201711,1.71,-1.93
201712,2.92,-0.90
201801,3.79,-0.14
201802,9.26,6.03
201803,5.33,0.74
201804,4.02,-0.20
201805,5.65,1.30
201806,6.44,2.25
201807,2.07,-1.51
201808,2.30,-0.93
201809,6.04,2.90
201810,1.48,-1.44
201811,6.95,3.31
201812,5.18,1.36
201901,4.49,0.56
201902,9.18,5.95
201903,4.36,-0.23
201904,6.57,2.35
201905,5.12,0.77
201906,8.52,4.33
201907,4.97,1.39
201908,3.52,0.29
201909,0.04,-3.10
201910,4.38,1.46
201911,4.93,1.29
201912,4.81,0.99
202001,4.71,0.78
