Lewis and Clark County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.67,-0.45
200002,1.94,0.44
200003,0.87,-0.84
200004,1.06,-0.68
200005,1.90,-0.84
200006,2.21,-0.85
200007,0.65,-0.88
200008,0.32,-1.03
200009,1.53,-0.12
200010,2.67,1.15
200011,1.37,-0.53
200012,1.24,-0.88
200101,0.70,-1.42
200102,1.59,0.09
200103,1.29,-0.42
200104,2.62,0.88
200105,0.77,-1.97
200106,4.05,0.99
200107,2.06,0.53
200108,0.30,-1.05
200109,1.32,-0.33
200110,1.45,-0.07
200111,0.73,-1.17
200112,1.08,-1.04
200201,1.72,-0.40
200202,1.68,0.18
200203,2.89,1.18
200204,1.56,-0.18
200205,2.10,-0.64
200206,4.67,1.61
200207,1.17,-0.36
200208,2.24,0.89
200209,1.61,-0.04
200210,0.91,-0.61
200211,0.81,-1.09
200212,1.01,-1.11
200301,1.67,-0.45
200302,1.78,0.28
200303,3.26,1.55
200304,2.34,0.60
200305,1.71,-1.03
200306,1.88,-1.18
200307,0.21,-1.32
200308,1.05,-0.30
200309,1.65,0.00
200310,1.28,-0.24
200311,1.81,-0.09
200312,1.31,-0.81
200401,2.09,-0.03
200402,0.64,-0.86
200403,1.14,-0.57
200404,2.49,0.75
200405,3.14,0.40
200406,2.03,-1.03
200407,1.19,-0.34
200408,2.65,1.30
200409,1.85,0.20
200410,1.25,-0.27
200411,0.76,-1.14
200412,1.70,-0.42
200501,1.38,-0.74
200502,0.36,-1.14
200503,2.55,0.84
200504,2.68,0.94
200505,3.11,0.37
200506,4.56,1.50
200507,0.16,-1.37
200508,0.94,-0.41
200509,1.85,0.20
200510,1.41,-0.11
200511,2.19,0.29
200512,1.43,-0.69
200601,1.67,-0.45
200602,1.71,0.21
200603,1.44,-0.27
200604,3.91,2.17
200605,2.14,-0.60
200606,3.18,0.12
200607,0.50,-1.03
200608,1.41,0.06
200609,1.80,0.15
200610,1.99,0.47
200611,2.88,0.98
200612,1.44,-0.68
200701,1.03,-1.09
200702,1.67,0.17
200703,0.81,-0.90
200704,2.36,0.62
200705,3.79,1.05
200706,1.61,-1.45
200707,0.52,-1.01
200708,0.46,-0.89
200709,2.09,0.44
200710,1.48,-0.04
200711,1.66,-0.24
200712,1.48,-0.64
200801,2.09,-0.03
200802,1.92,0.42
200803,1.04,-0.67
200804,1.30,-0.44
200805,5.26,2.52
200806,2.58,-0.48
200807,1.25,-0.28
200808,1.54,0.19
200809,1.77,0.12
200810,1.23,-0.29
200811,1.92,0.02
200812,3.12,1.00
200901,2.15,0.03
200902,0.96,-0.54
200903,2.64,0.93
200904,2.38,0.64
200905,0.89,-1.85
200906,1.46,-1.60
200907,2.36,0.83
200908,2.01,0.66
200909,0.68,-0.97
200910,2.62,1.10
200911,0.52,-1.38
200912,1.77,-0.35
201001,1.43,-0.69
201002,0.59,-0.91
201003,0.86,-0.85
201004,2.01,0.27
201005,3.55,0.81
201006,3.69,0.63
201007,0.81,-0.72
201008,2.28,0.93
201009,1.84,0.19
201010,0.60,-0.92
201011,2.62,0.72
201012,2.49,0.37
201101,2.26,0.14
201102,2.64,1.14
201103,2.00,0.29
201104,3.40,1.66
201105,4.15,1.41
201106,3.82,0.76
201107,1.61,0.08
201108,0.55,-0.80
201109,0.48,-1.17
201110,2.48,0.96
201111,1.59,-0.31
201112,1.27,-0.85
201201,2.30,0.18
201202,1.34,-0.16
201203,2.21,0.50
201204,1.36,-0.38
201205,2.35,-0.39
201206,1.81,-1.25
201207,1.23,-0.30
201208,0.51,-0.84
201209,0.01,-1.64
201210,2.15,0.63
201211,2.34,0.44
201212,2.24,0.12
201301,1.38,-0.74
201302,1.14,-0.36
201303,0.77,-0.94
201304,1.80,0.06
201305,2.80,0.06
201306,3.16,0.10
201307,0.82,-0.71
201308,1.07,-0.28
201309,2.10,0.45
201310,0.99,-0.53
201311,1.15,-0.75
201312,1.26,-0.86
201401,2.60,0.48
201402,3.50,2.00
201403,2.81,1.10
201404,1.77,0.03
201405,0.86,-1.88
201406,2.59,-0.47
201407,0.98,-0.55
201408,3.28,1.93
201409,1.11,-0.54
201410,1.32,-0.20
201411,3.47,1.57
201412,2.57,0.45
201501,1.57,-0.55
201502,1.43,-0.07
201503,1.00,-0.71
201504,0.90,-0.84
201505,3.65,0.91
201506,0.68,-2.38
201507,1.90,0.37
201508,0.50,-0.85
201509,2.36,0.71
201510,1.28,-0.24
201511,2.07,0.17
201512,2.00,-0.12
201601,0.98,-1.14
201602,0.77,-0.73
201603,1.43,-0.28
201604,2.09,0.35
201605,2.94,0.20
201606,1.12,-1.94
201607,1.19,-0.34
201608,1.23,-0.12
201609,2.61,0.96
201610,2.82,1.30
201611,0.50,-1.40
201612,2.84,0.72
201701,1.47,-0.65
201702,3.00,1.50
201703,1.88,0.17
201704,1.90,0.16
201705,3.07,0.33
201706,2.69,-0.37
201707,0.31,-1.22
201708,0.14,-1.21
201709,2.62,0.97
201710,1.85,0.33
201711,2.40,0.50
201712,4.01,1.89
201801,1.26,-0.86
201802,4.37,2.87
201803,1.92,0.21
201804,1.96,0.22
201805,3.41,0.67
201806,5.46,2.40
201807,0.20,-1.33
201808,0.69,-0.66
201809,0.80,-0.85
201810,2.14,0.62
201811,1.39,-0.51
201812,1.13,-0.99
201901,2.22,0.10
201902,3.14,1.64
201903,1.40,-0.31
201904,2.44,0.70
201905,4.50,1.76
201906,1.96,-1.10
201907,1.63,0.10
201908,1.42,0.07
201909,3.69,2.04
201910,2.30,0.78
201911,2.10,0.20
201912,0.71,-1.41
202001,1.23,-0.89
