Tulsa County, Oklahoma, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.91,-0.71
200002,1.56,-0.18
200003,3.96,1.03
200004,2.37,-1.62
200005,9.13,3.83
200006,7.14,2.47
200007,4.81,1.72
200008,0.06,-3.00
200009,1.08,-3.05
200010,5.43,1.96
200011,4.15,1.53
200012,1.84,-0.01
200101,2.75,1.13
200102,3.22,1.48
200103,1.04,-1.89
200104,1.65,-2.34
200105,7.36,2.06
200106,3.57,-1.10
200107,0.52,-2.57
200108,1.81,-1.25
200109,2.33,-1.80
200110,3.11,-0.36
200111,3.39,0.77
200112,2.11,0.26
200201,2.80,1.18
200202,0.95,-0.79
200203,2.76,-0.17
200204,3.52,-0.47
200205,5.55,0.25
200206,4.08,-0.59
200207,2.88,-0.21
200208,3.55,0.49
200209,1.47,-2.66
200210,3.39,-0.08
200211,0.59,-2.03
200212,2.85,1.00
200301,0.09,-1.53
200302,2.08,0.34
200303,3.59,0.66
200304,2.20,-1.79
200305,4.78,-0.52
200306,5.27,0.60
200307,0.72,-2.37
200308,10.20,7.14
200309,4.40,0.27
200310,3.64,0.17
200311,2.30,-0.32
200312,2.09,0.24
200401,2.19,0.57
200402,1.28,-0.46
200403,5.95,3.02
200404,4.80,0.81
200405,3.73,-1.57
200406,6.17,1.50
200407,7.45,4.36
200408,1.59,-1.47
200409,0.94,-3.19
200410,7.64,4.17
200411,4.62,2.00
200412,0.98,-0.87
200501,3.77,2.15
200502,2.19,0.45
200503,1.11,-1.82
200504,2.64,-1.35
200505,2.25,-3.05
200506,4.08,-0.59
200507,2.53,-0.56
200508,6.63,3.57
200509,2.55,-1.58
200510,1.75,-1.72
200511,0.32,-2.30
200512,0.49,-1.36
200601,0.69,-0.93
200602,0.41,-1.33
200603,3.11,0.18
200604,6.09,2.10
200605,3.38,-1.92
200606,3.48,-1.19
200607,4.13,1.04
200608,4.29,1.23
200609,2.25,-1.88
200610,1.53,-1.94
200611,3.54,0.92
200612,4.13,2.28
200701,2.29,0.67
200702,1.41,-0.33
200703,3.57,0.64
200704,2.46,-1.53
200705,8.53,3.23
200706,10.69,6.02
200707,4.80,1.71
200708,1.85,-1.21
200709,7.98,3.85
200710,3.50,0.03
200711,0.63,-1.99
200712,3.53,1.68
200801,0.90,-0.72
200802,2.31,0.57
200803,4.97,2.04
200804,9.25,5.26
200805,8.56,3.26
200806,10.17,5.50
200807,3.94,0.85
200808,3.39,0.33
200809,4.23,0.10
200810,2.31,-1.16
200811,2.22,-0.40
200812,1.62,-0.23
200901,0.68,-0.94
200902,2.15,0.41
200903,4.67,1.74
200904,4.10,0.11
200905,5.67,0.37
200906,3.01,-1.66
200907,3.78,0.69
200908,3.71,0.65
200909,8.61,4.48
200910,6.70,3.23
200911,0.72,-1.90
200912,1.89,0.04
201001,2.34,0.72
201002,2.03,0.29
201003,3.04,0.11
201004,2.09,-1.90
201005,5.51,0.21
201006,6.59,1.92
201007,6.00,2.91
201008,1.60,-1.46
201009,4.13,0.00
201010,1.19,-2.28
201011,2.37,-0.25
201012,0.59,-1.26
201101,0.50,-1.12
201102,2.50,0.76
201103,1.15,-1.78
201104,5.73,1.74
201105,4.29,-1.01
201106,1.59,-3.08
201107,0.36,-2.73
201108,4.47,1.41
201109,3.12,-1.01
201110,1.74,-1.73
201111,5.38,2.76
201112,1.52,-0.33
201201,0.75,-0.87
201202,1.60,-0.14
201203,6.48,3.55
201204,3.52,-0.47
201205,1.34,-3.96
201206,3.51,-1.16
201207,1.11,-1.98
201208,3.04,-0.02
201209,2.19,-1.94
201210,2.05,-1.42
201211,1.08,-1.54
201212,0.87,-0.98
201301,1.87,0.25
201302,3.37,1.63
201303,1.46,-1.47
201304,4.12,0.13
201305,4.87,-0.43
201306,2.87,-1.80
201307,4.63,1.54
201308,3.02,-0.04
201309,2.67,-1.46
201310,3.41,-0.06
201311,1.78,-0.84
201312,1.76,-0.09
201401,0.15,-1.47
201402,0.30,-1.44
201403,2.21,-0.72
201404,2.24,-1.75
201405,3.03,-2.27
201406,4.60,-0.07
201407,4.42,1.33
201408,1.76,-1.30
201409,2.79,-1.34
201410,4.55,1.08
201411,2.03,-0.59
201412,1.74,-0.11
201501,0.61,-1.01
201502,1.25,-0.49
201503,3.82,0.89
201504,3.92,-0.07
201505,13.19,7.89
201506,5.43,0.76
201507,6.51,3.42
201508,3.90,0.84
201509,2.58,-1.55
201510,1.52,-1.95
201511,7.84,5.22
201512,8.59,6.74
201601,0.53,-1.09
201602,1.07,-0.67
201603,2.64,-0.29
201604,6.42,2.43
201605,3.89,-1.41
201606,0.98,-3.69
201607,4.63,1.54
201608,3.75,0.69
201609,2.05,-2.08
201610,2.52,-0.95
201611,1.61,-1.01
201612,0.40,-1.45
201701,2.89,1.27
201702,1.42,-0.32
201703,2.09,-0.84
201704,10.95,6.96
201705,7.08,1.78
201706,2.19,-2.48
201707,2.87,-0.22
201708,6.35,3.29
201709,1.83,-2.30
201710,6.09,2.62
201711,0.68,-1.94
201712,1.18,-0.67
201801,0.30,-1.32
201802,4.83,3.09
201803,3.89,0.96
201804,1.93,-2.06
201805,3.01,-2.29
201806,2.53,-2.14
201807,3.15,0.06
201808,3.79,0.73
201809,3.82,-0.31
201810,3.70,0.23
201811,1.86,-0.76
201812,3.65,1.80
201901,3.99,2.37
201902,1.20,-0.54
201903,3.48,0.55
201904,5.51,1.52
201905,13.64,8.34
201906,6.60,1.93
201907,3.03,-0.06
201908,7.16,4.10
201909,4.98,0.85
201910,6.17,2.70
201911,3.78,1.16
201912,0.98,-0.87
202001,4.77,3.15
