Hoonah-Angoon Census Area, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,12.31,0.23
200002,4.78,-5.08
200003,14.69,5.21
200004,9.56,2.13
200005,6.15,-0.94
200006,6.50,1.42
200007,9.56,2.60
200008,9.55,-0.49
200009,20.86,4.29
200010,23.45,2.00
200011,16.11,0.43
200012,12.53,-1.19
200101,21.41,9.33
200102,10.95,1.09
200103,11.01,1.53
200104,6.25,-1.18
200105,9.28,2.19
200106,4.33,-0.75
200107,7.78,0.82
200108,8.21,-1.83
200109,22.99,6.42
200110,19.01,-2.44
200111,11.24,-4.44
200112,15.31,1.59
200201,10.97,-1.11
200202,14.81,4.95
200203,3.66,-5.82
200204,1.41,-6.02
200205,5.96,-1.13
200206,5.42,0.34
200207,7.29,0.33
200208,21.26,11.22
200209,12.98,-3.59
200210,21.59,0.14
200211,18.93,3.25
200212,14.73,1.01
200301,15.08,3.00
200302,5.23,-4.63
200303,7.93,-1.55
200304,2.44,-4.99
200305,7.52,0.43
200306,6.28,1.20
200307,4.88,-2.08
200308,9.78,-0.26
200309,22.87,6.30
200310,13.36,-8.09
200311,13.04,-2.64
200312,20.93,7.21
200401,11.85,-0.23
200402,13.80,3.94
200403,16.02,6.54
200404,10.32,2.89
200405,2.29,-4.80
200406,1.93,-3.15
200407,5.11,-1.85
200408,5.31,-4.73
200409,22.72,6.15
200410,17.70,-3.75
200411,21.85,6.17
200412,25.77,12.05
200501,10.90,-1.18
200502,11.90,2.04
200503,12.84,3.36
200504,7.23,-0.20
200505,3.34,-3.75
200506,4.53,-0.55
200507,7.82,0.86
200508,10.98,0.94
200509,18.91,2.34
200510,19.53,-1.92
200511,29.92,14.24
200512,13.78,0.06
200601,8.31,-3.77
200602,7.21,-2.65
200603,4.18,-5.30
200604,9.68,2.25
200605,10.69,3.60
200606,7.00,1.92
200607,6.24,-0.72
200608,15.03,4.99
200609,24.84,8.27
200610,21.69,0.24
200611,6.13,-9.55
200612,25.28,11.56
200701,15.52,3.44
200702,6.13,-3.73
200703,16.05,6.57
200704,8.27,0.84
200705,6.73,-0.36
200706,2.42,-2.66
200707,12.04,5.08
200708,3.74,-6.30
200709,17.71,1.14
200710,20.99,-0.46
200711,9.06,-6.62
200712,9.71,-4.01
200801,13.41,1.33
200802,10.69,0.83
200803,10.95,1.47
200804,9.90,2.47
200805,7.43,0.34
200806,3.73,-1.35
200807,12.08,5.12
200808,10.57,0.53
200809,18.41,1.84
200810,31.20,9.75
200811,14.29,-1.39
200812,9.86,-3.86
200901,20.40,8.32
200902,7.23,-2.63
200903,9.20,-0.28
200904,4.57,-2.86
200905,3.39,-3.70
200906,3.28,-1.80
200907,2.44,-4.52
200908,17.40,7.36
200909,19.42,2.85
200910,14.71,-6.74
200911,20.19,4.51
200912,9.04,-4.68
201001,13.15,1.07
201002,6.13,-3.73
201003,20.98,11.50
201004,5.08,-2.35
201005,2.52,-4.57
201006,8.14,3.06
201007,5.58,-1.38
201008,6.75,-3.29
201009,13.17,-3.40
201010,23.25,1.80
201011,18.03,2.35
201012,6.48,-7.24
201101,11.76,-0.32
201102,11.74,1.88
201103,3.00,-6.48
201104,4.71,-2.72
201105,4.81,-2.28
201106,2.53,-2.55
201107,5.35,-1.61
201108,20.22,10.18
201109,27.47,10.90
201110,17.29,-4.16
201111,16.44,0.76
201112,20.88,7.16
201201,17.29,5.21
201202,9.28,-0.58
201203,7.59,-1.89
201204,3.51,-3.92
201205,10.67,3.58
201206,7.79,2.71
201207,6.75,-0.21
201208,11.18,1.14
201209,23.18,6.61
201210,8.45,-13.00
201211,10.07,-5.61
201212,10.35,-3.37
201301,14.14,2.06
201302,14.54,4.68
201303,5.91,-3.57
201304,11.70,4.27
201305,9.79,2.70
201306,5.31,0.23
201307,6.07,-0.89
201308,6.26,-3.78
201309,16.67,0.10
201310,18.61,-2.84
201311,14.47,-1.21
201312,19.19,5.47
201401,19.59,7.51
201402,4.23,-5.63
201403,7.83,-1.65
201404,6.88,-0.55
201405,3.11,-3.98
201406,9.66,4.58
201407,14.23,7.27
201408,16.40,6.36
201409,19.43,2.86
201410,19.92,-1.53
201411,9.69,-5.99
201412,9.97,-3.75
201501,26.26,14.18
201502,7.70,-2.16
201503,11.34,1.86
201504,13.71,6.28
201505,1.02,-6.07
201506,6.83,1.75
201507,13.66,6.70
201508,16.76,6.72
201509,19.28,2.71
201510,20.67,-0.78
201511,23.21,7.53
201512,7.47,-6.25
201601,17.05,4.97
201602,12.22,2.36
201603,6.05,-3.43
201604,9.80,2.37
201605,10.20,3.11
201606,5.64,0.56
201607,6.79,-0.17
201608,9.48,-0.56
201609,20.32,3.75
201610,6.06,-15.39
201611,20.46,4.78
201612,14.34,0.62
201701,15.73,3.65
201702,10.67,0.81
201703,8.28,-1.20
201704,3.57,-3.86
201705,8.34,1.25
201706,5.41,0.33
201707,7.49,0.53
201708,16.52,6.48
201709,20.36,3.79
201710,18.42,-3.03
201711,4.94,-10.74
201712,14.93,1.21
201801,9.78,-2.30
201802,4.92,-4.94
201803,7.03,-2.45
201804,6.20,-1.23
201805,10.58,3.49
201806,4.50,-0.58
201807,3.37,-3.59
201808,13.31,3.27
201809,3.39,-13.18
201810,25.00,3.55
201811,13.33,-2.35
201812,12.17,-1.55
201901,11.39,-0.69
201902,3.55,-6.31
201903,10.43,0.95
201904,9.39,1.96
201905,3.74,-3.35
201906,5.59,0.51
201907,4.70,-2.26
201908,7.28,-2.76
201909,13.80,-2.77
201910,14.78,-6.67
201911,20.82,5.14
201912,15.21,1.49
202001,12.06,-0.02
