New York County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.99,-0.46
200002,1.85,-1.33
200003,3.55,-0.47
200004,3.84,-0.03
200005,4.53,0.63
200006,4.36,0.81
200007,6.69,2.42
200008,3.89,-0.41
200009,4.86,1.07
200010,0.65,-2.76
200011,3.63,0.12
200012,3.75,0.10
200101,2.81,-0.64
200102,2.13,-1.05
200103,6.84,2.82
200104,1.68,-2.19
200105,2.55,-1.35
200106,5.20,1.65
200107,2.40,-1.87
200108,2.98,-1.32
200109,4.19,0.40
200110,0.69,-2.72
200111,1.11,-2.40
200112,2.31,-1.34
200201,1.81,-1.64
200202,0.76,-2.42
200203,3.85,-0.17
200204,3.86,-0.01
200205,4.27,0.37
200206,4.60,1.05
200207,1.35,-2.92
200208,4.82,0.52
200209,5.12,1.33
200210,6.43,3.02
200211,4.84,1.33
200212,4.23,0.58
200301,2.45,-1.00
200302,4.25,1.07
200303,4.31,0.29
200304,3.09,-0.78
200305,3.87,-0.03
200306,9.58,6.03
200307,3.22,-1.05
200308,5.66,1.36
200309,5.74,1.95
200310,4.78,1.37
200311,4.16,0.65
200312,5.47,1.82
200401,2.09,-1.36
200402,2.55,-0.63
200403,2.98,-1.04
200404,4.85,0.98
200405,4.80,0.90
200406,3.02,-0.53
200407,7.70,3.43
200408,4.17,-0.13
200409,9.33,5.54
200410,1.36,-2.05
200411,4.39,0.88
200412,3.71,0.06
200501,4.24,0.79
200502,2.72,-0.46
200503,4.45,0.43
200504,4.50,0.63
200505,1.64,-2.26
200506,3.14,-0.41
200507,3.68,-0.59
200508,2.31,-1.99
200509,1.13,-2.66
200510,14.92,11.51
200511,4.22,0.71
200512,3.94,0.29
200601,4.93,1.48
200602,2.09,-1.09
200603,0.82,-3.20
200604,4.72,0.85
200605,4.19,0.29
200606,7.61,4.06
200607,4.68,0.41
200608,4.65,0.35
200609,4.02,0.23
200610,6.69,3.28
200611,6.33,2.82
200612,2.24,-1.41
200701,3.28,-0.17
200702,1.86,-1.32
200703,4.71,0.69
200704,10.83,6.96
200705,1.73,-2.17
200706,4.46,0.91
200707,6.13,1.86
200708,5.55,1.25
200709,1.38,-2.41
200710,4.77,1.36
200711,2.86,-0.65
200712,5.04,1.39
200801,2.31,-1.14
200802,5.75,2.57
200803,4.47,0.45
200804,2.50,-1.37
200805,3.86,-0.04
200806,3.86,0.31
200807,3.46,-0.81
200808,3.74,-0.56
200809,6.85,3.06
200810,3.07,-0.34
200811,3.24,-0.27
200812,6.10,2.45
200901,2.74,-0.71
200902,0.78,-2.40
200903,1.69,-2.33
200904,4.01,0.14
200905,4.41,0.51
200906,8.75,5.20
200907,6.26,1.99
200908,4.37,0.07
200909,2.02,-1.77
200910,5.53,2.12
200911,1.43,-2.08
200912,6.92,3.27
201001,1.95,-1.50
201002,5.54,2.36
201003,9.68,5.66
201004,2.82,-1.05
201005,3.04,-0.86
201006,2.03,-1.52
201007,2.95,-1.32
201008,3.16,-1.14
201009,3.36,-0.43
201010,4.46,1.05
201011,2.06,-1.45
201012,3.84,0.19
201101,3.96,0.51
201102,3.48,0.30
201103,6.24,2.22
201104,5.63,1.76
201105,4.76,0.86
201106,3.62,0.07
201107,2.57,-1.70
201108,17.49,13.19
201109,7.88,4.09
201110,5.49,2.08
201111,3.26,-0.25
201112,4.22,0.57
201201,2.77,-0.68
201202,1.35,-1.83
201203,1.08,-2.94
201204,3.24,-0.63
201205,5.09,1.19
201206,3.83,0.28
201207,3.48,-0.79
201208,2.99,-1.31
201209,4.04,0.25
201210,3.19,-0.22
201211,1.44,-2.07
201212,4.96,1.31
201301,2.57,-0.88
201302,3.43,0.25
201303,2.79,-1.23
201304,1.38,-2.49
201305,6.32,2.42
201306,8.85,5.30
201307,2.95,-1.32
201308,3.19,-1.11
201309,2.46,-1.33
201310,0.44,-2.97
201311,3.18,-0.33
201312,4.68,1.03
201401,2.66,-0.79
201402,4.98,1.80
201403,3.86,-0.16
201404,6.96,3.09
201405,4.82,0.92
201406,4.07,0.52
201407,5.22,0.95
201408,2.51,-1.79
201409,1.34,-2.45
201410,4.78,1.37
201411,4.34,0.83
201412,5.86,2.21
201501,4.94,1.49
201502,2.03,-1.15
201503,4.60,0.58
201504,2.04,-1.83
201505,1.94,-1.96
201506,5.43,1.88
201507,3.20,-1.07
201508,1.98,-2.32
201509,2.76,-1.03
201510,3.81,0.40
201511,1.78,-1.73
201512,4.76,1.11
201601,3.94,0.49
201602,4.04,0.86
201603,1.30,-2.72
201604,1.68,-2.19
201605,3.73,-0.17
201606,2.41,-1.14
201607,6.04,1.77
201608,1.48,-2.82
201609,2.51,-1.28
201610,3.97,0.56
201611,5.00,1.49
201612,3.06,-0.59
201701,4.23,0.78
201702,2.05,-1.13
201703,4.82,0.80
201704,3.96,0.09
201705,6.42,2.52
201706,4.25,0.70
201707,4.30,0.03
201708,3.73,-0.57
201709,1.95,-1.84
201710,4.38,0.97
201711,1.66,-1.85
201712,1.92,-1.73
201801,2.19,-1.26
201802,5.76,2.58
201803,4.66,0.64
201804,5.37,1.50
201805,3.62,-0.28
201806,3.14,-0.41
201807,6.27,2.00
201808,6.90,2.60
201809,6.33,2.54
201810,3.45,0.04
201811,7.92,4.41
201812,6.77,3.12
201901,3.88,0.43
201902,3.39,0.21
201903,3.87,-0.15
201904,4.24,0.37
201905,6.97,3.07
201906,5.25,1.70
201907,6.26,1.99
201908,3.95,-0.35
201909,0.89,-2.90
201910,6.63,3.22
201911,1.88,-1.63
201912,6.90,3.25
202001,1.97,-1.48
