Gregg County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.71,-0.91
200002,2.03,-1.57
200003,4.23,0.23
200004,5.50,0.91
200005,6.94,2.18
200006,6.17,2.55
200007,1.23,-2.14
200008,0.09,-2.40
200009,1.30,-1.78
200010,2.21,-1.27
200011,10.57,6.51
200012,5.98,1.55
200101,6.22,2.60
200102,6.89,3.29
200103,8.54,4.54
200104,0.80,-3.79
200105,6.59,1.83
200106,7.08,3.46
200107,1.24,-2.13
200108,3.89,1.40
200109,6.65,3.57
200110,4.15,0.67
200111,4.78,0.72
200112,6.73,2.30
200201,2.05,-1.57
200202,2.69,-0.91
200203,6.06,2.06
200204,2.92,-1.67
200205,2.08,-2.68
200206,2.20,-1.42
200207,2.79,-0.58
200208,2.17,-0.32
200209,3.93,0.85
200210,4.14,0.66
200211,2.39,-1.67
200212,8.93,4.50
200301,0.55,-3.07
200302,8.24,4.64
200303,1.39,-2.61
200304,1.87,-2.72
200305,1.66,-3.10
200306,7.08,3.46
200307,2.38,-0.99
200308,2.52,0.03
200309,2.50,-0.58
200310,2.02,-1.46
200311,2.38,-1.68
200312,2.55,-1.88
200401,3.00,-0.62
200402,5.65,2.05
200403,3.81,-0.19
200404,4.58,-0.01
200405,4.47,-0.29
200406,9.04,5.42
200407,1.56,-1.81
200408,3.64,1.15
200409,1.29,-1.79
200410,6.24,2.76
200411,7.31,3.25
200412,2.58,-1.85
200501,3.30,-0.32
200502,3.99,0.39
200503,1.72,-2.28
200504,2.32,-2.27
200505,1.45,-3.31
200506,0.38,-3.24
200507,4.40,1.03
200508,4.29,1.80
200509,4.58,1.50
200510,0.45,-3.03
200511,1.21,-2.85
200512,0.71,-3.72
200601,4.54,0.92
200602,3.68,0.08
200603,5.46,1.46
200604,1.95,-2.64
200605,1.77,-2.99
200606,1.14,-2.48
200607,2.10,-1.27
200608,1.91,-0.58
200609,2.05,-1.03
200610,4.03,0.55
200611,2.83,-1.23
200612,5.12,0.69
200701,8.41,4.79
200702,2.01,-1.59
200703,4.06,0.06
200704,2.76,-1.83
200705,6.01,1.25
200706,7.60,3.98
200707,10.74,7.37
200708,1.49,-1.00
200709,1.56,-1.52
200710,1.54,-1.94
200711,2.39,-1.67
200712,2.87,-1.56
200801,2.35,-1.27
200802,3.98,0.38
200803,9.04,5.04
200804,2.99,-1.60
200805,7.83,3.07
200806,3.71,0.09
200807,0.78,-2.59
200808,6.76,4.27
200809,4.62,1.54
200810,3.31,-0.17
200811,4.94,0.88
200812,1.68,-2.75
200901,1.40,-2.22
200902,1.82,-1.78
200903,6.68,2.68
200904,3.76,-0.83
200905,4.58,-0.18
200906,1.46,-2.16
200907,5.83,2.46
200908,3.28,0.79
200909,7.79,4.71
200910,15.48,12.00
200911,2.19,-1.87
200912,4.13,-0.30
201001,3.15,-0.47
201002,2.92,-0.68
201003,3.27,-0.73
201004,0.68,-3.91
201005,1.54,-3.22
201006,5.09,1.47
201007,4.78,1.41
201008,1.29,-1.20
201009,1.19,-1.89
201010,1.95,-1.53
201011,2.98,-1.08
201012,0.86,-3.57
201101,4.13,0.51
201102,1.87,-1.73
201103,0.54,-3.46
201104,3.04,-1.55
201105,3.66,-1.10
201106,1.68,-1.94
201107,1.71,-1.66
201108,0.41,-2.08
201109,1.75,-1.33
201110,2.01,-1.47
201111,3.53,-0.53
201112,6.79,2.36
201201,3.84,0.22
201202,4.16,0.56
201203,5.28,1.28
201204,3.08,-1.51
201205,3.38,-1.38
201206,2.62,-1.00
201207,2.95,-0.42
201208,2.51,0.02
201209,6.74,3.66
201210,1.57,-1.91
201211,1.29,-2.77
201212,3.45,-0.98
201301,4.18,0.56
201302,3.75,0.15
201303,2.67,-1.33
201304,3.55,-1.04
201305,3.11,-1.65
201306,1.57,-2.05
201307,1.76,-1.61
201308,1.00,-1.49
201309,6.97,3.89
201310,7.98,4.50
201311,4.16,0.10
201312,4.63,0.20
201401,0.59,-3.03
201402,2.89,-0.71
201403,3.76,-0.24
201404,2.23,-2.36
201405,7.81,3.05
201406,4.69,1.07
201407,3.05,-0.32
201408,1.25,-1.24
201409,1.56,-1.52
201410,6.40,2.92
201411,4.22,0.16
201412,2.19,-2.24
201501,6.12,2.50
201502,3.88,0.28
201503,8.09,4.09
201504,7.22,2.63
201505,11.43,6.67
201506,5.05,1.43
201507,0.11,-3.26
201508,2.09,-0.40
201509,0.11,-2.97
201510,7.76,4.28
201511,10.57,6.51
201512,7.07,2.64
201601,2.01,-1.61
201602,2.40,-1.20
201603,11.24,7.24
201604,9.74,5.15
201605,4.31,-0.45
201606,3.04,-0.58
201607,1.78,-1.59
201608,6.69,4.20
201609,0.59,-2.49
201610,1.20,-2.28
201611,3.42,-0.64
201612,4.13,-0.30
201701,5.49,1.87
201702,2.65,-0.95
201703,2.85,-1.15
201704,5.30,0.71
201705,5.94,1.18
201706,4.70,1.08
201707,2.65,-0.72
201708,6.54,4.05
201709,0.23,-2.85
201710,1.79,-1.69
201711,2.52,-1.54
201712,5.54,1.11
201801,2.60,-1.02
201802,9.39,5.79
201803,6.50,2.50
201804,4.13,-0.46
201805,0.93,-3.83
201806,1.77,-1.85
201807,1.90,-1.47
201808,1.58,-0.91
201809,5.47,2.39
201810,9.59,6.11
201811,7.03,2.97
201812,8.85,4.42
201901,3.98,0.36
201902,3.03,-0.57
201903,2.81,-1.19
201904,8.46,3.87
201905,10.33,5.57
201906,6.79,3.17
201907,2.16,-1.21
201908,0.84,-1.65
201909,2.50,-0.58
201910,6.43,2.95
201911,0.58,-3.48
201912,1.24,-3.19
202001,5.40,1.78
