Grand Traverse County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.57,-0.35
200002,1.10,-0.41
200003,1.13,-0.66
200004,1.12,-1.27
200005,3.64,0.86
200006,3.12,0.24
200007,2.58,-0.28
200008,2.69,-0.28
200009,5.70,2.09
200010,1.38,-1.58
200011,3.75,0.99
200012,1.95,-0.12
200101,1.28,-0.64
200102,1.90,0.39
200103,0.63,-1.16
200104,2.96,0.57
200105,5.86,3.08
200106,2.95,0.07
200107,0.62,-2.24
200108,2.63,-0.34
200109,4.81,1.20
200110,5.88,2.92
200111,2.39,-0.37
200112,2.51,0.44
200201,0.82,-1.10
200202,2.29,0.78
200203,2.40,0.61
200204,3.58,1.19
200205,4.22,1.44
200206,2.70,-0.18
200207,1.86,-1.00
200208,5.19,2.22
200209,0.72,-2.89
200210,3.17,0.21
200211,0.99,-1.77
200212,0.67,-1.40
200301,0.84,-1.08
200302,0.75,-0.76
200303,1.68,-0.11
200304,3.46,1.07
200305,2.84,0.06
200306,2.02,-0.86
200307,3.38,0.52
200308,3.13,0.16
200309,2.54,-1.07
200310,3.51,0.55
200311,4.77,2.01
200312,2.08,0.01
200401,2.12,0.20
200402,1.56,0.05
200403,2.96,1.17
200404,2.81,0.42
200405,6.18,3.40
200406,1.96,-0.92
200407,2.21,-0.65
200408,3.44,0.47
200409,0.87,-2.74
200410,4.83,1.87
200411,2.15,-0.61
200412,3.49,1.42
200501,2.44,0.52
200502,1.21,-0.30
200503,1.04,-0.75
200504,1.20,-1.19
200505,1.99,-0.79
200506,1.37,-1.51
200507,3.06,0.20
200508,3.83,0.86
200509,3.37,-0.24
200510,0.99,-1.97
200511,4.76,2.00
200512,1.64,-0.43
200601,2.82,0.90
200602,1.29,-0.22
200603,1.42,-0.37
200604,2.00,-0.39
200605,4.39,1.61
200606,2.69,-0.19
200607,2.07,-0.79
200608,3.24,0.27
200609,3.16,-0.45
200610,6.37,3.41
200611,1.80,-0.96
200612,2.80,0.73
200701,1.32,-0.60
200702,1.08,-0.43
200703,2.25,0.46
200704,2.36,-0.03
200705,1.60,-1.18
200706,2.46,-0.42
200707,1.54,-1.32
200708,2.59,-0.38
200709,1.88,-1.73
200710,2.93,-0.03
200711,1.76,-1.00
200712,2.17,0.10
200801,3.71,1.79
200802,2.11,0.60
200803,1.13,-0.66
200804,4.47,2.08
200805,2.88,0.10
200806,4.94,2.06
200807,2.68,-0.18
200808,1.18,-1.79
200809,3.00,-0.61
200810,2.29,-0.67
200811,2.23,-0.53
200812,5.39,3.32
200901,1.29,-0.63
200902,2.00,0.49
200903,1.71,-0.08
200904,2.18,-0.21
200905,3.05,0.27
200906,2.88,0.00
200907,2.10,-0.76
200908,4.85,1.88
200909,2.29,-1.32
200910,4.76,1.80
200911,1.41,-1.35
200912,1.97,-0.10
201001,0.90,-1.02
201002,0.60,-0.91
201003,0.52,-1.27
201004,2.68,0.29
201005,2.76,-0.02
201006,5.65,2.77
201007,3.75,0.89
201008,3.20,0.23
201009,5.19,1.58
201010,1.69,-1.27
201011,1.05,-1.71
201012,1.58,-0.49
201101,1.74,-0.18
201102,0.76,-0.75
201103,1.65,-0.14
201104,5.44,3.05
201105,3.25,0.47
201106,3.95,1.07
201107,1.07,-1.79
201108,2.55,-0.42
201109,2.98,-0.63
201110,3.69,0.73
201111,3.56,0.80
201112,1.65,-0.42
201201,2.19,0.27
201202,1.25,-0.26
201203,3.14,1.35
201204,2.48,0.09
201205,4.07,1.29
201206,4.06,1.18
201207,3.00,0.14
201208,1.09,-1.88
201209,3.44,-0.17
201210,5.81,2.85
201211,0.86,-1.90
201212,2.91,0.84
201301,3.19,1.27
201302,2.46,0.95
201303,1.72,-0.07
201304,4.40,2.01
201305,3.03,0.25
201306,1.67,-1.21
201307,2.59,-0.27
201308,3.24,0.27
201309,2.69,-0.92
201310,6.30,3.34
201311,5.85,3.09
201312,1.89,-0.18
201401,2.38,0.46
201402,0.93,-0.58
201403,1.25,-0.54
201404,4.57,2.18
201405,3.50,0.72
201406,2.82,-0.06
201407,2.31,-0.55
201408,2.33,-0.64
201409,5.90,2.29
201410,6.11,3.15
201411,4.08,1.32
201412,1.29,-0.78
201501,1.09,-0.83
201502,0.60,-0.91
201503,0.68,-1.11
201504,1.77,-0.62
201505,4.19,1.41
201506,2.17,-0.71
201507,1.42,-1.44
201508,2.96,-0.01
201509,4.47,0.86
201510,2.63,-0.33
201511,3.85,1.09
201512,4.31,2.24
201601,2.45,0.53
201602,1.39,-0.12
201603,4.09,2.30
201604,2.07,-0.32
201605,1.71,-1.07
201606,2.21,-0.67
201607,2.65,-0.21
201608,3.48,0.51
201609,3.32,-0.29
201610,3.13,0.17
201611,1.38,-1.38
201612,2.76,0.69
201701,2.58,0.66
201702,1.63,0.12
201703,2.51,0.72
201704,3.43,1.04
201705,2.45,-0.33
201706,4.35,1.47
201707,2.17,-0.69
201708,3.65,0.68
201709,2.05,-1.56
201710,7.80,4.84
201711,2.15,-0.61
201712,2.25,0.18
201801,1.69,-0.23
201802,1.89,0.38
201803,0.91,-0.88
201804,3.64,1.25
201805,3.97,1.19
201806,1.74,-1.14
201807,2.66,-0.20
201808,4.20,1.23
201809,3.33,-0.28
201810,4.03,1.07
201811,2.29,-0.47
201812,1.87,-0.20
201901,2.50,0.58
201902,2.39,0.88
201903,1.64,-0.15
201904,2.96,0.57
201905,4.21,1.43
201906,4.31,1.43
201907,3.28,0.42
201908,1.43,-1.54
201909,5.68,2.07
201910,4.82,1.86
201911,3.04,0.28
201912,3.59,1.52
202001,2.02,0.10
