Bexar County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.41,-0.20
200002,1.87,-0.06
200003,1.37,-0.43
200004,1.69,-1.18
200005,4.30,0.53
200006,6.04,2.92
200007,0.27,-1.82
200008,0.33,-1.85
200009,1.99,-1.27
200010,6.52,3.49
200011,8.52,6.37
200012,1.77,-0.12
200101,3.28,1.67
200102,0.79,-1.14
200103,3.09,1.29
200104,2.65,-0.22
200105,2.69,-1.08
200106,2.11,-1.01
200107,0.21,-1.88
200108,7.33,5.15
200109,4.70,1.44
200110,2.12,-0.91
200111,4.46,2.31
200112,2.99,1.10
200201,0.48,-1.13
200202,0.47,-1.46
200203,1.27,-0.53
200204,2.90,0.03
200205,1.60,-2.17
200206,2.01,-1.11
200207,10.93,8.84
200208,0.96,-1.22
200209,7.58,4.32
200210,8.45,5.42
200211,2.45,0.30
200212,3.48,1.59
200301,1.29,-0.32
200302,2.63,0.70
200303,1.49,-0.31
200304,0.20,-2.67
200305,0.30,-3.47
200306,4.78,1.66
200307,6.11,4.02
200308,1.48,-0.70
200309,7.05,3.79
200310,2.35,-0.68
200311,0.52,-1.63
200312,0.20,-1.69
200401,2.41,0.80
200402,2.08,0.15
200403,2.61,0.81
200404,6.57,3.70
200405,2.18,-1.59
200406,9.50,6.38
200407,1.42,-0.67
200408,2.91,0.73
200409,1.81,-1.45
200410,6.37,3.34
200411,9.54,7.39
200412,0.12,-1.77
200501,2.23,0.62
200502,2.99,1.06
200503,2.60,0.80
200504,0.31,-2.56
200505,3.75,-0.02
200506,0.98,-2.14
200507,2.42,0.33
200508,1.47,-0.71
200509,1.24,-2.02
200510,1.61,-1.42
200511,0.47,-1.68
200512,0.29,-1.60
200601,0.54,-1.07
200602,0.53,-1.40
200603,1.51,-0.29
200604,1.35,-1.52
200605,2.75,-1.02
200606,1.23,-1.89
200607,1.76,-0.33
200608,0.28,-1.90
200609,4.04,0.78
200610,2.38,-0.65
200611,0.62,-1.53
200612,2.79,0.90
200701,4.88,3.27
200702,0.08,-1.85
200703,7.92,6.12
200704,3.25,0.38
200705,5.33,1.56
200706,6.48,3.36
200707,11.44,9.35
200708,7.42,5.24
200709,2.00,-1.26
200710,0.62,-2.41
200711,0.57,-1.58
200712,0.37,-1.52
200801,0.47,-1.14
200802,0.20,-1.73
200803,1.63,-0.17
200804,1.28,-1.59
200805,0.78,-2.99
200806,0.12,-3.00
200807,3.67,1.58
200808,4.08,1.90
200809,0.33,-2.93
200810,0.68,-2.35
200811,0.05,-2.10
200812,0.27,-1.62
200901,0.33,-1.28
200902,0.43,-1.50
200903,2.19,0.39
200904,2.20,-0.67
200905,2.01,-1.76
200906,0.37,-2.75
200907,1.14,-0.95
200908,1.05,-1.13
200909,5.69,2.43
200910,8.22,5.19
200911,2.65,0.50
200912,2.21,0.32
201001,4.21,2.60
201002,4.12,2.19
201003,2.30,0.50
201004,3.10,0.23
201005,3.34,-0.43
201006,2.30,-0.82
201007,3.45,1.36
201008,0.16,-2.02
201009,8.56,5.30
201010,0.12,-2.91
201011,0.56,-1.59
201012,0.73,-1.16
201101,2.46,0.85
201102,0.42,-1.51
201103,0.08,-1.72
201104,0.06,-2.81
201105,1.20,-2.57
201106,1.37,-1.75
201107,0.63,-1.46
201108,0.12,-2.06
201109,1.89,-1.37
201110,2.93,-0.10
201111,1.60,-0.55
201112,2.92,1.03
201201,3.24,1.63
201202,3.40,1.47
201203,3.32,1.52
201204,0.11,-2.76
201205,6.47,2.70
201206,0.36,-2.76
201207,3.05,0.96
201208,1.96,-0.22
201209,6.29,3.03
201210,1.67,-1.36
201211,0.29,-1.86
201212,0.27,-1.62
201301,2.98,1.37
201302,0.31,-1.62
201303,0.56,-1.24
201304,3.13,0.26
201305,4.21,0.44
201306,2.52,-0.60
201307,1.79,-0.30
201308,0.53,-1.65
201309,4.66,1.40
201310,3.37,0.34
201311,1.33,-0.82
201312,0.68,-1.21
201401,0.17,-1.44
201402,0.48,-1.45
201403,1.21,-0.59
201404,0.61,-2.26
201405,6.27,2.50
201406,2.96,-0.16
201407,2.31,0.22
201408,0.50,-1.68
201409,2.36,-0.90
201410,1.52,-1.51
201411,5.46,3.31
201412,1.03,-0.86
201501,2.98,1.37
201502,0.54,-1.39
201503,3.11,1.31
201504,5.82,2.95
201505,10.38,6.61
201506,3.89,0.77
201507,0.11,-1.98
201508,0.48,-1.70
201509,1.22,-2.04
201510,7.12,4.09
201511,2.91,0.76
201512,1.45,-0.44
201601,1.48,-0.13
201602,1.67,-0.26
201603,3.03,1.23
201604,4.05,1.18
201605,7.99,4.22
201606,3.20,0.08
201607,2.12,0.03
201608,8.16,5.98
201609,5.17,1.91
201610,0.22,-2.81
201611,2.07,-0.08
201612,6.01,4.12
201701,2.05,0.44
201702,3.46,1.53
201703,2.30,0.50
201704,2.15,-0.72
201705,2.49,-1.28
201706,1.37,-1.75
201707,0.31,-1.78
201708,5.92,3.74
201709,3.31,0.05
201710,0.50,-2.53
201711,0.44,-1.71
201712,3.47,1.58
201801,0.34,-1.27
201802,1.97,0.04
201803,3.67,1.87
201804,0.93,-1.94
201805,1.86,-1.91
201806,0.59,-2.53
201807,3.31,1.22
201808,1.20,-0.98
201809,11.25,7.99
201810,5.52,2.49
201811,1.58,-0.57
201812,2.63,0.74
201901,1.67,0.06
201902,0.47,-1.46
201903,0.24,-1.56
201904,3.29,0.42
201905,3.46,-0.31
201906,6.57,3.45
201907,0.39,-1.70
201908,0.23,-1.95
201909,1.18,-2.08
201910,3.43,0.40
201911,0.76,-1.39
201912,0.46,-1.43
202001,1.80,0.19
