Beaufort County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.46,0.20
200002,1.80,-1.57
200003,4.42,0.63
200004,3.38,0.58
200005,0.72,-2.86
200006,3.39,-1.90
200007,4.71,-1.74
200008,4.40,-1.97
200009,7.70,2.54
200010,0.02,-2.91
200011,2.65,0.53
200012,2.69,-0.29
200101,1.58,-1.68
200102,1.54,-1.83
200103,5.43,1.64
200104,0.77,-2.03
200105,1.07,-2.51
200106,4.31,-0.98
200107,6.47,0.02
200108,6.10,-0.27
200109,5.17,0.01
200110,0.60,-2.33
200111,0.14,-1.98
200112,0.94,-2.04
200201,2.51,-0.75
200202,2.01,-1.36
200203,4.17,0.38
200204,0.74,-2.06
200205,1.85,-1.73
200206,8.69,3.40
200207,4.14,-2.31
200208,7.76,1.39
200209,5.85,0.69
200210,5.70,2.77
200211,5.36,3.24
200212,3.60,0.62
200301,0.60,-2.66
200302,3.38,0.01
200303,5.68,1.89
200304,4.32,1.52
200305,6.89,3.31
200306,6.24,0.95
200307,8.30,1.85
200308,4.66,-1.71
200309,3.46,-1.70
200310,3.54,0.61
200311,0.84,-1.28
200312,1.70,-1.28
200401,1.83,-1.43
200402,3.96,0.59
200403,0.27,-3.52
200404,2.43,-0.37
200405,3.26,-0.32
200406,6.25,0.96
200407,4.54,-1.91
200408,6.48,0.11
200409,5.69,0.53
200410,1.92,-1.01
200411,1.23,-0.89
200412,1.91,-1.07
200501,2.17,-1.09
200502,3.61,0.24
200503,6.31,2.52
200504,2.48,-0.32
200505,6.13,2.55
200506,8.58,3.29
200507,4.18,-2.27
200508,7.66,1.29
200509,0.34,-4.82
200510,5.11,2.18
200511,3.42,1.30
200512,4.04,1.06
200601,3.13,-0.13
200602,4.35,0.98
200603,0.98,-2.81
200604,3.52,0.72
200605,1.45,-2.13
200606,4.16,-1.13
200607,2.58,-3.87
200608,3.60,-2.77
200609,5.62,0.46
200610,1.70,-1.23
200611,3.64,1.52
200612,3.24,0.26
200701,2.93,-0.33
200702,1.97,-1.40
200703,1.31,-2.48
200704,0.81,-1.99
200705,1.00,-2.58
200706,5.99,0.70
200707,5.36,-1.09
200708,5.99,-0.38
200709,7.58,2.42
200710,3.61,0.68
200711,0.08,-2.04
200712,4.32,1.34
200801,2.74,-0.52
200802,4.11,0.74
200803,2.46,-1.33
200804,2.64,-0.16
200805,1.85,-1.73
200806,3.28,-2.01
200807,5.54,-0.91
200808,10.10,3.73
200809,2.82,-2.34
200810,8.11,5.18
200811,3.22,1.10
200812,0.40,-2.58
200901,1.12,-2.14
200902,1.87,-1.50
200903,5.37,1.58
200904,6.72,3.92
200905,4.30,0.72
200906,3.80,-1.49
200907,4.27,-2.18
200908,4.21,-2.16
200909,3.87,-1.29
200910,3.90,0.97
200911,2.23,0.11
200912,10.23,7.25
201001,5.90,2.64
201002,2.97,-0.40
201003,2.84,-0.95
201004,1.32,-1.48
201005,4.28,0.70
201006,2.33,-2.96
201007,2.79,-3.66
201008,8.54,2.17
201009,4.56,-0.60
201010,1.07,-1.86
201011,0.50,-1.62
201012,1.67,-1.31
201101,2.04,-1.22
201102,3.31,-0.06
201103,4.07,0.28
201104,1.32,-1.48
201105,0.64,-2.94
201106,2.62,-2.67
201107,7.02,0.57
201108,3.61,-2.76
201109,4.43,-0.73
201110,2.14,-0.79
201111,1.84,-0.28
201112,1.16,-1.82
201201,1.09,-2.17
201202,2.47,-0.90
201203,5.03,1.24
201204,1.31,-1.49
201205,6.88,3.30
201206,4.03,-1.26
201207,5.69,-0.76
201208,7.42,1.05
201209,1.66,-3.50
201210,2.17,-0.76
201211,0.88,-1.24
201212,3.15,0.17
201301,0.68,-2.58
201302,10.13,6.76
201303,3.12,-0.67
201304,4.35,1.55
201305,2.35,-1.23
201306,6.68,1.39
201307,8.94,2.49
201308,6.27,-0.10
201309,1.36,-3.80
201310,0.52,-2.41
201311,2.67,0.55
201312,2.84,-0.14
201401,2.82,-0.44
201402,2.92,-0.45
201403,3.12,-0.67
201404,5.12,2.32
201405,3.05,-0.53
201406,3.28,-2.01
201407,8.77,2.32
201408,6.33,-0.04
201409,6.45,1.29
201410,1.62,-1.31
201411,5.20,3.08
201412,3.97,0.99
201501,3.98,0.72
201502,4.27,0.90
201503,2.95,-0.84
201504,4.89,2.09
201505,1.19,-2.39
201506,6.07,0.78
201507,4.38,-2.07
201508,9.25,2.88
201509,3.64,-1.52
201510,7.44,4.51
201511,5.16,3.04
201512,3.33,0.35
201601,3.01,-0.25
201602,3.80,0.43
201603,4.04,0.25
201604,1.75,-1.05
201605,7.83,4.25
201606,4.83,-0.46
201607,3.16,-3.29
201608,3.63,-2.74
201609,8.27,3.11
201610,13.35,10.42
201611,0.15,-1.97
201612,4.75,1.77
201701,5.81,2.55
201702,1.34,-2.03
201703,0.84,-2.95
201704,3.82,1.02
201705,6.98,3.40
201706,4.23,-1.06
201707,7.73,1.28
201708,6.92,0.55
201709,7.61,2.45
201710,1.80,-1.13
201711,1.63,-0.49
201712,2.76,-0.22
201801,2.28,-0.98
201802,1.52,-1.85
201803,2.25,-1.54
201804,3.74,0.94
201805,4.98,1.40
201806,2.67,-2.62
201807,9.86,3.41
201808,5.07,-1.30
201809,1.89,-3.27
201810,4.77,1.84
201811,4.17,2.05
201812,7.27,4.29
201901,2.93,-0.33
201902,0.99,-2.38
201903,1.35,-2.44
201904,2.78,-0.02
201905,1.68,-1.90
201906,10.90,5.61
201907,4.74,-1.71
201908,6.09,-0.28
201909,1.73,-3.43
201910,5.16,2.23
201911,3.82,1.70
201912,6.03,3.05
202001,1.91,-1.35
