Sebastian County, Arkansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.00,-0.94
200002,1.69,-1.29
200003,2.90,-0.96
200004,2.69,-2.01
200005,4.47,-1.22
200006,9.64,5.43
200007,1.59,-1.83
200008,0.12,-3.14
200009,3.05,-0.74
200010,3.77,0.23
200011,8.11,4.39
200012,2.52,-0.75
200101,2.97,0.03
200102,7.48,4.50
200103,1.91,-1.95
200104,2.10,-2.60
200105,7.97,2.28
200106,2.44,-1.77
200107,0.70,-2.72
200108,2.73,-0.53
200109,4.39,0.60
200110,4.50,0.96
200111,2.70,-1.02
200112,6.86,3.59
200201,4.23,1.29
200202,3.16,0.18
200203,9.62,5.76
200204,6.86,2.16
200205,6.59,0.90
200206,2.17,-2.04
200207,3.27,-0.15
200208,4.42,1.16
200209,1.46,-2.33
200210,2.57,-0.97
200211,1.68,-2.04
200212,5.62,2.35
200301,0.36,-2.58
200302,3.63,0.65
200303,2.12,-1.74
200304,2.13,-2.57
200305,3.18,-2.51
200306,5.26,1.05
200307,1.33,-2.09
200308,3.27,0.01
200309,3.62,-0.17
200310,1.72,-1.82
200311,5.00,1.28
200312,2.09,-1.18
200401,2.93,-0.01
200402,1.79,-1.19
200403,4.49,0.63
200404,7.01,2.31
200405,2.66,-3.03
200406,7.24,3.03
200407,7.57,4.15
200408,1.18,-2.08
200409,0.48,-3.31
200410,6.30,2.76
200411,8.68,4.96
200412,1.57,-1.70
200501,5.29,2.35
200502,1.95,-1.03
200503,2.39,-1.47
200504,3.15,-1.55
200505,2.98,-2.71
200506,3.06,-1.15
200507,1.74,-1.68
200508,2.76,-0.50
200509,6.32,2.53
200510,0.45,-3.09
200511,2.21,-1.51
200512,0.57,-2.70
200601,3.21,0.27
200602,0.62,-2.36
200603,5.82,1.96
200604,5.04,0.34
200605,3.68,-2.01
200606,3.96,-0.25
200607,1.76,-1.66
200608,3.82,0.56
200609,3.83,0.04
200610,5.60,2.06
200611,7.99,4.27
200612,5.03,1.76
200701,5.56,2.62
200702,2.48,-0.50
200703,0.61,-3.25
200704,4.32,-0.38
200705,3.66,-2.03
200706,4.31,0.10
200707,6.17,2.75
200708,1.85,-1.41
200709,5.68,1.89
200710,6.61,3.07
200711,0.66,-3.06
200712,4.87,1.60
200801,0.86,-2.08
200802,4.08,1.10
200803,12.20,8.34
200804,6.92,2.22
200805,5.30,-0.39
200806,6.88,2.67
200807,1.57,-1.85
200808,8.78,5.52
200809,8.21,4.42
200810,2.95,-0.59
200811,2.34,-1.38
200812,2.14,-1.13
200901,2.80,-0.14
200902,1.92,-1.06
200903,3.96,0.10
200904,4.83,0.13
200905,9.45,3.76
200906,2.96,-1.25
200907,4.79,1.37
200908,4.72,1.46
200909,7.97,4.18
200910,10.84,7.30
200911,1.60,-2.12
200912,3.42,0.15
201001,2.97,0.03
201002,1.61,-1.37
201003,2.36,-1.50
201004,2.11,-2.59
201005,4.96,-0.73
201006,3.50,-0.71
201007,3.34,-0.08
201008,1.88,-1.38
201009,5.05,1.26
201010,1.93,-1.61
201011,2.37,-1.35
201012,2.03,-1.24
201101,0.53,-2.41
201102,2.83,-0.15
201103,0.92,-2.94
201104,9.39,4.69
201105,9.82,4.13
201106,0.93,-3.28
201107,0.72,-2.70
201108,4.11,0.85
201109,3.16,-0.63
201110,3.90,0.36
201111,8.68,4.96
201112,4.38,1.11
201201,4.42,1.48
201202,1.96,-1.02
201203,7.74,3.88
201204,2.51,-2.19
201205,1.41,-4.28
201206,1.72,-2.49
201207,4.36,0.94
201208,2.67,-0.59
201209,4.43,0.64
201210,2.88,-0.66
201211,0.64,-3.08
201212,2.94,-0.33
201301,4.23,1.29
201302,3.99,1.01
201303,4.70,0.84
201304,4.40,-0.30
201305,6.58,0.89
201306,5.36,1.15
201307,5.88,2.46
201308,4.17,0.91
201309,2.10,-1.69
201310,5.15,1.61
201311,3.10,-0.62
201312,4.74,1.47
201401,1.23,-1.71
201402,1.13,-1.85
201403,4.63,0.77
201404,3.78,-0.92
201405,6.99,1.30
201406,4.91,0.70
201407,5.31,1.89
201408,2.74,-0.52
201409,6.90,3.11
201410,6.54,3.00
201411,1.48,-2.24
201412,3.28,0.01
201501,2.91,-0.03
201502,2.16,-0.82
201503,6.55,2.69
201504,5.12,0.42
201505,19.23,13.54
201506,4.16,-0.05
201507,7.23,3.81
201508,4.07,0.81
201509,2.73,-1.06
201510,2.70,-0.84
201511,11.45,7.73
201512,12.19,8.92
201601,0.80,-2.14
201602,2.06,-0.92
201603,6.32,2.46
201604,6.71,2.01
201605,4.17,-1.52
201606,1.93,-2.28
201607,6.23,2.81
201608,5.36,2.10
201609,2.55,-1.24
201610,0.97,-2.57
201611,3.02,-0.70
201612,1.40,-1.87
201701,2.28,-0.66
201702,2.29,-0.69
201703,4.88,1.02
201704,7.05,2.35
201705,6.10,0.41
201706,5.24,1.03
201707,5.89,2.47
201708,7.60,4.34
201709,0.06,-3.73
201710,3.59,0.05
201711,0.54,-3.18
201712,3.24,-0.03
201801,2.43,-0.51
201802,9.84,6.86
201803,3.82,-0.04
201804,4.13,-0.57
201805,3.59,-2.10
201806,3.98,-0.23
201807,3.92,0.50
201808,11.49,8.23
201809,7.32,3.53
201810,6.22,2.68
201811,2.80,-0.92
201812,6.58,3.31
201901,3.75,0.81
201902,6.26,3.28
201903,3.43,-0.43
201904,7.68,2.98
201905,10.12,4.43
201906,9.73,5.52
201907,3.36,-0.06
201908,8.73,5.47
201909,2.80,-0.99
201910,8.27,4.73
201911,4.82,1.10
201912,1.76,-1.51
202001,6.39,3.45
