Deschutes County, Oregon, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.37,0.80
200002,3.41,0.74
200003,1.96,-0.29
200004,1.25,-0.34
200005,1.20,-0.51
200006,0.46,-0.90
200007,0.41,-0.15
200008,0.01,-0.52
200009,0.51,-0.43
200010,2.06,0.34
200011,1.08,-2.23
200012,2.16,-1.23
200101,0.70,-2.87
200102,1.58,-1.09
200103,1.96,-0.29
200104,1.74,0.15
200105,0.76,-0.95
200106,1.04,-0.32
200107,1.06,0.50
200108,0.23,-0.30
200109,0.87,-0.07
200110,1.60,-0.12
200111,3.99,0.68
200112,4.61,1.22
200201,3.64,0.07
200202,1.14,-1.53
200203,2.08,-0.17
200204,1.34,-0.25
200205,0.44,-1.27
200206,0.50,-0.86
200207,0.08,-0.48
200208,0.27,-0.26
200209,0.33,-0.61
200210,0.34,-1.38
200211,1.15,-2.16
200212,3.96,0.57
200301,3.15,-0.42
200302,1.10,-1.57
200303,3.26,1.01
200304,1.86,0.27
200305,1.69,-0.02
200306,0.07,-1.29
200307,0.07,-0.49
200308,0.34,-0.19
200309,1.15,0.21
200310,0.86,-0.86
200311,2.77,-0.54
200312,5.09,1.70
200401,4.19,0.62
200402,2.66,-0.01
200403,1.06,-1.19
200404,1.38,-0.21
200405,2.52,0.81
200406,1.17,-0.19
200407,0.18,-0.38
200408,1.76,1.23
200409,0.53,-0.41
200410,1.84,0.12
200411,0.77,-2.54
200412,4.35,0.96
200501,1.14,-2.43
200502,0.79,-1.88
200503,2.36,0.11
200504,2.31,0.72
200505,4.25,2.54
200506,0.84,-0.52
200507,0.15,-0.41
200508,0.08,-0.45
200509,0.54,-0.40
200510,1.42,-0.30
200511,4.35,1.04
200512,6.65,3.26
200601,6.30,2.73
200602,2.17,-0.50
200603,2.40,0.15
200604,1.75,0.16
200605,1.27,-0.44
200606,2.03,0.67
200607,0.23,-0.33
200608,0.28,-0.25
200609,0.35,-0.59
200610,0.80,-0.92
200611,5.09,1.78
200612,4.33,0.94
200701,2.10,-1.47
200702,2.72,0.05
200703,1.09,-1.16
200704,1.40,-0.19
200705,0.63,-1.08
200706,0.94,-0.42
200707,0.47,-0.09
200708,0.53,0.00
200709,0.56,-0.38
200710,3.40,1.68
200711,3.24,-0.07
200712,3.80,0.41
200801,4.36,0.79
200802,1.69,-0.98
200803,1.94,-0.31
200804,0.91,-0.68
200805,1.91,0.20
200806,0.60,-0.76
200807,0.05,-0.51
200808,0.61,0.08
200809,0.21,-0.73
200810,0.90,-0.82
200811,2.31,-1.00
200812,4.11,0.72
200901,1.97,-1.60
200902,1.86,-0.81
200903,2.86,0.61
200904,1.33,-0.26
200905,2.05,0.34
200906,2.19,0.83
200907,0.08,-0.48
200908,0.63,0.10
200909,0.14,-0.80
200910,2.29,0.57
200911,2.02,-1.29
200912,2.45,-0.94
201001,2.66,-0.91
201002,1.19,-1.48
201003,2.16,-0.09
201004,2.57,0.98
201005,1.63,-0.08
201006,1.99,0.63
201007,0.37,-0.19
201008,0.39,-0.14
201009,1.62,0.68
201010,3.01,1.29
201011,2.80,-0.51
201012,5.38,1.99
201101,2.36,-1.21
201102,2.51,-0.16
201103,3.95,1.70
201104,2.09,0.50
201105,2.35,0.64
201106,1.15,-0.21
201107,0.80,0.24
201108,0.14,-0.39
201109,0.03,-0.91
201110,0.90,-0.82
201111,1.70,-1.61
201112,2.12,-1.27
201201,5.00,1.43
201202,2.09,-0.58
201203,5.63,3.38
201204,2.14,0.55
201205,1.72,0.01
201206,2.14,0.78
201207,0.36,-0.20
201208,0.07,-0.46
201209,0.08,-0.86
201210,2.23,0.51
201211,3.36,0.05
201212,5.67,2.28
201301,1.27,-2.30
201302,0.70,-1.97
201303,1.51,-0.74
201304,1.45,-0.14
201305,1.89,0.18
201306,1.39,0.03
201307,0.13,-0.43
201308,1.12,0.59
201309,3.31,2.37
201310,0.81,-0.91
201311,1.67,-1.64
201312,1.98,-1.41
201401,1.87,-1.70
201402,5.81,3.14
201403,4.08,1.83
201404,1.73,0.14
201405,1.43,-0.28
201406,0.74,-0.62
201407,0.67,0.11
201408,0.79,0.26
201409,0.88,-0.06
201410,2.38,0.66
201411,4.07,0.76
201412,4.89,1.50
201501,0.98,-2.59
201502,2.25,-0.42
201503,1.82,-0.43
201504,0.67,-0.92
201505,2.30,0.59
201506,0.32,-1.04
201507,0.64,0.08
201508,0.18,-0.35
201509,0.66,-0.28
201510,1.02,-0.70
201511,2.40,-0.91
201512,6.95,3.56
201601,3.31,-0.26
201602,1.12,-1.55
201603,3.16,0.91
201604,0.97,-0.62
201605,1.27,-0.44
201606,0.92,-0.44
201607,0.40,-0.16
201608,0.02,-0.51
201609,0.21,-0.73
201610,5.04,3.32
201611,1.79,-1.52
201612,4.24,0.85
201701,3.79,0.22
201702,3.91,1.24
201703,3.61,1.36
201704,2.20,0.61
201705,0.72,-0.99
201706,0.62,-0.74
201707,0.03,-0.53
201708,0.10,-0.43
201709,1.16,0.22
201710,1.95,0.23
201711,2.60,-0.71
201712,0.86,-2.53
201801,2.04,-1.53
201802,1.59,-1.08
201803,1.77,-0.48
201804,1.64,0.05
201805,1.18,-0.53
201806,0.73,-0.63
201807,0.02,-0.54
201808,0.07,-0.46
201809,0.06,-0.88
201810,1.05,-0.67
201811,1.71,-1.60
201812,2.99,-0.40
201901,2.62,-0.95
201902,4.39,1.72
201903,1.59,-0.66
201904,3.93,2.34
201905,2.03,0.32
201906,0.46,-0.90
201907,0.27,-0.29
201908,0.98,0.45
201909,2.47,1.53
201910,0.99,-0.73
201911,0.76,-2.55
201912,2.00,-1.39
202001,4.71,1.14
