Harrison County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.64,-2.42
200002,1.26,-3.59
200003,3.95,-2.02
200004,2.51,-2.38
200005,0.58,-4.58
200006,4.64,-0.42
200007,2.98,-4.20
200008,3.47,-2.79
200009,6.84,1.11
200010,1.11,-2.12
200011,10.61,6.72
200012,3.33,-1.86
200101,4.08,-0.98
200102,1.53,-3.32
200103,10.07,4.10
200104,1.04,-3.85
200105,1.62,-3.54
200106,14.21,9.15
200107,8.02,0.84
200108,6.94,0.68
200109,7.67,1.94
200110,4.04,0.81
200111,2.16,-1.73
200112,2.92,-2.27
200201,4.47,-0.59
200202,2.81,-2.04
200203,6.54,0.57
200204,3.19,-1.70
200205,3.34,-1.82
200206,5.80,0.74
200207,6.61,-0.57
200208,5.56,-0.70
200209,14.93,9.20
200210,9.19,5.96
200211,5.32,1.43
200212,7.48,2.29
200301,0.15,-4.91
200302,6.48,1.63
200303,4.61,-1.36
200304,3.59,-1.30
200305,4.18,-0.98
200306,16.79,11.73
200307,8.94,1.76
200308,6.43,0.17
200309,4.44,-1.29
200310,3.07,-0.16
200311,3.74,-0.15
200312,3.36,-1.83
200401,3.57,-1.49
200402,8.00,3.15
200403,0.73,-5.24
200404,6.17,1.28
200405,7.95,2.79
200406,10.57,5.51
200407,3.19,-3.99
200408,5.74,-0.52
200409,2.29,-3.44
200410,4.02,0.79
200411,7.95,4.06
200412,2.96,-2.23
200501,1.97,-3.09
200502,6.70,1.85
200503,4.85,-1.12
200504,13.59,8.70
200505,6.44,1.28
200506,6.15,1.09
200507,11.78,4.60
200508,7.89,1.63
200509,1.23,-4.50
200510,0.10,-3.13
200511,2.53,-1.36
200512,4.32,-0.87
200601,3.07,-1.99
200602,3.41,-1.44
200603,0.32,-5.65
200604,4.57,-0.32
200605,1.20,-3.96
200606,2.10,-2.96
200607,6.25,-0.93
200608,5.76,-0.50
200609,4.68,-1.05
200610,5.32,2.09
200611,6.14,2.25
200612,7.83,2.64
200701,4.53,-0.53
200702,2.51,-2.34
200703,1.50,-4.47
200704,4.91,0.02
200705,4.10,-1.06
200706,3.27,-1.79
200707,8.14,0.96
200708,3.93,-2.33
200709,3.17,-2.56
200710,7.70,4.47
200711,2.22,-1.67
200712,5.62,0.43
200801,8.07,3.01
200802,4.92,0.07
200803,3.50,-2.47
200804,5.93,1.04
200805,4.15,-1.01
200806,4.62,-0.44
200807,3.79,-3.39
200808,8.78,2.52
200809,6.07,0.34
200810,1.19,-2.04
200811,1.81,-2.08
200812,2.72,-2.47
200901,2.04,-3.02
200902,2.65,-2.20
200903,11.08,5.11
200904,2.56,-2.33
200905,5.39,0.23
200906,1.09,-3.97
200907,7.55,0.37
200908,5.41,-0.85
200909,8.32,2.59
200910,6.33,3.10
200911,3.00,-0.89
200912,17.27,12.08
201001,4.68,-0.38
201002,6.52,1.67
201003,4.85,-1.12
201004,1.56,-3.33
201005,8.93,3.77
201006,9.74,4.68
201007,4.97,-2.21
201008,11.15,4.89
201009,2.18,-3.55
201010,1.40,-1.83
201011,3.76,-0.13
201012,1.53,-3.66
201101,4.23,-0.83
201102,2.89,-1.96
201103,4.79,-1.18
201104,0.79,-4.10
201105,0.86,-4.30
201106,2.53,-2.53
201107,12.21,5.03
201108,1.77,-4.49
201109,13.13,7.40
201110,0.20,-3.03
201111,2.28,-1.61
201112,1.49,-3.70
201201,2.51,-2.55
201202,5.46,0.61
201203,8.96,2.99
201204,4.80,-0.09
201205,3.43,-1.73
201206,6.61,1.55
201207,9.31,2.13
201208,15.57,9.31
201209,5.55,-0.18
201210,1.63,-1.60
201211,1.45,-2.44
201212,3.11,-2.08
201301,4.00,-1.06
201302,11.08,6.23
201303,0.64,-5.33
201304,9.11,4.22
201305,6.63,1.47
201306,4.06,-1.00
201307,9.21,2.03
201308,7.67,1.41
201309,2.86,-2.87
201310,2.01,-1.22
201311,3.20,-0.69
201312,6.97,1.78
201401,2.91,-2.15
201402,7.88,3.03
201403,7.19,1.22
201404,10.71,5.82
201405,10.04,4.88
201406,6.02,0.96
201407,3.98,-3.20
201408,3.49,-2.77
201409,2.62,-3.11
201410,2.28,-0.95
201411,1.98,-1.91
201412,5.77,0.58
201501,6.10,1.04
201502,1.99,-2.86
201503,7.71,1.74
201504,11.74,6.85
201505,6.16,1.00
201506,5.58,0.52
201507,6.04,-1.14
201508,3.63,-2.63
201509,4.10,-1.63
201510,3.32,0.09
201511,5.07,1.18
201512,11.59,6.40
201601,4.86,-0.20
201602,3.95,-0.90
201603,7.74,1.77
201604,10.50,5.61
201605,5.66,0.50
201606,7.05,1.99
201607,5.94,-1.24
201608,8.50,2.24
201609,6.09,0.36
201610,0.21,-3.02
201611,2.65,-1.24
201612,7.22,2.03
201701,11.44,6.38
201702,2.88,-1.97
201703,2.75,-3.22
201704,4.35,-0.54
201705,8.87,3.71
201706,19.68,14.62
201707,6.86,-0.32
201708,12.17,5.91
201709,1.70,-4.03
201710,8.50,5.27
201711,0.53,-3.36
201712,5.07,-0.12
201801,4.95,-0.11
201802,7.28,2.43
201803,4.65,-1.32
201804,7.77,2.88
201805,3.74,-1.42
201806,4.38,-0.68
201807,9.62,2.44
201808,8.08,1.82
201809,9.01,3.28
201810,2.71,-0.52
201811,6.52,2.63
201812,8.18,2.99
201901,5.12,0.06
201902,3.68,-1.17
201903,1.95,-4.02
201904,6.38,1.49
201905,4.64,-0.52
201906,4.53,-0.53
201907,7.50,0.32
201908,8.54,2.28
201909,0.59,-5.14
201910,9.73,6.50
201911,1.05,-2.84
201912,2.70,-2.49
202001,5.98,0.92
