Lee County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.52,1.91
200002,2.02,-1.62
200003,2.35,-1.60
200004,3.74,0.39
200005,1.54,-2.34
200006,3.08,-1.15
200007,6.26,0.73
200008,4.55,-0.38
200009,7.00,2.96
200010,0.06,-2.97
200011,2.80,-0.02
200012,1.19,-2.16
200101,1.35,-2.26
200102,2.23,-1.41
200103,5.66,1.71
200104,1.80,-1.55
200105,2.23,-1.65
200106,5.88,1.65
200107,5.16,-0.37
200108,5.10,0.17
200109,2.04,-2.00
200110,1.67,-1.36
200111,0.78,-2.04
200112,1.83,-1.52
200201,4.85,1.24
200202,1.22,-2.42
200203,2.07,-1.88
200204,2.14,-1.21
200205,1.67,-2.21
200206,5.02,0.79
200207,2.47,-3.06
200208,4.38,-0.55
200209,3.49,-0.55
200210,5.86,2.83
200211,3.79,0.97
200212,4.66,1.31
200301,1.46,-2.15
200302,5.36,1.72
200303,6.99,3.04
200304,6.23,2.88
200305,4.89,1.01
200306,4.74,0.51
200307,6.36,0.83
200308,10.34,5.41
200309,4.71,0.67
200310,3.14,0.11
200311,1.58,-1.24
200312,3.18,-0.17
200401,1.22,-2.39
200402,4.09,0.45
200403,1.82,-2.13
200404,1.99,-1.36
200405,5.11,1.23
200406,3.91,-0.32
200407,3.55,-1.98
200408,10.91,5.98
200409,4.85,0.81
200410,1.22,-1.81
200411,2.39,-0.43
200412,1.34,-2.01
200501,2.78,-0.83
200502,2.83,-0.81
200503,3.88,-0.07
200504,3.17,-0.18
200505,1.71,-2.17
200506,2.85,-1.38
200507,7.66,2.13
200508,3.26,-1.67
200509,1.43,-2.61
200510,3.27,0.24
200511,3.95,1.13
200512,4.88,1.53
200601,2.28,-1.33
200602,1.58,-2.06
200603,1.07,-2.88
200604,3.65,0.30
200605,3.07,-0.81
200606,9.85,5.62
200607,3.95,-1.58
200608,4.04,-0.89
200609,3.42,-0.62
200610,3.08,0.05
200611,8.19,5.37
200612,3.56,0.21
200701,3.62,0.01
200702,2.33,-1.31
200703,2.90,-1.05
200704,3.96,0.61
200705,1.32,-2.56
200706,5.45,1.22
200707,3.10,-2.43
200708,0.72,-4.21
200709,1.96,-2.08
200710,6.85,3.82
200711,0.64,-2.18
200712,3.91,0.56
200801,1.28,-2.33
200802,2.96,-0.68
200803,4.58,0.63
200804,4.67,1.32
200805,2.78,-1.10
200806,2.13,-2.10
200807,4.62,-0.91
200808,4.86,-0.07
200809,9.16,5.12
200810,1.23,-1.80
200811,3.02,0.20
200812,2.68,-0.67
200901,2.31,-1.30
200902,1.91,-1.73
200903,5.84,1.89
200904,1.38,-1.97
200905,3.59,-0.29
200906,2.28,-1.95
200907,5.13,-0.40
200908,4.21,-0.72
200909,3.50,-0.54
200910,1.88,-1.15
200911,6.25,3.43
200912,6.43,3.08
201001,3.17,-0.44
201002,3.89,0.25
201003,3.19,-0.76
201004,1.23,-2.12
201005,3.26,-0.62
201006,3.35,-0.88
201007,5.61,0.08
201008,3.49,-1.44
201009,5.48,1.44
201010,0.80,-2.23
201011,1.32,-1.50
201012,1.85,-1.50
201101,1.01,-2.60
201102,1.80,-1.84
201103,3.53,-0.42
201104,2.53,-0.82
201105,4.15,0.27
201106,2.85,-1.38
201107,5.61,0.08
201108,3.84,-1.09
201109,3.37,-0.67
201110,2.55,-0.48
201111,3.56,0.74
201112,1.49,-1.86
201201,2.42,-1.19
201202,1.91,-1.73
201203,3.45,-0.50
201204,2.02,-1.33
201205,4.94,1.06
201206,2.83,-1.40
201207,4.68,-0.85
201208,3.49,-1.44
201209,3.54,-0.50
201210,1.48,-1.55
201211,0.61,-2.21
201212,3.06,-0.29
201301,2.63,-0.98
201302,3.66,0.02
201303,1.70,-2.25
201304,5.19,1.84
201305,3.92,0.04
201306,10.03,5.80
201307,8.75,3.22
201308,3.60,-1.33
201309,2.89,-1.15
201310,1.69,-1.34
201311,3.01,0.19
201312,5.43,2.08
201401,2.76,-0.85
201402,2.67,-0.97
201403,4.67,0.72
201404,5.03,1.68
201405,3.62,-0.26
201406,1.88,-2.35
201407,3.62,-1.91
201408,5.20,0.27
201409,4.36,0.32
201410,1.93,-1.10
201411,3.93,1.11
201412,4.48,1.13
201501,4.64,1.03
201502,3.33,-0.31
201503,3.23,-0.72
201504,4.44,1.09
201505,1.47,-2.41
201506,5.61,1.38
201507,3.01,-2.52
201508,3.94,-0.99
201509,2.83,-1.21
201510,6.41,3.38
201511,7.04,4.22
201512,6.29,2.94
201601,1.49,-2.12
201602,3.99,0.35
201603,1.54,-2.41
201604,2.25,-1.10
201605,6.07,2.19
201606,4.39,0.16
201607,4.44,-1.09
201608,4.85,-0.08
201609,8.04,4.00
201610,6.84,3.81
201611,0.49,-2.33
201612,1.56,-1.79
201701,3.24,-0.37
201702,1.04,-2.60
201703,2.43,-1.52
201704,5.51,2.16
201705,4.53,0.65
201706,3.36,-0.87
201707,2.55,-2.98
201708,2.22,-2.71
201709,2.40,-1.64
201710,2.87,-0.16
201711,0.95,-1.87
201712,2.60,-0.75
201801,2.64,-0.97
201802,1.56,-2.08
201803,4.12,0.17
201804,5.88,2.53
201805,4.01,0.13
201806,2.26,-1.97
201807,6.38,0.85
201808,8.18,3.25
201809,12.66,8.62
201810,3.85,0.82
201811,7.07,4.25
201812,6.12,2.77
201901,3.62,0.01
201902,4.42,0.78
201903,2.67,-1.28
201904,5.63,2.28
201905,1.37,-2.51
201906,4.65,0.42
201907,4.58,-0.95
201908,5.45,0.52
201909,1.49,-2.55
201910,3.78,0.75
201911,3.48,0.66
201912,4.48,1.13
202001,4.43,0.82
