Greenbrier County, West Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.56,-1.15
200002,3.11,-0.12
200003,3.17,-1.05
200004,4.49,0.91
200005,4.49,0.44
200006,5.29,1.12
200007,5.44,0.82
200008,5.29,1.18
200009,5.06,1.91
200010,0.27,-2.76
200011,2.22,-0.85
200012,1.86,-1.64
200101,2.63,-1.08
200102,1.96,-1.27
200103,3.50,-0.72
200104,1.32,-2.26
200105,8.49,4.44
200106,3.05,-1.12
200107,9.92,5.30
200108,2.87,-1.24
200109,2.42,-0.73
200110,1.12,-1.91
200111,0.50,-2.57
200112,2.64,-0.86
200201,2.53,-1.18
200202,1.02,-2.21
200203,4.53,0.31
200204,5.60,2.02
200205,4.07,0.02
200206,3.99,-0.18
200207,5.91,1.29
200208,1.83,-2.28
200209,5.09,1.94
200210,5.45,2.42
200211,5.49,2.42
200212,4.14,0.64
200301,2.31,-1.40
200302,7.32,4.09
200303,2.68,-1.54
200304,4.09,0.51
200305,7.56,3.51
200306,7.36,3.19
200307,5.45,0.83
200308,4.79,0.68
200309,6.84,3.69
200310,2.70,-0.33
200311,7.23,4.16
200312,3.33,-0.17
200401,2.89,-0.82
200402,2.99,-0.24
200403,3.12,-1.10
200404,5.40,1.82
200405,5.99,1.94
200406,4.22,0.05
200407,3.61,-1.01
200408,3.60,-0.51
200409,7.99,4.84
200410,2.92,-0.11
200411,4.06,0.99
200412,3.15,-0.35
200501,3.30,-0.41
200502,2.25,-0.98
200503,4.08,-0.14
200504,3.93,0.35
200505,2.46,-1.59
200506,2.83,-1.34
200507,6.09,1.47
200508,4.10,-0.01
200509,0.52,-2.63
200510,3.08,0.05
200511,4.11,1.04
200512,2.70,-0.80
200601,3.10,-0.61
200602,1.43,-1.80
200603,1.60,-2.62
200604,5.14,1.56
200605,1.90,-2.15
200606,7.52,3.35
200607,3.83,-0.79
200608,2.91,-1.20
200609,3.46,0.31
200610,5.87,2.84
200611,2.97,-0.10
200612,1.68,-1.82
200701,3.96,0.25
200702,2.42,-0.81
200703,4.64,0.42
200704,4.85,1.27
200705,2.55,-1.50
200706,4.18,0.01
200707,4.49,-0.13
200708,2.07,-2.04
200709,3.14,-0.01
200710,4.45,1.42
200711,2.46,-0.61
200712,4.07,0.57
200801,3.26,-0.45
200802,2.78,-0.45
200803,4.27,0.05
200804,4.57,0.99
200805,5.03,0.98
200806,3.72,-0.45
200807,4.37,-0.25
200808,3.37,-0.74
200809,1.95,-1.20
200810,0.93,-2.10
200811,3.01,-0.06
200812,4.96,1.46
200901,4.53,0.82
200902,1.40,-1.83
200903,3.44,-0.78
200904,3.93,0.35
200905,7.01,2.96
200906,4.24,0.07
200907,6.08,1.46
200908,3.53,-0.58
200909,4.96,1.81
200910,3.12,0.09
200911,2.98,-0.09
200912,6.11,2.61
201001,4.31,0.60
201002,3.69,0.46
201003,3.33,-0.89
201004,2.14,-1.44
201005,5.29,1.24
201006,3.15,-1.02
201007,4.27,-0.35
201008,3.57,-0.54
201009,2.07,-1.08
201010,2.40,-0.63
201011,2.29,-0.78
201012,3.52,0.02
201101,1.66,-2.05
201102,1.78,-1.45
201103,5.97,1.75
201104,6.38,2.80
201105,5.17,1.12
201106,3.42,-0.75
201107,3.11,-1.51
201108,2.35,-1.76
201109,4.47,1.32
201110,3.28,0.25
201111,3.58,0.51
201112,4.27,0.77
201201,3.17,-0.54
201202,2.49,-0.74
201203,6.01,1.79
201204,4.05,0.47
201205,5.19,1.14
201206,2.91,-1.26
201207,4.03,-0.59
201208,2.69,-1.42
201209,4.93,1.78
201210,3.00,-0.03
201211,0.61,-2.46
201212,3.57,0.07
201301,5.34,1.63
201302,1.34,-1.89
201303,2.82,-1.40
201304,3.46,-0.12
201305,4.74,0.69
201306,6.44,2.27
201307,5.63,1.01
201308,4.59,0.48
201309,3.54,0.39
201310,1.92,-1.11
201311,3.64,0.57
201312,6.51,3.01
201401,2.07,-1.64
201402,3.87,0.64
201403,3.16,-1.06
201404,3.43,-0.15
201405,4.11,0.06
201406,4.15,-0.02
201407,3.47,-1.15
201408,4.12,0.01
201409,2.15,-1.00
201410,4.94,1.91
201411,2.76,-0.31
201412,3.27,-0.23
201501,2.43,-1.28
201502,3.38,0.15
201503,5.20,0.98
201504,7.35,3.77
201505,1.72,-2.33
201506,5.81,1.64
201507,7.84,3.22
201508,3.08,-1.03
201509,4.18,1.03
201510,2.59,-0.44
201511,2.76,-0.31
201512,4.55,1.05
201601,2.88,-0.83
201602,4.06,0.83
201603,2.00,-2.22
201604,2.71,-0.87
201605,6.12,2.07
201606,11.21,7.04
201607,4.99,0.37
201608,3.50,-0.61
201609,2.72,-0.43
201610,3.42,0.39
201611,2.47,-0.60
201612,4.65,1.15
201701,4.63,0.92
201702,1.08,-2.15
201703,3.79,-0.43
201704,4.45,0.87
201705,7.58,3.53
201706,3.96,-0.21
201707,4.20,-0.42
201708,2.94,-1.17
201709,1.67,-1.48
201710,6.62,3.59
201711,1.57,-1.50
201712,1.41,-2.09
201801,2.21,-1.50
201802,6.06,2.83
201803,4.46,0.24
201804,4.81,1.23
201805,7.44,3.39
201806,4.79,0.62
201807,3.39,-1.23
201808,7.75,3.64
201809,8.54,5.39
201810,4.01,0.98
201811,5.15,2.08
201812,4.90,1.40
201901,4.11,0.40
201902,6.19,2.96
201903,3.13,-1.09
201904,4.79,1.21
201905,5.14,1.09
201906,4.52,0.35
201907,4.77,0.15
201908,3.00,-1.11
201909,0.32,-2.83
201910,5.69,2.66
201911,2.55,-0.52
201912,3.81,0.31
202001,3.04,-0.67
