Barber County, Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.67,-0.01
200002,2.34,1.42
200003,8.02,6.27
200004,1.34,-0.96
200005,4.33,0.39
200006,4.73,0.99
200007,4.11,1.18
200008,0.04,-2.90
200009,0.30,-2.31
200010,7.19,5.04
200011,1.10,-0.12
200012,0.78,-0.06
200101,1.13,0.45
200102,2.64,1.72
200103,2.22,0.47
200104,0.73,-1.57
200105,5.13,1.19
200106,3.73,-0.01
200107,0.62,-2.31
200108,1.16,-1.78
200109,2.99,0.38
200110,0.09,-2.06
200111,0.48,-0.74
200112,0.15,-0.69
200201,1.08,0.40
200202,0.59,-0.33
200203,0.22,-1.53
200204,1.57,-0.73
200205,3.37,-0.57
200206,4.36,0.62
200207,3.55,0.62
200208,5.15,2.21
200209,0.82,-1.79
200210,8.53,6.38
200211,0.22,-1.00
200212,0.93,0.09
200301,0.08,-0.60
200302,1.67,0.75
200303,3.43,1.68
200304,3.60,1.30
200305,2.98,-0.96
200306,2.45,-1.29
200307,1.24,-1.69
200308,6.19,3.25
200309,2.31,-0.30
200310,1.69,-0.46
200311,0.14,-1.08
200312,1.16,0.32
200401,1.46,0.78
200402,1.41,0.49
200403,4.53,2.78
200404,2.98,0.68
200405,1.09,-2.85
200406,4.93,1.19
200407,3.44,0.51
200408,2.31,-0.63
200409,1.35,-1.26
200410,2.71,0.56
200411,3.29,2.07
200412,0.22,-0.62
200501,2.30,1.62
200502,1.34,0.42
200503,1.06,-0.69
200504,2.50,0.20
200505,2.19,-1.75
200506,6.01,2.27
200507,2.49,-0.44
200508,4.69,1.75
200509,0.84,-1.77
200510,2.64,0.49
200511,0.65,-0.57
200512,0.38,-0.46
200601,0.18,-0.50
200602,0.00,-0.92
200603,1.26,-0.49
200604,1.84,-0.46
200605,3.34,-0.60
200606,3.59,-0.15
200607,2.09,-0.84
200608,6.74,3.80
200609,0.57,-2.04
200610,1.13,-1.02
200611,0.17,-1.05
200612,3.18,2.34
200701,1.19,0.51
200702,0.52,-0.40
200703,5.29,3.54
200704,2.69,0.39
200705,5.74,1.80
200706,7.37,3.63
200707,3.28,0.35
200708,1.94,-1.00
200709,0.89,-1.72
200710,1.33,-0.82
200711,0.14,-1.08
200712,3.29,2.45
200801,0.26,-0.42
200802,0.90,-0.02
200803,1.12,-0.63
200804,2.51,0.21
200805,4.77,0.83
200806,4.20,0.46
200807,2.64,-0.29
200808,1.76,-1.18
200809,6.08,3.47
200810,5.44,3.29
200811,0.80,-0.42
200812,0.26,-0.58
200901,0.08,-0.60
200902,0.39,-0.53
200903,2.29,0.54
200904,4.97,2.67
200905,1.64,-2.30
200906,4.82,1.08
200907,1.79,-1.14
200908,2.39,-0.55
200909,3.40,0.79
200910,2.98,0.83
200911,1.05,-0.17
200912,0.22,-0.62
201001,0.45,-0.23
201002,1.18,0.26
201003,0.86,-0.89
201004,1.79,-0.51
201005,4.61,0.67
201006,4.55,0.81
201007,3.73,0.80
201008,4.89,1.95
201009,2.12,-0.49
201010,0.72,-1.43
201011,3.32,2.10
201012,0.11,-0.73
201101,0.36,-0.32
201102,0.36,-0.56
201103,0.83,-0.92
201104,0.99,-1.31
201105,1.61,-2.33
201106,1.11,-2.63
201107,0.60,-2.33
201108,2.69,-0.25
201109,1.12,-1.49
201110,1.91,-0.24
201111,2.74,1.52
201112,2.88,2.04
201201,0.11,-0.57
201202,4.19,3.27
201203,1.94,0.19
201204,3.05,0.75
201205,1.61,-2.33
201206,2.95,-0.79
201207,1.02,-1.91
201208,1.42,-1.52
201209,1.53,-1.08
201210,0.12,-2.03
201211,0.88,-0.34
201212,0.36,-0.48
201301,0.70,0.02
201302,2.92,2.00
201303,1.88,0.13
201304,2.34,0.04
201305,3.37,-0.57
201306,2.46,-1.28
201307,4.34,1.41
201308,6.24,3.30
201309,1.61,-1.00
201310,2.07,-0.08
201311,0.74,-0.48
201312,0.42,-0.42
201401,0.20,-0.48
201402,0.84,-0.08
201403,0.51,-1.24
201404,0.47,-1.83
201405,1.27,-2.67
201406,8.90,5.16
201407,5.26,2.33
201408,1.92,-1.02
201409,1.01,-1.60
201410,2.10,-0.05
201411,0.35,-0.87
201412,1.48,0.64
201501,0.48,-0.20
201502,0.82,-0.10
201503,0.55,-1.20
201504,4.46,2.16
201505,7.65,3.71
201506,2.47,-1.27
201507,8.37,5.44
201508,1.45,-1.49
201509,2.20,-0.41
201510,1.24,-0.91
201511,3.42,2.20
201512,2.57,1.73
201601,0.48,-0.20
201602,0.34,-0.58
201603,0.71,-1.04
201604,5.79,3.49
201605,2.74,-1.20
201606,2.46,-1.28
201607,3.37,0.44
201608,5.22,2.28
201609,4.56,1.95
201610,1.85,-0.30
201611,0.86,-0.36
201612,0.75,-0.09
201701,2.78,2.10
201702,0.19,-0.73
201703,2.62,0.87
201704,4.98,2.68
201705,4.92,0.98
201706,2.76,-0.98
201707,1.20,-1.73
201708,3.62,0.68
201709,2.63,0.02
201710,1.05,-1.10
201711,0.36,-0.86
201712,0.00,-0.84
201801,0.06,-0.62
201802,0.23,-0.69
201803,1.08,-0.67
201804,1.69,-0.61
201805,5.70,1.76
201806,6.27,2.53
201807,5.04,2.11
201808,3.84,0.90
201809,3.83,1.22
201810,8.17,6.02
201811,0.54,-0.68
201812,2.11,1.27
201901,0.76,0.08
201902,0.83,-0.09
201903,2.42,0.67
201904,1.48,-0.82
201905,11.48,7.54
201906,3.99,0.25
201907,1.56,-1.37
201908,4.93,1.99
201909,2.21,-0.40
201910,2.01,-0.14
201911,0.64,-0.58
201912,1.40,0.56
202001,1.30,0.62
