Marathon County, Wisconsin, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.55,0.49
200002,0.94,-0.02
200003,1.18,-0.53
200004,2.32,-0.26
200005,3.62,-0.06
200006,7.74,3.38
200007,2.55,-1.24
200008,4.38,0.55
200009,5.40,1.48
200010,0.43,-1.98
200011,1.97,0.02
200012,1.00,-0.18
200101,0.67,-0.39
200102,1.15,0.19
200103,0.50,-1.21
200104,4.23,1.65
200105,4.77,1.09
200106,3.85,-0.51
200107,2.58,-1.21
200108,4.22,0.39
200109,4.16,0.24
200110,2.23,-0.18
200111,2.34,0.39
200112,1.20,0.02
200201,0.29,-0.77
200202,1.77,0.81
200203,2.49,0.78
200204,3.99,1.41
200205,3.49,-0.19
200206,6.56,2.20
200207,3.53,-0.26
200208,5.12,1.29
200209,5.48,1.56
200210,3.88,1.47
200211,0.20,-1.75
200212,0.43,-0.75
200301,0.30,-0.76
200302,0.85,-0.11
200303,1.89,0.18
200304,3.82,1.24
200305,4.01,0.33
200306,3.27,-1.09
200307,1.89,-1.90
200308,2.31,-1.52
200309,2.78,-1.14
200310,1.11,-1.30
200311,1.86,-0.09
200312,1.08,-0.10
200401,0.88,-0.18
200402,1.82,0.86
200403,3.01,1.30
200404,1.60,-0.98
200405,5.94,2.26
200406,4.65,0.29
200407,2.17,-1.62
200408,2.19,-1.64
200409,2.32,-1.60
200410,4.48,2.07
200411,1.40,-0.55
200412,1.58,0.40
200501,1.20,0.14
200502,1.11,0.15
200503,0.98,-0.73
200504,1.86,-0.72
200505,2.23,-1.45
200506,3.66,-0.70
200507,2.56,-1.23
200508,2.35,-1.48
200509,4.55,0.63
200510,2.35,-0.06
200511,2.50,0.55
200512,0.92,-0.26
200601,1.16,0.10
200602,0.69,-0.27
200603,1.79,0.08
200604,1.43,-1.15
200605,4.54,0.86
200606,1.86,-2.50
200607,2.91,-0.88
200608,5.80,1.97
200609,2.29,-1.63
200610,2.38,-0.03
200611,1.62,-0.33
200612,2.41,1.23
200701,0.71,-0.35
200702,0.79,-0.17
200703,1.86,0.15
200704,1.79,-0.79
200705,3.07,-0.61
200706,3.26,-1.10
200707,3.53,-0.26
200708,4.73,0.90
200709,2.81,-1.11
200710,4.60,2.19
200711,0.13,-1.82
200712,2.09,0.91
200801,1.12,0.06
200802,1.33,0.37
200803,0.92,-0.79
200804,4.45,1.87
200805,3.40,-0.28
200806,3.61,-0.75
200807,3.53,-0.26
200808,1.34,-2.49
200809,1.61,-2.31
200810,1.78,-0.63
200811,1.24,-0.71
200812,2.46,1.28
200901,0.51,-0.55
200902,0.99,0.03
200903,1.80,0.09
200904,3.33,0.75
200905,3.55,-0.13
200906,2.61,-1.75
200907,1.55,-2.24
200908,5.81,1.98
200909,0.47,-3.45
200910,5.36,2.95
200911,0.66,-1.29
200912,1.45,0.27
201001,0.71,-0.35
201002,0.31,-0.65
201003,0.66,-1.05
201004,1.25,-1.33
201005,2.39,-1.29
201006,6.27,1.91
201007,9.15,5.36
201008,3.22,-0.61
201009,8.94,5.02
201010,2.12,-0.29
201011,1.98,0.03
201012,1.41,0.23
201101,0.92,-0.14
201102,0.95,-0.01
201103,2.36,0.65
201104,3.56,0.98
201105,2.50,-1.18
201106,4.62,0.26
201107,6.10,2.31
201108,3.54,-0.29
201109,4.09,0.17
201110,1.89,-0.52
201111,1.22,-0.73
201112,1.42,0.24
201201,0.97,-0.09
201202,1.27,0.31
201203,1.43,-0.28
201204,2.43,-0.15
201205,3.89,0.21
201206,4.01,-0.35
201207,1.94,-1.85
201208,2.39,-1.44
201209,1.64,-2.28
201210,4.90,2.49
201211,1.15,-0.80
201212,1.50,0.32
201301,1.59,0.53
201302,1.46,0.50
201303,1.95,0.24
201304,4.16,1.58
201305,5.24,1.56
201306,5.68,1.32
201307,2.69,-1.10
201308,2.86,-0.97
201309,3.09,-0.83
201310,4.58,2.17
201311,2.24,0.29
201312,1.53,0.35
201401,1.39,0.33
201402,1.35,0.39
201403,0.91,-0.80
201404,4.35,1.77
201405,3.68,0.00
201406,5.26,0.90
201407,2.30,-1.49
201408,6.79,2.96
201409,4.75,0.83
201410,3.69,1.28
201411,2.17,0.22
201412,1.55,0.37
201501,0.58,-0.48
201502,0.24,-0.72
201503,0.72,-0.99
201504,2.79,0.21
201505,5.39,1.71
201506,4.55,0.19
201507,2.91,-0.88
201508,3.64,-0.19
201509,5.11,1.19
201510,2.64,0.23
201511,2.61,0.66
201512,4.72,3.54
201601,0.84,-0.22
201602,0.78,-0.18
201603,4.90,3.19
201604,2.25,-0.33
201605,2.76,-0.92
201606,5.50,1.14
201607,4.72,0.93
201608,4.29,0.46
201609,4.79,0.87
201610,2.02,-0.39
201611,1.99,0.04
201612,2.47,1.29
201701,2.32,1.26
201702,1.42,0.46
201703,2.26,0.55
201704,5.36,2.78
201705,4.70,1.02
201706,6.68,2.32
201707,3.25,-0.54
201708,3.51,-0.32
201709,1.67,-2.25
201710,3.64,1.23
201711,1.08,-0.87
201712,1.26,0.08
201801,1.20,0.14
201802,1.18,0.22
201803,1.12,-0.59
201804,2.84,0.26
201805,3.11,-0.57
201806,5.27,0.91
201807,2.46,-1.33
201808,4.43,0.60
201809,5.12,1.20
201810,5.46,3.05
201811,1.91,-0.04
201812,1.35,0.17
201901,1.18,0.12
201902,3.99,3.03
201903,1.65,-0.06
201904,4.41,1.83
201905,5.30,1.62
201906,4.44,0.08
201907,6.24,2.45
201908,3.02,-0.81
201909,6.92,3.00
201910,4.04,1.63
201911,1.83,-0.12
201912,3.04,1.86
202001,1.47,0.41
