Shelby County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.71,-3.06
200002,4.48,0.20
200003,4.33,-0.95
200004,4.42,-0.72
200005,4.69,0.06
200006,4.45,0.58
200007,1.45,-2.21
200008,1.06,-2.33
200009,2.49,-0.71
200010,0.53,-2.53
200011,7.29,2.93
200012,2.85,-2.20
200101,3.39,-1.38
200102,7.05,2.77
200103,3.29,-1.99
200104,3.60,-1.54
200105,4.95,0.32
200106,3.64,-0.23
200107,4.13,0.47
200108,2.19,-1.20
200109,3.81,0.61
200110,8.22,5.16
200111,11.14,6.78
200112,9.87,4.82
200201,3.98,-0.79
200202,2.61,-1.67
200203,12.31,7.03
200204,1.61,-3.53
200205,6.45,1.82
200206,3.60,-0.27
200207,4.89,1.23
200208,6.21,2.82
200209,10.02,6.82
200210,8.52,5.46
200211,3.08,-1.28
200212,9.09,4.04
200301,1.30,-3.47
200302,8.62,4.34
200303,2.67,-2.61
200304,3.47,-1.67
200305,11.89,7.26
200306,4.91,1.04
200307,4.26,0.60
200308,3.33,-0.06
200309,4.23,1.03
200310,3.40,0.34
200311,5.70,1.34
200312,3.26,-1.79
200401,3.41,-1.36
200402,4.75,0.47
200403,3.83,-1.45
200404,7.49,2.35
200405,5.61,0.98
200406,4.66,0.79
200407,3.58,-0.08
200408,3.38,-0.01
200409,0.95,-2.25
200410,6.02,2.96
200411,8.99,4.63
200412,4.87,-0.18
200501,5.08,0.31
200502,3.67,-0.61
200503,3.65,-1.63
200504,5.75,0.61
200505,1.10,-3.53
200506,2.50,-1.37
200507,6.53,2.87
200508,5.50,2.11
200509,3.47,0.27
200510,0.47,-2.59
200511,2.87,-1.49
200512,1.98,-3.07
200601,7.36,2.59
200602,3.59,-0.69
200603,3.80,-1.48
200604,3.67,-1.47
200605,4.24,-0.39
200606,2.98,-0.89
200607,1.22,-2.44
200608,3.85,0.46
200609,3.44,0.24
200610,2.51,-0.55
200611,3.30,-1.06
200612,6.30,1.25
200701,4.88,0.11
200702,2.63,-1.65
200703,1.17,-4.11
200704,3.53,-1.61
200705,1.79,-2.84
200706,1.78,-2.09
200707,3.88,0.22
200708,1.34,-2.05
200709,2.84,-0.36
200710,5.71,2.65
200711,3.30,-1.06
200712,5.20,0.15
200801,3.81,-0.96
200802,2.67,-1.61
200803,8.47,3.19
200804,9.49,4.35
200805,7.65,3.02
200806,2.59,-1.28
200807,1.50,-2.16
200808,4.86,1.47
200809,2.52,-0.68
200810,5.48,2.42
200811,2.37,-1.99
200812,8.47,3.42
200901,3.41,-1.36
200902,2.96,-1.32
200903,6.39,1.11
200904,3.69,-1.45
200905,8.05,3.42
200906,2.89,-0.98
200907,9.61,5.95
200908,3.26,-0.13
200909,7.70,4.50
200910,10.61,7.55
200911,1.50,-2.86
200912,5.72,0.67
201001,4.43,-0.34
201002,3.67,-0.61
201003,4.14,-1.14
201004,4.82,-0.32
201005,11.52,6.89
201006,1.74,-2.13
201007,6.59,2.93
201008,2.10,-1.29
201009,0.25,-2.95
201010,1.36,-1.70
201011,6.89,2.53
201012,1.62,-3.43
201101,2.56,-2.21
201102,3.54,-0.74
201103,4.97,-0.31
201104,12.56,7.42
201105,8.32,3.69
201106,3.85,-0.02
201107,3.18,-0.48
201108,3.30,-0.09
201109,3.41,0.21
201110,1.43,-1.63
201111,7.14,2.78
201112,8.67,3.62
201201,2.39,-2.38
201202,3.04,-1.24
201203,4.76,-0.52
201204,1.25,-3.89
201205,3.22,-1.41
201206,2.63,-1.24
201207,2.61,-1.05
201208,2.54,-0.85
201209,6.68,3.48
201210,4.43,1.37
201211,2.68,-1.68
201212,3.96,-1.09
201301,9.50,4.73
201302,4.14,-0.14
201303,3.36,-1.92
201304,7.00,1.86
201305,10.48,5.85
201306,4.85,0.98
201307,4.79,1.13
201308,2.37,-1.02
201309,3.52,0.32
201310,2.73,-0.33
201311,3.53,-0.83
201312,5.32,0.27
201401,2.93,-1.84
201402,4.88,0.60
201403,6.17,0.89
201404,6.45,1.31
201405,5.12,0.49
201406,12.99,9.12
201407,3.12,-0.54
201408,2.18,-1.21
201409,4.81,1.61
201410,4.67,1.61
201411,2.74,-1.62
201412,2.82,-2.23
201501,1.43,-3.34
201502,4.27,-0.01
201503,6.44,1.16
201504,4.34,-0.80
201505,6.62,1.99
201506,3.43,-0.44
201507,4.52,0.86
201508,4.68,1.29
201509,1.98,-1.22
201510,2.17,-0.89
201511,9.93,5.57
201512,5.44,0.39
201601,2.56,-2.21
201602,5.03,0.75
201603,15.49,10.21
201604,5.88,0.74
201605,5.73,1.10
201606,2.61,-1.26
201607,6.42,2.76
201608,5.03,1.64
201609,0.92,-2.28
201610,1.47,-1.59
201611,2.95,-1.41
201612,6.09,1.04
201701,4.01,-0.76
201702,2.10,-2.18
201703,4.53,-0.75
201704,4.97,-0.17
201705,6.02,1.39
201706,4.63,0.76
201707,4.97,1.31
201708,4.91,1.52
201709,5.38,2.18
201710,2.88,-0.18
201711,1.72,-2.64
201712,7.25,2.20
201801,4.04,-0.73
201802,13.28,9.00
201803,6.14,0.86
201804,7.21,2.07
201805,3.65,-0.98
201806,2.85,-1.02
201807,3.79,0.13
201808,3.31,-0.08
201809,6.62,3.42
201810,3.48,0.42
201811,4.46,0.10
201812,7.81,2.76
201901,5.40,0.63
201902,9.12,4.84
201903,5.04,-0.24
201904,8.64,3.50
201905,4.88,0.25
201906,8.90,5.03
201907,7.03,3.37
201908,3.53,0.14
201909,0.43,-2.77
201910,12.85,9.79
201911,3.92,-0.44
201912,4.94,-0.11
202001,6.11,1.34
