Broome County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.30,0.74
200002,3.29,0.93
200003,3.49,0.56
200004,6.10,2.80
200005,7.27,3.55
200006,4.86,1.07
200007,3.67,-0.23
200008,2.93,-0.76
200009,2.86,-0.64
200010,3.78,0.52
200011,1.99,-1.08
200012,3.07,0.28
200101,1.20,-1.36
200102,1.73,-0.63
200103,5.02,2.09
200104,0.82,-2.48
200105,1.91,-1.81
200106,6.31,2.52
200107,2.91,-0.99
200108,2.40,-1.29
200109,5.34,1.84
200110,1.67,-1.59
200111,1.85,-1.22
200112,2.57,-0.22
200201,2.29,-0.27
200202,2.16,-0.20
200203,3.65,0.72
200204,3.43,0.13
200205,5.32,1.60
200206,6.39,2.60
200207,1.29,-2.61
200208,2.20,-1.49
200209,5.36,1.86
200210,4.68,1.42
200211,3.39,0.32
200212,3.62,0.83
200301,2.76,0.20
200302,2.67,0.31
200303,2.38,-0.55
200304,2.73,-0.57
200305,3.35,-0.37
200306,6.11,2.32
200307,4.99,1.09
200308,2.88,-0.81
200309,7.86,4.36
200310,5.17,1.91
200311,3.34,0.27
200312,3.74,0.95
200401,2.56,0.00
200402,1.30,-1.06
200403,1.97,-0.96
200404,3.62,0.32
200405,5.35,1.63
200406,2.87,-0.92
200407,8.03,4.13
200408,5.39,1.70
200409,7.84,4.34
200410,2.67,-0.59
200411,3.34,0.27
200412,3.92,1.13
200501,4.85,2.29
200502,2.23,-0.13
200503,3.91,0.98
200504,4.65,1.35
200505,1.26,-2.46
200506,3.23,-0.56
200507,2.76,-1.14
200508,4.98,1.29
200509,2.18,-1.32
200510,8.38,5.12
200511,4.90,1.83
200512,2.54,-0.25
200601,3.92,1.36
200602,1.45,-0.91
200603,1.75,-1.18
200604,3.01,-0.29
200605,2.67,-1.05
200606,10.77,6.98
200607,5.05,1.15
200608,6.99,3.30
200609,4.37,0.87
200610,4.69,1.43
200611,4.17,1.10
200612,2.04,-0.75
200701,3.43,0.87
200702,2.47,0.11
200703,3.48,0.55
200704,3.80,0.50
200705,2.09,-1.63
200706,3.28,-0.51
200707,5.52,1.62
200708,2.80,-0.89
200709,3.62,0.12
200710,5.37,2.11
200711,4.35,1.28
200712,4.71,1.92
200801,1.92,-0.64
200802,5.01,2.65
200803,6.57,3.64
200804,2.44,-0.86
200805,2.46,-1.26
200806,3.46,-0.33
200807,4.82,0.92
200808,3.07,-0.62
200809,3.19,-0.31
200810,3.70,0.44
200811,2.08,-0.99
200812,4.32,1.53
200901,2.25,-0.31
200902,1.42,-0.94
200903,2.75,-0.18
200904,2.04,-1.26
200905,4.71,0.99
200906,4.88,1.09
200907,4.74,0.84
200908,6.19,2.50
200909,2.46,-1.04
200910,4.73,1.47
200911,1.73,-1.34
200912,2.16,-0.63
201001,3.27,0.71
201002,2.09,-0.27
201003,3.16,0.23
201004,2.39,-0.91
201005,2.76,-0.96
201006,4.55,0.76
201007,3.64,-0.26
201008,4.38,0.69
201009,2.82,-0.68
201010,7.00,3.74
201011,2.98,-0.09
201012,2.33,-0.46
201101,1.76,-0.80
201102,4.21,1.85
201103,4.50,1.57
201104,8.51,5.21
201105,7.52,3.80
201106,4.72,0.93
201107,2.49,-1.41
201108,8.66,4.97
201109,14.29,10.79
201110,4.06,0.80
201111,3.23,0.16
201112,3.30,0.51
201201,3.09,0.53
201202,1.09,-1.27
201203,1.99,-0.94
201204,2.77,-0.53
201205,4.41,0.69
201206,3.18,-0.61
201207,4.22,0.32
201208,5.63,1.94
201209,3.95,0.45
201210,3.71,0.45
201211,1.41,-1.66
201212,5.47,2.68
201301,2.20,-0.36
201302,1.95,-0.41
201303,1.78,-1.15
201304,3.19,-0.11
201305,3.62,-0.10
201306,5.93,2.14
201307,6.07,2.17
201308,6.13,2.44
201309,3.50,0.00
201310,2.75,-0.51
201311,3.90,0.83
201312,3.49,0.70
201401,2.71,0.15
201402,2.69,0.33
201403,2.68,-0.25
201404,3.18,-0.12
201405,4.44,0.72
201406,4.60,0.81
201407,4.05,0.15
201408,4.45,0.76
201409,2.10,-1.40
201410,4.21,0.95
201411,2.31,-0.76
201412,3.42,0.63
201501,1.84,-0.72
201502,2.01,-0.35
201503,2.06,-0.87
201504,4.48,1.18
201505,2.93,-0.79
201506,7.67,3.88
201507,4.99,1.09
201508,2.70,-0.99
201509,2.73,-0.77
201510,2.85,-0.41
201511,3.06,-0.01
201512,3.75,0.96
201601,1.62,-0.94
201602,4.20,1.84
201603,1.51,-1.42
201604,2.91,-0.39
201605,2.73,-0.99
201606,2.81,-0.98
201607,3.47,-0.43
201608,5.33,1.64
201609,1.74,-1.76
201610,5.57,2.31
201611,1.97,-1.10
201612,3.41,0.62
201701,3.62,1.06
201702,3.05,0.69
201703,4.96,2.03
201704,5.80,2.50
201705,6.53,2.81
201706,4.66,0.87
201707,6.77,2.87
201708,3.24,-0.45
201709,1.53,-1.97
201710,4.57,1.31
201711,1.69,-1.38
201712,1.35,-1.44
201801,3.13,0.57
201802,3.54,1.18
201803,3.22,0.29
201804,2.80,-0.50
201805,4.27,0.55
201806,4.02,0.23
201807,5.88,1.98
201808,9.75,6.06
201809,8.35,4.85
201810,5.19,1.93
201811,6.01,2.94
201812,2.51,-0.28
201901,4.49,1.93
201902,2.43,0.07
201903,1.95,-0.98
201904,4.40,1.10
201905,5.69,1.97
201906,4.92,1.13
201907,3.16,-0.74
201908,3.92,0.23
201909,1.80,-1.70
201910,7.91,4.65
201911,2.92,-0.15
201912,3.88,1.09
202001,2.91,0.35
