Lunenburg County, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.69,0.25
200002,1.57,-1.60
200003,3.51,-0.33
200004,5.89,2.49
200005,4.17,0.42
200006,5.44,1.65
200007,4.47,0.11
200008,3.13,-1.50
200009,3.98,0.36
200010,0.04,-3.07
200011,1.79,-1.03
200012,1.73,-1.53
200101,2.41,-1.03
200102,2.29,-0.88
200103,6.07,2.23
200104,1.71,-1.69
200105,3.94,0.19
200106,6.86,3.07
200107,4.65,0.29
200108,3.42,-1.21
200109,1.89,-1.73
200110,0.54,-2.57
200111,0.39,-2.43
200112,2.20,-1.06
200201,4.63,1.19
200202,1.21,-1.96
200203,4.02,0.18
200204,2.46,-0.94
200205,4.52,0.77
200206,1.76,-2.03
200207,3.54,-0.82
200208,4.03,-0.60
200209,3.26,-0.36
200210,8.18,5.07
200211,4.48,1.66
200212,4.29,1.03
200301,2.19,-1.25
200302,5.93,2.76
200303,6.56,2.72
200304,5.49,2.09
200305,9.03,5.28
200306,6.26,2.47
200307,6.61,2.25
200308,5.05,0.42
200309,10.67,7.05
200310,2.68,-0.43
200311,3.74,0.92
200312,3.98,0.72
200401,1.71,-1.73
200402,2.17,-1.00
200403,1.80,-2.04
200404,3.24,-0.16
200405,3.44,-0.31
200406,6.36,2.57
200407,7.48,3.12
200408,8.33,3.70
200409,5.32,1.70
200410,3.04,-0.07
200411,5.12,2.30
200412,2.73,-0.53
200501,3.07,-0.37
200502,1.58,-1.59
200503,3.97,0.13
200504,1.85,-1.55
200505,2.90,-0.85
200506,2.56,-1.23
200507,5.24,0.88
200508,2.81,-1.82
200509,0.40,-3.22
200510,5.00,1.89
200511,3.41,0.59
200512,4.40,1.14
200601,2.71,-0.73
200602,1.81,-1.36
200603,0.38,-3.46
200604,2.82,-0.58
200605,2.87,-0.88
200606,4.92,1.13
200607,7.37,3.01
200608,3.95,-0.68
200609,6.00,2.38
200610,6.09,2.98
200611,6.67,3.85
200612,1.71,-1.55
200701,3.76,0.32
200702,1.96,-1.21
200703,3.10,-0.74
200704,3.60,0.20
200705,2.29,-1.46
200706,3.41,-0.38
200707,3.83,-0.53
200708,2.06,-2.57
200709,1.32,-2.30
200710,5.54,2.43
200711,0.64,-2.18
200712,4.35,1.09
200801,0.84,-2.60
200802,2.16,-1.01
200803,4.05,0.21
200804,5.48,2.08
200805,4.45,0.70
200806,2.48,-1.31
200807,3.97,-0.39
200808,3.75,-0.88
200809,5.56,1.94
200810,1.25,-1.86
200811,3.37,0.55
200812,4.30,1.04
200901,2.47,-0.97
200902,0.92,-2.25
200903,4.73,0.89
200904,2.66,-0.74
200905,4.86,1.11
200906,5.71,1.92
200907,4.48,0.12
200908,4.81,0.18
200909,3.73,0.11
200910,2.24,-0.87
200911,8.27,5.45
200912,7.83,4.57
201001,3.95,0.51
201002,2.44,-0.73
201003,5.15,1.31
201004,1.34,-2.06
201005,5.37,1.62
201006,1.21,-2.58
201007,1.67,-2.69
201008,6.66,2.03
201009,5.62,2.00
201010,4.54,1.43
201011,1.83,-0.99
201012,2.63,-0.63
201101,1.45,-1.99
201102,1.76,-1.41
201103,5.49,1.65
201104,3.59,0.19
201105,4.35,0.60
201106,2.24,-1.55
201107,5.69,1.33
201108,5.68,1.05
201109,6.74,3.12
201110,4.65,1.54
201111,4.71,1.89
201112,3.50,0.24
201201,1.96,-1.48
201202,3.59,0.42
201203,4.15,0.31
201204,2.46,-0.94
201205,2.71,-1.04
201206,1.20,-2.59
201207,5.68,1.32
201208,4.21,-0.42
201209,4.49,0.87
201210,3.96,0.85
201211,0.32,-2.50
201212,2.42,-0.84
201301,6.34,2.90
201302,2.67,-0.50
201303,3.34,-0.50
201304,3.71,0.31
201305,3.61,-0.14
201306,6.84,3.05
201307,9.83,5.47
201308,2.49,-2.14
201309,0.60,-3.02
201310,2.28,-0.83
201311,3.09,0.27
201312,5.49,2.23
201401,3.69,0.25
201402,2.40,-0.77
201403,3.68,-0.16
201404,5.32,1.92
201405,5.67,1.92
201406,2.14,-1.65
201407,4.61,0.25
201408,4.07,-0.56
201409,4.15,0.53
201410,2.73,-0.38
201411,3.23,0.41
201412,3.33,0.07
201501,2.09,-1.35
201502,3.12,-0.05
201503,3.37,-0.47
201504,2.98,-0.42
201505,1.89,-1.86
201506,6.37,2.58
201507,3.71,-0.65
201508,2.37,-2.26
201509,5.14,1.52
201510,3.58,0.47
201511,4.25,1.43
201512,7.17,3.91
201601,2.66,-0.78
201602,5.37,2.20
201603,2.03,-1.81
201604,2.53,-0.87
201605,8.67,4.92
201606,4.85,1.06
201607,3.72,-0.64
201608,2.78,-1.85
201609,5.61,1.99
201610,5.05,1.94
201611,1.20,-1.62
201612,2.19,-1.07
201701,4.74,1.30
201702,0.73,-2.44
201703,2.43,-1.41
201704,5.28,1.88
201705,6.53,2.78
201706,3.61,-0.18
201707,2.33,-2.03
201708,5.92,1.29
201709,1.37,-2.25
201710,2.90,-0.21
201711,1.55,-1.27
201712,1.60,-1.66
201801,3.61,0.17
201802,2.80,-0.37
201803,2.95,-0.89
201804,5.88,2.48
201805,7.74,3.99
201806,4.76,0.97
201807,4.42,0.06
201808,5.14,0.51
201809,7.79,4.17
201810,7.26,4.15
201811,7.11,4.29
201812,4.73,1.47
201901,3.78,0.34
201902,5.22,2.05
201903,3.58,-0.26
201904,3.87,0.47
201905,3.20,-0.55
201906,7.87,4.08
201907,4.70,0.34
201908,3.14,-1.49
201909,0.45,-3.17
201910,5.07,1.96
201911,2.90,0.08
201912,3.03,-0.23
202001,3.08,-0.36
