Hamilton County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.94,-0.32
200002,3.17,-1.98
200003,5.26,-0.76
200004,8.95,4.47
200005,1.96,-2.21
200006,4.34,0.12
200007,2.80,-1.80
200008,3.79,-0.33
200009,4.35,0.60
200010,0.32,-2.96
200011,7.40,3.32
200012,2.72,-2.71
200101,5.30,0.04
200102,5.83,0.68
200103,5.06,-0.96
200104,2.70,-1.78
200105,4.34,0.17
200106,5.21,0.99
200107,5.09,0.49
200108,2.93,-1.19
200109,4.23,0.48
200110,2.02,-1.26
200111,4.31,0.23
200112,5.35,-0.08
200201,6.86,1.60
200202,2.09,-3.06
200203,8.43,2.41
200204,1.56,-2.92
200205,5.92,1.75
200206,1.88,-2.34
200207,3.20,-1.40
200208,3.03,-1.09
200209,6.98,3.23
200210,4.30,1.02
200211,5.28,1.20
200212,7.10,1.67
200301,2.01,-3.25
200302,11.29,6.14
200303,2.76,-3.26
200304,5.95,1.47
200305,14.06,9.89
200306,5.14,0.92
200307,8.40,3.80
200308,5.04,0.92
200309,6.18,2.43
200310,1.00,-2.28
200311,5.16,1.08
200312,4.83,-0.60
200401,3.60,-1.66
200402,5.67,0.52
200403,5.02,-1.00
200404,2.07,-2.41
200405,3.61,-0.56
200406,5.27,1.05
200407,5.55,0.95
200408,3.65,-0.47
200409,10.11,6.36
200410,3.93,0.65
200411,7.12,3.04
200412,8.38,2.95
200501,2.71,-2.55
200502,5.66,0.51
200503,3.59,-2.43
200504,4.97,0.49
200505,2.08,-2.09
200506,5.48,1.26
200507,7.66,3.06
200508,5.33,1.21
200509,2.69,-1.06
200510,0.86,-2.42
200511,4.34,0.26
200512,3.52,-1.91
200601,5.23,-0.03
200602,2.11,-3.04
200603,2.25,-3.77
200604,6.48,2.00
200605,3.79,-0.38
200606,2.97,-1.25
200607,2.74,-1.86
200608,4.32,0.20
200609,4.86,1.11
200610,5.62,2.34
200611,3.89,-0.19
200612,3.16,-2.27
200701,2.89,-2.37
200702,1.69,-3.46
200703,1.73,-4.29
200704,3.71,-0.77
200705,1.08,-3.09
200706,2.71,-1.51
200707,6.11,1.51
200708,1.22,-2.90
200709,2.14,-1.61
200710,3.97,0.69
200711,4.21,0.13
200712,3.16,-2.27
200801,3.43,-1.83
200802,4.67,-0.48
200803,6.25,0.23
200804,2.91,-1.57
200805,2.95,-1.22
200806,2.77,-1.45
200807,3.78,-0.82
200808,5.71,1.59
200809,0.70,-3.05
200810,2.65,-0.63
200811,2.91,-1.17
200812,9.50,4.07
200901,4.79,-0.47
200902,2.83,-2.32
200903,5.10,-0.92
200904,4.32,-0.16
200905,8.70,4.53
200906,1.43,-2.79
200907,4.50,-0.10
200908,3.45,-0.67
200909,10.56,6.81
200910,6.43,3.15
200911,3.45,-0.63
200912,8.22,2.79
201001,6.03,0.77
201002,3.96,-1.19
201003,3.78,-2.24
201004,2.37,-2.11
201005,5.37,1.20
201006,3.17,-1.05
201007,3.32,-1.28
201008,2.80,-1.32
201009,1.52,-2.23
201010,3.32,0.04
201011,6.64,2.56
201012,1.79,-3.64
201101,4.23,-1.03
201102,2.48,-2.67
201103,10.57,4.55
201104,8.88,4.40
201105,1.76,-2.41
201106,5.04,0.82
201107,2.78,-1.82
201108,0.27,-3.85
201109,10.37,6.62
201110,2.94,-0.34
201111,8.92,4.84
201112,7.26,1.83
201201,7.10,1.84
201202,2.73,-2.42
201203,4.55,-1.47
201204,1.33,-3.15
201205,3.78,-0.39
201206,2.67,-1.55
201207,7.52,2.92
201208,4.84,0.72
201209,6.74,2.99
201210,4.06,0.78
201211,1.53,-2.55
201212,5.90,0.47
201301,9.60,4.34
201302,3.74,-1.41
201303,5.00,-1.02
201304,9.16,4.68
201305,6.78,2.61
201306,5.61,1.39
201307,9.02,4.42
201308,6.32,2.20
201309,2.49,-1.26
201310,0.72,-2.56
201311,4.39,0.31
201312,7.57,2.14
201401,2.71,-2.55
201402,5.44,0.29
201403,2.78,-3.24
201404,5.84,1.36
201405,2.57,-1.60
201406,6.58,2.36
201407,3.23,-1.37
201408,5.01,0.89
201409,2.18,-1.57
201410,6.92,3.64
201411,3.28,-0.80
201412,4.99,-0.44
201501,4.03,-1.23
201502,4.06,-1.09
201503,4.91,-1.11
201504,7.77,3.29
201505,2.51,-1.66
201506,3.96,-0.26
201507,6.31,1.71
201508,6.28,2.16
201509,3.28,-0.47
201510,6.25,2.97
201511,5.64,1.56
201512,11.54,6.11
201601,3.45,-1.81
201602,7.76,2.61
201603,3.15,-2.87
201604,2.84,-1.64
201605,1.75,-2.42
201606,3.34,-0.88
201607,2.50,-2.10
201608,3.40,-0.72
201609,1.65,-2.10
201610,0.08,-3.20
201611,4.90,0.82
201612,6.33,0.90
201701,4.35,-0.91
201702,2.94,-2.21
201703,4.44,-1.58
201704,9.82,5.34
201705,6.82,2.65
201706,5.64,1.42
201707,5.24,0.64
201708,3.17,-0.95
201709,3.73,-0.02
201710,7.88,4.60
201711,1.63,-2.45
201712,3.52,-1.91
201801,1.67,-3.59
201802,9.41,4.26
201803,4.01,-2.01
201804,8.06,3.58
201805,5.55,1.38
201806,6.66,2.44
201807,4.63,0.03
201808,6.50,2.38
201809,8.79,5.04
201810,2.88,-0.40
201811,7.09,3.01
201812,8.63,3.20
201901,6.84,1.58
201902,11.46,6.31
201903,5.46,-0.56
201904,5.58,1.10
201905,3.49,-0.68
201906,5.28,1.06
201907,4.15,-0.45
201908,2.62,-1.50
201909,0.58,-3.17
201910,7.49,4.21
201911,4.00,-0.08
201912,6.19,0.76
202001,6.91,1.65
