Orange County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.01,-0.06
200002,2.63,-0.18
200003,3.65,0.08
200004,4.31,0.51
200005,4.18,0.29
200006,6.55,2.59
200007,6.11,2.00
200008,4.35,0.15
200009,4.27,0.41
200010,1.20,-2.17
200011,3.00,-0.58
200012,4.93,1.52
200101,2.06,-1.01
200102,2.25,-0.56
200103,5.39,1.82
200104,1.54,-2.26
200105,3.22,-0.67
200106,5.00,1.04
200107,2.22,-1.89
200108,2.91,-1.29
200109,4.14,0.28
200110,0.77,-2.60
200111,1.06,-2.52
200112,2.38,-1.03
200201,1.41,-1.66
200202,0.94,-1.87
200203,3.23,-0.34
200204,4.23,0.43
200205,5.94,2.05
200206,5.15,1.19
200207,1.92,-2.19
200208,3.99,-0.21
200209,3.84,-0.02
200210,6.38,3.01
200211,4.83,1.25
200212,4.55,1.14
200301,2.72,-0.35
200302,3.47,0.66
200303,3.94,0.37
200304,2.03,-1.77
200305,3.99,0.10
200306,7.43,3.47
200307,3.32,-0.79
200308,5.73,1.53
200309,8.76,4.90
200310,5.81,2.44
200311,4.72,1.14
200312,5.52,2.11
200401,2.44,-0.63
200402,1.83,-0.98
200403,2.21,-1.36
200404,4.04,0.24
200405,3.83,-0.06
200406,2.96,-1.00
200407,5.44,1.33
200408,7.24,3.04
200409,9.15,5.29
200410,1.88,-1.49
200411,3.69,0.11
200412,3.68,0.27
200501,5.60,2.53
200502,2.22,-0.59
200503,4.31,0.74
200504,5.21,1.41
200505,1.74,-2.15
200506,3.22,-0.74
200507,3.47,-0.64
200508,2.11,-2.09
200509,1.48,-2.38
200510,15.73,12.36
200511,4.23,0.65
200512,3.35,-0.06
200601,5.07,2.00
200602,1.65,-1.16
200603,0.96,-2.61
200604,3.97,0.17
200605,3.68,-0.21
200606,8.08,4.12
200607,3.10,-1.01
200608,5.54,1.34
200609,4.76,0.90
200610,5.91,2.54
200611,4.72,1.14
200612,1.93,-1.48
200701,2.97,-0.10
200702,1.98,-0.83
200703,3.85,0.28
200704,8.05,4.25
200705,1.24,-2.65
200706,3.84,-0.12
200707,5.50,1.39
200708,4.75,0.55
200709,1.23,-2.63
200710,6.13,2.76
200711,3.70,0.12
200712,5.40,1.99
200801,1.71,-1.36
200802,7.40,4.59
200803,6.12,2.55
200804,2.86,-0.94
200805,3.35,-0.54
200806,3.33,-0.63
200807,4.26,0.15
200808,2.81,-1.39
200809,6.07,2.21
200810,3.79,0.42
200811,2.57,-1.01
200812,6.30,2.89
200901,2.43,-0.64
200902,0.82,-1.99
200903,2.14,-1.43
200904,2.68,-1.12
200905,4.20,0.31
200906,9.81,5.85
200907,6.13,2.02
200908,5.78,1.58
200909,1.97,-1.89
200910,5.00,1.63
200911,1.57,-2.01
200912,5.52,2.11
201001,2.36,-0.71
201002,4.28,1.47
201003,7.30,3.73
201004,2.54,-1.26
201005,2.60,-1.29
201006,3.11,-0.85
201007,3.41,-0.70
201008,4.93,0.73
201009,2.62,-1.24
201010,6.86,3.49
201011,2.68,-0.90
201012,3.75,0.34
201101,2.67,-0.40
201102,3.73,0.92
201103,6.89,3.32
201104,6.31,2.51
201105,5.56,1.67
201106,6.28,2.32
201107,4.43,0.32
201108,15.11,10.91
201109,12.03,8.17
201110,4.53,1.16
201111,3.57,-0.01
201112,4.62,1.21
201201,2.86,-0.21
201202,1.17,-1.64
201203,1.34,-2.23
201204,2.50,-1.30
201205,4.58,0.69
201206,3.32,-0.64
201207,4.10,-0.01
201208,3.37,-0.83
201209,6.70,2.84
201210,5.08,1.71
201211,0.77,-2.81
201212,4.85,1.44
201301,2.92,-0.15
201302,2.02,-0.79
201303,2.51,-1.06
201304,2.04,-1.76
201305,4.45,0.56
201306,9.71,5.75
201307,4.49,0.38
201308,5.41,1.21
201309,1.91,-1.95
201310,1.34,-2.03
201311,2.98,-0.60
201312,3.82,0.41
201401,2.88,-0.19
201402,3.78,0.97
201403,3.00,-0.57
201404,4.04,0.24
201405,4.54,0.65
201406,3.97,0.01
201407,5.08,0.97
201408,2.01,-2.19
201409,1.07,-2.79
201410,3.88,0.51
201411,2.72,-0.86
201412,3.30,-0.11
201501,3.36,0.29
201502,1.43,-1.38
201503,2.80,-0.77
201504,2.62,-1.18
201505,2.07,-1.82
201506,7.85,3.89
201507,2.86,-1.25
201508,2.92,-1.28
201509,5.25,1.39
201510,3.23,-0.14
201511,2.26,-1.32
201512,4.29,0.88
201601,2.07,-1.00
201602,4.24,1.43
201603,0.98,-2.59
201604,2.28,-1.52
201605,3.45,-0.44
201606,2.65,-1.31
201607,7.03,2.92
201608,2.90,-1.30
201609,1.41,-2.45
201610,2.33,-1.04
201611,3.94,0.36
201612,3.25,-0.16
201701,3.22,0.15
201702,1.91,-0.90
201703,3.79,0.22
201704,3.84,0.04
201705,4.96,1.07
201706,3.29,-0.67
201707,4.81,0.70
201708,4.07,-0.13
201709,2.42,-1.44
201710,5.51,2.14
201711,0.88,-2.70
201712,1.61,-1.80
201801,3.71,0.64
201802,4.73,1.92
201803,2.86,-0.71
201804,4.36,0.56
201805,3.97,0.08
201806,3.11,-0.85
201807,7.39,3.28
201808,6.64,2.44
201809,6.91,3.05
201810,4.70,1.33
201811,8.27,4.69
201812,4.85,1.44
201901,5.20,2.13
201902,2.87,0.06
201903,2.54,-1.03
201904,4.64,0.84
201905,5.74,1.85
201906,4.06,0.10
201907,4.66,0.55
201908,3.61,-0.59
201909,1.01,-2.85
201910,7.02,3.65
201911,3.45,-0.13
201912,4.64,1.23
202001,2.01,-1.06
