Rio Grande County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.50,-0.36
200002,0.76,-0.15
200003,3.22,1.91
200004,1.08,-0.22
200005,0.32,-0.74
200006,0.73,-0.11
200007,0.95,-0.92
200008,1.75,-0.39
200009,0.70,-0.50
200010,2.53,1.31
200011,0.62,-0.33
200012,0.45,-0.50
200101,1.56,0.70
200102,1.46,0.55
200103,1.83,0.52
200104,1.30,0.00
200105,1.55,0.49
200106,0.61,-0.23
200107,2.46,0.59
200108,2.11,-0.03
200109,0.39,-0.81
200110,0.36,-0.86
200111,0.78,-0.17
200112,0.46,-0.49
200201,0.60,-0.26
200202,0.18,-0.73
200203,0.57,-0.74
200204,0.31,-0.99
200205,0.09,-0.97
200206,0.15,-0.69
200207,0.79,-1.08
200208,0.65,-1.49
200209,2.25,1.05
200210,1.19,-0.03
200211,0.49,-0.46
200212,0.72,-0.23
200301,0.36,-0.50
200302,0.91,0.00
200303,0.91,-0.40
200304,0.61,-0.69
200305,0.50,-0.56
200306,0.35,-0.49
200307,1.03,-0.84
200308,1.67,-0.47
200309,1.56,0.36
200310,0.54,-0.68
200311,2.35,1.40
200312,0.72,-0.23
200401,1.03,0.17
200402,1.30,0.39
200403,0.47,-0.84
200404,3.91,2.61
200405,0.16,-0.90
200406,0.63,-0.21
200407,1.91,0.04
200408,0.77,-1.37
200409,1.59,0.39
200410,1.97,0.75
200411,0.91,-0.04
200412,1.03,0.08
200501,2.41,1.55
200502,1.25,0.34
200503,1.08,-0.23
200504,0.93,-0.37
200505,1.18,0.12
200506,0.38,-0.46
200507,0.73,-1.14
200508,1.90,-0.24
200509,1.61,0.41
200510,1.83,0.61
200511,0.31,-0.64
200512,0.35,-0.60
200601,0.66,-0.20
200602,0.29,-0.62
200603,1.86,0.55
200604,1.41,0.11
200605,0.44,-0.62
200606,0.44,-0.40
200607,3.16,1.29
200608,3.00,0.86
200609,1.50,0.30
200610,2.73,1.51
200611,0.73,-0.22
200612,1.66,0.71
200701,1.35,0.49
200702,0.58,-0.33
200703,1.14,-0.17
200704,1.57,0.27
200705,1.88,0.82
200706,0.63,-0.21
200707,2.35,0.48
200708,1.78,-0.36
200709,1.37,0.17
200710,0.59,-0.63
200711,0.57,-0.38
200712,3.47,2.52
200801,1.92,1.06
200802,1.72,0.81
200803,0.72,-0.59
200804,0.41,-0.89
200805,0.62,-0.44
200806,0.35,-0.49
200807,1.72,-0.15
200808,2.92,0.78
200809,0.50,-0.70
200810,0.65,-0.57
200811,0.64,-0.31
200812,2.85,1.90
200901,0.62,-0.24
200902,0.48,-0.43
200903,1.01,-0.30
200904,1.89,0.59
200905,1.70,0.64
200906,1.62,0.78
200907,1.01,-0.86
200908,1.11,-1.03
200909,1.53,0.33
200910,2.52,1.30
200911,0.32,-0.63
200912,1.12,0.17
201001,1.68,0.82
201002,0.73,-0.18
201003,1.37,0.06
201004,0.98,-0.32
201005,0.29,-0.77
201006,0.40,-0.44
201007,2.23,0.36
201008,2.17,0.03
201009,0.92,-0.28
201010,0.84,-0.38
201011,0.50,-0.45
201012,1.32,0.37
201101,0.21,-0.65
201102,1.32,0.41
201103,0.51,-0.80
201104,1.36,0.06
201105,0.95,-0.11
201106,0.02,-0.82
201107,1.12,-0.75
201108,1.77,-0.37
201109,1.10,-0.10
201110,1.52,0.30
201111,0.67,-0.28
201112,1.22,0.27
201201,0.28,-0.58
201202,1.03,0.12
201203,0.32,-0.99
201204,0.62,-0.68
201205,0.93,-0.13
201206,0.39,-0.45
201207,1.87,0.00
201208,1.22,-0.92
201209,1.88,0.68
201210,0.52,-0.70
201211,0.50,-0.45
201212,1.47,0.52
201301,0.98,0.12
201302,0.54,-0.37
201303,0.56,-0.75
201304,0.92,-0.38
201305,0.52,-0.54
201306,0.34,-0.50
201307,2.56,0.69
201308,2.39,0.25
201309,2.61,1.41
201310,0.76,-0.46
201311,2.08,1.13
201312,0.55,-0.40
201401,0.31,-0.55
201402,0.69,-0.22
201403,0.95,-0.36
201404,0.83,-0.47
201405,1.12,0.06
201406,0.07,-0.77
201407,2.11,0.24
201408,1.36,-0.78
201409,1.07,-0.13
201410,0.85,-0.37
201411,0.79,-0.16
201412,0.62,-0.33
201501,0.72,-0.14
201502,1.79,0.88
201503,0.96,-0.35
201504,0.60,-0.70
201505,3.40,2.34
201506,1.30,0.46
201507,1.93,0.06
201508,1.25,-0.89
201509,0.94,-0.26
201510,1.44,0.22
201511,0.93,-0.02
201512,1.26,0.31
201601,1.03,0.17
201602,0.58,-0.33
201603,0.76,-0.55
201604,2.57,1.27
201605,1.39,0.33
201606,0.20,-0.64
201607,1.00,-0.87
201608,3.00,0.86
201609,0.65,-0.55
201610,0.16,-1.06
201611,0.80,-0.15
201612,1.49,0.54
201701,2.39,1.53
201702,0.99,0.08
201703,0.67,-0.64
201704,1.70,0.40
201705,1.14,0.08
201706,0.13,-0.71
201707,2.74,0.87
201708,1.68,-0.46
201709,2.25,1.05
201710,0.72,-0.50
201711,0.39,-0.56
201712,0.23,-0.72
201801,0.26,-0.60
201802,1.24,0.33
201803,0.79,-0.52
201804,0.32,-0.98
201805,0.37,-0.69
201806,0.60,-0.24
201807,1.86,-0.01
201808,1.24,-0.90
201809,1.11,-0.09
201810,1.71,0.49
201811,0.53,-0.42
201812,0.53,-0.42
201901,1.43,0.57
201902,1.40,0.49
201903,3.14,1.83
201904,1.54,0.24
201905,2.07,1.01
201906,0.56,-0.28
201907,1.37,-0.50
201908,1.66,-0.48
201909,0.63,-0.57
201910,0.44,-0.78
201911,0.88,-0.07
201912,1.50,0.55
202001,0.31,-0.55
