Sitka City and Borough, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,15.64,0.83
200002,6.04,-5.63
200003,18.12,6.04
200004,12.20,2.56
200005,6.82,-1.15
200006,6.53,0.61
200007,8.71,2.30
200008,9.36,-0.07
200009,19.91,3.48
200010,24.13,-0.12
200011,18.22,-0.41
200012,13.67,-3.45
200101,24.87,10.06
200102,11.10,-0.57
200103,14.86,2.78
200104,7.91,-1.73
200105,11.89,3.92
200106,4.14,-1.78
200107,6.50,0.09
200108,7.38,-2.05
200109,19.61,3.18
200110,21.81,-2.44
200111,13.19,-5.44
200112,17.20,0.08
200201,13.02,-1.79
200202,18.38,6.71
200203,4.69,-7.39
200204,1.78,-7.86
200205,7.56,-0.41
200206,5.86,-0.06
200207,6.30,-0.11
200208,19.09,9.66
200209,15.09,-1.34
200210,24.64,0.39
200211,20.10,1.47
200212,18.60,1.48
200301,16.85,2.04
200302,6.73,-4.94
200303,9.67,-2.41
200304,3.21,-6.43
200305,7.71,-0.26
200306,7.56,1.64
200307,3.69,-2.72
200308,10.02,0.59
200309,22.79,6.36
200310,17.30,-6.95
200311,18.53,-0.10
200312,23.02,5.90
200401,15.94,1.13
200402,15.03,3.36
200403,18.67,6.59
200404,11.45,1.81
200405,3.33,-4.64
200406,2.20,-3.72
200407,4.69,-1.72
200408,4.54,-4.89
200409,21.39,4.96
200410,21.00,-3.25
200411,28.19,9.56
200412,29.09,11.97
200501,14.27,-0.54
200502,13.42,1.75
200503,13.89,1.81
200504,8.29,-1.35
200505,3.88,-4.09
200506,4.54,-1.38
200507,9.22,2.81
200508,11.69,2.26
200509,19.66,3.23
200510,20.87,-3.38
200511,32.15,13.52
200512,18.70,1.58
200601,12.20,-2.61
200602,7.42,-4.25
200603,4.30,-7.78
200604,11.77,2.13
200605,12.14,4.17
200606,7.73,1.81
200607,6.02,-0.39
200608,14.06,4.63
200609,25.30,8.87
200610,25.60,1.35
200611,7.75,-10.88
200612,28.69,11.57
200701,17.58,2.77
200702,7.67,-4.00
200703,18.93,6.85
200704,9.79,0.15
200705,8.55,0.58
200706,2.23,-3.69
200707,9.57,3.16
200708,3.36,-6.07
200709,17.78,1.35
200710,27.75,3.50
200711,12.13,-6.50
200712,12.94,-4.18
200801,16.23,1.42
200802,13.42,1.75
200803,13.14,1.06
200804,11.96,2.32
200805,7.44,-0.53
200806,4.51,-1.41
200807,10.71,4.30
200808,9.00,-0.43
200809,18.08,1.65
200810,36.97,12.72
200811,18.51,-0.12
200812,10.89,-6.23
200901,23.36,8.55
200902,10.25,-1.42
200903,13.41,1.33
200904,5.32,-4.32
200905,3.83,-4.14
200906,4.01,-1.91
200907,2.46,-3.95
200908,15.03,5.60
200909,19.00,2.57
200910,17.36,-6.89
200911,22.68,4.05
200912,10.51,-6.61
201001,16.09,1.28
201002,6.44,-5.23
201003,22.96,10.88
201004,5.48,-4.16
201005,3.01,-4.96
201006,8.02,2.10
201007,5.87,-0.54
201008,6.19,-3.24
201009,11.20,-5.23
201010,27.68,3.43
201011,19.80,1.17
201012,7.02,-10.10
201101,15.14,0.33
201102,13.06,1.39
201103,5.24,-6.84
201104,6.89,-2.75
201105,4.70,-3.27
201106,3.91,-2.01
201107,6.68,0.27
201108,18.22,8.79
201109,23.89,7.46
201110,21.45,-2.80
201111,19.26,0.63
201112,24.08,6.96
201201,20.22,5.41
201202,9.93,-1.74
201203,9.64,-2.44
201204,5.10,-4.54
201205,12.87,4.90
201206,8.05,2.13
201207,6.24,-0.17
201208,9.96,0.53
201209,23.04,6.61
201210,9.40,-14.85
201211,12.96,-5.67
201212,14.06,-3.06
201301,17.55,2.74
201302,19.64,7.97
201303,8.06,-4.02
201304,13.61,3.97
201305,9.98,2.01
201306,5.16,-0.76
201307,5.69,-0.72
201308,5.96,-3.47
201309,13.82,-2.61
201310,21.17,-3.08
201311,19.47,0.84
201312,24.73,7.61
201401,24.01,9.20
201402,4.15,-7.52
201403,10.69,-1.39
201404,8.81,-0.83
201405,2.72,-5.25
201406,10.88,4.96
201407,11.61,5.20
201408,17.46,8.03
201409,17.44,1.01
201410,21.61,-2.64
201411,14.36,-4.27
201412,12.25,-4.87
201501,31.80,16.99
201502,8.98,-2.69
201503,14.19,2.11
201504,17.86,8.22
201505,0.87,-7.10
201506,7.44,1.52
201507,12.67,6.26
201508,15.75,6.32
201509,21.42,4.99
201510,23.03,-1.22
201511,27.20,8.57
201512,9.50,-7.62
201601,20.53,5.72
201602,14.01,2.34
201603,7.65,-4.43
201604,11.35,1.71
201605,11.98,4.01
201606,6.78,0.86
201607,6.76,0.35
201608,9.70,0.27
201609,20.96,4.53
201610,8.23,-16.02
201611,18.85,0.22
201612,16.65,-0.47
201701,18.00,3.19
201702,12.10,0.43
201703,10.13,-1.95
201704,5.26,-4.38
201705,9.14,1.17
201706,7.19,1.27
201707,7.00,0.59
201708,14.90,5.47
201709,20.91,4.48
201710,20.29,-3.96
201711,5.92,-12.71
201712,15.21,-1.91
201801,10.81,-4.00
201802,7.13,-4.54
201803,7.39,-4.69
201804,7.95,-1.69
201805,10.71,2.74
201806,5.45,-0.47
201807,3.05,-3.36
201808,11.41,1.98
201809,4.22,-12.21
201810,23.14,-1.11
201811,16.97,-1.66
201812,12.98,-4.14
201901,14.14,-0.67
201902,4.82,-6.85
201903,9.81,-2.27
201904,11.45,1.81
201905,4.12,-3.85
201906,6.01,0.09
201907,5.19,-1.22
201908,7.01,-2.42
201909,15.28,-1.15
201910,16.94,-7.31
201911,26.03,7.40
201912,16.90,-0.22
202001,14.44,-0.37
