Hanover County, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.45,0.06
200002,1.76,-1.15
200003,3.82,0.06
200004,5.47,2.15
200005,3.36,-0.39
200006,5.70,1.86
200007,4.87,0.46
200008,4.64,-0.14
200009,3.63,0.02
200010,0.06,-3.15
200011,1.80,-1.09
200012,2.49,-0.70
200101,2.51,-0.88
200102,2.43,-0.48
200103,4.70,0.94
200104,1.44,-1.88
200105,3.95,0.20
200106,4.52,0.68
200107,4.62,0.21
200108,5.09,0.31
200109,2.48,-1.13
200110,0.62,-2.59
200111,0.21,-2.68
200112,1.96,-1.23
200201,2.86,-0.53
200202,0.81,-2.10
200203,3.75,-0.01
200204,2.85,-0.47
200205,3.89,0.14
200206,1.90,-1.94
200207,2.27,-2.14
200208,2.62,-2.16
200209,2.51,-1.10
200210,6.52,3.31
200211,4.98,2.09
200212,3.71,0.52
200301,1.79,-1.60
200302,5.45,2.54
200303,5.18,1.42
200304,4.35,1.03
200305,8.11,4.36
200306,6.17,2.33
200307,7.94,3.53
200308,5.50,0.72
200309,9.97,6.36
200310,2.60,-0.61
200311,3.70,0.81
200312,4.74,1.55
200401,1.81,-1.58
200402,1.81,-1.10
200403,2.35,-1.41
200404,3.99,0.67
200405,5.24,1.49
200406,5.62,1.78
200407,6.57,2.16
200408,12.21,7.43
200409,6.41,2.80
200410,1.20,-2.01
200411,4.02,1.13
200412,2.26,-0.93
200501,3.42,0.03
200502,1.63,-1.28
200503,3.46,-0.30
200504,2.21,-1.11
200505,4.32,0.57
200506,1.09,-2.75
200507,5.78,1.37
200508,2.23,-2.55
200509,0.20,-3.41
200510,6.71,3.50
200511,2.95,0.06
200512,4.09,0.90
200601,3.25,-0.14
200602,1.88,-1.03
200603,0.24,-3.52
200604,2.89,-0.43
200605,2.76,-0.99
200606,6.11,2.27
200607,2.97,-1.44
200608,2.97,-1.81
200609,8.12,4.51
200610,6.99,3.78
200611,7.31,4.42
200612,1.41,-1.78
200701,4.96,1.57
200702,2.24,-0.67
200703,2.61,-1.15
200704,3.22,-0.10
200705,2.32,-1.43
200706,4.59,0.75
200707,1.73,-2.68
200708,4.76,-0.02
200709,0.98,-2.63
200710,4.66,1.45
200711,1.01,-1.88
200712,3.21,0.02
200801,1.37,-2.02
200802,2.99,0.08
200803,2.85,-0.91
200804,7.54,4.22
200805,4.44,0.69
200806,2.63,-1.21
200807,4.79,0.38
200808,3.12,-1.66
200809,6.44,2.83
200810,1.36,-1.85
200811,3.76,0.87
200812,4.40,1.21
200901,1.73,-1.66
200902,0.47,-2.44
200903,4.12,0.36
200904,2.41,-0.91
200905,4.20,0.45
200906,5.97,2.13
200907,3.56,-0.85
200908,4.37,-0.41
200909,2.78,-0.83
200910,4.30,1.09
200911,10.44,7.55
200912,8.79,5.60
201001,3.99,0.60
201002,3.48,0.57
201003,5.68,1.92
201004,1.57,-1.75
201005,3.18,-0.57
201006,1.67,-2.17
201007,2.21,-2.20
201008,3.69,-1.09
201009,5.82,2.21
201010,4.38,1.17
201011,1.72,-1.17
201012,2.76,-0.43
201101,2.08,-1.31
201102,1.44,-1.47
201103,4.66,0.90
201104,2.68,-0.64
201105,3.79,0.04
201106,4.29,0.45
201107,5.86,1.45
201108,5.89,1.11
201109,8.15,4.54
201110,3.35,0.14
201111,3.44,0.55
201112,3.13,-0.06
201201,1.92,-1.47
201202,3.15,0.24
201203,3.70,-0.06
201204,3.07,-0.25
201205,4.55,0.80
201206,2.69,-1.15
201207,3.68,-0.73
201208,3.07,-1.71
201209,3.53,-0.08
201210,4.19,0.98
201211,0.36,-2.53
201212,3.30,0.11
201301,5.13,1.74
201302,2.06,-0.85
201303,4.73,0.97
201304,3.67,0.35
201305,3.91,0.16
201306,7.34,3.50
201307,5.63,1.22
201308,7.08,2.30
201309,1.47,-2.14
201310,3.68,0.47
201311,3.34,0.45
201312,5.82,2.63
201401,2.89,-0.50
201402,3.28,0.37
201403,3.34,-0.42
201404,6.14,2.82
201405,3.60,-0.15
201406,3.80,-0.04
201407,2.04,-2.37
201408,4.91,0.13
201409,2.18,-1.43
201410,2.66,-0.55
201411,3.05,0.16
201412,2.95,-0.24
201501,3.35,-0.04
201502,3.31,0.40
201503,3.51,-0.25
201504,4.11,0.79
201505,1.82,-1.93
201506,9.11,5.27
201507,4.49,0.08
201508,2.54,-2.24
201509,4.81,1.20
201510,4.67,1.46
201511,4.31,1.42
201512,5.51,2.32
201601,3.37,-0.02
201602,4.21,1.30
201603,1.14,-2.62
201604,2.83,-0.49
201605,10.23,6.48
201606,4.71,0.87
201607,4.32,-0.09
201608,2.60,-2.18
201609,7.62,4.01
201610,4.00,0.79
201611,1.51,-1.38
201612,2.90,-0.29
201701,4.09,0.70
201702,0.69,-2.22
201703,3.11,-0.65
201704,3.47,0.15
201705,6.55,2.80
201706,4.12,0.28
201707,3.59,-0.82
201708,4.18,-0.60
201709,2.60,-1.01
201710,4.52,1.31
201711,1.79,-1.10
201712,0.83,-2.36
201801,2.85,-0.54
201802,3.58,0.67
201803,2.52,-1.24
201804,4.13,0.81
201805,10.60,6.85
201806,7.64,3.80
201807,5.98,1.57
201808,4.11,-0.67
201809,6.62,3.01
201810,6.91,3.70
201811,6.15,3.26
201812,3.71,0.52
201901,2.79,-0.60
201902,4.62,1.71
201903,3.58,-0.18
201904,3.58,0.26
201905,2.85,-0.90
201906,6.08,2.24
201907,4.46,0.05
201908,3.96,-0.82
201909,0.53,-3.08
201910,5.37,2.16
201911,1.87,-1.02
201912,3.21,0.02
202001,3.12,-0.27
