Stanislaus County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.30,1.54
200002,5.87,3.34
200003,1.06,-1.20
200004,1.48,0.44
200005,0.83,0.37
200006,0.23,0.14
200007,0.00,-0.01
200008,0.03,0.02
200009,0.10,-0.07
200010,2.44,1.81
200011,0.38,-1.08
200012,0.35,-1.87
200101,3.29,0.53
200102,2.66,0.13
200103,2.11,-0.15
200104,1.37,0.33
200105,0.00,-0.46
200106,0.02,-0.07
200107,0.01,0.00
200108,0.00,-0.01
200109,0.14,-0.03
200110,0.20,-0.43
200111,2.21,0.75
200112,4.58,2.36
200201,1.55,-1.21
200202,0.85,-1.68
200203,1.69,-0.57
200204,0.18,-0.86
200205,0.31,-0.15
200206,0.00,-0.09
200207,0.00,-0.01
200208,0.00,-0.01
200209,0.00,-0.17
200210,0.00,-0.63
200211,2.39,0.93
200212,4.81,2.59
200301,0.71,-2.05
200302,1.11,-1.42
200303,1.34,-0.92
200304,1.79,0.75
200305,0.51,0.05
200306,0.00,-0.09
200307,0.00,-0.01
200308,0.13,0.12
200309,0.01,-0.16
200310,0.07,-0.56
200311,1.03,-0.43
200312,3.83,1.61
200401,1.35,-1.41
200402,3.60,1.07
200403,0.46,-1.80
200404,0.09,-0.95
200405,0.15,-0.31
200406,0.00,-0.09
200407,0.00,-0.01
200408,0.00,-0.01
200409,0.16,-0.01
200410,2.22,1.59
200411,1.41,-0.05
200412,3.69,1.47
200501,3.48,0.72
200502,3.21,0.68
200503,2.93,0.67
200504,1.20,0.16
200505,1.06,0.60
200506,0.19,0.10
200507,0.00,-0.01
200508,0.02,0.01
200509,0.20,0.03
200510,0.11,-0.52
200511,0.46,-1.00
200512,4.00,1.78
200601,2.94,0.18
200602,1.19,-1.34
200603,4.23,1.97
200604,2.71,1.67
200605,0.87,0.41
200606,0.00,-0.09
200607,0.01,0.00
200608,0.00,-0.01
200609,0.00,-0.17
200610,0.30,-0.33
200611,1.04,-0.42
200612,2.16,-0.06
200701,0.57,-2.19
200702,2.67,0.14
200703,0.47,-1.79
200704,0.88,-0.16
200705,0.11,-0.35
200706,0.00,-0.09
200707,0.01,0.00
200708,0.00,-0.01
200709,0.16,-0.01
200710,0.86,0.23
200711,0.45,-1.01
200712,1.74,-0.48
200801,5.23,2.47
200802,2.15,-0.38
200803,0.07,-2.19
200804,0.02,-1.02
200805,0.07,-0.39
200806,0.00,-0.09
200807,0.00,-0.01
200808,0.00,-0.01
200809,0.00,-0.17
200810,0.44,-0.19
200811,1.04,-0.42
200812,1.62,-0.60
200901,1.54,-1.22
200902,3.13,0.60
200903,1.13,-1.13
200904,0.46,-0.58
200905,0.53,0.07
200906,0.16,0.07
200907,0.00,-0.01
200908,0.01,0.00
200909,0.17,0.00
200910,2.12,1.49
200911,0.25,-1.21
200912,2.10,-0.12
201001,4.09,1.33
201002,3.04,0.51
201003,1.40,-0.86
201004,2.44,1.40
201005,0.61,0.15
201006,0.02,-0.07
201007,0.00,-0.01
201008,0.00,-0.01
201009,0.00,-0.17
201010,1.13,0.50
201011,2.39,0.93
201012,4.31,2.09
201101,1.31,-1.45
201102,2.77,0.24
201103,4.25,1.99
201104,0.16,-0.88
201105,0.79,0.33
201106,0.50,0.41
201107,0.00,-0.01
201108,0.00,-0.01
201109,0.01,-0.16
201110,1.15,0.52
201111,0.83,-0.63
201112,0.12,-2.10
201201,1.42,-1.34
201202,0.87,-1.66
201203,2.84,0.58
201204,2.02,0.98
201205,0.07,-0.39
201206,0.09,0.00
201207,0.01,0.00
201208,0.00,-0.01
201209,0.02,-0.15
201210,0.36,-0.27
201211,2.13,0.67
201212,4.37,2.15
201301,1.07,-1.69
201302,0.37,-2.16
201303,0.86,-1.40
201304,0.47,-0.57
201305,0.09,-0.37
201306,0.06,-0.03
201307,0.00,-0.01
201308,0.00,-0.01
201309,0.16,-0.01
201310,0.04,-0.59
201311,0.92,-0.54
201312,0.33,-1.89
201401,0.41,-2.35
201402,2.84,0.31
201403,1.75,-0.51
201404,0.89,-0.15
201405,0.04,-0.42
201406,0.00,-0.09
201407,0.00,-0.01
201408,0.00,-0.01
201409,0.22,0.05
201410,0.51,-0.12
201411,1.52,0.06
201412,6.24,4.02
201501,0.02,-2.74
201502,1.96,-0.57
201503,0.23,-2.03
201504,0.77,-0.27
201505,0.23,-0.23
201506,0.02,-0.07
201507,0.01,0.00
201508,0.01,0.00
201509,0.01,-0.16
201510,0.39,-0.24
201511,2.51,1.05
201512,2.47,0.25
201601,5.05,2.29
201602,0.63,-1.90
201603,4.07,1.81
201604,1.94,0.90
201605,0.33,-0.13
201606,0.00,-0.09
201607,0.00,-0.01
201608,0.00,-0.01
201609,0.00,-0.17
201610,2.54,1.91
201611,1.20,-0.26
201612,2.28,0.06
201701,6.98,4.22
201702,4.92,2.39
201703,1.80,-0.46
201704,1.55,0.51
201705,0.12,-0.34
201706,0.02,-0.07
201707,0.00,-0.01
201708,0.00,-0.01
201709,0.03,-0.14
201710,0.12,-0.51
201711,1.21,-0.25
201712,0.07,-2.15
201801,2.89,0.13
201802,0.49,-2.04
201803,3.27,1.01
201804,1.77,0.73
201805,0.12,-0.34
201806,0.00,-0.09
201807,0.00,-0.01
201808,0.00,-0.01
201809,0.00,-0.17
201810,0.16,-0.47
201811,2.84,1.38
201812,2.03,-0.19
201901,2.89,0.13
201902,4.82,2.29
201903,3.01,0.75
201904,0.35,-0.69
201905,1.89,1.43
201906,0.00,-0.09
201907,0.00,-0.01
201908,0.00,-0.01
201909,0.09,-0.08
201910,0.00,-0.63
201911,0.69,-0.77
201912,4.00,1.78
202001,0.85,-1.91
