Dickinson County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.79,0.53
200002,1.46,0.32
200003,2.34,0.63
200004,2.01,-0.24
200005,1.94,-1.14
200006,4.79,1.16
200007,4.59,0.96
200008,3.14,-0.19
200009,3.94,0.47
200010,1.21,-1.29
200011,2.32,0.07
200012,1.24,-0.21
200101,1.58,0.32
200102,1.40,0.26
200103,0.76,-0.95
200104,2.85,0.60
200105,3.39,0.31
200106,4.05,0.42
200107,2.20,-1.43
200108,1.81,-1.52
200109,3.65,0.18
200110,2.82,0.32
200111,2.83,0.58
200112,1.64,0.19
200201,0.50,-0.76
200202,1.94,0.80
200203,3.01,1.30
200204,5.53,3.28
200205,3.28,0.20
200206,4.08,0.45
200207,4.02,0.39
200208,3.89,0.56
200209,3.50,0.03
200210,5.33,2.83
200211,0.77,-1.48
200212,0.55,-0.90
200301,0.43,-0.83
200302,1.39,0.25
200303,2.42,0.71
200304,3.11,0.86
200305,2.81,-0.27
200306,2.24,-1.39
200307,1.87,-1.76
200308,3.64,0.31
200309,3.91,0.44
200310,1.51,-0.99
200311,2.27,0.02
200312,1.42,-0.03
200401,1.12,-0.14
200402,2.02,0.88
200403,3.28,1.57
200404,2.27,0.02
200405,4.94,1.86
200406,3.28,-0.35
200407,3.06,-0.57
200408,2.74,-0.59
200409,1.81,-1.66
200410,4.25,1.75
200411,1.89,-0.36
200412,2.09,0.64
200501,1.20,-0.06
200502,1.08,-0.06
200503,0.71,-1.00
200504,1.50,-0.75
200505,2.27,-0.81
200506,3.08,-0.55
200507,3.26,-0.37
200508,2.58,-0.75
200509,2.98,-0.49
200510,5.21,2.71
200511,2.99,0.74
200512,1.20,-0.25
200601,1.75,0.49
200602,1.29,0.15
200603,1.48,-0.23
200604,1.22,-1.03
200605,6.14,3.06
200606,1.65,-1.98
200607,3.04,-0.59
200608,4.41,1.08
200609,2.95,-0.52
200610,1.95,-0.55
200611,2.00,-0.25
200612,2.33,0.88
200701,0.80,-0.46
200702,0.89,-0.25
200703,2.08,0.37
200704,1.58,-0.67
200705,1.33,-1.75
200706,2.55,-1.08
200707,2.58,-1.05
200708,1.77,-1.56
200709,3.00,-0.47
200710,5.45,2.95
200711,0.60,-1.65
200712,2.27,0.82
200801,1.46,0.20
200802,1.02,-0.12
200803,0.92,-0.79
200804,4.37,2.12
200805,2.84,-0.24
200806,3.29,-0.34
200807,2.82,-0.81
200808,0.80,-2.53
200809,2.25,-1.22
200810,1.56,-0.94
200811,1.20,-1.05
200812,2.07,0.62
200901,0.57,-0.69
200902,1.03,-0.11
200903,0.64,-1.07
200904,3.76,1.51
200905,3.10,0.02
200906,2.08,-1.55
200907,1.93,-1.70
200908,3.27,-0.06
200909,1.44,-2.03
200910,5.04,2.54
200911,0.68,-1.57
200912,1.91,0.46
201001,0.88,-0.38
201002,0.47,-0.67
201003,0.55,-1.16
201004,0.56,-1.69
201005,1.54,-1.54
201006,7.60,3.97
201007,6.69,3.06
201008,3.13,-0.20
201009,8.44,4.97
201010,3.12,0.62
201011,2.21,-0.04
201012,1.23,-0.22
201101,0.57,-0.69
201102,0.10,-1.04
201103,1.06,-0.65
201104,3.20,0.95
201105,3.71,0.63
201106,3.84,0.21
201107,1.54,-2.09
201108,1.65,-1.68
201109,3.20,-0.27
201110,1.43,-1.07
201111,1.14,-1.11
201112,1.52,0.07
201201,1.15,-0.11
201202,0.77,-0.37
201203,1.29,-0.42
201204,1.28,-0.97
201205,3.49,0.41
201206,2.31,-1.32
201207,3.70,0.07
201208,1.47,-1.86
201209,2.41,-1.06
201210,3.46,0.96
201211,1.34,-0.91
201212,1.11,-0.34
201301,1.13,-0.13
201302,1.36,0.22
201303,1.63,-0.08
201304,3.29,1.04
201305,2.82,-0.26
201306,3.97,0.34
201307,3.38,-0.25
201308,3.78,0.45
201309,2.06,-1.41
201310,2.49,-0.01
201311,3.05,0.80
201312,1.49,0.04
201401,1.22,-0.04
201402,1.31,0.17
201403,0.92,-0.79
201404,3.21,0.96
201405,2.52,-0.56
201406,3.51,-0.12
201407,1.82,-1.81
201408,3.44,0.11
201409,5.73,2.26
201410,3.82,1.32
201411,3.18,0.93
201412,2.07,0.62
201501,0.54,-0.72
201502,0.29,-0.85
201503,0.73,-0.98
201504,2.93,0.68
201505,5.10,2.02
201506,3.16,-0.47
201507,2.31,-1.32
201508,3.98,0.65
201509,2.89,-0.58
201510,2.38,-0.12
201511,3.12,0.87
201512,3.88,2.43
201601,0.96,-0.30
201602,0.98,-0.16
201603,2.56,0.85
201604,2.55,0.30
201605,2.92,-0.16
201606,3.69,0.06
201607,2.63,-1.00
201608,3.31,-0.02
201609,4.30,0.83
201610,4.27,1.77
201611,1.62,-0.63
201612,1.82,0.37
201701,1.42,0.16
201702,1.32,0.18
201703,1.09,-0.62
201704,6.70,4.45
201705,4.44,1.36
201706,6.32,2.69
201707,3.41,-0.22
201708,3.88,0.55
201709,2.57,-0.90
201710,3.85,1.35
201711,1.45,-0.80
201712,1.91,0.46
201801,1.17,-0.09
201802,1.06,-0.08
201803,0.69,-1.02
201804,1.66,-0.59
201805,1.89,-1.19
201806,4.65,1.02
201807,2.66,-0.97
201808,3.86,0.53
201809,4.74,1.27
201810,6.26,3.76
201811,2.36,0.11
201812,1.20,-0.25
201901,1.12,-0.14
201902,3.80,2.66
201903,0.76,-0.95
201904,3.31,1.06
201905,5.31,2.23
201906,1.44,-2.19
201907,3.12,-0.51
201908,2.37,-0.96
201909,5.78,2.31
201910,4.27,1.77
201911,1.37,-0.88
201912,3.95,2.50
202001,2.14,0.88
