Grayson County, Kentucky, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.81,0.28
200002,4.80,1.03
200003,3.27,-1.54
200004,5.23,0.87
200005,4.47,-0.06
200006,3.68,-0.57
200007,5.84,1.54
200008,4.48,0.94
200009,3.26,-0.18
200010,0.81,-2.18
200011,3.61,-0.34
200012,4.08,-0.45
200101,1.94,-2.59
200102,5.17,1.40
200103,2.64,-2.17
200104,2.64,-1.72
200105,4.39,-0.14
200106,4.09,-0.16
200107,6.28,1.98
200108,3.64,0.10
200109,3.66,0.22
200110,6.07,3.08
200111,6.57,2.62
200112,4.93,0.40
200201,3.35,-1.18
200202,1.64,-2.13
200203,7.67,2.86
200204,6.38,2.02
200205,5.44,0.91
200206,2.88,-1.37
200207,3.60,-0.70
200208,3.93,0.39
200209,8.66,5.22
200210,5.91,2.92
200211,3.03,-0.92
200212,5.96,1.43
200301,2.40,-2.13
200302,6.84,3.07
200303,1.99,-2.82
200304,6.85,2.49
200305,7.18,2.65
200306,5.20,0.95
200307,3.44,-0.86
200308,6.03,2.49
200309,5.88,2.44
200310,2.35,-0.64
200311,5.24,1.29
200312,3.51,-1.02
200401,4.29,-0.24
200402,2.05,-1.72
200403,4.21,-0.60
200404,5.51,1.15
200405,10.23,5.70
200406,4.41,0.16
200407,4.88,0.58
200408,2.66,-0.88
200409,1.08,-2.36
200410,3.58,0.59
200411,7.14,3.19
200412,5.38,0.85
200501,4.80,0.27
200502,2.72,-1.05
200503,4.55,-0.26
200504,4.57,0.21
200505,3.37,-1.16
200506,2.42,-1.83
200507,3.92,-0.38
200508,8.84,5.30
200509,1.09,-2.35
200510,0.46,-2.53
200511,3.24,-0.71
200512,2.58,-1.95
200601,5.81,1.28
200602,2.08,-1.69
200603,2.94,-1.87
200604,3.40,-0.96
200605,5.98,1.45
200606,4.61,0.36
200607,5.98,1.68
200608,3.71,0.17
200609,7.84,4.40
200610,4.79,1.80
200611,3.87,-0.08
200612,3.34,-1.19
200701,4.76,0.23
200702,2.56,-1.21
200703,2.52,-2.29
200704,3.66,-0.70
200705,3.03,-1.50
200706,3.43,-0.82
200707,3.72,-0.58
200708,2.89,-0.65
200709,2.33,-1.11
200710,9.51,6.52
200711,3.26,-0.69
200712,9.85,5.32
200801,4.06,-0.47
200802,5.99,2.22
200803,8.74,3.93
200804,6.10,1.74
200805,6.82,2.29
200806,2.59,-1.66
200807,4.79,0.49
200808,0.66,-2.88
200809,1.08,-2.36
200810,3.76,0.77
200811,2.69,-1.26
200812,6.68,2.15
200901,2.91,-1.62
200902,2.41,-1.36
200903,3.11,-1.70
200904,5.14,0.78
200905,7.25,2.72
200906,6.68,2.43
200907,7.09,2.79
200908,2.78,-0.76
200909,4.27,0.83
200910,9.08,6.09
200911,0.99,-2.96
200912,3.49,-1.04
201001,2.99,-1.54
201002,2.16,-1.61
201003,2.88,-1.93
201004,4.15,-0.21
201005,9.32,4.79
201006,2.40,-1.85
201007,4.95,0.65
201008,2.06,-1.48
201009,1.15,-2.29
201010,1.67,-1.32
201011,5.13,1.18
201012,2.59,-1.94
201101,1.93,-2.60
201102,5.56,1.79
201103,5.08,0.27
201104,15.58,11.22
201105,8.39,3.86
201106,6.93,2.68
201107,3.07,-1.23
201108,1.67,-1.87
201109,5.69,2.25
201110,2.11,-0.88
201111,9.68,5.73
201112,5.73,1.20
201201,4.46,-0.07
201202,2.38,-1.39
201203,4.73,-0.08
201204,2.10,-2.26
201205,4.04,-0.49
201206,1.51,-2.74
201207,4.34,0.04
201208,3.53,-0.01
201209,6.00,2.56
201210,2.73,-0.26
201211,1.66,-2.29
201212,4.92,0.39
201301,5.74,1.21
201302,2.33,-1.44
201303,5.09,0.28
201304,4.37,0.01
201305,4.68,0.15
201306,6.57,2.32
201307,7.35,3.05
201308,4.08,0.54
201309,4.24,0.80
201310,4.01,1.02
201311,3.65,-0.30
201312,5.81,1.28
201401,2.44,-2.09
201402,4.43,0.66
201403,3.31,-1.50
201404,7.66,3.30
201405,4.46,-0.07
201406,3.28,-0.97
201407,1.83,-2.47
201408,5.29,1.75
201409,1.93,-1.51
201410,5.33,2.34
201411,2.14,-1.81
201412,3.00,-1.53
201501,1.69,-2.84
201502,3.09,-0.68
201503,6.64,1.83
201504,10.61,6.25
201505,4.86,0.33
201506,5.50,1.25
201507,9.13,4.83
201508,3.70,0.16
201509,3.14,-0.30
201510,5.49,2.50
201511,5.54,1.59
201512,7.61,3.08
201601,1.46,-3.07
201602,4.95,1.18
201603,5.43,0.62
201604,4.04,-0.32
201605,6.76,2.23
201606,4.33,0.08
201607,9.37,5.07
201608,5.43,1.89
201609,2.69,-0.75
201610,1.10,-1.89
201611,1.90,-2.05
201612,6.53,2.00
201701,5.30,0.77
201702,2.36,-1.41
201703,4.04,-0.77
201704,3.88,-0.48
201705,6.55,2.02
201706,5.21,0.96
201707,3.78,-0.52
201708,2.57,-0.97
201709,7.50,4.06
201710,6.21,3.22
201711,2.11,-1.84
201712,2.96,-1.57
201801,2.53,-2.00
201802,9.74,5.97
201803,5.04,0.23
201804,3.89,-0.47
201805,4.41,-0.12
201806,5.46,1.21
201807,3.26,-1.04
201808,4.74,1.20
201809,6.22,2.78
201810,2.86,-0.13
201811,7.39,3.44
201812,5.01,0.48
201901,4.52,-0.01
201902,10.60,6.83
201903,3.53,-1.28
201904,5.78,1.42
201905,3.98,-0.55
201906,11.15,6.90
201907,3.59,-0.71
201908,3.88,0.34
201909,0.07,-3.37
201910,7.64,4.65
201911,5.27,1.32
201912,6.55,2.02
202001,4.85,0.32
