Blaine County, Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.04,0.54
200002,3.07,0.94
200003,1.33,-0.53
200004,1.06,-0.33
200005,1.35,-0.39
200006,0.26,-1.12
200007,0.18,-0.45
200008,0.44,-0.25
200009,1.64,0.78
200010,2.79,1.49
200011,0.78,-1.13
200012,1.20,-1.21
200101,1.38,-1.12
200102,0.86,-1.27
200103,0.82,-1.04
200104,1.58,0.19
200105,0.45,-1.29
200106,0.52,-0.86
200107,0.91,0.28
200108,0.25,-0.44
200109,0.60,-0.26
200110,1.01,-0.29
200111,1.71,-0.20
200112,3.40,0.99
200201,1.81,-0.69
200202,0.71,-1.42
200203,1.55,-0.31
200204,1.46,0.07
200205,0.68,-1.06
200206,0.76,-0.62
200207,0.23,-0.40
200208,0.23,-0.46
200209,0.55,-0.31
200210,0.74,-0.56
200211,1.24,-0.67
200212,3.20,0.79
200301,1.38,-1.12
200302,1.26,-0.87
200303,1.81,-0.05
200304,2.58,1.19
200305,1.28,-0.46
200306,0.24,-1.14
200307,0.17,-0.46
200308,0.91,0.22
200309,0.42,-0.44
200310,0.20,-1.10
200311,1.17,-0.74
200312,3.75,1.34
200401,1.97,-0.53
200402,2.41,0.28
200403,0.44,-1.42
200404,0.99,-0.40
200405,2.01,0.27
200406,0.72,-0.66
200407,1.20,0.57
200408,1.18,0.49
200409,1.12,0.26
200410,2.30,1.00
200411,0.41,-1.50
200412,2.86,0.45
200501,1.70,-0.80
200502,0.49,-1.64
200503,1.89,0.03
200504,1.81,0.42
200505,5.02,3.28
200506,1.68,0.30
200507,0.29,-0.34
200508,0.31,-0.38
200509,0.53,-0.33
200510,0.94,-0.36
200511,2.43,0.52
200512,5.09,2.68
200601,3.87,1.37
200602,1.64,-0.49
200603,2.69,0.83
200604,3.50,2.11
200605,1.10,-0.64
200606,0.94,-0.44
200607,0.58,-0.05
200608,0.14,-0.55
200609,0.87,0.01
200610,1.50,0.20
200611,2.20,0.29
200612,2.29,-0.12
200701,0.57,-1.93
200702,1.85,-0.28
200703,0.65,-1.21
200704,1.18,-0.21
200705,0.46,-1.28
200706,0.87,-0.51
200707,0.52,-0.11
200708,0.28,-0.41
200709,0.99,0.13
200710,2.41,1.11
200711,1.06,-0.85
200712,2.49,0.08
200801,3.75,1.25
200802,1.67,-0.46
200803,1.04,-0.82
200804,0.48,-0.91
200805,1.12,-0.62
200806,0.49,-0.89
200807,0.09,-0.54
200808,0.16,-0.53
200809,0.40,-0.46
200810,0.91,-0.39
200811,2.11,0.20
200812,3.64,1.23
200901,1.52,-0.98
200902,1.37,-0.76
200903,2.16,0.30
200904,1.33,-0.06
200905,1.70,-0.04
200906,4.93,3.55
200907,0.48,-0.15
200908,0.74,0.05
200909,0.37,-0.49
200910,2.40,1.10
200911,0.69,-1.22
200912,1.15,-1.26
201001,2.57,0.07
201002,0.67,-1.46
201003,1.80,-0.06
201004,2.15,0.76
201005,2.03,0.29
201006,2.01,0.63
201007,0.49,-0.14
201008,0.54,-0.15
201009,0.54,-0.32
201010,2.21,0.91
201011,2.14,0.23
201012,3.58,1.17
201101,0.74,-1.76
201102,1.10,-1.03
201103,3.48,1.62
201104,1.70,0.31
201105,2.03,0.29
201106,1.19,-0.19
201107,0.16,-0.47
201108,0.42,-0.27
201109,0.41,-0.45
201110,3.25,1.95
201111,1.06,-0.85
201112,0.94,-1.47
201201,2.80,0.30
201202,0.63,-1.50
201203,4.03,2.17
201204,1.12,-0.27
201205,1.29,-0.45
201206,0.35,-1.03
201207,0.75,0.12
201208,0.33,-0.36
201209,0.32,-0.54
201210,1.13,-0.17
201211,2.41,0.50
201212,4.69,2.28
201301,1.02,-1.48
201302,0.50,-1.63
201303,0.93,-0.93
201304,0.67,-0.72
201305,0.87,-0.87
201306,0.55,-0.83
201307,0.60,-0.03
201308,0.29,-0.40
201309,2.69,1.83
201310,0.80,-0.50
201311,0.64,-1.27
201312,0.66,-1.75
201401,1.26,-1.24
201402,2.63,0.50
201403,2.26,0.40
201404,1.30,-0.09
201405,0.57,-1.17
201406,0.59,-0.79
201407,0.58,-0.05
201408,2.32,1.63
201409,1.72,0.86
201410,0.36,-0.94
201411,1.92,0.01
201412,2.96,0.55
201501,1.14,-1.36
201502,1.43,-0.70
201503,0.36,-1.50
201504,0.71,-0.68
201505,3.33,1.59
201506,0.50,-0.88
201507,0.98,0.35
201508,1.11,0.42
201509,1.19,0.33
201510,1.15,-0.15
201511,1.74,-0.17
201512,4.12,1.71
201601,2.19,-0.31
201602,0.65,-1.48
201603,2.97,1.11
201604,1.43,0.04
201605,2.02,0.28
201606,0.36,-1.02
201607,0.20,-0.43
201608,0.07,-0.62
201609,2.21,1.35
201610,3.70,2.40
201611,0.50,-1.41
201612,3.77,1.36
201701,4.46,1.96
201702,6.81,4.68
201703,2.31,0.45
201704,2.03,0.64
201705,1.50,-0.24
201706,0.98,-0.40
201707,0.42,-0.21
201708,0.42,-0.27
201709,1.82,0.96
201710,0.88,-0.42
201711,3.06,1.15
201712,0.64,-1.77
201801,1.61,-0.89
201802,1.25,-0.88
201803,3.28,1.42
201804,1.24,-0.15
201805,2.59,0.85
201806,1.04,-0.34
201807,0.11,-0.52
201808,0.20,-0.49
201809,0.08,-0.78
201810,1.41,0.11
201811,1.11,-0.80
201812,1.20,-1.21
201901,2.32,-0.18
201902,5.95,3.82
201903,0.99,-0.87
201904,1.85,0.46
201905,3.14,1.40
201906,0.74,-0.64
201907,0.58,-0.05
201908,0.32,-0.37
201909,1.39,0.53
201910,0.81,-0.49
201911,0.57,-1.34
201912,1.99,-0.42
202001,2.21,-0.29
