Perry County, Arkansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.59,-1.24
200002,2.45,-1.06
200003,3.48,-1.21
200004,3.19,-1.79
200005,4.90,-0.50
200006,7.78,3.60
200007,0.69,-2.81
200008,0.32,-3.01
200009,2.43,-1.16
200010,1.47,-2.05
200011,10.39,6.12
200012,2.54,-1.62
200101,2.87,-0.96
200102,7.81,4.30
200103,3.21,-1.48
200104,1.40,-3.58
200105,6.12,0.72
200106,2.90,-1.28
200107,3.86,0.36
200108,1.97,-1.36
200109,3.41,-0.18
200110,3.87,0.35
200111,4.75,0.48
200112,8.30,4.14
200201,4.02,0.19
200202,2.60,-0.91
200203,9.24,4.55
200204,2.92,-2.06
200205,4.02,-1.38
200206,1.73,-2.45
200207,4.67,1.17
200208,2.63,-0.70
200209,2.07,-1.52
200210,3.73,0.21
200211,2.27,-2.00
200212,7.56,3.40
200301,0.56,-3.27
200302,5.17,1.66
200303,2.20,-2.49
200304,2.14,-2.84
200305,8.89,3.49
200306,7.79,3.61
200307,3.91,0.41
200308,3.98,0.65
200309,2.71,-0.88
200310,2.52,-1.00
200311,7.05,2.78
200312,3.50,-0.66
200401,3.28,-0.55
200402,3.63,0.12
200403,3.63,-1.06
200404,7.52,2.54
200405,4.03,-1.37
200406,3.99,-0.19
200407,3.50,0.00
200408,2.91,-0.42
200409,0.44,-3.15
200410,11.15,7.63
200411,7.96,3.69
200412,2.74,-1.42
200501,4.70,0.87
200502,2.19,-1.32
200503,4.33,-0.36
200504,2.98,-2.00
200505,1.53,-3.87
200506,2.47,-1.71
200507,5.44,1.94
200508,3.35,0.02
200509,5.21,1.62
200510,0.56,-2.96
200511,3.58,-0.69
200512,0.48,-3.68
200601,4.25,0.42
200602,1.64,-1.87
200603,6.16,1.47
200604,5.75,0.77
200605,4.05,-1.35
200606,2.68,-1.50
200607,2.37,-1.13
200608,4.04,0.71
200609,3.77,0.18
200610,5.10,1.58
200611,6.27,2.00
200612,6.00,1.84
200701,7.62,3.79
200702,2.15,-1.36
200703,1.59,-3.10
200704,4.20,-0.78
200705,3.01,-2.39
200706,3.95,-0.23
200707,5.35,1.85
200708,0.48,-2.85
200709,6.23,2.64
200710,4.96,1.44
200711,2.28,-1.99
200712,6.32,2.16
200801,1.46,-2.37
200802,5.42,1.91
200803,10.91,6.22
200804,7.19,2.21
200805,4.82,-0.58
200806,5.73,1.55
200807,3.01,-0.49
200808,7.32,3.99
200809,9.57,5.98
200810,4.62,1.10
200811,1.81,-2.46
200812,3.69,-0.47
200901,2.20,-1.63
200902,3.10,-0.41
200903,6.59,1.90
200904,5.84,0.86
200905,13.14,7.74
200906,1.82,-2.36
200907,6.83,3.33
200908,3.75,0.42
200909,10.77,7.18
200910,13.36,9.84
200911,1.39,-2.88
200912,7.57,3.41
201001,3.73,-0.10
201002,4.28,0.77
201003,2.77,-1.92
201004,3.80,-1.18
201005,7.03,1.63
201006,4.40,0.22
201007,4.20,0.70
201008,1.25,-2.08
201009,2.51,-1.08
201010,1.02,-2.50
201011,3.56,-0.71
201012,2.35,-1.81
201101,1.00,-2.83
201102,4.76,1.25
201103,2.42,-2.27
201104,9.77,4.79
201105,10.64,5.24
201106,1.83,-2.35
201107,1.56,-1.94
201108,7.37,4.04
201109,1.86,-1.73
201110,2.78,-0.74
201111,11.62,7.35
201112,6.95,2.79
201201,3.02,-0.81
201202,3.07,-0.44
201203,8.58,3.89
201204,2.71,-2.27
201205,0.49,-4.91
201206,1.45,-2.73
201207,2.05,-1.45
201208,4.25,0.92
201209,6.33,2.74
201210,2.74,-0.78
201211,1.34,-2.93
201212,3.49,-0.67
201301,6.87,3.04
201302,3.76,0.25
201303,4.34,-0.35
201304,5.33,0.35
201305,5.87,0.47
201306,2.68,-1.50
201307,3.80,0.30
201308,3.67,0.34
201309,1.94,-1.65
201310,3.50,-0.02
201311,3.74,-0.53
201312,4.93,0.77
201401,2.40,-1.43
201402,2.50,-1.01
201403,4.50,-0.19
201404,4.64,-0.34
201405,6.83,1.43
201406,6.96,2.78
201407,5.55,2.05
201408,2.66,-0.67
201409,2.47,-1.12
201410,5.48,1.96
201411,2.06,-2.21
201412,3.13,-1.03
201501,3.85,0.02
201502,2.27,-1.24
201503,7.93,3.24
201504,5.93,0.95
201505,13.42,8.02
201506,3.46,-0.72
201507,5.54,2.04
201508,3.28,-0.05
201509,1.30,-2.29
201510,3.39,-0.13
201511,11.71,7.44
201512,9.72,5.56
201601,1.80,-2.03
201602,1.52,-1.99
201603,7.40,2.71
201604,4.51,-0.47
201605,3.32,-2.08
201606,2.87,-1.31
201607,4.20,0.70
201608,7.65,4.32
201609,1.72,-1.87
201610,0.86,-2.66
201611,3.23,-1.04
201612,2.96,-1.20
201701,2.94,-0.89
201702,2.60,-0.91
201703,5.26,0.57
201704,9.05,4.07
201705,5.99,0.59
201706,3.20,-0.98
201707,5.51,2.01
201708,5.97,2.64
201709,0.26,-3.33
201710,1.77,-1.75
201711,0.90,-3.37
201712,5.30,1.14
201801,2.10,-1.73
201802,13.42,9.91
201803,4.84,0.15
201804,4.97,-0.01
201805,3.21,-2.19
201806,2.50,-1.68
201807,4.33,0.83
201808,8.06,4.73
201809,7.19,3.60
201810,5.37,1.85
201811,4.76,0.49
201812,6.85,2.69
201901,4.02,0.19
201902,8.73,5.22
201903,3.60,-1.09
201904,7.71,2.73
201905,9.85,4.45
201906,5.65,1.47
201907,3.03,-0.47
201908,5.98,2.65
201909,1.57,-2.02
201910,4.55,1.03
201911,6.07,1.80
201912,1.55,-2.61
202001,4.82,0.99
