Yakutat City and Borough, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,14.32,-1.79
200002,7.97,-5.70
200003,16.30,2.90
200004,15.03,3.24
200005,6.75,-5.56
200006,8.62,0.35
200007,11.61,0.29
200008,18.55,1.29
200009,45.03,18.56
200010,39.77,9.06
200011,23.85,2.41
200012,14.12,-5.73
200101,28.97,12.86
200102,18.55,4.88
200103,13.97,0.57
200104,8.70,-3.09
200105,14.63,2.32
200106,4.61,-3.66
200107,13.39,2.07
200108,9.89,-7.37
200109,27.92,1.45
200110,21.39,-9.32
200111,13.49,-7.95
200112,16.82,-3.03
200201,18.21,2.10
200202,12.36,-1.31
200203,8.06,-5.34
200204,4.98,-6.81
200205,9.93,-2.38
200206,8.63,0.36
200207,9.54,-1.78
200208,29.79,12.53
200209,18.00,-8.47
200210,29.66,-1.05
200211,26.68,5.24
200212,13.60,-6.25
200301,17.61,1.50
200302,11.10,-2.57
200303,10.60,-2.80
200304,2.82,-8.97
200305,14.59,2.28
200306,9.19,0.92
200307,7.89,-3.43
200308,21.37,4.11
200309,17.88,-8.59
200310,16.40,-14.31
200311,16.58,-4.86
200312,27.34,7.49
200401,12.98,-3.13
200402,22.92,9.25
200403,16.49,3.09
200404,17.87,6.08
200405,6.35,-5.96
200406,2.77,-5.50
200407,8.54,-2.78
200408,6.74,-10.52
200409,35.13,8.66
200410,34.35,3.64
200411,20.31,-1.13
200412,27.95,8.10
200501,11.70,-4.41
200502,20.83,7.16
200503,16.02,2.62
200504,7.92,-3.87
200505,10.82,-1.49
200506,5.11,-3.16
200507,14.13,2.81
200508,27.46,10.20
200509,28.72,2.25
200510,22.62,-8.09
200511,37.12,15.68
200512,23.84,3.99
200601,9.17,-6.94
200602,10.68,-2.99
200603,6.21,-7.19
200604,23.40,11.61
200605,14.01,1.70
200606,8.69,0.42
200607,8.96,-2.36
200608,24.60,7.34
200609,27.27,0.80
200610,38.03,7.32
200611,3.42,-18.02
200612,26.17,6.32
200701,21.96,5.85
200702,3.25,-10.42
200703,12.67,-0.73
200704,10.04,-1.75
200705,13.19,0.88
200706,2.69,-5.58
200707,10.48,-0.84
200708,6.27,-10.99
200709,33.23,6.76
200710,22.39,-8.32
200711,16.89,-4.55
200712,10.07,-9.78
200801,12.43,-3.68
200802,13.56,-0.11
200803,12.71,-0.69
200804,14.03,2.24
200805,11.41,-0.90
200806,7.28,-0.99
200807,19.38,8.06
200808,18.76,1.50
200809,29.22,2.75
200810,37.32,6.61
200811,17.90,-3.54
200812,12.85,-7.00
200901,26.52,10.41
200902,8.12,-5.55
200903,11.22,-2.18
200904,5.86,-5.93
200905,5.83,-6.48
200906,5.40,-2.87
200907,6.21,-5.11
200908,27.79,10.53
200909,23.74,-2.73
200910,18.78,-11.93
200911,20.09,-1.35
200912,16.10,-3.75
201001,11.16,-4.95
201002,10.10,-3.57
201003,17.96,4.56
201004,7.74,-4.05
201005,4.58,-7.73
201006,10.77,2.50
201007,12.72,1.40
201008,10.28,-6.98
201009,17.73,-8.74
201010,25.13,-5.58
201011,20.86,-0.58
201012,11.52,-8.33
201101,14.09,-2.02
201102,16.53,2.86
201103,3.72,-9.68
201104,5.70,-6.09
201105,6.66,-5.65
201106,4.00,-4.27
201107,7.69,-3.63
201108,25.33,8.07
201109,33.93,7.46
201110,24.13,-6.58
201111,18.85,-2.59
201112,28.75,8.90
201201,18.19,2.08
201202,15.54,1.87
201203,9.01,-4.39
201204,5.34,-6.45
201205,20.22,7.91
201206,11.11,2.84
201207,9.58,-1.74
201208,13.47,-3.79
201209,33.07,6.60
201210,15.62,-15.09
201211,11.34,-10.10
201212,12.40,-7.45
201301,16.71,0.60
201302,18.28,4.61
201303,7.60,-5.80
201304,17.48,5.69
201305,22.08,9.77
201306,6.08,-2.19
201307,9.54,-1.78
201308,15.16,-2.10
201309,32.95,6.48
201310,31.63,0.92
201311,15.79,-5.65
201312,15.16,-4.69
201401,32.77,16.66
201402,4.76,-8.91
201403,6.31,-7.09
201404,5.99,-5.80
201405,5.90,-6.41
201406,14.91,6.64
201407,14.44,3.12
201408,27.45,10.19
201409,33.65,7.18
201410,22.72,-7.99
201411,11.43,-10.01
201412,15.81,-4.04
201501,21.58,5.47
201502,13.01,-0.66
201503,13.62,0.22
201504,16.53,4.74
201505,3.37,-8.94
201506,10.91,2.64
201507,16.01,4.69
201508,22.60,5.34
201509,30.96,4.49
201510,24.78,-5.93
201511,26.20,4.76
201512,8.86,-10.99
201601,20.46,4.35
201602,16.76,3.09
201603,11.68,-1.72
201604,16.42,4.63
201605,14.80,2.49
201606,7.78,-0.49
201607,11.59,0.27
201608,23.70,6.44
201609,25.13,-1.34
201610,5.83,-24.88
201611,21.98,0.54
201612,13.58,-6.27
201701,19.16,3.05
201702,12.48,-1.19
201703,9.43,-3.97
201704,4.98,-6.81
201705,13.16,0.85
201706,6.89,-1.38
201707,8.05,-3.27
201708,29.41,12.15
201709,27.77,1.30
201710,26.86,-3.85
201711,6.73,-14.71
201712,23.75,3.90
201801,14.45,-1.66
201802,6.06,-7.61
201803,8.80,-4.60
201804,10.95,-0.84
201805,20.03,7.72
201806,8.67,0.40
201807,9.66,-1.66
201808,28.48,11.22
201809,5.92,-20.55
201810,33.88,3.17
201811,22.38,0.94
201812,17.29,-2.56
201901,10.73,-5.38
201902,4.98,-8.69
201903,14.30,0.90
201904,11.49,-0.30
201905,10.32,-1.99
201906,6.64,-1.63
201907,9.43,-1.89
201908,5.42,-11.84
201909,21.62,-4.85
201910,17.87,-12.84
201911,23.99,2.55
201912,20.01,0.16
202001,9.10,-7.01
