Campbell County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.59,0.11
200002,0.53,0.05
200003,0.65,-0.16
200004,2.22,0.65
200005,2.22,-0.22
200006,1.86,-0.57
200007,1.14,-0.37
200008,0.48,-0.56
200009,0.87,-0.31
200010,0.65,-0.33
200011,0.97,0.37
200012,0.29,-0.22
200101,0.19,-0.29
200102,0.65,0.17
200103,0.47,-0.34
200104,1.94,0.37
200105,0.74,-1.70
200106,2.82,0.39
200107,2.75,1.24
200108,0.42,-0.62
200109,0.49,-0.69
200110,0.99,0.01
200111,0.52,-0.08
200112,0.12,-0.39
200201,0.22,-0.26
200202,0.45,-0.03
200203,1.04,0.23
200204,1.24,-0.33
200205,1.76,-0.68
200206,0.76,-1.67
200207,0.87,-0.64
200208,2.28,1.24
200209,1.33,0.15
200210,0.84,-0.14
200211,0.26,-0.34
200212,0.11,-0.40
200301,0.59,0.11
200302,0.67,0.19
200303,1.49,0.68
200304,1.62,0.05
200305,1.60,-0.84
200306,3.19,0.76
200307,0.55,-0.96
200308,0.46,-0.58
200309,1.54,0.36
200310,0.48,-0.50
200311,0.50,-0.10
200312,0.48,-0.03
200401,0.18,-0.30
200402,0.69,0.21
200403,0.33,-0.48
200404,0.80,-0.77
200405,1.27,-1.17
200406,0.56,-1.87
200407,2.87,1.36
200408,0.42,-0.62
200409,1.22,0.04
200410,1.74,0.76
200411,0.35,-0.25
200412,0.11,-0.40
200501,0.37,-0.11
200502,0.37,-0.11
200503,0.71,-0.10
200504,2.38,0.81
200505,3.71,1.27
200506,1.81,-0.62
200507,0.91,-0.60
200508,1.47,0.43
200509,0.71,-0.47
200510,1.96,0.98
200511,0.47,-0.13
200512,0.46,-0.05
200601,0.18,-0.30
200602,0.32,-0.16
200603,0.68,-0.13
200604,1.64,0.07
200605,2.52,0.08
200606,0.82,-1.61
200607,0.71,-0.80
200608,1.13,0.09
200609,1.91,0.73
200610,0.82,-0.16
200611,0.73,0.13
200612,0.14,-0.37
200701,0.20,-0.28
200702,0.76,0.28
200703,2.15,1.34
200704,0.83,-0.74
200705,5.77,3.33
200706,2.47,0.04
200707,1.05,-0.46
200708,1.37,0.33
200709,0.49,-0.69
200710,1.45,0.47
200711,0.18,-0.42
200712,0.66,0.15
200801,0.51,0.03
200802,0.50,0.02
200803,0.79,-0.02
200804,1.00,-0.57
200805,6.16,3.72
200806,2.83,0.40
200807,1.69,0.18
200808,0.46,-0.58
200809,1.32,0.14
200810,1.60,0.62
200811,0.65,0.05
200812,0.53,0.02
200901,0.76,0.28
200902,0.28,-0.20
200903,1.58,0.77
200904,1.86,0.29
200905,0.84,-1.60
200906,2.23,-0.20
200907,1.99,0.48
200908,2.13,1.09
200909,0.38,-0.80
200910,1.54,0.56
200911,0.07,-0.53
200912,0.51,0.00
201001,0.16,-0.32
201002,0.30,-0.18
201003,0.46,-0.35
201004,2.08,0.51
201005,4.35,1.91
201006,2.69,0.26
201007,1.43,-0.08
201008,0.95,-0.09
201009,0.44,-0.74
201010,0.55,-0.43
201011,0.94,0.34
201012,0.66,0.15
201101,0.80,0.32
201102,0.67,0.19
201103,0.97,0.16
201104,1.84,0.27
201105,6.92,4.48
201106,2.08,-0.35
201107,0.71,-0.80
201108,1.08,0.04
201109,0.63,-0.55
201110,1.13,0.15
201111,0.98,0.38
201112,0.64,0.13
201201,0.50,0.02
201202,1.33,0.85
201203,0.10,-0.71
201204,1.62,0.05
201205,2.27,-0.17
201206,0.76,-1.67
201207,1.38,-0.13
201208,0.26,-0.78
201209,0.11,-1.07
201210,0.86,-0.12
201211,0.58,-0.02
201212,0.34,-0.17
201301,0.34,-0.14
201302,0.50,0.02
201303,0.32,-0.49
201304,1.65,0.08
201305,3.93,1.49
201306,2.24,-0.19
201307,2.03,0.52
201308,1.48,0.44
201309,1.97,0.79
201310,2.94,1.96
201311,0.15,-0.45
201312,0.68,0.17
201401,0.45,-0.03
201402,0.72,0.24
201403,1.05,0.24
201404,1.14,-0.43
201405,2.09,-0.35
201406,3.89,1.46
201407,0.78,-0.73
201408,2.37,1.33
201409,1.30,0.12
201410,0.70,-0.28
201411,0.89,0.29
201412,0.53,0.02
201501,0.30,-0.18
201502,0.58,0.10
201503,0.36,-0.45
201504,1.58,0.01
201505,5.16,2.72
201506,4.15,1.72
201507,1.35,-0.16
201508,1.69,0.65
201509,0.23,-0.95
201510,0.82,-0.16
201511,0.47,-0.13
201512,0.44,-0.07
201601,0.36,-0.12
201602,0.84,0.36
201603,1.19,0.38
201604,2.51,0.94
201605,1.27,-1.17
201606,0.80,-1.63
201607,1.20,-0.31
201608,1.31,0.27
201609,2.15,0.97
201610,0.52,-0.46
201611,0.45,-0.15
201612,0.79,0.28
201701,0.54,0.06
201702,0.45,-0.03
201703,0.75,-0.06
201704,3.55,1.98
201705,1.55,-0.89
201706,1.65,-0.78
201707,1.00,-0.51
201708,0.86,-0.18
201709,1.59,0.41
201710,0.89,-0.09
201711,0.68,0.08
201712,0.83,0.32
201801,0.58,0.10
201802,1.17,0.69
201803,1.81,1.00
201804,0.99,-0.58
201805,2.88,0.44
201806,3.13,0.70
201807,2.51,1.00
201808,1.27,0.23
201809,0.93,-0.25
201810,1.17,0.19
201811,0.69,0.09
201812,1.04,0.53
201901,0.41,-0.07
201902,0.41,-0.07
201903,0.79,-0.02
201904,1.80,0.23
201905,4.44,2.00
201906,2.10,-0.33
201907,3.76,2.25
201908,2.53,1.49
201909,1.59,0.41
201910,1.31,0.33
201911,0.90,0.30
201912,0.26,-0.25
202001,0.48,0.00
