Copiah County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.26,-3.10
200002,1.17,-3.92
200003,5.33,-0.46
200004,5.16,-0.31
200005,2.67,-2.29
200006,5.91,1.81
200007,3.42,-1.56
200008,2.04,-1.95
200009,3.11,0.14
200010,1.42,-1.56
200011,9.28,5.08
200012,4.21,-1.50
200101,6.71,1.35
200102,3.54,-1.55
200103,10.77,4.98
200104,1.73,-3.74
200105,2.76,-2.20
200106,6.23,2.13
200107,9.28,4.30
200108,5.90,1.91
200109,5.59,2.62
200110,3.84,0.86
200111,5.47,1.27
200112,4.34,-1.37
200201,4.47,-0.89
200202,4.06,-1.03
200203,5.51,-0.28
200204,3.83,-1.64
200205,2.87,-2.09
200206,3.39,-0.71
200207,6.06,1.08
200208,3.62,-0.37
200209,9.75,6.78
200210,8.33,5.35
200211,4.25,0.05
200212,5.41,-0.30
200301,2.01,-3.35
200302,10.34,5.25
200303,3.51,-2.28
200304,2.65,-2.82
200305,3.66,-1.30
200306,6.99,2.89
200307,7.04,2.06
200308,3.24,-0.75
200309,4.12,1.15
200310,1.17,-1.81
200311,6.50,2.30
200312,3.13,-2.58
200401,6.37,1.01
200402,10.11,5.02
200403,1.87,-3.92
200404,4.13,-1.34
200405,9.94,4.98
200406,10.10,6.00
200407,5.09,0.11
200408,3.89,-0.10
200409,1.33,-1.64
200410,7.10,4.12
200411,7.88,3.68
200412,5.47,-0.24
200501,3.74,-1.62
200502,6.85,1.76
200503,4.87,-0.92
200504,4.97,-0.50
200505,4.69,-0.27
200506,3.30,-0.80
200507,3.16,-1.82
200508,7.99,4.00
200509,2.25,-0.72
200510,0.12,-2.86
200511,3.07,-1.13
200512,4.98,-0.73
200601,5.59,0.23
200602,6.64,1.55
200603,4.40,-1.39
200604,3.18,-2.29
200605,4.60,-0.36
200606,0.90,-3.20
200607,3.97,-1.01
200608,4.19,0.20
200609,2.77,-0.20
200610,8.30,5.32
200611,2.43,-1.77
200612,5.91,0.20
200701,6.19,0.83
200702,3.04,-2.05
200703,1.06,-4.73
200704,3.37,-2.10
200705,2.10,-2.86
200706,2.92,-1.18
200707,7.46,2.48
200708,3.09,-0.90
200709,5.34,2.37
200710,2.33,-0.65
200711,2.68,-1.52
200712,4.60,-1.11
200801,4.74,-0.62
200802,6.50,1.41
200803,2.98,-2.81
200804,3.71,-1.76
200805,3.39,-1.57
200806,2.54,-1.56
200807,2.24,-2.74
200808,11.97,7.98
200809,8.19,5.22
200810,1.46,-1.52
200811,4.96,0.76
200812,8.22,2.51
200901,4.89,-0.47
200902,4.05,-1.04
200903,10.05,4.26
200904,4.40,-1.07
200905,6.64,1.68
200906,0.53,-3.57
200907,5.87,0.89
200908,4.19,0.20
200909,5.96,2.99
200910,11.34,8.36
200911,1.09,-3.11
200912,9.89,4.18
201001,5.45,0.09
201002,5.20,0.11
201003,4.63,-1.16
201004,1.26,-4.21
201005,3.98,-0.98
201006,2.78,-1.32
201007,3.92,-1.06
201008,7.56,3.57
201009,0.39,-2.58
201010,1.13,-1.85
201011,6.28,2.08
201012,1.96,-3.75
201101,4.85,-0.51
201102,2.08,-3.01
201103,8.28,2.49
201104,4.27,-1.20
201105,0.91,-4.05
201106,3.54,-0.56
201107,7.17,2.19
201108,1.78,-2.21
201109,7.87,4.90
201110,0.52,-2.46
201111,5.54,1.34
201112,6.95,1.24
201201,5.19,-0.17
201202,8.24,3.15
201203,5.33,-0.46
201204,4.72,-0.75
201205,3.25,-1.71
201206,1.81,-2.29
201207,8.97,3.99
201208,10.79,6.80
201209,4.49,1.52
201210,0.97,-2.01
201211,2.95,-1.25
201212,8.38,2.67
201301,9.88,4.52
201302,9.83,4.74
201303,3.37,-2.42
201304,5.92,0.45
201305,6.66,1.70
201306,3.85,-0.25
201307,4.05,-0.93
201308,1.81,-2.18
201309,5.97,3.00
201310,2.29,-0.69
201311,5.70,1.50
201312,4.70,-1.01
201401,1.82,-3.54
201402,7.58,2.49
201403,6.22,0.43
201404,7.72,2.25
201405,5.43,0.47
201406,7.81,3.71
201407,3.77,-1.21
201408,2.98,-1.01
201409,3.41,0.44
201410,2.60,-0.38
201411,2.95,-1.25
201412,5.91,0.20
201501,4.06,-1.30
201502,2.98,-2.11
201503,6.64,0.85
201504,6.10,0.63
201505,6.66,1.70
201506,4.68,0.58
201507,2.27,-2.71
201508,2.12,-1.87
201509,1.37,-1.60
201510,8.39,5.41
201511,8.76,4.56
201512,6.95,1.24
201601,3.00,-2.36
201602,6.56,1.47
201603,11.49,5.70
201604,5.38,-0.09
201605,1.29,-3.67
201606,3.29,-0.81
201607,5.65,0.67
201608,6.89,2.90
201609,1.98,-0.99
201610,0.13,-2.85
201611,3.14,-1.06
201612,5.03,-0.68
201701,7.80,2.44
201702,1.77,-3.32
201703,4.08,-1.71
201704,4.72,-0.75
201705,5.70,0.74
201706,8.04,3.94
201707,8.55,3.57
201708,7.45,3.46
201709,1.17,-1.80
201710,2.68,-0.30
201711,1.12,-3.08
201712,3.22,-2.49
201801,4.09,-1.27
201802,8.92,3.83
201803,4.72,-1.07
201804,6.25,0.78
201805,3.17,-1.79
201806,3.36,-0.74
201807,4.64,-0.34
201808,4.02,0.03
201809,6.86,3.89
201810,1.63,-1.35
201811,7.07,2.87
201812,8.69,2.98
201901,7.06,1.70
201902,2.71,-2.38
201903,3.42,-2.37
201904,6.94,1.47
201905,7.16,2.20
201906,4.88,0.78
201907,6.99,2.01
201908,5.60,1.61
201909,0.14,-2.83
201910,11.61,8.63
201911,2.08,-2.12
201912,6.24,0.53
202001,11.02,5.66
