Prince George's County, Maryland, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.65,0.38
200002,2.11,-0.67
200003,4.32,0.63
200004,4.68,1.24
200005,2.89,-0.91
200006,4.88,1.11
200007,6.61,2.46
200008,4.25,-0.22
200009,5.62,1.98
200010,0.09,-2.98
200011,1.90,-1.03
200012,3.04,-0.23
200101,2.66,-0.61
200102,2.15,-0.63
200103,4.59,0.90
200104,1.80,-1.64
200105,4.66,0.86
200106,5.02,1.25
200107,5.85,1.70
200108,4.50,0.03
200109,2.30,-1.34
200110,0.80,-2.27
200111,0.86,-2.07
200112,1.70,-1.57
200201,1.68,-1.59
200202,0.48,-2.30
200203,3.70,0.01
200204,3.79,0.35
200205,2.79,-1.01
200206,2.65,-1.12
200207,2.58,-1.57
200208,2.95,-1.52
200209,2.99,-0.65
200210,5.91,2.84
200211,4.38,1.45
200212,4.77,1.50
200301,2.59,-0.68
200302,6.97,4.19
200303,4.15,0.46
200304,2.75,-0.69
200305,6.75,2.95
200306,7.96,4.19
200307,6.52,2.37
200308,4.77,0.30
200309,7.72,4.08
200310,4.41,1.34
200311,4.78,1.85
200312,4.76,1.49
200401,1.64,-1.63
200402,2.34,-0.44
200403,2.30,-1.39
200404,4.56,1.12
200405,3.32,-0.48
200406,5.26,1.49
200407,6.40,2.25
200408,4.16,-0.31
200409,4.95,1.31
200410,1.50,-1.57
200411,4.82,1.89
200412,3.03,-0.24
200501,3.57,0.30
200502,1.46,-1.32
200503,4.76,1.07
200504,3.80,0.36
200505,4.53,0.73
200506,2.84,-0.93
200507,5.25,1.10
200508,3.22,-1.25
200509,0.31,-3.33
200510,8.56,5.49
200511,2.34,-0.59
200512,3.57,0.30
200601,3.35,0.08
200602,2.11,-0.67
200603,0.08,-3.61
200604,3.38,-0.06
200605,1.88,-1.92
200606,10.55,6.78
200607,3.82,-0.33
200608,1.15,-3.32
200609,8.46,4.82
200610,5.05,1.98
200611,5.92,2.99
200612,1.69,-1.58
200701,2.73,-0.54
200702,2.55,-0.23
200703,3.41,-0.28
200704,4.53,1.09
200705,1.31,-2.49
200706,2.17,-1.60
200707,2.49,-1.66
200708,3.71,-0.76
200709,0.93,-2.71
200710,5.59,2.52
200711,1.56,-1.37
200712,3.48,0.21
200801,1.41,-1.86
200802,3.66,0.88
200803,2.71,-0.98
200804,5.66,2.22
200805,8.86,5.06
200806,5.74,1.97
200807,4.07,-0.08
200808,1.66,-2.81
200809,5.21,1.57
200810,1.52,-1.55
200811,2.48,-0.45
200812,3.69,0.42
200901,2.93,-0.34
200902,0.31,-2.47
200903,2.24,-1.45
200904,4.80,1.36
200905,6.99,3.19
200906,5.95,2.18
200907,2.60,-1.55
200908,5.50,1.03
200909,3.51,-0.13
200910,6.16,3.09
200911,5.18,2.25
200912,7.29,4.02
201001,1.93,-1.34
201002,3.36,0.58
201003,4.35,0.66
201004,1.70,-1.74
201005,2.63,-1.17
201006,2.08,-1.69
201007,4.17,0.02
201008,5.67,1.20
201009,5.26,1.62
201010,4.73,1.66
201011,2.18,-0.75
201012,2.05,-1.22
201101,2.31,-0.96
201102,1.85,-0.93
201103,5.12,1.43
201104,3.71,0.27
201105,2.35,-1.45
201106,1.94,-1.83
201107,3.14,-1.01
201108,10.39,5.92
201109,10.76,7.12
201110,3.62,0.55
201111,2.40,-0.53
201112,4.76,1.49
201201,2.20,-1.07
201202,1.61,-1.17
201203,2.40,-1.29
201204,2.04,-1.40
201205,2.92,-0.88
201206,2.59,-1.18
201207,3.48,-0.67
201208,3.28,-1.19
201209,3.14,-0.50
201210,7.70,4.63
201211,0.59,-2.34
201212,3.53,0.26
201301,2.94,-0.33
201302,1.77,-1.01
201303,2.97,-0.72
201304,2.77,-0.67
201305,2.83,-0.97
201306,8.24,4.47
201307,4.81,0.66
201308,2.72,-1.75
201309,1.81,-1.83
201310,6.23,3.16
201311,2.83,-0.10
201312,5.30,2.03
201401,2.64,-0.63
201402,4.29,1.51
201403,4.24,0.55
201404,5.39,1.95
201405,6.08,2.28
201406,3.51,-0.26
201407,3.65,-0.50
201408,4.16,-0.31
201409,2.42,-1.22
201410,3.58,0.51
201411,2.95,0.02
201412,3.77,0.50
201501,3.73,0.46
201502,1.92,-0.86
201503,4.34,0.65
201504,3.73,0.29
201505,2.36,-1.44
201506,11.04,7.27
201507,3.66,-0.49
201508,1.63,-2.84
201509,3.35,-0.29
201510,3.73,0.66
201511,2.29,-0.64
201512,4.90,1.63
201601,2.73,-0.54
201602,3.89,1.11
201603,1.29,-2.40
201604,1.79,-1.65
201605,5.89,2.09
201606,3.84,0.07
201607,5.00,0.85
201608,3.17,-1.30
201609,4.48,0.84
201610,1.30,-1.77
201611,0.61,-2.32
201612,3.34,0.07
201701,2.76,-0.51
201702,0.59,-2.19
201703,3.12,-0.57
201704,3.47,0.03
201705,6.18,2.38
201706,1.36,-2.41
201707,8.62,4.47
201708,5.70,1.23
201709,1.82,-1.82
201710,2.63,-0.44
201711,2.10,-0.83
201712,0.63,-2.64
201801,1.19,-2.08
201802,4.88,2.10
201803,2.26,-1.43
201804,3.85,0.41
201805,8.18,4.38
201806,5.64,1.87
201807,9.98,5.83
201808,5.52,1.05
201809,10.22,6.58
201810,3.82,0.75
201811,7.73,4.80
201812,5.72,2.45
201901,3.35,0.08
201902,3.33,0.55
201903,4.23,0.54
201904,2.24,-1.20
201905,4.90,1.10
201906,3.91,0.14
201907,5.52,1.37
201908,3.09,-1.38
201909,0.30,-3.34
201910,5.82,2.75
201911,1.89,-1.04
201912,3.33,0.06
202001,2.86,-0.41
