Mobile County, Alabama, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.40,-2.56
200002,1.10,-3.90
200003,4.85,-1.48
200004,2.10,-2.78
200005,1.33,-3.42
200006,4.62,-0.76
200007,3.61,-3.89
200008,3.42,-2.44
200009,5.44,-0.20
200010,0.63,-2.54
200011,8.53,4.70
200012,3.45,-1.72
200101,3.95,-1.01
200102,2.52,-2.48
200103,10.22,3.89
200104,1.06,-3.82
200105,1.75,-3.00
200106,8.26,2.88
200107,9.08,1.58
200108,7.78,1.92
200109,3.81,-1.83
200110,3.09,-0.08
200111,1.85,-1.98
200112,2.70,-2.47
200201,3.83,-1.13
200202,2.75,-2.25
200203,5.80,-0.53
200204,2.01,-2.87
200205,3.55,-1.20
200206,4.11,-1.27
200207,7.76,0.26
200208,4.97,-0.89
200209,14.00,8.36
200210,8.27,5.10
200211,5.55,1.72
200212,7.60,2.43
200301,1.13,-3.83
200302,6.30,1.30
200303,5.06,-1.27
200304,3.87,-1.01
200305,8.54,3.79
200306,17.80,12.42
200307,10.96,3.46
200308,7.03,1.17
200309,3.25,-2.39
200310,2.93,-0.24
200311,3.62,-0.21
200312,3.96,-1.21
200401,3.98,-0.98
200402,8.52,3.52
200403,0.62,-5.71
200404,3.25,-1.63
200405,4.03,-0.72
200406,12.17,6.79
200407,4.72,-2.78
200408,7.40,1.54
200409,5.43,-0.21
200410,2.95,-0.22
200411,8.65,4.82
200412,4.25,-0.92
200501,2.37,-2.59
200502,4.89,-0.11
200503,5.31,-1.02
200504,15.42,10.54
200505,4.08,-0.67
200506,7.58,2.20
200507,10.76,3.26
200508,8.94,3.08
200509,2.54,-3.10
200510,0.22,-2.95
200511,2.34,-1.49
200512,3.63,-1.54
200601,3.65,-1.31
200602,4.22,-0.78
200603,0.70,-5.63
200604,3.54,-1.34
200605,3.36,-1.39
200606,2.29,-3.09
200607,4.51,-2.99
200608,6.08,0.22
200609,3.80,-1.84
200610,5.31,2.14
200611,6.31,2.48
200612,5.11,-0.06
200701,4.50,-0.46
200702,2.30,-2.70
200703,1.18,-5.15
200704,4.85,-0.03
200705,2.35,-2.40
200706,4.18,-1.20
200707,8.06,0.56
200708,3.29,-2.57
200709,4.37,-1.27
200710,7.40,4.23
200711,3.42,-0.41
200712,6.84,1.67
200801,6.61,1.65
200802,4.75,-0.25
200803,3.67,-2.66
200804,6.62,1.74
200805,4.17,-0.58
200806,4.34,-1.04
200807,4.76,-2.74
200808,11.12,5.26
200809,5.15,-0.49
200810,2.63,-0.54
200811,3.12,-0.71
200812,3.77,-1.40
200901,3.37,-1.59
200902,3.96,-1.04
200903,13.00,6.67
200904,2.54,-2.34
200905,7.73,2.98
200906,2.44,-2.94
200907,5.24,-2.26
200908,6.90,1.04
200909,7.33,1.69
200910,6.15,2.98
200911,4.28,0.45
200912,15.11,9.94
201001,8.48,3.52
201002,5.51,0.51
201003,4.16,-2.17
201004,1.84,-3.04
201005,7.31,2.56
201006,3.78,-1.60
201007,4.25,-3.25
201008,9.30,3.44
201009,2.17,-3.47
201010,2.41,-0.76
201011,5.62,1.79
201012,1.68,-3.49
201101,3.79,-1.17
201102,2.95,-2.05
201103,4.84,-1.49
201104,1.26,-3.62
201105,1.10,-3.65
201106,2.53,-2.85
201107,8.15,0.65
201108,3.66,-2.20
201109,12.08,6.44
201110,0.23,-2.94
201111,2.85,-0.98
201112,2.39,-2.78
201201,2.87,-2.09
201202,7.32,2.32
201203,5.52,-0.81
201204,3.41,-1.47
201205,5.47,0.72
201206,11.64,6.26
201207,7.91,0.41
201208,14.08,8.22
201209,5.76,0.12
201210,1.30,-1.87
201211,1.33,-2.50
201212,4.13,-1.04
201301,3.08,-1.88
201302,10.35,5.35
201303,1.20,-5.13
201304,5.70,0.82
201305,7.54,2.79
201306,5.61,0.23
201307,9.54,2.04
201308,9.01,3.15
201309,3.93,-1.71
201310,2.47,-0.70
201311,3.74,-0.09
201312,6.81,1.64
201401,2.98,-1.98
201402,5.87,0.87
201403,7.13,0.80
201404,15.41,10.53
201405,7.66,2.91
201406,5.46,0.08
201407,5.68,-1.82
201408,3.60,-2.26
201409,3.43,-2.21
201410,2.67,-0.50
201411,1.66,-2.17
201412,5.61,0.44
201501,4.71,-0.25
201502,2.45,-2.55
201503,4.84,-1.49
201504,10.39,5.51
201505,6.10,1.35
201506,5.19,-0.19
201507,5.14,-2.36
201508,3.79,-2.07
201509,6.29,0.65
201510,5.22,2.05
201511,6.51,2.68
201512,11.27,6.10
201601,4.99,0.03
201602,3.53,-1.47
201603,9.56,3.23
201604,5.87,0.99
201605,2.86,-1.89
201606,5.28,-0.10
201607,6.50,-1.00
201608,6.86,1.00
201609,3.74,-1.90
201610,0.02,-3.15
201611,1.47,-2.36
201612,8.00,2.83
201701,12.30,7.34
201702,2.35,-2.65
201703,2.94,-3.39
201704,5.17,0.29
201705,10.03,5.28
201706,14.90,9.52
201707,5.12,-2.38
201708,11.11,5.25
201709,2.06,-3.58
201710,11.53,8.36
201711,0.46,-3.37
201712,3.81,-1.36
201801,3.35,-1.61
201802,6.49,1.49
201803,3.32,-3.01
201804,4.45,-0.43
201805,4.67,-0.08
201806,5.67,0.29
201807,6.71,-0.79
201808,7.57,1.71
201809,10.08,4.44
201810,2.58,-0.59
201811,6.21,2.38
201812,9.25,4.08
201901,4.42,-0.54
201902,3.69,-1.31
201903,2.24,-4.09
201904,6.29,1.41
201905,4.43,-0.32
201906,6.80,1.42
201907,7.77,0.27
201908,8.19,2.33
201909,1.27,-4.37
201910,9.84,6.67
201911,1.51,-2.32
201912,4.84,-0.33
202001,4.93,-0.03
