Lehigh County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.27,-0.14
200002,2.22,-0.70
200003,5.66,2.03
200004,3.48,-0.34
200005,5.24,1.25
200006,4.99,0.96
200007,3.04,-1.51
200008,4.74,0.21
200009,4.33,0.25
200010,1.57,-1.87
200011,2.53,-0.94
200012,4.41,0.81
200101,2.60,-0.81
200102,2.40,-0.52
200103,4.62,0.99
200104,2.26,-1.56
200105,4.11,0.12
200106,5.37,1.34
200107,4.06,-0.49
200108,3.40,-1.13
200109,4.62,0.54
200110,0.92,-2.52
200111,1.29,-2.18
200112,2.43,-1.17
200201,1.95,-1.46
200202,0.93,-1.99
200203,3.91,0.28
200204,4.30,0.48
200205,5.14,1.15
200206,5.16,1.13
200207,0.84,-3.71
200208,2.65,-1.88
200209,4.74,0.66
200210,7.35,3.91
200211,3.95,0.48
200212,5.02,1.42
200301,1.99,-1.42
200302,3.90,0.98
200303,3.99,0.36
200304,2.39,-1.43
200305,3.29,-0.70
200306,9.42,5.39
200307,5.57,1.02
200308,5.02,0.49
200309,10.10,6.02
200310,5.42,1.98
200311,3.79,0.32
200312,5.34,1.74
200401,2.34,-1.07
200402,2.62,-0.30
200403,2.41,-1.22
200404,4.21,0.39
200405,3.71,-0.28
200406,3.82,-0.21
200407,8.57,4.02
200408,5.72,1.19
200409,9.42,5.34
200410,2.97,-0.47
200411,5.01,1.54
200412,3.89,0.29
200501,5.30,1.89
200502,2.17,-0.75
200503,4.42,0.79
200504,6.39,2.57
200505,1.75,-2.24
200506,3.07,-0.96
200507,4.46,-0.09
200508,1.98,-2.55
200509,1.26,-2.82
200510,11.56,8.12
200511,3.97,0.50
200512,3.43,-0.17
200601,5.17,1.76
200602,2.39,-0.53
200603,0.77,-2.86
200604,3.76,-0.06
200605,2.58,-1.41
200606,10.53,6.50
200607,6.43,1.88
200608,3.80,-0.73
200609,6.11,2.03
200610,4.53,1.09
200611,5.03,1.56
200612,2.46,-1.14
200701,3.01,-0.40
200702,2.42,-0.50
200703,3.85,0.22
200704,6.51,2.69
200705,1.85,-2.14
200706,5.45,1.42
200707,5.06,0.51
200708,4.86,0.33
200709,0.91,-3.17
200710,5.87,2.43
200711,4.02,0.55
200712,4.88,1.28
200801,1.35,-2.06
200802,6.96,4.04
200803,5.03,1.40
200804,2.53,-1.29
200805,3.93,-0.06
200806,3.09,-0.94
200807,4.36,-0.19
200808,2.16,-2.37
200809,6.26,2.18
200810,3.34,-0.10
200811,2.18,-1.29
200812,6.78,3.18
200901,2.23,-1.18
200902,0.65,-2.27
200903,1.76,-1.87
200904,2.78,-1.04
200905,5.37,1.38
200906,6.29,2.26
200907,5.12,0.57
200908,7.52,2.99
200909,3.22,-0.86
200910,5.09,1.65
200911,1.67,-1.80
200912,5.95,2.35
201001,2.64,-0.77
201002,3.16,0.24
201003,5.69,2.06
201004,3.18,-0.64
201005,3.61,-0.38
201006,2.62,-1.41
201007,5.49,0.94
201008,1.99,-2.54
201009,4.26,0.18
201010,7.31,3.87
201011,2.87,-0.60
201012,3.23,-0.37
201101,2.56,-0.85
201102,2.66,-0.26
201103,6.59,2.96
201104,6.73,2.91
201105,4.86,0.87
201106,3.54,-0.49
201107,3.29,-1.26
201108,12.82,8.29
201109,10.93,6.85
201110,4.43,0.99
201111,4.96,1.49
201112,4.15,0.55
201201,2.91,-0.50
201202,0.88,-2.04
201203,1.45,-2.18
201204,2.77,-1.05
201205,5.96,1.97
201206,3.75,-0.28
201207,4.06,-0.49
201208,4.04,-0.49
201209,5.28,1.20
201210,6.33,2.89
201211,1.10,-2.37
201212,4.73,1.13
201301,3.80,0.39
201302,1.92,-1.00
201303,2.54,-1.09
201304,3.22,-0.60
201305,2.89,-1.10
201306,7.82,3.79
201307,5.35,0.80
201308,5.49,0.96
201309,2.09,-1.99
201310,2.39,-1.05
201311,2.94,-0.53
201312,4.19,0.59
201401,3.89,0.48
201402,4.58,1.66
201403,2.76,-0.87
201404,5.39,1.57
201405,5.55,1.56
201406,4.78,0.75
201407,5.17,0.62
201408,2.50,-2.03
201409,1.60,-2.48
201410,3.85,0.41
201411,3.33,-0.14
201412,3.55,-0.05
201501,2.85,-0.56
201502,1.81,-1.11
201503,4.12,0.49
201504,2.54,-1.28
201505,0.96,-3.03
201506,7.76,3.73
201507,5.52,0.97
201508,3.22,-1.31
201509,4.73,0.65
201510,4.02,0.58
201511,1.60,-1.87
201512,4.48,0.88
201601,3.33,-0.08
201602,5.26,2.34
201603,1.11,-2.52
201604,2.25,-1.57
201605,4.33,0.34
201606,2.57,-1.46
201607,6.07,1.52
201608,2.73,-1.80
201609,3.92,-0.16
201610,1.64,-1.80
201611,2.57,-0.90
201612,3.13,-0.47
201701,3.34,-0.07
201702,1.75,-1.17
201703,4.32,0.69
201704,3.73,-0.09
201705,4.90,0.91
201706,4.60,0.57
201707,7.53,2.98
201708,6.72,2.19
201709,3.23,-0.85
201710,4.25,0.81
201711,1.57,-1.90
201712,1.73,-1.87
201801,3.73,0.32
201802,5.78,2.86
201803,3.47,-0.16
201804,4.38,0.56
201805,6.05,2.06
201806,3.82,-0.21
201807,7.33,2.78
201808,10.54,6.01
201809,8.03,3.95
201810,3.42,-0.02
201811,9.44,5.97
201812,5.47,1.87
201901,5.01,1.60
201902,2.82,-0.10
201903,4.06,0.43
201904,5.55,1.73
201905,8.75,4.76
201906,5.52,1.49
201907,7.71,3.16
201908,3.68,-0.85
201909,1.68,-2.40
201910,7.20,3.76
201911,2.47,-1.00
201912,3.65,0.05
202001,2.60,-0.81
