Hawkins County, Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.77,-0.27
200002,2.74,-1.24
200003,3.99,-0.82
200004,4.30,0.57
200005,4.03,0.07
200006,3.19,-0.89
200007,4.15,-0.45
200008,2.55,-1.46
200009,2.61,-0.30
200010,0.12,-2.48
200011,2.64,-0.46
200012,2.50,-1.56
200101,3.95,-0.09
200102,5.04,1.06
200103,3.46,-1.35
200104,2.29,-1.44
200105,3.83,-0.13
200106,4.10,0.02
200107,7.92,3.32
200108,3.08,-0.93
200109,3.06,0.15
200110,1.25,-1.35
200111,0.90,-2.20
200112,3.16,-0.90
200201,5.47,1.43
200202,1.86,-2.12
200203,7.30,2.49
200204,1.47,-2.26
200205,3.89,-0.07
200206,2.67,-1.41
200207,4.18,-0.42
200208,2.43,-1.58
200209,4.45,1.54
200210,4.04,1.44
200211,5.31,2.21
200212,5.00,0.94
200301,1.84,-2.20
200302,7.83,3.85
200303,2.35,-2.46
200304,6.09,2.36
200305,5.93,1.97
200306,5.97,1.89
200307,6.48,1.88
200308,3.81,-0.20
200309,4.77,1.86
200310,1.56,-1.04
200311,5.39,2.29
200312,3.29,-0.77
200401,3.29,-0.75
200402,3.68,-0.30
200403,4.85,0.04
200404,3.71,-0.02
200405,4.89,0.93
200406,6.32,2.24
200407,3.87,-0.73
200408,2.22,-1.79
200409,4.84,1.93
200410,2.99,0.39
200411,4.74,1.64
200412,4.93,0.87
200501,3.24,-0.80
200502,3.15,-0.83
200503,3.45,-1.36
200504,5.79,2.06
200505,2.64,-1.32
200506,3.36,-0.72
200507,5.13,0.53
200508,2.94,-1.07
200509,0.95,-1.96
200510,1.30,-1.30
200511,2.59,-0.51
200512,3.44,-0.62
200601,4.12,0.08
200602,2.18,-1.80
200603,2.82,-1.99
200604,6.98,3.25
200605,3.51,-0.45
200606,3.85,-0.23
200607,3.57,-1.03
200608,3.89,-0.12
200609,5.75,2.84
200610,3.72,1.12
200611,3.42,0.32
200612,1.59,-2.47
200701,2.36,-1.68
200702,1.33,-2.65
200703,2.84,-1.97
200704,4.00,0.27
200705,1.08,-2.88
200706,4.35,0.27
200707,5.72,1.12
200708,1.74,-2.27
200709,1.81,-1.10
200710,2.34,-0.26
200711,2.04,-1.06
200712,3.35,-0.71
200801,3.57,-0.47
200802,3.41,-0.57
200803,4.80,-0.01
200804,4.18,0.45
200805,2.72,-1.24
200806,2.16,-1.92
200807,3.86,-0.74
200808,3.30,-0.71
200809,2.32,-0.59
200810,1.18,-1.42
200811,2.57,-0.53
200812,6.48,2.42
200901,6.10,2.06
200902,2.69,-1.29
200903,3.75,-1.06
200904,3.03,-0.70
200905,6.35,2.39
200906,4.43,0.35
200907,7.71,3.11
200908,3.95,-0.06
200909,5.35,2.44
200910,4.22,1.62
200911,2.97,-0.13
200912,6.91,2.85
201001,4.24,0.20
201002,2.77,-1.21
201003,2.71,-2.10
201004,2.23,-1.50
201005,4.26,0.30
201006,4.57,0.49
201007,3.62,-0.98
201008,5.29,1.28
201009,3.69,0.78
201010,3.04,0.44
201011,3.51,0.41
201012,3.85,-0.21
201101,2.19,-1.85
201102,2.83,-1.15
201103,8.40,3.59
201104,7.06,3.33
201105,3.10,-0.86
201106,6.20,2.12
201107,3.49,-1.11
201108,2.30,-1.71
201109,5.12,2.21
201110,3.74,1.14
201111,5.47,2.37
201112,4.65,0.59
201201,4.30,0.26
201202,3.64,-0.34
201203,4.41,-0.40
201204,2.74,-0.99
201205,2.54,-1.42
201206,1.45,-2.63
201207,6.48,1.88
201208,2.25,-1.76
201209,5.82,2.91
201210,2.72,0.12
201211,0.74,-2.36
201212,4.57,0.51
201301,10.51,6.47
201302,2.47,-1.51
201303,5.45,0.64
201304,5.68,1.95
201305,4.07,0.11
201306,8.17,4.09
201307,5.37,0.77
201308,3.03,-0.98
201309,3.20,0.29
201310,0.81,-1.79
201311,4.06,0.96
201312,6.19,2.13
201401,2.51,-1.53
201402,3.84,-0.14
201403,2.97,-1.84
201404,3.53,-0.20
201405,3.26,-0.70
201406,3.71,-0.37
201407,6.00,1.40
201408,4.75,0.74
201409,2.47,-0.44
201410,7.64,5.04
201411,2.90,-0.20
201412,4.28,0.22
201501,2.92,-1.12
201502,3.69,-0.29
201503,4.88,0.07
201504,6.20,2.47
201505,1.09,-2.87
201506,6.31,2.23
201507,7.37,2.77
201508,3.30,-0.71
201509,3.12,0.21
201510,4.19,1.59
201511,5.11,2.01
201512,6.83,2.77
201601,2.85,-1.19
201602,6.11,2.13
201603,1.57,-3.24
201604,3.33,-0.40
201605,4.23,0.27
201606,2.24,-1.84
201607,4.44,-0.16
201608,3.95,-0.06
201609,1.66,-1.25
201610,0.86,-1.74
201611,2.93,-0.17
201612,6.22,2.16
201701,3.48,-0.56
201702,2.40,-1.58
201703,5.96,1.15
201704,7.06,3.33
201705,5.51,1.55
201706,4.14,0.06
201707,3.73,-0.87
201708,3.50,-0.51
201709,1.86,-1.05
201710,5.73,3.13
201711,1.49,-1.61
201712,1.92,-2.14
201801,2.18,-1.86
201802,5.95,1.97
201803,5.91,1.10
201804,3.37,-0.36
201805,5.00,1.04
201806,5.84,1.76
201807,2.84,-1.76
201808,4.80,0.79
201809,5.88,2.97
201810,3.71,1.11
201811,5.52,2.42
201812,6.31,2.25
201901,4.37,0.33
201902,9.94,5.96
201903,2.63,-2.18
201904,5.04,1.31
201905,4.56,0.60
201906,7.18,3.10
201907,6.34,1.74
201908,4.09,0.08
201909,0.42,-2.49
201910,4.84,2.24
201911,4.57,1.47
201912,5.44,1.38
202001,5.33,1.29
