Jefferson County, Alabama, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.21,-0.25
200002,2.38,-2.83
200003,8.39,2.16
200004,7.30,2.45
200005,1.12,-3.22
200006,2.99,-1.14
200007,2.82,-2.37
200008,1.62,-2.59
200009,1.99,-1.55
200010,1.23,-1.77
200011,8.18,4.13
200012,2.46,-2.82
200101,5.13,-0.33
200102,4.66,-0.55
200103,8.15,1.92
200104,5.51,0.66
200105,5.00,0.66
200106,6.95,2.82
200107,3.38,-1.81
200108,7.29,3.08
200109,7.54,4.00
200110,2.87,-0.13
200111,4.41,0.36
200112,5.01,-0.27
200201,6.35,0.89
200202,3.26,-1.95
200203,5.87,-0.36
200204,2.26,-2.59
200205,5.37,1.03
200206,5.21,1.08
200207,5.77,0.58
200208,1.77,-2.44
200209,8.98,5.44
200210,5.31,2.31
200211,4.70,0.65
200212,6.98,1.70
200301,2.71,-2.75
200302,6.83,1.62
200303,4.25,-1.98
200304,5.18,0.33
200305,13.39,9.05
200306,7.53,3.40
200307,5.58,0.39
200308,5.14,0.93
200309,2.88,-0.66
200310,0.78,-2.22
200311,3.97,-0.08
200312,3.22,-2.06
200401,3.39,-2.07
200402,7.25,2.04
200403,3.18,-3.05
200404,3.87,-0.98
200405,3.98,-0.36
200406,6.17,2.04
200407,3.72,-1.47
200408,3.12,-1.09
200409,8.07,4.53
200410,3.02,0.02
200411,11.82,7.77
200412,4.03,-1.25
200501,2.38,-3.08
200502,4.83,-0.38
200503,6.24,0.01
200504,6.00,1.15
200505,3.64,-0.70
200506,5.84,1.71
200507,9.36,4.17
200508,3.87,-0.34
200509,2.35,-1.19
200510,0.42,-2.58
200511,3.73,-0.32
200512,4.79,-0.49
200601,6.15,0.69
200602,7.81,2.60
200603,4.41,-1.82
200604,5.26,0.41
200605,3.79,-0.55
200606,3.00,-1.13
200607,3.68,-1.51
200608,2.82,-1.39
200609,3.42,-0.12
200610,5.18,2.18
200611,3.39,-0.66
200612,3.47,-1.81
200701,3.61,-1.85
200702,2.70,-2.51
200703,1.42,-4.81
200704,2.26,-2.59
200705,1.06,-3.28
200706,1.67,-2.46
200707,4.27,-0.92
200708,3.10,-1.11
200709,3.58,0.04
200710,2.42,-0.58
200711,1.77,-2.28
200712,2.33,-2.95
200801,3.89,-1.57
200802,5.44,0.23
200803,4.22,-2.01
200804,5.46,0.61
200805,6.82,2.48
200806,3.39,-0.74
200807,4.45,-0.74
200808,8.48,4.27
200809,0.91,-2.63
200810,2.27,-0.73
200811,2.66,-1.39
200812,6.70,1.42
200901,6.23,0.77
200902,6.00,0.79
200903,7.35,1.12
200904,3.09,-1.76
200905,7.47,3.13
200906,3.21,-0.92
200907,5.49,0.30
200908,5.28,1.07
200909,10.30,6.76
200910,8.19,5.19
200911,4.62,0.57
200912,7.06,1.78
201001,4.31,-1.15
201002,3.59,-1.62
201003,6.51,0.28
201004,4.30,-0.55
201005,7.63,3.29
201006,3.46,-0.67
201007,3.06,-2.13
201008,5.57,1.36
201009,1.05,-2.49
201010,3.05,0.05
201011,5.13,1.08
201012,1.76,-3.52
201101,3.88,-1.58
201102,3.54,-1.67
201103,8.75,2.52
201104,5.96,1.11
201105,1.37,-2.97
201106,3.76,-0.37
201107,6.00,0.81
201108,1.24,-2.97
201109,9.64,6.10
201110,0.32,-2.68
201111,5.78,1.73
201112,5.43,0.15
201201,5.99,0.53
201202,3.54,-1.67
201203,5.65,-0.58
201204,1.29,-3.56
201205,4.71,0.37
201206,2.02,-2.11
201207,5.80,0.61
201208,5.81,1.60
201209,5.99,2.45
201210,3.05,0.05
201211,1.49,-2.56
201212,7.22,1.94
201301,8.77,3.31
201302,7.08,1.87
201303,4.77,-1.46
201304,5.35,0.50
201305,4.76,0.42
201306,6.50,2.37
201307,7.28,2.09
201308,5.65,1.44
201309,2.22,-1.32
201310,1.85,-1.15
201311,4.32,0.27
201312,7.30,2.02
201401,2.00,-3.46
201402,5.36,0.15
201403,5.30,-0.93
201404,9.20,4.35
201405,2.58,-1.76
201406,4.70,0.57
201407,1.70,-3.49
201408,3.95,-0.26
201409,1.96,-1.58
201410,4.07,1.07
201411,4.60,0.55
201412,8.29,3.01
201501,4.83,-0.63
201502,4.42,-0.79
201503,3.65,-2.58
201504,9.38,4.53
201505,2.63,-1.71
201506,2.31,-1.82
201507,6.71,1.52
201508,5.57,1.36
201509,1.29,-2.25
201510,2.35,-0.65
201511,5.20,1.15
201512,9.88,4.60
201601,3.03,-2.43
201602,6.96,1.75
201603,4.89,-1.34
201604,4.17,-0.68
201605,1.32,-3.02
201606,4.47,0.34
201607,5.02,-0.17
201608,3.30,-0.91
201609,0.56,-2.98
201610,0.03,-2.97
201611,2.39,-1.66
201612,2.64,-2.64
201701,6.33,0.87
201702,3.36,-1.85
201703,4.56,-1.67
201704,4.98,0.13
201705,5.64,1.30
201706,11.62,7.49
201707,7.01,1.82
201708,6.14,1.93
201709,2.84,-0.70
201710,4.91,1.91
201711,1.27,-2.78
201712,3.77,-1.51
201801,1.57,-3.89
201802,8.57,3.36
201803,4.15,-2.08
201804,7.54,2.69
201805,6.07,1.73
201806,4.89,0.76
201807,2.86,-2.33
201808,2.18,-2.03
201809,5.33,1.79
201810,1.04,-1.96
201811,6.60,2.55
201812,10.62,5.34
201901,6.52,1.06
201902,6.93,1.72
201903,2.97,-3.26
201904,5.70,0.85
201905,3.17,-1.17
201906,4.86,0.73
201907,2.18,-3.01
201908,4.81,0.60
201909,0.40,-3.14
201910,6.73,3.73
201911,2.80,-1.25
201912,6.04,0.76
202001,7.68,2.22
