Columbus County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.37,1.78
200002,1.05,-2.62
200003,4.61,0.67
200004,2.69,-0.36
200005,2.31,-1.50
200006,6.86,1.86
200007,6.46,0.02
200008,6.65,0.89
200009,9.08,3.79
200010,0.09,-2.87
200011,4.01,1.35
200012,1.97,-1.36
200101,1.06,-2.53
200102,2.80,-0.87
200103,5.80,1.86
200104,0.77,-2.28
200105,3.09,-0.72
200106,5.25,0.25
200107,7.01,0.57
200108,6.31,0.55
200109,2.54,-2.75
200110,0.55,-2.41
200111,1.31,-1.35
200112,1.19,-2.14
200201,3.63,0.04
200202,2.40,-1.27
200203,3.70,-0.24
200204,1.17,-1.88
200205,2.38,-1.43
200206,3.14,-1.86
200207,4.34,-2.10
200208,6.32,0.56
200209,4.08,-1.21
200210,3.80,0.84
200211,3.55,0.89
200212,2.99,-0.34
200301,1.58,-2.01
200302,3.83,0.16
200303,5.83,1.89
200304,5.85,2.80
200305,4.93,1.12
200306,4.98,-0.02
200307,10.15,3.71
200308,4.63,-1.13
200309,5.69,0.40
200310,6.51,3.55
200311,1.40,-1.26
200312,3.90,0.57
200401,2.18,-1.41
200402,5.83,2.16
200403,0.96,-2.98
200404,2.64,-0.41
200405,3.94,0.13
200406,3.19,-1.81
200407,4.99,-1.45
200408,11.97,6.21
200409,4.66,-0.63
200410,1.97,-0.99
200411,3.38,0.72
200412,1.85,-1.48
200501,1.67,-1.92
200502,2.71,-0.96
200503,3.10,-0.84
200504,2.17,-0.88
200505,5.21,1.40
200506,5.24,0.24
200507,6.10,-0.34
200508,5.88,0.12
200509,4.43,-0.86
200510,7.74,4.78
200511,3.67,1.01
200512,3.59,0.26
200601,3.01,-0.58
200602,3.10,-0.57
200603,1.17,-2.77
200604,4.14,1.09
200605,3.16,-0.65
200606,8.65,3.65
200607,3.90,-2.54
200608,5.24,-0.52
200609,7.93,2.64
200610,3.78,0.82
200611,7.36,4.70
200612,4.97,1.64
200701,3.36,-0.23
200702,2.21,-1.46
200703,1.53,-2.41
200704,3.42,0.37
200705,1.67,-2.14
200706,3.88,-1.12
200707,2.87,-3.57
200708,3.12,-2.64
200709,2.02,-3.27
200710,4.27,1.31
200711,0.35,-2.31
200712,3.60,0.27
200801,2.61,-0.98
200802,4.32,0.65
200803,4.17,0.23
200804,4.29,1.24
200805,3.67,-0.14
200806,3.98,-1.02
200807,6.47,0.03
200808,5.40,-0.36
200809,7.79,2.50
200810,2.16,-0.80
200811,4.03,1.37
200812,3.42,0.09
200901,2.03,-1.56
200902,1.41,-2.26
200903,4.48,0.54
200904,2.60,-0.45
200905,6.80,2.99
200906,3.50,-1.50
200907,5.30,-1.14
200908,5.40,-0.36
200909,2.68,-2.61
200910,3.03,0.07
200911,6.26,3.60
200912,7.11,3.78
201001,3.48,-0.11
201002,3.54,-0.13
201003,3.19,-0.75
201004,0.73,-2.32
201005,4.09,0.28
201006,6.37,1.37
201007,3.94,-2.50
201008,4.00,-1.76
201009,9.34,4.05
201010,1.88,-1.08
201011,1.41,-1.25
201012,2.44,-0.89
201101,1.51,-2.08
201102,4.28,0.61
201103,3.46,-0.48
201104,2.94,-0.11
201105,2.34,-1.47
201106,1.17,-3.83
201107,5.40,-1.04
201108,8.60,2.84
201109,4.10,-1.19
201110,2.07,-0.89
201111,3.39,0.73
201112,0.62,-2.71
201201,1.63,-1.96
201202,2.50,-1.17
201203,4.19,0.25
201204,3.24,0.19
201205,7.00,3.19
201206,2.50,-2.50
201207,5.37,-1.07
201208,7.53,1.77
201209,3.74,-1.55
201210,3.11,0.15
201211,1.98,-0.68
201212,4.30,0.97
201301,1.26,-2.33
201302,4.62,0.95
201303,2.51,-1.43
201304,4.75,1.70
201305,2.27,-1.54
201306,13.00,8.00
201307,8.33,1.89
201308,5.77,0.01
201309,1.32,-3.97
201310,1.00,-1.96
201311,3.72,1.06
201312,4.17,0.84
201401,2.96,-0.63
201402,2.87,-0.80
201403,5.08,1.14
201404,3.30,0.25
201405,3.91,0.10
201406,3.34,-1.66
201407,7.43,0.99
201408,7.63,1.87
201409,6.93,1.64
201410,1.66,-1.30
201411,3.76,1.10
201412,3.28,-0.05
201501,4.01,0.42
201502,4.51,0.84
201503,3.86,-0.08
201504,3.03,-0.02
201505,3.89,0.08
201506,5.19,0.19
201507,3.19,-3.25
201508,5.38,-0.38
201509,4.13,-1.16
201510,13.54,10.58
201511,6.44,3.78
201512,5.40,2.07
201601,2.86,-0.73
201602,8.15,4.48
201603,1.89,-2.05
201604,3.44,0.39
201605,5.84,2.03
201606,5.12,0.12
201607,6.43,-0.01
201608,4.28,-1.48
201609,11.53,6.24
201610,7.45,4.49
201611,0.94,-1.72
201612,4.54,1.21
201701,2.42,-1.17
201702,1.64,-2.03
201703,2.70,-1.24
201704,6.16,3.11
201705,4.46,0.65
201706,3.41,-1.59
201707,4.57,-1.87
201708,9.07,3.31
201709,5.63,0.34
201710,3.31,0.35
201711,1.06,-1.60
201712,4.26,0.93
201801,3.19,-0.40
201802,1.25,-2.42
201803,2.92,-1.02
201804,4.66,1.61
201805,5.36,1.55
201806,5.55,0.55
201807,7.14,0.70
201808,4.93,-0.83
201809,16.31,11.02
201810,3.26,0.30
201811,4.69,2.03
201812,7.35,4.02
201901,2.12,-1.47
201902,1.68,-1.99
201903,2.68,-1.26
201904,4.97,1.92
201905,1.17,-2.64
201906,3.61,-1.39
201907,6.58,0.14
201908,6.77,1.01
201909,6.47,1.18
201910,3.66,0.70
201911,3.79,1.13
201912,4.82,1.49
202001,2.76,-0.83
