Dukes County, Massachusetts, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.80,0.10
200002,3.14,-0.19
200003,5.41,1.32
200004,6.26,2.37
200005,2.76,-0.50
200006,2.94,-0.17
200007,3.67,0.88
200008,4.70,0.80
200009,2.57,-0.90
200010,1.91,-1.67
200011,2.59,-1.37
200012,3.51,-0.34
200101,3.58,-0.12
200102,2.56,-0.77
200103,9.88,5.79
200104,2.62,-1.27
200105,4.29,1.03
200106,4.46,1.35
200107,3.32,0.53
200108,5.25,1.35
200109,1.82,-1.65
200110,1.79,-1.79
200111,0.65,-3.31
200112,3.08,-0.77
200201,4.12,0.42
200202,1.84,-1.49
200203,6.02,1.93
200204,4.36,0.47
200205,4.16,0.90
200206,3.38,0.27
200207,0.54,-2.25
200208,1.89,-2.01
200209,6.40,2.93
200210,3.16,-0.42
200211,6.78,2.82
200212,6.01,2.16
200301,2.70,-1.00
200302,5.14,1.81
200303,7.16,3.07
200304,4.50,0.61
200305,2.55,-0.71
200306,5.74,2.63
200307,1.70,-1.09
200308,3.83,-0.07
200309,3.26,-0.21
200310,4.78,1.20
200311,3.80,-0.16
200312,5.48,1.63
200401,2.03,-1.67
200402,2.62,-0.71
200403,2.53,-1.56
200404,5.66,1.77
200405,2.57,-0.69
200406,1.46,-1.65
200407,1.88,-0.91
200408,3.92,0.02
200409,6.86,3.39
200410,2.52,-1.06
200411,5.04,1.08
200412,5.17,1.32
200501,4.38,0.68
200502,2.24,-1.09
200503,5.03,0.94
200504,4.21,0.32
200505,6.16,2.90
200506,1.40,-1.71
200507,1.97,-0.82
200508,1.35,-2.55
200509,4.97,1.50
200510,9.40,5.82
200511,5.12,1.16
200512,3.03,-0.82
200601,6.79,3.09
200602,1.66,-1.67
200603,0.66,-3.43
200604,2.26,-1.63
200605,6.69,3.43
200606,10.30,7.19
200607,2.85,0.06
200608,3.69,-0.21
200609,2.69,-0.78
200610,2.97,-0.61
200611,5.68,1.72
200612,3.40,-0.45
200701,3.95,0.25
200702,2.13,-1.20
200703,5.32,1.23
200704,7.66,3.77
200705,2.90,-0.36
200706,1.20,-1.91
200707,2.28,-0.51
200708,1.41,-2.49
200709,1.80,-1.67
200710,2.07,-1.51
200711,5.65,1.69
200712,5.14,1.29
200801,2.22,-1.48
200802,5.18,1.85
200803,4.17,0.08
200804,4.01,0.12
200805,2.99,-0.27
200806,1.86,-1.25
200807,4.65,1.86
200808,2.06,-1.84
200809,8.27,4.80
200810,2.18,-1.40
200811,4.66,0.70
200812,5.53,1.68
200901,3.78,0.08
200902,1.81,-1.52
200903,3.62,-0.47
200904,4.67,0.78
200905,3.34,0.08
200906,3.42,0.31
200907,6.45,3.66
200908,5.82,1.92
200909,3.14,-0.33
200910,7.32,3.74
200911,2.16,-1.80
200912,6.24,2.39
201001,3.12,-0.58
201002,4.55,1.22
201003,9.98,5.89
201004,1.58,-2.31
201005,3.11,-0.15
201006,3.48,0.37
201007,2.79,0.00
201008,3.81,-0.09
201009,5.57,2.10
201010,7.42,3.84
201011,4.30,0.34
201012,3.22,-0.63
201101,3.85,0.15
201102,4.23,0.90
201103,2.40,-1.69
201104,6.07,2.18
201105,2.34,-0.92
201106,4.57,1.46
201107,2.51,-0.28
201108,3.95,0.05
201109,4.30,0.83
201110,7.59,4.01
201111,4.26,0.30
201112,3.45,-0.40
201201,4.03,0.33
201202,1.85,-1.48
201203,1.54,-2.55
201204,1.99,-1.90
201205,6.28,3.02
201206,1.96,-1.15
201207,3.28,0.49
201208,3.56,-0.34
201209,4.25,0.78
201210,3.75,0.17
201211,2.84,-1.12
201212,7.23,3.38
201301,2.56,-1.14
201302,6.45,3.12
201303,4.79,0.70
201304,3.83,-0.06
201305,4.86,1.60
201306,7.54,4.43
201307,3.44,0.65
201308,2.62,-1.28
201309,2.72,-0.75
201310,0.95,-2.63
201311,4.23,0.27
201312,4.77,0.92
201401,3.18,-0.52
201402,6.25,2.92
201403,3.91,-0.18
201404,3.07,-0.82
201405,1.54,-1.72
201406,2.38,-0.73
201407,4.17,1.38
201408,1.79,-2.11
201409,1.42,-2.05
201410,4.73,1.15
201411,7.77,3.81
201412,6.56,2.71
201501,4.60,0.90
201502,2.86,-0.47
201503,5.58,1.49
201504,1.38,-2.51
201505,0.58,-2.68
201506,3.61,0.50
201507,1.66,-1.13
201508,2.92,-0.98
201509,4.81,1.34
201510,6.31,2.73
201511,3.13,-0.83
201512,6.25,2.40
201601,3.98,0.28
201602,5.69,2.36
201603,3.89,-0.20
201604,4.45,0.56
201605,3.77,0.51
201606,0.83,-2.28
201607,2.93,0.14
201608,1.13,-2.77
201609,2.33,-1.14
201610,6.74,3.16
201611,2.35,-1.61
201612,3.33,-0.52
201701,5.66,1.96
201702,1.78,-1.55
201703,2.99,-1.10
201704,6.57,2.68
201705,6.78,3.52
201706,2.55,-0.56
201707,2.54,-0.25
201708,4.86,0.96
201709,7.11,3.64
201710,6.44,2.86
201711,2.90,-1.06
201712,2.83,-1.02
201801,5.39,1.69
201802,7.38,4.05
201803,6.66,2.57
201804,4.56,0.67
201805,1.97,-1.29
201806,3.21,0.10
201807,1.73,-1.06
201808,1.78,-2.12
201809,3.86,0.39
201810,6.97,3.39
201811,9.16,5.20
201812,3.75,-0.10
201901,6.28,2.58
201902,3.19,-0.14
201903,4.21,0.12
201904,5.54,1.65
201905,4.08,0.82
201906,5.96,2.85
201907,2.79,0.00
201908,3.42,-0.48
201909,3.28,-0.19
201910,7.34,3.76
201911,2.98,-0.98
201912,9.09,5.24
202001,1.96,-1.74
