Craven County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.04,1.12
200002,1.96,-1.87
200003,3.88,-0.05
200004,6.61,3.40
200005,3.45,-0.66
200006,3.73,-1.40
200007,9.58,2.44
200008,8.91,2.44
200009,8.55,3.07
200010,0.16,-3.06
200011,3.69,0.69
200012,2.78,-0.86
200101,1.59,-2.33
200102,2.85,-0.98
200103,4.32,0.39
200104,1.75,-1.46
200105,3.67,-0.44
200106,7.21,2.08
200107,6.21,-0.93
200108,5.75,-0.72
200109,1.65,-3.83
200110,0.90,-2.32
200111,1.22,-1.78
200112,1.49,-2.15
200201,4.49,0.57
200202,2.33,-1.50
200203,6.11,2.18
200204,2.15,-1.06
200205,2.83,-1.28
200206,4.66,-0.47
200207,6.74,-0.40
200208,5.25,-1.22
200209,4.20,-1.28
200210,3.12,-0.10
200211,4.18,1.18
200212,2.77,-0.87
200301,2.09,-1.83
200302,4.93,1.10
200303,5.52,1.59
200304,6.50,3.29
200305,9.57,5.46
200306,6.02,0.89
200307,8.75,1.61
200308,6.06,-0.41
200309,8.12,2.64
200310,6.28,3.06
200311,2.24,-0.76
200312,6.52,2.88
200401,1.48,-2.44
200402,4.41,0.58
200403,2.08,-1.85
200404,3.52,0.31
200405,4.10,-0.01
200406,5.32,0.19
200407,5.11,-2.03
200408,9.92,3.45
200409,6.69,1.21
200410,1.85,-1.37
200411,3.48,0.48
200412,2.23,-1.41
200501,2.55,-1.37
200502,2.50,-1.33
200503,3.47,-0.46
200504,3.78,0.57
200505,6.39,2.28
200506,5.36,0.23
200507,6.52,-0.62
200508,2.57,-3.90
200509,5.55,0.07
200510,11.87,8.65
200511,2.70,-0.30
200512,4.07,0.43
200601,3.33,-0.59
200602,1.74,-2.09
200603,2.01,-1.92
200604,3.49,0.28
200605,3.80,-0.31
200606,6.80,1.67
200607,4.92,-2.22
200608,7.58,1.11
200609,8.50,3.02
200610,4.07,0.85
200611,8.49,5.49
200612,4.27,0.63
200701,3.83,-0.09
200702,2.50,-1.33
200703,2.47,-1.46
200704,3.70,0.49
200705,2.90,-1.21
200706,3.88,-1.25
200707,6.60,-0.54
200708,2.45,-4.02
200709,3.56,-1.92
200710,3.43,0.21
200711,0.79,-2.21
200712,3.63,-0.01
200801,2.59,-1.33
200802,4.54,0.71
200803,2.94,-0.99
200804,5.71,2.50
200805,3.20,-0.91
200806,1.41,-3.72
200807,4.88,-2.26
200808,4.81,-1.66
200809,6.31,0.83
200810,2.14,-1.08
200811,4.06,1.06
200812,3.32,-0.32
200901,2.23,-1.69
200902,1.84,-1.99
200903,3.59,-0.34
200904,2.64,-0.57
200905,5.85,1.74
200906,4.58,-0.55
200907,4.67,-2.47
200908,8.46,1.99
200909,4.56,-0.92
200910,1.85,-1.37
200911,8.51,5.51
200912,7.20,3.56
201001,4.70,0.78
201002,4.20,0.37
201003,3.64,-0.29
201004,0.73,-2.48
201005,2.07,-2.04
201006,6.02,0.89
201007,4.72,-2.42
201008,5.38,-1.09
201009,15.68,10.20
201010,2.66,-0.56
201011,1.14,-1.86
201012,3.10,-0.54
201101,2.94,-0.98
201102,3.13,-0.70
201103,3.24,-0.69
201104,2.56,-0.65
201105,0.72,-3.39
201106,2.55,-2.58
201107,3.51,-3.63
201108,15.35,8.88
201109,5.25,-0.23
201110,2.41,-0.81
201111,2.68,-0.32
201112,0.75,-2.89
201201,2.49,-1.43
201202,2.44,-1.39
201203,4.11,0.18
201204,2.88,-0.33
201205,8.03,3.92
201206,2.64,-2.49
201207,10.39,3.25
201208,8.64,2.17
201209,5.00,-0.48
201210,4.57,1.35
201211,0.94,-2.06
201212,5.11,1.47
201301,2.14,-1.78
201302,4.98,1.15
201303,1.43,-2.50
201304,3.63,0.42
201305,2.39,-1.72
201306,8.67,3.54
201307,5.00,-2.14
201308,6.33,-0.14
201309,4.06,-1.42
201310,3.18,-0.04
201311,3.76,0.76
201312,3.57,-0.07
201401,3.63,-0.29
201402,3.13,-0.70
201403,5.22,1.29
201404,4.46,1.25
201405,2.74,-1.37
201406,6.66,1.53
201407,7.62,0.48
201408,7.47,1.00
201409,7.20,1.72
201410,2.27,-0.95
201411,3.53,0.53
201412,4.26,0.62
201501,5.02,1.10
201502,4.77,0.94
201503,3.52,-0.41
201504,2.83,-0.38
201505,4.00,-0.11
201506,6.52,1.39
201507,5.87,-1.27
201508,5.68,-0.79
201509,7.79,2.31
201510,7.24,4.02
201511,7.07,4.07
201512,5.63,1.99
201601,4.07,0.15
201602,7.45,3.62
201603,3.09,-0.84
201604,2.88,-0.33
201605,6.73,2.62
201606,5.17,0.04
201607,8.29,1.15
201608,5.91,-0.56
201609,12.71,7.23
201610,8.38,5.16
201611,0.97,-2.03
201612,3.98,0.34
201701,3.91,-0.01
201702,1.59,-2.24
201703,3.68,-0.25
201704,5.58,2.37
201705,4.41,0.30
201706,5.04,-0.09
201707,5.45,-1.69
201708,8.39,1.92
201709,4.88,-0.60
201710,4.21,0.99
201711,0.96,-2.04
201712,4.13,0.49
201801,4.99,1.07
201802,1.89,-1.94
201803,4.05,0.12
201804,5.34,2.13
201805,7.03,2.92
201806,6.14,1.01
201807,8.42,1.28
201808,6.12,-0.35
201809,16.45,10.97
201810,2.33,-0.89
201811,6.36,3.36
201812,6.95,3.31
201901,3.30,-0.62
201902,3.87,0.04
201903,2.61,-1.32
201904,3.56,0.35
201905,1.64,-2.47
201906,3.97,-1.16
201907,4.41,-2.73
201908,6.72,0.25
201909,6.35,0.87
201910,3.06,-0.16
201911,3.76,0.76
201912,3.05,-0.59
202001,2.24,-1.68
