Grand County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.07,0.13
200002,1.19,0.29
200003,1.48,0.44
200004,0.34,-0.63
200005,0.52,-0.42
200006,0.54,-0.08
200007,0.43,-0.55
200008,1.23,-0.03
200009,0.90,-0.29
200010,1.95,0.62
200011,0.66,-0.23
200012,0.57,-0.29
200101,1.09,0.15
200102,1.18,0.28
200103,1.03,-0.01
200104,1.32,0.35
200105,1.44,0.50
200106,0.12,-0.50
200107,1.74,0.76
200108,1.57,0.31
200109,0.49,-0.70
200110,0.41,-0.92
200111,1.02,0.13
200112,0.60,-0.26
200201,0.40,-0.54
200202,0.15,-0.75
200203,0.37,-0.67
200204,0.38,-0.59
200205,0.22,-0.72
200206,0.15,-0.47
200207,0.49,-0.49
200208,0.57,-0.69
200209,3.11,1.92
200210,1.10,-0.23
200211,0.73,-0.16
200212,0.32,-0.54
200301,0.22,-0.72
200302,1.36,0.46
200303,1.41,0.37
200304,0.31,-0.66
200305,1.19,0.25
200306,0.26,-0.36
200307,0.18,-0.80
200308,0.96,-0.30
200309,1.06,-0.13
200310,0.36,-0.97
200311,1.10,0.21
200312,1.07,0.21
200401,0.70,-0.24
200402,1.23,0.33
200403,0.14,-0.90
200404,2.66,1.69
200405,0.28,-0.66
200406,0.36,-0.26
200407,0.75,-0.23
200408,0.68,-0.58
200409,2.08,0.89
200410,2.02,0.69
200411,1.73,0.84
200412,0.90,0.04
200501,2.52,1.58
200502,1.20,0.30
200503,1.21,0.17
200504,0.67,-0.30
200505,0.67,-0.27
200506,1.61,0.99
200507,0.41,-0.57
200508,1.51,0.25
200509,1.67,0.48
200510,1.24,-0.09
200511,0.40,-0.49
200512,0.44,-0.42
200601,0.67,-0.27
200602,0.10,-0.80
200603,1.95,0.91
200604,0.34,-0.63
200605,0.06,-0.88
200606,0.34,-0.28
200607,1.26,0.28
200608,1.34,0.08
200609,2.06,0.87
200610,5.03,3.70
200611,0.55,-0.34
200612,0.41,-0.45
200701,0.64,-0.30
200702,0.69,-0.21
200703,0.69,-0.35
200704,1.10,0.13
200705,0.65,-0.29
200706,0.09,-0.53
200707,1.13,0.15
200708,1.89,0.63
200709,1.47,0.28
200710,0.54,-0.79
200711,0.26,-0.63
200712,2.13,1.27
200801,1.10,0.16
200802,1.32,0.42
200803,0.41,-0.63
200804,0.65,-0.32
200805,0.68,-0.26
200806,0.95,0.33
200807,0.42,-0.56
200808,1.01,-0.25
200809,0.83,-0.36
200810,0.73,-0.60
200811,0.92,0.03
200812,1.74,0.88
200901,0.40,-0.54
200902,0.49,-0.41
200903,0.33,-0.71
200904,1.21,0.24
200905,1.71,0.77
200906,0.91,0.29
200907,0.22,-0.76
200908,0.25,-1.01
200909,0.97,-0.22
200910,0.89,-0.44
200911,0.44,-0.45
200912,1.46,0.60
201001,1.10,0.16
201002,1.28,0.38
201003,1.35,0.31
201004,0.79,-0.18
201005,0.34,-0.60
201006,0.72,0.10
201007,0.46,-0.52
201008,1.65,0.39
201009,0.68,-0.51
201010,2.09,0.76
201011,1.02,0.13
201012,2.49,1.63
201101,0.12,-0.82
201102,0.66,-0.24
201103,0.62,-0.42
201104,1.22,0.25
201105,1.90,0.96
201106,0.58,-0.04
201107,2.13,1.15
201108,1.15,-0.11
201109,1.25,0.06
201110,1.52,0.19
201111,0.80,-0.09
201112,0.74,-0.12
201201,0.47,-0.47
201202,0.67,-0.23
201203,0.31,-0.73
201204,0.32,-0.65
201205,0.01,-0.93
201206,0.02,-0.60
201207,1.02,0.04
201208,0.84,-0.42
201209,0.78,-0.41
201210,0.94,-0.39
201211,0.41,-0.48
201212,1.32,0.46
201301,0.82,-0.12
201302,0.33,-0.57
201303,0.25,-0.79
201304,1.08,0.11
201305,1.03,0.09
201306,0.01,-0.61
201307,1.85,0.87
201308,1.59,0.33
201309,2.86,1.67
201310,1.48,0.15
201311,1.44,0.55
201312,0.73,-0.13
201401,0.30,-0.64
201402,0.43,-0.47
201403,0.48,-0.56
201404,0.96,-0.01
201405,1.82,0.88
201406,0.04,-0.58
201407,1.57,0.59
201408,2.69,1.43
201409,2.12,0.93
201410,0.27,-1.06
201411,0.48,-0.41
201412,1.04,0.18
201501,0.82,-0.12
201502,0.26,-0.64
201503,0.54,-0.50
201504,1.44,0.47
201505,2.26,1.32
201506,1.81,1.19
201507,1.99,1.01
201508,0.95,-0.31
201509,0.70,-0.49
201510,2.49,1.16
201511,1.50,0.61
201512,1.42,0.56
201601,0.70,-0.24
201602,0.60,-0.30
201603,0.99,-0.05
201604,1.46,0.49
201605,1.26,0.32
201606,0.26,-0.36
201607,0.76,-0.22
201608,1.11,-0.15
201609,1.53,0.34
201610,0.97,-0.36
201611,1.13,0.24
201612,1.07,0.21
201701,1.72,0.78
201702,0.69,-0.21
201703,0.36,-0.68
201704,0.28,-0.69
201705,0.79,-0.15
201706,0.03,-0.59
201707,1.82,0.84
201708,0.98,-0.28
201709,1.03,-0.16
201710,0.48,-0.85
201711,0.15,-0.74
201712,0.45,-0.41
201801,0.57,-0.37
201802,1.37,0.47
201803,0.98,-0.06
201804,0.55,-0.42
201805,0.83,-0.11
201806,0.04,-0.58
201807,0.81,-0.17
201808,1.10,-0.16
201809,0.14,-1.05
201810,3.16,1.83
201811,0.10,-0.79
201812,0.82,-0.04
201901,1.13,0.19
201902,2.12,1.22
201903,2.85,1.81
201904,1.59,0.62
201905,1.89,0.95
201906,0.34,-0.28
201907,0.38,-0.60
201908,0.18,-1.08
201909,0.25,-0.94
201910,0.04,-1.29
201911,1.48,0.59
201912,1.35,0.49
202001,0.55,-0.39
