Treasure County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.23,-0.33
200002,1.04,0.57
200003,0.62,-0.18
200004,1.28,0.04
200005,1.82,-0.35
200006,2.12,-0.41
200007,1.40,0.04
200008,0.18,-0.81
200009,1.22,-0.06
200010,1.22,0.20
200011,0.74,0.17
200012,0.36,-0.18
200101,0.25,-0.31
200102,0.48,0.01
200103,0.76,-0.04
200104,1.66,0.42
200105,0.49,-1.68
200106,4.89,2.36
200107,1.84,0.48
200108,0.03,-0.96
200109,1.19,-0.09
200110,0.59,-0.43
200111,0.33,-0.24
200112,0.04,-0.50
200201,0.34,-0.22
200202,0.48,0.01
200203,0.72,-0.08
200204,1.42,0.18
200205,1.86,-0.31
200206,1.99,-0.54
200207,0.85,-0.51
200208,1.46,0.47
200209,0.93,-0.35
200210,0.65,-0.37
200211,0.02,-0.55
200212,0.21,-0.33
200301,1.13,0.57
200302,0.94,0.47
200303,1.83,1.03
200304,1.27,0.03
200305,3.07,0.90
200306,2.65,0.12
200307,0.19,-1.17
200308,0.65,-0.34
200309,0.66,-0.62
200310,1.74,0.72
200311,0.50,-0.07
200312,0.94,0.40
200401,0.45,-0.11
200402,0.67,0.20
200403,0.21,-0.59
200404,0.28,-0.96
200405,1.83,-0.34
200406,2.00,-0.53
200407,1.26,-0.10
200408,0.58,-0.41
200409,1.57,0.29
200410,1.34,0.32
200411,0.10,-0.47
200412,0.29,-0.25
200501,0.46,-0.10
200502,0.18,-0.29
200503,0.63,-0.17
200504,3.09,1.85
200505,2.47,0.30
200506,3.95,1.42
200507,0.72,-0.64
200508,0.56,-0.43
200509,0.67,-0.61
200510,2.51,1.49
200511,1.23,0.66
200512,0.74,0.20
200601,0.17,-0.39
200602,0.49,0.02
200603,1.57,0.77
200604,2.20,0.96
200605,1.51,-0.66
200606,0.57,-1.96
200607,0.43,-0.93
200608,0.53,-0.46
200609,2.14,0.86
200610,1.90,0.88
200611,0.31,-0.26
200612,0.31,-0.23
200701,0.14,-0.42
200702,1.00,0.53
200703,1.46,0.66
200704,2.05,0.81
200705,5.30,3.13
200706,1.96,-0.57
200707,0.68,-0.68
200708,0.79,-0.20
200709,1.16,-0.12
200710,1.77,0.75
200711,0.28,-0.29
200712,0.27,-0.27
200801,0.41,-0.15
200802,0.38,-0.09
200803,0.29,-0.51
200804,0.41,-0.83
200805,5.39,3.22
200806,2.23,-0.30
200807,0.58,-0.78
200808,1.18,0.19
200809,1.79,0.51
200810,2.38,1.36
200811,0.80,0.23
200812,1.00,0.46
200901,0.56,0.00
200902,0.32,-0.15
200903,0.61,-0.19
200904,1.96,0.72
200905,1.22,-0.95
200906,1.83,-0.70
200907,1.99,0.63
200908,1.32,0.33
200909,0.48,-0.80
200910,2.26,1.24
200911,0.09,-0.48
200912,0.58,0.04
201001,0.55,-0.01
201002,0.33,-0.14
201003,0.10,-0.70
201004,1.00,-0.24
201005,3.39,1.22
201006,2.67,0.14
201007,2.05,0.69
201008,2.77,1.78
201009,1.53,0.25
201010,0.60,-0.42
201011,1.24,0.67
201012,0.64,0.10
201101,0.80,0.24
201102,0.88,0.41
201103,0.91,0.11
201104,2.78,1.54
201105,7.80,5.63
201106,3.19,0.66
201107,1.92,0.56
201108,1.14,0.15
201109,0.27,-1.01
201110,1.26,0.24
201111,0.39,-0.18
201112,0.32,-0.22
201201,1.26,0.70
201202,0.37,-0.10
201203,0.25,-0.55
201204,1.61,0.37
201205,1.60,-0.57
201206,0.66,-1.87
201207,0.38,-0.98
201208,0.46,-0.53
201209,0.10,-1.18
201210,1.26,0.24
201211,0.32,-0.25
201212,0.31,-0.23
201301,0.45,-0.11
201302,0.29,-0.18
201303,0.55,-0.25
201304,1.58,0.34
201305,6.25,4.08
201306,1.92,-0.61
201307,0.66,-0.70
201308,0.71,-0.28
201309,2.80,1.52
201310,2.14,1.12
201311,0.32,-0.25
201312,1.56,1.02
201401,0.83,0.27
201402,0.74,0.27
201403,1.61,0.81
201404,0.55,-0.69
201405,2.92,0.75
201406,2.61,0.08
201407,0.15,-1.21
201408,4.10,3.11
201409,1.16,-0.12
201410,0.42,-0.60
201411,0.75,0.18
201412,0.52,-0.02
201501,0.88,0.32
201502,0.41,-0.06
201503,0.21,-0.59
201504,0.88,-0.36
201505,1.99,-0.18
201506,1.66,-0.87
201507,1.59,0.23
201508,1.18,0.19
201509,0.37,-0.91
201510,1.26,0.24
201511,0.56,-0.01
201512,0.44,-0.10
201601,0.61,0.05
201602,0.54,0.07
201603,0.90,0.10
201604,2.98,1.74
201605,3.03,0.86
201606,0.84,-1.69
201607,1.96,0.60
201608,1.58,0.59
201609,2.98,1.70
201610,3.01,1.99
201611,0.08,-0.49
201612,1.02,0.48
201701,0.73,0.17
201702,0.35,-0.12
201703,1.39,0.59
201704,1.79,0.55
201705,0.99,-1.18
201706,1.49,-1.04
201707,0.27,-1.09
201708,0.39,-0.60
201709,2.27,0.99
201710,0.50,-0.52
201711,0.79,0.22
201712,0.99,0.45
201801,0.88,0.32
201802,1.65,1.18
201803,0.72,-0.08
201804,2.41,1.17
201805,3.56,1.39
201806,3.86,1.33
201807,0.97,-0.39
201808,1.81,0.82
201809,0.90,-0.38
201810,0.78,-0.24
201811,0.62,0.05
201812,0.56,0.02
201901,0.55,-0.01
201902,1.19,0.72
201903,0.42,-0.38
201904,2.30,1.06
201905,3.56,1.39
201906,2.80,0.27
201907,2.38,1.02
201908,1.62,0.63
201909,4.11,2.83
201910,0.77,-0.25
201911,0.91,0.34
201912,0.30,-0.24
202001,0.25,-0.31
