Boone County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.22,-0.32
200002,1.77,0.50
200003,1.05,-1.21
200004,3.85,0.69
200005,6.61,2.93
200006,7.97,3.73
200007,4.09,0.34
200008,3.52,-0.20
200009,5.99,2.23
200010,1.11,-1.52
200011,2.31,0.00
200012,2.10,0.35
200101,1.52,-0.02
200102,3.19,1.92
200103,0.86,-1.40
200104,3.40,0.24
200105,3.67,-0.01
200106,3.79,-0.45
200107,2.46,-1.29
200108,4.42,0.70
200109,7.22,3.46
200110,4.77,2.14
200111,1.95,-0.36
200112,0.95,-0.80
200201,0.86,-0.68
200202,1.59,0.32
200203,1.60,-0.66
200204,3.95,0.79
200205,2.97,-0.71
200206,5.07,0.83
200207,1.15,-2.60
200208,6.91,3.19
200209,3.26,-0.50
200210,2.91,0.28
200211,0.61,-1.70
200212,0.77,-0.98
200301,0.38,-1.16
200302,0.19,-1.08
200303,1.28,-0.98
200304,1.91,-1.25
200305,6.08,2.40
200306,2.11,-2.13
200307,5.31,1.56
200308,1.34,-2.38
200309,1.96,-1.80
200310,1.47,-1.16
200311,4.49,2.18
200312,2.79,1.04
200401,0.70,-0.84
200402,0.91,-0.36
200403,4.37,2.11
200404,1.81,-1.35
200405,8.13,4.45
200406,4.74,0.50
200407,2.69,-1.06
200408,3.72,0.00
200409,0.52,-3.24
200410,2.53,-0.10
200411,2.69,0.38
200412,1.09,-0.66
200501,3.50,1.96
200502,1.88,0.61
200503,0.66,-1.60
200504,1.77,-1.39
200505,2.24,-1.44
200506,1.57,-2.67
200507,2.13,-1.62
200508,3.98,0.26
200509,3.08,-0.68
200510,0.38,-2.25
200511,3.05,0.74
200512,1.23,-0.52
200601,2.80,1.26
200602,0.67,-0.60
200603,3.65,1.39
200604,4.03,0.87
200605,4.26,0.58
200606,4.08,-0.16
200607,3.97,0.22
200608,4.96,1.24
200609,3.39,-0.37
200610,3.83,1.20
200611,2.83,0.52
200612,2.49,0.74
200701,1.14,-0.40
200702,1.90,0.63
200703,2.46,0.20
200704,4.03,0.87
200705,1.46,-2.22
200706,4.59,0.35
200707,4.01,0.26
200708,13.22,9.50
200709,1.37,-2.39
200710,2.13,-0.50
200711,0.39,-1.92
200712,3.34,1.59
200801,1.62,0.08
200802,4.03,2.76
200803,2.15,-0.11
200804,5.05,1.89
200805,3.17,-0.51
200806,6.43,2.19
200807,6.73,2.98
200808,1.97,-1.75
200809,6.33,2.57
200810,2.22,-0.41
200811,1.30,-1.01
200812,4.78,3.03
200901,1.16,-0.38
200902,2.18,0.91
200903,4.81,2.55
200904,5.02,1.86
200905,3.78,0.10
200906,6.24,2.00
200907,2.77,-0.98
200908,5.54,1.82
200909,1.34,-2.42
200910,6.20,3.57
200911,1.77,-0.54
200912,3.65,1.90
201001,0.90,-0.64
201002,0.84,-0.43
201003,1.48,-0.78
201004,2.84,-0.32
201005,5.51,1.83
201006,6.75,2.51
201007,7.87,4.12
201008,2.69,-1.03
201009,2.61,-1.15
201010,2.01,-0.62
201011,1.16,-1.15
201012,1.49,-0.26
201101,0.84,-0.70
201102,2.25,0.98
201103,3.39,1.13
201104,4.24,1.08
201105,4.56,0.88
201106,3.04,-1.20
201107,5.86,2.11
201108,4.24,0.52
201109,4.70,0.94
201110,1.61,-1.02
201111,3.93,1.62
201112,2.18,0.43
201201,1.12,-0.42
201202,1.55,0.28
201203,2.29,0.03
201204,3.66,0.50
201205,2.38,-1.30
201206,1.20,-3.04
201207,3.06,-0.69
201208,2.13,-1.59
201209,1.79,-1.97
201210,2.92,0.29
201211,0.73,-1.58
201212,2.53,0.78
201301,3.32,1.78
201302,2.78,1.51
201303,2.05,-0.21
201304,7.65,4.49
201305,3.76,0.08
201306,8.82,4.58
201307,2.12,-1.63
201308,2.29,-1.43
201309,1.92,-1.84
201310,2.64,0.01
201311,2.70,0.39
201312,1.36,-0.39
201401,1.86,0.32
201402,1.41,0.14
201403,0.96,-1.30
201404,3.14,-0.02
201405,4.45,0.77
201406,7.71,3.47
201407,3.10,-0.65
201408,5.26,1.54
201409,2.23,-1.53
201410,2.65,0.02
201411,1.68,-0.63
201412,0.77,-0.98
201501,0.74,-0.80
201502,0.89,-0.38
201503,1.10,-1.16
201504,3.19,0.03
201505,5.23,1.55
201506,6.69,2.45
201507,4.01,0.26
201508,3.49,-0.23
201509,3.72,-0.04
201510,1.50,-1.13
201511,5.36,3.05
201512,5.22,3.47
201601,0.69,-0.85
201602,0.67,-0.60
201603,3.26,1.00
201604,2.58,-0.58
201605,3.51,-0.17
201606,3.14,-1.10
201607,6.12,2.37
201608,4.50,0.78
201609,2.98,-0.78
201610,2.67,0.04
201611,2.83,0.52
201612,1.74,-0.01
201701,2.49,0.95
201702,1.18,-0.09
201703,3.53,1.27
201704,5.73,2.57
201705,5.55,1.87
201706,7.02,2.78
201707,8.63,4.88
201708,1.66,-2.06
201709,0.31,-3.45
201710,6.34,3.71
201711,1.35,-0.96
201712,0.51,-1.24
201801,2.13,0.59
201802,2.94,1.67
201803,0.91,-1.35
201804,1.69,-1.47
201805,4.71,1.03
201806,8.42,4.18
201807,2.70,-1.05
201808,5.01,1.29
201809,7.01,3.25
201810,5.63,3.00
201811,2.10,-0.21
201812,1.87,0.12
201901,2.50,0.96
201902,3.55,2.28
201903,1.93,-0.33
201904,2.69,-0.47
201905,7.83,4.15
201906,3.37,-0.87
201907,3.19,-0.56
201908,4.19,0.47
201909,8.56,4.80
201910,5.71,3.08
201911,1.62,-0.69
201912,2.00,0.25
202001,2.09,0.55
