Chippewa County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.91,0.47
200002,0.99,-0.70
200003,2.44,0.39
200004,1.20,-1.02
200005,1.53,-1.26
200006,3.75,0.78
200007,1.25,-1.47
200008,1.57,-1.39
200009,2.69,-0.90
200010,1.52,-1.51
200011,2.52,-0.50
200012,2.01,-0.40
200101,1.49,-0.95
200102,3.03,1.34
200103,0.86,-1.19
200104,3.19,0.97
200105,4.40,1.61
200106,2.57,-0.40
200107,2.09,-0.63
200108,4.56,1.60
200109,5.88,2.29
200110,6.27,3.24
200111,3.53,0.51
200112,2.86,0.45
200201,1.01,-1.43
200202,2.13,0.44
200203,4.09,2.04
200204,2.67,0.45
200205,3.95,1.16
200206,4.10,1.13
200207,2.76,0.04
200208,4.38,1.42
200209,2.66,-0.93
200210,4.19,1.16
200211,1.48,-1.54
200212,1.67,-0.74
200301,1.76,-0.68
200302,1.58,-0.11
200303,1.99,-0.06
200304,2.35,0.13
200305,2.43,-0.36
200306,2.07,-0.90
200307,4.86,2.14
200308,3.14,0.18
200309,3.95,0.36
200310,2.57,-0.46
200311,4.29,1.27
200312,2.78,0.37
200401,2.47,0.03
200402,1.48,-0.21
200403,3.13,1.08
200404,1.95,-0.27
200405,4.48,1.69
200406,2.63,-0.34
200407,3.09,0.37
200408,3.34,0.38
200409,1.36,-2.23
200410,5.55,2.52
200411,3.29,0.27
200412,3.82,1.41
200501,1.75,-0.69
200502,1.26,-0.43
200503,0.79,-1.26
200504,1.79,-0.43
200505,1.68,-1.11
200506,1.83,-1.14
200507,2.55,-0.17
200508,3.51,0.55
200509,3.15,-0.44
200510,2.50,-0.53
200511,4.14,1.12
200512,1.68,-0.73
200601,2.30,-0.14
200602,2.49,0.80
200603,0.77,-1.28
200604,1.48,-0.74
200605,3.28,0.49
200606,0.95,-2.02
200607,2.08,-0.64
200608,2.52,-0.44
200609,4.41,0.82
200610,3.58,0.55
200611,2.44,-0.58
200612,3.18,0.77
200701,1.80,-0.64
200702,1.25,-0.44
200703,2.46,0.41
200704,2.33,0.11
200705,1.44,-1.35
200706,2.18,-0.79
200707,1.81,-0.91
200708,1.69,-1.27
200709,5.06,1.47
200710,5.07,2.04
200711,2.42,-0.60
200712,2.38,-0.03
200801,3.84,1.40
200802,2.09,0.40
200803,1.94,-0.11
200804,4.21,1.99
200805,3.07,0.28
200806,2.74,-0.23
200807,4.25,1.53
200808,2.01,-0.95
200809,2.71,-0.88
200810,2.29,-0.74
200811,3.19,0.17
200812,5.10,2.69
200901,1.49,-0.95
200902,2.03,0.34
200903,1.05,-1.00
200904,1.56,-0.66
200905,3.25,0.46
200906,2.61,-0.36
200907,3.18,0.46
200908,4.80,1.84
200909,0.82,-2.77
200910,6.32,3.29
200911,1.54,-1.48
200912,2.81,0.40
201001,0.95,-1.49
201002,0.57,-1.12
201003,0.12,-1.93
201004,1.30,-0.92
201005,1.39,-1.40
201006,6.45,3.48
201007,2.18,-0.54
201008,3.74,0.78
201009,7.92,4.33
201010,2.54,-0.49
201011,2.50,-0.52
201012,1.65,-0.76
201101,1.21,-1.23
201102,0.73,-0.96
201103,1.59,-0.46
201104,4.77,2.55
201105,2.48,-0.31
201106,4.21,1.24
201107,2.37,-0.35
201108,3.29,0.33
201109,4.38,0.79
201110,3.64,0.61
201111,3.19,0.17
201112,1.78,-0.63
201201,2.61,0.17
201202,1.10,-0.59
201203,2.16,0.11
201204,0.99,-1.23
201205,1.13,-1.66
201206,4.93,1.96
201207,2.50,-0.22
201208,2.51,-0.45
201209,2.59,-1.00
201210,5.36,2.33
201211,1.61,-1.41
201212,2.72,0.31
201301,3.03,0.59
201302,2.87,1.18
201303,2.52,0.47
201304,2.84,0.62
201305,2.53,-0.26
201306,2.64,-0.33
201307,5.39,2.67
201308,4.11,1.15
201309,3.29,-0.30
201310,3.69,0.66
201311,6.07,3.05
201312,2.48,0.07
201401,2.81,0.37
201402,0.98,-0.71
201403,1.45,-0.60
201404,3.86,1.64
201405,2.88,0.09
201406,2.96,-0.01
201407,2.18,-0.54
201408,3.48,0.52
201409,4.41,0.82
201410,7.17,4.14
201411,5.41,2.39
201412,2.84,0.43
201501,1.78,-0.66
201502,1.24,-0.45
201503,1.31,-0.74
201504,1.75,-0.47
201505,3.01,0.22
201506,1.94,-1.03
201507,2.39,-0.33
201508,2.37,-0.59
201509,2.87,-0.72
201510,2.95,-0.08
201511,4.09,1.07
201512,5.11,2.70
201601,1.92,-0.52
201602,2.01,0.32
201603,2.55,0.50
201604,2.82,0.60
201605,1.52,-1.27
201606,2.16,-0.81
201607,4.12,1.40
201608,3.84,0.88
201609,5.58,1.99
201610,3.43,0.40
201611,2.00,-1.02
201612,3.85,1.44
201701,2.25,-0.19
201702,2.88,1.19
201703,2.18,0.13
201704,2.54,0.32
201705,2.87,0.08
201706,5.24,2.27
201707,4.96,2.24
201708,4.98,2.02
201709,1.37,-2.22
201710,6.51,3.48
201711,3.08,0.06
201712,3.49,1.08
201801,1.75,-0.69
201802,1.67,-0.02
201803,0.80,-1.25
201804,2.64,0.42
201805,2.95,0.16
201806,1.56,-1.41
201807,1.80,-0.92
201808,2.40,-0.56
201809,3.21,-0.38
201810,7.19,4.16
201811,3.27,0.25
201812,1.74,-0.67
201901,2.81,0.37
201902,4.55,2.86
201903,1.45,-0.60
201904,4.13,1.91
201905,4.32,1.53
201906,4.84,1.87
201907,1.42,-1.30
201908,2.31,-0.65
201909,5.05,1.46
201910,6.52,3.49
201911,2.89,-0.13
201912,3.19,0.78
202001,1.85,-0.59
