Smith County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.38,-0.94
200002,2.57,-0.95
200003,4.16,0.38
200004,4.37,-0.19
200005,8.81,4.04
200006,5.85,2.42
200007,0.40,-2.52
200008,0.11,-2.24
200009,0.86,-2.31
200010,3.36,-0.21
200011,12.37,8.50
200012,6.05,1.88
200101,5.29,1.97
200102,7.05,3.53
200103,8.61,4.83
200104,1.29,-3.27
200105,5.76,0.99
200106,5.95,2.52
200107,1.14,-1.78
200108,3.11,0.76
200109,5.22,2.05
200110,2.87,-0.70
200111,4.31,0.44
200112,6.08,1.91
200201,1.72,-1.60
200202,2.69,-0.83
200203,5.28,1.50
200204,2.59,-1.97
200205,3.81,-0.96
200206,3.71,0.28
200207,3.70,0.78
200208,2.49,0.14
200209,2.91,-0.26
200210,4.42,0.85
200211,2.04,-1.83
200212,6.97,2.80
200301,0.47,-2.85
200302,7.18,3.66
200303,2.40,-1.38
200304,1.73,-2.83
200305,2.84,-1.93
200306,8.04,4.61
200307,2.21,-0.71
200308,1.81,-0.54
200309,3.24,0.07
200310,2.56,-1.01
200311,2.12,-1.75
200312,3.27,-0.90
200401,2.69,-0.63
200402,5.52,2.00
200403,3.16,-0.62
200404,4.76,0.20
200405,3.66,-1.11
200406,7.71,4.28
200407,1.05,-1.87
200408,3.59,1.24
200409,0.71,-2.46
200410,5.85,2.28
200411,6.73,2.86
200412,1.99,-2.18
200501,3.36,0.04
200502,4.10,0.58
200503,2.02,-1.76
200504,1.17,-3.39
200505,2.30,-2.47
200506,0.98,-2.45
200507,3.93,1.01
200508,2.33,-0.02
200509,2.91,-0.26
200510,0.74,-2.83
200511,1.31,-2.56
200512,0.66,-3.51
200601,4.24,0.92
200602,4.00,0.48
200603,5.29,1.51
200604,2.30,-2.26
200605,2.14,-2.63
200606,1.19,-2.24
200607,2.11,-0.81
200608,1.19,-1.16
200609,1.15,-2.02
200610,4.40,0.83
200611,3.95,0.08
200612,4.87,0.70
200701,9.02,5.70
200702,1.42,-2.10
200703,3.41,-0.37
200704,3.87,-0.69
200705,8.26,3.49
200706,8.17,4.74
200707,11.52,8.60
200708,2.11,-0.24
200709,2.00,-1.17
200710,1.90,-1.67
200711,2.04,-1.83
200712,3.63,-0.54
200801,2.12,-1.20
200802,3.39,-0.13
200803,6.49,2.71
200804,3.98,-0.58
200805,5.72,0.95
200806,4.80,1.37
200807,0.68,-2.24
200808,8.81,6.46
200809,6.73,3.56
200810,3.39,-0.18
200811,5.00,1.13
200812,1.87,-2.30
200901,1.45,-1.87
200902,1.33,-2.19
200903,7.24,3.46
200904,4.45,-0.11
200905,3.10,-1.67
200906,1.52,-1.91
200907,5.53,2.61
200908,2.50,0.15
200909,8.31,5.14
200910,13.86,10.29
200911,1.93,-1.94
200912,3.89,-0.28
201001,2.68,-0.64
201002,3.53,0.01
201003,4.31,0.53
201004,1.03,-3.53
201005,0.82,-3.95
201006,7.60,4.17
201007,4.14,1.22
201008,1.20,-1.15
201009,1.56,-1.61
201010,2.68,-0.89
201011,2.43,-1.44
201012,1.11,-3.06
201101,4.47,1.15
201102,1.81,-1.71
201103,0.52,-3.26
201104,3.00,-1.56
201105,2.59,-2.18
201106,1.37,-2.06
201107,0.76,-2.16
201108,0.55,-1.80
201109,1.15,-2.02
201110,2.23,-1.34
201111,3.70,-0.17
201112,6.86,2.69
201201,3.97,0.65
201202,3.41,-0.11
201203,6.81,3.03
201204,2.16,-2.40
201205,3.22,-1.55
201206,3.44,0.01
201207,2.56,-0.36
201208,3.18,0.83
201209,6.24,3.07
201210,2.13,-1.44
201211,0.95,-2.92
201212,3.04,-1.13
201301,4.34,1.02
201302,2.91,-0.61
201303,2.61,-1.17
201304,2.94,-1.62
201305,3.79,-0.98
201306,1.88,-1.55
201307,4.39,1.47
201308,0.67,-1.68
201309,7.44,4.27
201310,8.44,4.87
201311,5.15,1.28
201312,3.89,-0.28
201401,0.76,-2.56
201402,2.72,-0.80
201403,2.78,-1.00
201404,2.74,-1.82
201405,5.38,0.61
201406,4.77,1.34
201407,4.28,1.36
201408,1.24,-1.11
201409,2.66,-0.51
201410,6.29,2.72
201411,4.19,0.32
201412,1.90,-2.27
201501,5.39,2.07
201502,3.63,0.11
201503,7.78,4.00
201504,9.10,4.54
201505,11.74,6.97
201506,4.04,0.61
201507,0.12,-2.80
201508,2.68,0.33
201509,0.24,-2.93
201510,10.47,6.90
201511,8.84,4.97
201512,9.59,5.42
201601,1.72,-1.60
201602,2.41,-1.11
201603,9.18,5.40
201604,8.43,3.87
201605,3.29,-1.48
201606,2.67,-0.76
201607,1.47,-1.45
201608,4.92,2.57
201609,1.52,-1.65
201610,1.07,-2.50
201611,2.51,-1.36
201612,3.15,-1.02
201701,5.88,2.56
201702,2.64,-0.88
201703,2.87,-0.91
201704,3.88,-0.68
201705,5.45,0.68
201706,4.11,0.68
201707,3.02,0.10
201708,8.48,6.13
201709,0.16,-3.01
201710,1.96,-1.61
201711,1.96,-1.91
201712,5.67,1.50
201801,1.73,-1.59
201802,9.06,5.54
201803,5.01,1.23
201804,2.93,-1.63
201805,1.20,-3.57
201806,1.72,-1.71
201807,2.28,-0.64
201808,1.65,-0.70
201809,6.32,3.15
201810,11.21,7.64
201811,5.65,1.78
201812,8.32,4.15
201901,3.89,0.57
201902,3.84,0.32
201903,2.31,-1.47
201904,9.51,4.95
201905,10.31,5.54
201906,6.63,3.20
201907,1.04,-1.88
201908,1.03,-1.32
201909,1.07,-2.10
201910,4.94,1.37
201911,0.76,-3.11
201912,1.27,-2.90
202001,4.92,1.60
