ABBR_x,length_ft,width_ft
ABE,1777.75,98.08333333333333
ABI,3898.733333333333,103.33333333333333
ABQ,4744.461538461538,120.38461538461539
ABY,2296.1,77.36666666666666
ACK,3299.75,125.0
ACT,2696.8333333333335,84.95833333333333
ACY,2993.3333333333335,105.11111111111111
ADK,7697.5,200.0
ADQ,3855.8571428571427,143.14285714285714
AEX,2645.5882352941176,86.29411764705883
AKN,5639.666666666667,250.0
ALB,2296.1,77.36666666666666
ALO,2350.866666666667,82.46666666666667
AMA,4844.0,99.5
ANC,3300.037037037037,105.62962962962963
ASE,2414.0,75.0
ATL,2618.553191489362,76.59574468085107
ATW,4153.6,114.4
AUS,2174.4193548387098,66.61290322580645
AVL,3567.0,116.66666666666667
AVP,1238.5,73.75
AZO,2558.285714285714,100.0
BDL,60.0,60.0
BET,2969.8,268.5
BFL,2744.777777777778,77.33333333333333
BGM,3460.4,124.0
BGR,7020.0,1072.5
BHM,1282.1333333333334,60.8
BIL,2898.4444444444443,62.22222222222222
BIS,2765.5,67.5
BJI,4684.0,534.0
BKG,1695.7142857142858,60.714285714285715
BLI,3894.6,904.4
BMI,3289.6363636363635,440.6363636363636
BNA,2468.6,84.8
BOI,2999.777777777778,76.11111111111111
BOS,3590.4166666666665,99.25
BQK,5018.5,122.5
BRO,2363.5384615384614,76.92307692307692
BTM,3461.8333333333335,69.16666666666667
BTR,1223.3333333333333,76.71428571428571
BTV,2285.5185185185187,73.44444444444444
BUF,3190.2105263157896,96.63157894736842
BUR,3209.25,112.5
BWI,2257.2727272727275,85.68181818181819
BZN,2989.4444444444443,81.66666666666667
CAE,2014.6153846153845,78.33333333333333
CAK,2832.8947368421054,87.73684210526316
CDC,3531.0,72.0
CDV,3849.8333333333335,590.0
CEC,3264.1428571428573,125.71428571428571
CHA,2720.0,82.14285714285714
CHS,3241.222222222222,91.38888888888889
CIC,2557.5,60.125
CID,2495.1666666666665,78.33333333333333
CLD,4849.714285714285,100.71428571428571
CLE,2733.96875,92.59375
CLL,3521.6,150.0
CLT,2939.809523809524,80.71428571428571
CMH,2954.467741935484,89.70967741935483
CMI,1750.0,60.0
CMX,3926.75,105.0
COD,2984.5,55.0
COS,3614.1875,82.6875
CPR,4622.25,72.5
CRP,3587.9444444444443,136.88888888888889
CRW,3241.222222222222,91.38888888888889
CSG,2954.467741935484,89.70967741935483
CVG,3765.9375,105.875
DAB,3999.6666666666665,126.83333333333333
DAL,1551.1666666666667,71.78571428571429
DAY,3268.4285714285716,93.14285714285714
DCA,2480.8571428571427,86.51020408163265
DEN,4281.909090909091,77.42424242424242
DHN,3123.6,92.0
DLG,2933.3333333333335,100.0
DLH,4593.833333333333,916.6666666666666
DRO,2632.285714285714,103.57142857142857
DSM,1715.076923076923,93.23076923076923
DTW,5994.882352941177,130.88235294117646
EGE,100.0,100.0
EKO,2983.75,75.0
ELM,1665.0,77.2
ELP,3127.0,74.84615384615384
ERI,2739.8333333333335,92.91666666666667
EUG,2178.3333333333335,90.88888888888889
EVV,2679.8888888888887,89.66666666666667
EWN,2390.8,90.0
EWR,2669.133333333333,90.66666666666667
EYW,5256.833333333333,123.33333333333333
FAI,4251.0,118.15789473684211
FAR,3583.75,100.0
FAT,2674.75,70.83333333333333
FAY,2444.6129032258063,106.7741935483871
FCA,2854.625,78.125
FLG,2413.0,130.0
FLL,2871.5833333333335,89.83333333333333
FLO,3761.2,402.3333333333333
FNT,5033.333333333333,116.66666666666667
FSD,3124.0,89.57142857142857
FSM,3381.8,86.0
FWA,3023.7,78.0
GCC,2875.25,75.83333333333333
GEG,3284.6666666666665,86.5
GFK,5500.833333333333,99.16666666666667
GGG,2932.375,74.375
GJT,1918.8,60.5
GNV,2133.3333333333335,87.16666666666667
GPT,4225.4,128.0
GRB,2843.4444444444443,101.66666666666667
GRK,2360.75,87.0
GRR,3714.0,140.57142857142858
GSO,3959.9285714285716,145.0
GSP,3246.703703703704,176.5
GST,6576.666666666667,1403.3333333333333
GTF,2511.6666666666665,79.16666666666667
GUC,4150.0,116.66666666666667
HDN,10000.0,150.0
HLN,2367.5,90.3125
HNL,4377.083333333333,127.08333333333333
HOU,1661.4566929133857,79.48818897637796
HPN,3679.6666666666665,112.0
HRL,3368.1428571428573,105.71428571428571
HSV,3171.4,89.66666666666667
HTS,2340.0,67.73333333333333
IAD,2480.8571428571427,86.51020408163265
IAH,1661.4566929133857,79.48818897637796
ICT,4039.75,97.4
IDA,3629.6,86.0
ILM,3430.3333333333335,96.0952380952381
IND,2145.03125,84.3125
IPL,4471.0,143.75
ISP,5100.25,131.25
ITH,2577.375,121.25
ITO,5162.0,128.66666666666666
IYK,5841.666666666667,75.0
JAN,2093.9791666666665,79.64583333333333
JAX,3904.139534883721,108.13953488372093
JFK,3115.0833333333335,136.33333333333334
JNU,3288.1,221.2
KTN,6673.833333333333,1116.6666666666667
LAN,2113.909090909091,75.81818181818181
LAS,4044.4444444444443,87.07407407407408
LAW,3101.285714285714,129.28571428571428
LAX,782.8333333333334,70.12121212121212
LBB,3342.0,84.8125
LCH,1868.7272727272727,86.9090909090909
LFT,1844.8666666666666,84.83333333333333
LGA,3115.0833333333335,136.33333333333334
LGB,2225.0,91.42857142857143
LIH,6500.0,150.0
LIT,1802.1764705882354,59.11764705882353
LMT,4375.5,83.33333333333333
LNK,2913.44,98.16
LRD,4509.428571428572,93.85714285714286
LSE,3676.0,96.57142857142857
LWB,2670.1428571428573,84.57142857142857
LWS,3275.0,94.16666666666667
LYH,2629.714285714286,90.85714285714286
MAF,4165.611111111111,88.72222222222223
MBS,3546.8571428571427,122.14285714285714
MCI,1634.2962962962963,65.81481481481481
MCO,2870.025,143.525
MDT,2091.705882352941,74.58823529411765
MDW,4273.851851851852,107.70370370370371
MEI,4859.818181818182,129.54545454545453
MEM,3050.5,80.1
MFR,2485.9285714285716,87.35714285714286
MGM,2961.3333333333335,83.8
MHK,2990.0,83.33333333333333
MIA,3783.0588235294117,115.91176470588235
MKE,4185.181818181818,137.63636363636363
MLB,3018.8,86.8
MLI,4869.428571428572,127.14285714285714
MLU,2396.233333333333,93.13333333333334
MOB,4152.818181818182,117.27272727272727
MOD,3031.6666666666665,94.16666666666667
MOT,5499.5,159.5
MQT,3000.0,100.0
MRY,2954.1428571428573,89.28571428571429
MSN,2369.2,97.48571428571428
MSO,1933.5,51.25
MSP,4405.7,195.35
MSY,2866.8888888888887,105.11111111111111
MYR,9503.0,150.0
OAK,2847.6666666666665,91.88888888888889
OGG,5992.5,150.0
OKC,2816.59375,83.1875
OMA,3042.0625,88.4375
OME,3055.285714285714,124.28571428571429
ONT,6691.25,115.0
