ident,length_ft,width_ft
0V4,15192.0,60.0
19S,27200.0,80.0
23M,12800.0,60.0
2A5,15200.0,40.0
2H0,39792.0,158.33333333333334
2K7,20192.0,45.5
3AU,16796.0,60.0
4A7,18012.0,75.0
4U9,28000.0,70.0
52A,15224.0,50.0
57C,25384.0,112.5
5B2,34800.0,100.0
6J4,12800.0,60.0
6S0,37140.0,87.5
7W6,18800.0,100.0
87K,22900.0,50.0
A39,19004.0,50.0
A50,49760.0,47.333333333333336
AAA,19684.0,60.0
AAC,39620.0,148.0
AAE,69424.0,148.0
AAF,62740.0,150.0
AAH,6824.0,65.0
AAL,68280.0,111.0
AAM,16580.0,75.0
AAN,52492.0,148.0
AAO,16536.0,131.0
AAQ,32808.0,138.0
AAR,71904.0,111.5
AAV,17584.0,59.0
AAX,24936.0,98.0
AAY,35432.0,148.0
ABA,92520.0,167.66666666666666
ABD,70424.0,131.5
ABE,53588.0,150.0
ABH,19108.0,98.0
ABI,72312.0,133.33333333333334
ABJ,39372.0,164.0
ABL,21600.0,60.0
ABM,21848.0,98.0
ABQ,159172.0,150.0
ABR,49604.0,100.0
ABS,39372.0,148.0
ABT,43964.0,148.0
ABV,47368.0,197.0
ABX,24936.0,98.0
ABY,47204.0,150.0
ABZ,45276.0,113.0
ACA,65644.0,131.5
ACC,44660.0,200.0
ACE,31496.0,148.0
ACH,49996.0,87.0
ACI,27676.0,105.66666666666667
ACJ,19504.0,150.0
ACK,51996.0,100.0
ACP,38456.0,98.0
ACS,32152.0,138.0
ACT,49968.0,150.0
ACV,41996.0,150.0
ACY,64576.0,150.0
ACZ,39392.0,148.0
ADA,36088.0,148.0
ADB,85040.0,147.0
ADD,98424.0,148.0
ADE,40684.0,148.0
ADF,32848.0,98.0
ADH,18056.0,111.0
ADI,25200.0,66.0
ADJ,42980.0,148.0
ADK,61580.0,200.0
ADL,62364.0,148.0
ADM,113348.0,137.5
ADQ,71816.0,150.0
ADS,28808.0,100.0
ADU,43292.0,148.0
ADW,76220.0,175.0
ADX,53176.0,150.5
ADY,19028.0,100.0
ADZ,31232.0,148.0
AEH,36744.0,98.0
AEP,27560.0,131.0
AER,66800.0,162.5
AES,30368.0,148.0
AET,16000.0,100.0
AEX,65412.0,150.0
AEY,25460.0,148.0
AFA,27692.0,98.0
AFE,16000.0,100.0
AFL,32808.0,98.0
