Montrose County, Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.3,6.4
200002,35.3,6.5
200003,38.2,2.7
200004,49.8,6.0
200005,58.8,5.9
200006,65.8,3.4
200007,71.9,3.5
200008,70.6,4.4
200009,61.6,3.1
200010,49.4,2.0
200011,30.1,-4.2
200012,29.2,3.6
200101,26.4,2.5
200102,32.3,3.5
200103,39.6,4.1
200104,47.2,3.4
200105,57.4,4.5
200106,66.5,4.1
200107,70.9,2.5
200108,67.9,1.7
200109,63.3,4.8
200110,50.5,3.1
200111,39.7,5.4
200112,26.3,0.7
200201,25.8,1.9
200202,27.6,-1.2
200203,35.2,-0.3
200204,50.3,6.5
200205,56.1,3.2
200206,69.0,6.6
200207,73.4,5.0
200208,68.2,2.0
200209,59.7,1.2
200210,46.2,-1.2
200211,35.5,1.2
200212,28.5,2.9
200301,33.8,9.9
200302,30.2,1.4
200303,38.3,2.8
200304,46.1,2.3
200305,56.2,3.3
200306,64.1,1.7
200307,75.2,6.8
200308,70.4,4.2
200309,59.6,1.1
200310,53.8,6.4
200311,34.9,0.6
200312,29.1,3.5
200401,25.0,1.1
200402,27.9,-0.9
200403,44.7,9.2
200404,46.6,2.8
200405,56.6,3.7
200406,64.8,2.4
200407,69.8,1.4
200408,66.6,0.4
200409,57.9,-0.6
200410,48.1,0.7
200411,35.6,1.3
200412,29.0,3.4
200501,34.4,10.5
200502,33.8,5.0
200503,37.1,1.6
200504,45.6,1.8
200505,55.8,2.9
200506,61.6,-0.8
200507,72.8,4.4
200508,66.6,0.4
200509,60.6,2.1
200510,49.9,2.5
200511,38.7,4.4
200512,27.8,2.2
200601,29.5,5.6
200602,31.4,2.6
200603,36.4,0.9
200604,48.5,4.7
200605,58.4,5.5
200606,68.0,5.6
200607,71.4,3.0
200608,67.0,0.8
200609,55.2,-3.3
200610,45.9,-1.5
200611,37.6,3.3
200612,28.1,2.5
200701,24.6,0.7
200702,33.3,4.5
200703,41.4,5.9
200704,47.0,3.2
200705,54.8,1.9
200706,66.2,3.8
200707,72.8,4.4
200708,70.3,4.1
200709,61.1,2.6
200710,48.2,0.8
200711,40.4,6.1
200712,24.5,-1.1
200801,21.5,-2.4
200802,29.3,0.5
200803,36.5,1.0
200804,42.6,-1.2
200805,51.7,-1.2
200806,63.6,1.2
200807,70.9,2.5
200808,68.8,2.6
200809,60.2,1.7
200810,49.4,2.0
200811,40.0,5.7
200812,27.3,1.7
200901,29.1,5.2
200902,34.0,5.2
200903,39.4,3.9
200904,44.2,0.4
200905,57.6,4.7
200906,61.2,-1.2
200907,70.7,2.3
200908,67.7,1.5
200909,60.9,2.4
200910,45.0,-2.4
200911,39.8,5.5
200912,22.0,-3.6
201001,26.7,2.8
201002,27.9,-0.9
201003,36.8,1.3
201004,44.8,1.0
201005,51.5,-1.4
201006,66.0,3.6
201007,70.7,2.3
201008,66.8,0.6
201009,62.7,4.2
201010,50.6,3.2
201011,34.1,-0.2
201012,33.8,8.2
201101,24.4,0.5
201102,27.1,-1.7
201103,40.0,4.5
201104,43.6,-0.2
201105,50.6,-2.3
201106,64.3,1.9
201107,70.1,1.7
201108,70.5,4.3
201109,60.8,2.3
201110,48.2,0.8
201111,36.3,2.0
201112,26.3,0.7
201201,29.5,5.6
201202,30.8,2.0
201203,41.5,6.0
201204,49.2,5.4
201205,57.9,5.0
201206,69.8,7.4
201207,71.0,2.6
201208,69.7,3.5
201209,61.1,2.6
201210,49.8,2.4
201211,41.0,6.7
201212,27.2,1.6
201301,20.6,-3.3
201302,27.4,-1.4
201303,38.9,3.4
201304,43.8,0.0
201305,55.1,2.2
201306,68.8,6.4
201307,72.3,3.9
201308,67.3,1.1
201309,60.9,2.4
201310,45.2,-2.2
201311,37.2,2.9
201312,23.3,-2.3
201401,29.1,5.2
201402,34.2,5.4
201403,39.4,3.9
201404,44.5,0.7
201405,54.5,1.6
201406,64.8,2.4
201407,72.0,3.6
201408,65.9,-0.3
201409,62.7,4.2
201410,51.3,3.9
201411,36.7,2.4
201412,31.2,5.6
201501,31.3,7.4
201502,36.4,7.6
201503,43.6,8.1
201504,46.0,2.2
201505,51.6,-1.3
201506,67.3,4.9
201507,67.4,-1.0
201508,68.3,2.1
201509,63.6,5.1
201510,52.8,5.4
201511,35.5,1.2
201512,25.3,-0.3
201601,26.4,2.5
201602,33.4,4.6
201603,40.0,4.5
201604,45.5,1.7
201605,53.2,0.3
201606,69.2,6.8
201607,70.8,2.4
201608,65.6,-0.6
201609,60.4,1.9
201610,53.1,5.7
201611,40.9,6.6
201612,28.3,2.7
201701,27.7,3.8
201702,37.1,8.3
201703,44.2,8.7
201704,46.0,2.2
201705,53.8,0.9
201706,68.7,6.3
201707,71.6,3.2
201708,68.1,1.9
201709,61.3,2.8
201710,49.0,1.6
201711,44.3,10.0
201712,32.9,7.3
201801,31.5,7.6
201802,32.1,3.3
201803,39.2,3.7
201804,48.1,4.3
201805,59.1,6.2
201806,69.0,6.6
201807,73.8,5.4
201808,70.3,4.1
201809,64.7,6.2
201810,46.7,-0.7
201811,34.5,0.2
201812,27.3,1.7
201901,26.2,2.3
201902,27.7,-1.1
201903,38.0,2.5
201904,48.3,4.5
201905,49.9,-3.0
201906,63.0,0.6
201907,71.6,3.2
201908,71.3,5.1
201909,64.2,5.7
201910,43.6,-3.8
201911,38.4,4.1
201912,28.1,2.5
202001,26.3,2.4
