Mono County, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.9,3.7
200002,31.5,2.3
200003,34.9,1.6
200004,43.4,4.0
200005,50.9,4.0
200006,59.3,4.0
200007,62.2,-0.5
200008,62.2,0.9
200009,55.1,0.8
200010,43.6,-1.5
200011,31.6,-3.9
200012,33.9,4.9
200101,26.2,-1.0
200102,25.7,-3.5
200103,37.7,4.4
200104,37.5,-1.9
200105,54.3,7.4
200106,59.1,3.8
200107,61.7,-1.0
200108,65.4,4.1
200109,58.0,3.7
200110,49.8,4.7
200111,36.4,0.9
200112,27.4,-1.6
200201,27.0,-0.2
200202,33.4,4.2
200203,32.3,-1.0
200204,41.6,2.2
200205,47.3,0.4
200206,59.2,3.9
200207,66.5,3.8
200208,62.2,0.9
200209,56.0,1.7
200210,44.4,-0.7
200211,37.0,1.5
200212,27.3,-1.7
200301,36.3,9.1
200302,29.2,0.0
200303,36.7,3.4
200304,35.3,-4.1
200305,48.4,1.5
200306,59.4,4.1
200307,66.4,3.7
200308,62.6,1.3
200309,58.4,4.1
200310,51.2,6.1
200311,31.7,-3.8
200312,28.2,-0.8
200401,27.9,0.7
200402,27.1,-2.1
200403,41.5,8.2
200404,42.0,2.6
200405,49.2,2.3
200406,58.3,3.0
200407,64.4,1.7
200408,61.3,0.0
200409,54.4,0.1
200410,42.5,-2.6
200411,33.4,-2.1
200412,30.2,1.2
200501,27.6,0.4
200502,29.9,0.7
200503,34.2,0.9
200504,37.3,-2.1
200505,48.4,1.5
200506,53.0,-2.3
200507,67.4,4.7
200508,62.6,1.3
200509,52.0,-2.3
200510,46.3,1.2
200511,39.4,3.9
200512,31.9,2.9
200601,27.6,0.4
200602,31.1,1.9
200603,28.0,-5.3
200604,39.4,0.0
200605,50.1,3.2
200606,59.6,4.3
200607,66.3,3.6
200608,60.7,-0.6
200609,54.5,0.2
200610,43.8,-1.3
200611,37.8,2.3
200612,29.8,0.8
200701,26.1,-1.1
200702,31.6,2.4
200703,39.4,6.1
200704,42.0,2.6
200705,50.8,3.9
200706,58.8,3.5
200707,67.0,4.3
200708,64.0,2.7
200709,53.4,-0.9
200710,44.7,-0.4
200711,39.2,3.7
200712,26.9,-2.1
200801,24.9,-2.3
200802,29.5,0.3
200803,34.8,1.5
200804,40.0,0.6
200805,46.8,-0.1
200806,57.0,1.7
200807,65.6,2.9
200808,64.8,3.5
200809,56.3,2.0
200810,45.7,0.6
200811,39.8,4.3
200812,27.9,-1.1
200901,32.7,5.5
200902,29.7,0.5
200903,33.4,0.1
200904,39.0,-0.4
200905,53.0,6.1
200906,53.2,-2.1
200907,65.0,2.3
200908,61.2,-0.1
200909,59.0,4.7
200910,43.0,-2.1
200911,37.4,1.9
200912,25.4,-3.6
201001,28.6,1.4
201002,30.9,1.7
201003,32.6,-0.7
201004,35.5,-3.9
201005,41.2,-5.7
201006,56.7,1.4
201007,64.8,2.1
201008,60.8,-0.5
201009,56.5,2.2
201010,45.5,0.4
201011,34.0,-1.5
201012,31.7,2.7
201101,31.1,3.9
201102,27.4,-1.8
201103,33.0,-0.3
201104,38.2,-1.2
201105,42.7,-4.2
201106,53.4,-1.9
201107,62.0,-0.7
201108,62.8,1.5
201109,57.9,3.6
201110,47.1,2.0
201111,34.4,-1.1
201112,28.4,-0.6
201201,33.4,6.2
201202,31.0,1.8
201203,35.6,2.3
201204,42.0,2.6
201205,50.3,3.4
201206,57.9,2.6
201207,64.1,1.4
201208,65.5,4.2
201209,59.2,4.9
201210,48.3,3.2
201211,38.2,2.7
201212,26.9,-2.1
201301,26.6,-0.6
201302,29.9,0.7
201303,39.7,6.4
201304,43.3,3.9
201305,49.4,2.5
201306,60.5,5.2
201307,66.3,3.6
201308,61.7,0.4
201309,55.9,1.6
201310,43.0,-2.1
201311,37.4,1.9
201312,29.3,0.3
201401,36.0,8.8
201402,35.0,5.8
201403,37.2,3.9
201404,42.7,3.3
201405,49.2,2.3
201406,58.9,3.6
201407,66.0,3.3
201408,61.2,-0.1
201409,58.0,3.7
201410,50.6,5.5
201411,40.0,4.5
201412,32.0,3.0
201501,36.0,8.8
201502,39.3,10.1
201503,41.4,8.1
201504,41.1,1.7
201505,46.8,-0.1
201506,60.9,5.6
201507,61.3,-1.4
201508,64.0,2.7
201509,58.6,4.3
201510,48.8,3.7
201511,32.0,-3.5
201512,27.1,-1.9
201601,28.8,1.6
201602,36.2,7.0
201603,38.6,5.3
201604,42.8,3.4
201605,47.3,0.4
201606,60.9,5.6
201607,65.4,2.7
201608,63.9,2.6
201609,55.8,1.5
201610,46.9,1.8
201611,38.6,3.1
201612,30.8,1.8
201701,25.2,-2.0
201702,31.1,1.9
201703,37.8,4.5
201704,40.2,0.8
201705,49.1,2.2
201706,59.4,4.1
201707,66.9,4.2
201708,64.2,2.9
201709,53.9,-0.4
201710,46.3,1.2
201711,40.6,5.1
201712,34.4,5.4
201801,35.4,8.2
201802,30.3,1.1
201803,32.2,-1.1
201804,43.3,3.9
201805,49.1,2.2
201806,59.9,4.6
201807,67.5,4.8
201808,64.2,2.9
201809,57.6,3.3
201810,45.0,-0.1
201811,38.9,3.4
201812,29.9,0.9
201901,31.5,4.3
201902,23.6,-5.6
201903,32.6,-0.7
201904,43.1,3.7
201905,44.0,-2.9
201906,56.4,1.1
201907,63.2,0.5
201908,64.4,3.1
201909,54.2,-0.1
201910,42.7,-2.4
201911,38.0,2.5
201912,28.9,-0.1
202001,32.3,5.1
