Sangamon County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,27.8,1.9
200002,39.1,9.2
200003,46.3,5.8
200004,52.1,-0.1
200005,65.8,3.0
200006,70.3,-1.8
200007,73.5,-2.8
200008,75.4,1.4
200009,67.0,0.1
200010,58.4,3.2
200011,38.9,-2.6
200012,18.2,-11.8
200101,26.1,0.2
200102,31.9,2.0
200103,37.5,-3.0
200104,58.9,6.7
200105,65.4,2.6
200106,70.1,-2.0
200107,76.4,0.1
200108,74.5,0.5
200109,64.6,-2.3
200110,54.2,-1.0
200111,50.0,8.5
200112,36.0,6.0
200201,34.1,8.2
200202,35.6,5.7
200203,38.1,-2.4
200204,53.9,1.7
200205,59.6,-3.2
200206,74.8,2.7
200207,78.0,1.7
200208,74.9,0.9
200209,68.7,1.8
200210,52.2,-3.0
200211,40.0,-1.5
200212,32.9,2.9
200301,22.6,-3.3
200302,26.7,-3.2
200303,42.8,2.3
200304,54.0,1.8
200305,61.6,-1.2
200306,68.1,-4.0
200307,75.0,-1.3
200308,75.3,1.3
200309,63.6,-3.3
200310,54.9,-0.3
200311,45.2,3.7
200312,34.6,4.6
200401,25.4,-0.5
200402,30.4,0.5
200403,45.6,5.1
200404,55.0,2.8
200405,66.5,3.7
200406,69.6,-2.5
200407,72.8,-3.5
200408,68.6,-5.4
200409,68.0,1.1
200410,55.6,0.4
200411,45.9,4.4
200412,32.6,2.6
200501,29.0,3.1
200502,36.7,6.8
200503,40.0,-0.5
200504,56.3,4.1
200505,61.8,-1.0
200506,75.2,3.1
200507,76.6,0.3
200508,76.0,2.0
200509,71.2,4.3
200510,56.1,0.9
200511,45.1,3.6
200512,26.8,-3.2
200601,38.9,13.0
200602,31.5,1.6
200603,42.7,2.2
200604,57.8,5.6
200605,63.5,0.7
200606,71.9,-0.2
200607,77.6,1.3
200608,74.9,0.9
200609,64.4,-2.5
200610,51.7,-3.5
200611,45.4,3.9
200612,35.4,5.4
200701,30.8,4.9
200702,22.6,-7.3
200703,49.5,9.0
200704,51.1,-1.1
200705,68.5,5.7
200706,72.8,0.7
200707,73.0,-3.3
200708,79.4,5.4
200709,70.7,3.8
200710,60.1,4.9
200711,43.0,1.5
200712,30.8,0.8
200801,28.5,2.6
200802,26.4,-3.5
200803,40.0,-0.5
200804,51.2,-1.0
200805,59.5,-3.3
200806,73.9,1.8
200807,74.4,-1.9
200808,71.6,-2.4
200809,66.8,-0.1
200810,54.9,-0.3
200811,41.2,-0.3
200812,27.7,-2.3
200901,22.0,-3.9
200902,33.7,3.8
200903,44.4,3.9
200904,52.3,0.1
200905,63.4,0.6
200906,73.3,1.2
200907,70.5,-5.8
200908,70.6,-3.4
200909,65.5,-1.4
200910,50.5,-4.7
200911,48.1,6.6
200912,29.5,-0.5
201001,20.8,-5.1
201002,25.4,-4.5
201003,44.6,4.1
201004,59.7,7.5
201005,64.2,1.4
201006,75.6,3.5
201007,77.8,1.5
201008,77.0,3.0
201009,67.5,0.6
201010,56.5,1.3
201011,44.0,2.5
201012,25.5,-4.5
201101,22.3,-3.6
201102,30.6,0.7
201103,42.5,2.0
201104,54.6,2.4
201105,62.9,0.1
201106,73.0,0.9
201107,80.4,4.1
201108,75.6,1.6
201109,63.7,-3.2
201110,55.4,0.2
201111,47.0,5.5
201112,36.6,6.6
201201,32.6,6.7
201202,36.4,6.5
201203,56.2,15.7
201204,55.8,3.6
201205,68.6,5.8
201206,72.2,0.1
201207,82.0,5.7
201208,74.1,0.1
