Grand County, Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,32.2,7.9
200002,37.7,6.7
200003,40.7,1.3
200004,54.2,6.1
200005,63.0,5.1
200006,70.8,3.1
200007,77.6,3.1
200008,76.9,5.0
200009,65.6,2.5
200010,52.3,1.4
200011,31.8,-4.9
200012,30.6,4.0
200101,27.8,3.5
200102,34.1,3.1
200103,43.7,4.3
200104,51.2,3.1
200105,61.8,3.9
200106,71.6,3.9
200107,76.4,1.9
200108,74.2,2.3
200109,68.1,5.0
200110,54.2,3.3
200111,41.6,4.9
200112,26.3,-0.3
200201,26.7,2.4
200202,30.5,-0.5
200203,38.6,-0.8
200204,53.6,5.5
200205,60.4,2.5
200206,73.5,5.8
200207,79.6,5.1
200208,74.1,2.2
200209,63.6,0.5
200210,49.6,-1.3
200211,37.1,0.4
200212,30.2,3.6
200301,34.9,10.6
200302,33.2,2.2
200303,42.4,3.0
200304,50.0,1.9
200305,61.0,3.1
200306,69.6,1.9
200307,81.1,6.6
200308,75.7,3.8
200309,64.2,1.1
200310,57.2,6.3
200311,36.8,0.1
200312,30.8,4.2
200401,24.4,0.1
200402,30.6,-0.4
200403,48.2,8.8
200404,50.6,2.5
200405,61.2,3.3
200406,69.8,2.1
200407,75.6,1.1
200408,72.1,0.2
200409,62.9,-0.2
200410,51.7,0.8
200411,37.9,1.2
200412,30.6,4.0
200501,36.0,11.7
200502,36.3,5.3
200503,41.2,1.8
200504,49.8,1.7
200505,60.0,2.1
200506,65.9,-1.8
200507,78.3,3.8
200508,71.8,-0.1
200509,64.5,1.4
200510,53.1,2.2
200511,40.8,4.1
200512,29.7,3.1
200601,30.8,6.5
200602,33.3,2.3
200603,39.8,0.4
200604,52.0,3.9
200605,62.6,4.7
200606,73.2,5.5
200607,77.7,3.2
200608,72.5,0.6
200609,60.1,-3.0
200610,49.1,-1.8
200611,40.2,3.5
200612,29.2,2.6
200701,25.4,1.1
200702,36.4,5.4
200703,44.9,5.5
200704,51.2,3.1
200705,60.5,2.6
200706,72.1,4.4
200707,79.2,4.7
200708,75.9,4.0
200709,65.3,2.2
200710,51.6,0.7
200711,42.3,5.6
200712,25.8,-0.8
200801,23.2,-1.1
200802,32.2,1.2
200803,39.8,0.4
200804,46.3,-1.8
200805,56.1,-1.8
200806,68.9,1.2
200807,78.0,3.5
200808,74.6,2.7
200809,64.9,1.8
200810,53.1,2.2
200811,42.1,5.4
200812,28.0,1.4
200901,29.1,4.8
200902,36.2,5.2
200903,43.1,3.7
200904,48.2,0.1
200905,62.1,4.2
200906,66.4,-1.3
200907,77.1,2.6
200908,73.4,1.5
200909,66.1,3.0
200910,48.3,-2.6
200911,41.3,4.6
200912,21.1,-5.5
201001,25.7,1.4
201002,28.9,-2.1
201003,40.0,0.6
201004,49.0,0.9
201005,55.2,-2.7
201006,70.8,3.1
201007,76.8,2.3
201008,72.2,0.3
201009,67.0,3.9
201010,53.6,2.7
201011,36.8,0.1
201012,34.1,7.5
201101,24.9,0.6
201102,30.0,-1.0
201103,42.7,3.3
201104,47.1,-1.0
201105,54.9,-3.0
201106,68.6,0.9
201107,75.2,0.7
201108,75.8,3.9
201109,65.6,2.5
201110,51.8,0.9
201111,38.2,1.5
201112,28.0,1.4
201201,30.9,6.6
201202,33.4,2.4
201203,45.5,6.1
201204,52.8,4.7
201205,62.3,4.4
201206,74.5,6.8
201207,77.0,2.5
201208,76.0,4.1
201209,66.0,2.9
201210,53.4,2.5
201211,42.7,6.0
201212,27.7,1.1
201301,18.6,-5.7
201302,29.5,-1.5
201303,43.1,3.7
201304,47.1,-1.0
201305,59.6,1.7
201306,73.6,5.9
201307,77.7,3.2
201308,73.0,1.1
201309,64.5,1.4
201310,48.8,-2.1
201311,38.2,1.5
201312,21.7,-4.9
201401,29.0,4.7
201402,37.2,6.2
201403,43.5,4.1
201404,49.0,0.9
201405,59.2,1.3
201406,70.1,2.4
201407,77.8,3.3
201408,70.6,-1.3
201409,67.1,4.0
201410,54.8,3.9
201411,38.3,1.6
201412,32.4,5.8
201501,32.0,7.7
201502,39.4,8.4
201503,47.3,7.9
201504,49.9,1.8
201505,56.6,-1.3
201506,73.0,5.3
201507,73.4,-1.1
201508,74.0,2.1
201509,68.7,5.6
201510,56.6,5.7
201511,37.3,0.6
201512,26.7,0.1
201601,27.6,3.3
201602,35.1,4.1
201603,44.1,4.7
201604,49.8,1.7
201605,57.8,-0.1
201606,75.6,7.9
201607,76.9,2.4
201608,72.4,0.5
201609,64.5,1.4
201610,56.2,5.3
201611,43.6,6.9
201612,29.5,2.9
201701,29.0,4.7
201702,40.2,9.2
201703,48.8,9.4
201704,49.6,1.5
201705,59.0,1.1
201706,74.6,6.9
201707,78.1,3.6
201708,74.4,2.5
201709,65.0,1.9
201710,50.6,-0.3
201711,45.0,8.3
201712,31.3,4.7
201801,31.8,7.5
201802,35.0,4.0
201803,42.6,3.2
201804,52.2,4.1
201805,63.0,5.1
201806,74.0,6.3
201807,79.8,5.3
201808,75.6,3.7
201809,69.5,6.4
201810,49.1,-1.8
201811,35.7,-1.0
201812,28.0,1.4
201901,25.8,1.5
201902,28.8,-2.2
201903,41.0,1.6
201904,52.0,3.9
201905,53.7,-4.2
201906,67.5,-0.2
201907,77.4,2.9
201908,76.9,5.0
201909,67.9,4.8
201910,45.7,-5.2
201911,40.1,3.4
201912,29.3,2.7
202001,24.8,0.5
