Wyandotte County, Kansas, Average Temperature
201209,68.0,-0.4
201210,54.7,-2.5
201211,47.0,4.2
201212,36.8,5.4
201301,33.5,6.1
201302,33.2,0.7
201303,38.4,-4.3
201304,50.2,-3.9
201305,63.2,-1.2
201306,73.7,0.2
201307,76.9,-1.4
201308,76.2,-0.5
201309,71.7,3.3
201310,55.6,-1.6
201311,41.4,-1.4
201312,29.0,-2.4
201401,25.7,-1.7
201402,25.8,-6.7
201403,40.8,-1.9
201404,53.9,-0.2
201405,66.3,1.9
201406,74.4,0.9
201407,74.1,-4.2
201408,78.0,1.3
201409,67.2,-1.2
201410,58.0,0.8
201411,38.1,-4.7
201412,35.2,3.8
201501,31.8,4.4
201502,26.4,-6.1
201503,47.0,4.3
201504,57.6,3.5
201505,64.2,-0.2
201506,75.4,1.9
201507,77.6,-0.7
201508,74.7,-2.0
201509,72.8,4.4
201510,58.1,0.9
201511,48.6,5.8
201512,40.1,8.7
201601,30.4,3.0
201602,39.8,7.3
201603,50.9,8.2
201604,57.6,3.5
201605,62.9,-1.5
201606,78.5,5.0
201607,78.8,0.5
201608,77.2,0.5
201609,71.6,3.2
201610,61.9,4.7
201611,51.5,8.7
201612,30.3,-1.1
201701,33.1,5.7
201702,44.3,11.8
201703,48.9,6.2
201704,57.3,3.2
201705,64.4,0.0
201706,74.6,1.1
201707,79.0,0.7
201708,72.0,-4.7
201709,71.4,3.0
201710,58.2,1.0
201711,45.2,2.4
201712,33.1,1.7
201801,28.7,1.3
201802,33.1,0.6
201803,44.3,1.6
201804,47.7,-6.4
201805,73.7,9.3
201806,78.4,4.9
201807,79.1,0.8
201808,77.7,1.0
201809,70.9,2.5
201810,55.6,-1.6
201811,36.5,-6.3
201812,35.3,3.9
201901,29.0,1.6
201902,29.0,-3.5
201903,40.8,-1.9
201904,57.0,2.9
201905,63.3,-1.1
201906,74.0,0.5
201907,78.1,-0.2
201908,75.9,-0.8
201909,75.5,7.1
201910,51.8,-5.4
201911,40.6,-2.2
201912,37.3,5.9
202001,32.0,4.6
