Travis County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,53.6,5.2
200002,60.1,7.9
200003,64.5,5.4
200004,68.0,0.9
200005,77.7,3.5
200006,80.4,-0.5
200007,85.5,1.5
200008,85.6,1.6
200009,80.1,1.8
200010,69.8,1.0
200011,54.6,-3.0
200012,44.2,-6.0
200101,46.7,-1.7
200102,55.2,3.0
200103,53.6,-5.5
200104,69.2,2.1
200105,75.4,1.2
200106,81.0,0.1
200107,85.4,1.4
200108,84.5,0.5
200109,75.6,-2.7
200110,66.2,-2.6
200111,61.4,3.8
200112,52.4,2.2
200201,51.7,3.3
200202,49.4,-2.8
200203,58.2,-0.9
200204,72.1,5.0
200205,76.4,2.2
200206,81.3,0.4
200207,81.4,-2.6
200208,83.8,-0.2
200209,77.8,-0.5
200210,67.9,-0.9
200211,55.4,-2.2
200212,51.4,1.2
200301,48.1,-0.3
200302,50.0,-2.2
200303,58.4,-0.7
200304,69.3,2.2
200305,78.7,4.5
200306,80.5,-0.4
200307,82.8,-1.2
200308,84.4,0.4
200309,76.1,-2.2
200310,69.9,1.1
200311,62.2,4.6
200312,52.4,2.2
200401,52.8,4.4
200402,49.9,-2.3
200403,64.8,5.7
200404,66.8,-0.3
200405,75.0,0.8
200406,79.4,-1.5
200407,81.8,-2.2
200408,81.8,-2.2
200409,78.0,-0.3
200410,74.6,5.8
200411,59.4,1.8
200412,50.8,0.6
200501,54.0,5.6
200502,54.8,2.6
200503,59.6,0.5
200504,66.5,-0.6
200505,73.6,-0.6
200506,82.1,1.2
200507,84.1,0.1
200508,84.2,0.2
200509,83.0,4.7
200510,69.0,0.2
200511,63.3,5.7
200512,50.6,0.4
200601,56.7,8.3
200602,53.0,0.8
200603,64.3,5.2
200604,73.6,6.5
200605,76.3,2.1
200606,81.1,0.2
200607,84.3,0.3
200608,86.6,2.6
200609,78.4,0.1
200610,70.2,1.4
200611,61.8,4.2
200612,52.5,2.3
200701,45.5,-2.9
200702,52.4,0.2
200703,63.8,4.7
200704,63.4,-3.7
200705,73.6,-0.6
200706,79.3,-1.6
200707,79.5,-4.5
200708,83.0,-1.0
200709,78.6,0.3
200710,70.8,2.0
200711,60.6,3.0
200712,52.6,2.4
200801,48.3,-0.1
200802,56.5,4.3
200803,60.9,1.8
200804,67.6,0.5
200805,77.2,3.0
200806,85.3,4.4
200807,84.2,0.2
200808,84.4,0.4
200809,77.7,-0.6
200810,68.4,-0.4
200811,60.3,2.7
200812,51.3,1.1
200901,51.1,2.7
200902,59.3,7.1
200903,62.3,3.2
200904,67.0,-0.1
200905,76.3,2.1
200906,84.7,3.8
200907,87.7,3.7
200908,86.8,2.8
200909,76.4,-1.9
200910,66.9,-1.9
200911,59.3,1.7
200912,45.6,-4.6
201001,46.9,-1.5
201002,45.6,-6.6
201003,57.2,-1.9
201004,67.0,-0.1
201005,77.0,2.8
201006,82.8,1.9
201007,83.2,-0.8
201008,86.7,2.7
201009,79.1,0.8
201010,68.4,-0.4
201011,60.1,2.5
201012,51.6,1.4
201101,47.2,-1.2
201102,52.7,0.5
201103,64.4,5.3
201104,73.5,6.4
201105,76.6,2.4
201106,85.4,4.5
201107,87.5,3.5
201108,89.5,5.5
201109,81.4,3.1
201110,69.2,0.4
201111,60.7,3.1
201112,50.4,0.2
201201,53.3,4.9
201202,55.7,3.5
201203,65.1,6.0
201204,71.9,4.8
201205,76.6,2.4
201206,83.3,2.4
201207,83.9,-0.1
201208,85.4,1.4
201209,78.2,-0.1
201210,68.1,-0.7
201211,61.8,4.2
201212,55.0,4.8
201301,51.7,3.3
201302,56.4,4.2
201303,60.2,1.1
201304,65.0,-2.1
201305,73.7,-0.5
201306,83.5,2.6
201307,83.8,-0.2
201308,85.4,1.4
201309,80.8,2.5
201310,69.4,0.6
201311,55.5,-2.1
201312,47.6,-2.6
201401,47.3,-1.1
201402,51.9,-0.3
201403,57.1,-2.0
201404,67.4,0.3
201405,73.3,-0.9
201406,81.4,0.5
201407,83.7,-0.3
201408,85.7,1.7
201409,79.4,1.1
201410,72.8,4.0
201411,54.4,-3.2
201412,54.1,3.9
201501,46.3,-2.1
201502,49.6,-2.6
201503,58.2,-0.9
201504,69.6,2.5
201505,73.9,-0.3
201506,80.1,-0.8
201507,84.3,0.3
201508,85.4,1.4
201509,80.9,2.6
201510,71.8,3.0
201511,59.8,2.2
201512,54.3,4.1
201601,49.4,1.0
201602,57.3,5.1
201603,63.9,4.8
201604,67.9,0.8
201605,72.9,-1.3
201606,81.6,0.7
201607,86.1,2.1
201608,82.8,-1.2
201609,80.0,1.7
201610,72.9,4.1
201611,64.4,6.8
201612,54.0,3.8
201701,55.2,6.8
201702,62.2,10.0
201703,66.3,7.2
201704,69.6,2.5
201705,74.3,0.1
201706,82.1,1.2
201707,86.9,2.9
201708,83.2,-0.8
201709,77.8,-0.5
201710,68.3,-0.5
201711,63.8,6.2
201712,50.3,0.1
201801,46.5,-1.9
201802,54.2,2.0
201803,64.6,5.5
201804,64.8,-2.3
201805,78.6,4.4
201806,84.7,3.8
201807,86.2,2.2
201808,86.2,2.2
201809,78.7,0.4
201810,68.0,-0.8
201811,55.0,-2.6
201812,51.4,1.2
201901,49.9,1.5
201902,55.1,2.9
201903,58.5,-0.6
201904,67.2,0.1
201905,75.3,1.1
201906,80.8,-0.1
201907,83.9,-0.1
201908,87.5,3.5
201909,84.6,6.3
201910,68.9,0.1
201911,56.0,-1.6
201912,53.0,2.8
202001,54.6,6.2
