Treasure County, Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.6,7.5
200002,29.0,5.4
200003,39.9,7.1
200004,47.0,2.4
200005,56.2,1.8
200006,62.7,-0.6
200007,74.5,3.6
200008,72.2,3.3
200009,58.4,0.6
200010,46.7,0.2
200011,21.4,-10.7
200012,13.7,-8.7
200101,26.5,8.4
200102,17.6,-6.0
200103,37.0,4.2
200104,45.9,1.3
200105,57.6,3.2
200106,63.6,0.3
200107,73.7,2.8
200108,73.3,4.4
200109,61.8,4.0
200110,46.3,-0.2
200111,38.2,6.1
200112,25.7,3.3
200201,27.3,9.2
200202,30.5,6.9
200203,21.1,-11.7
200204,41.2,-3.4
200205,52.0,-2.4
200206,65.6,2.3
200207,76.0,5.1
200208,66.3,-2.6
200209,60.4,2.6
200210,40.0,-6.5
200211,37.6,5.5
200212,28.0,5.6
200301,26.1,8.0
200302,24.0,0.4
200303,31.3,-1.5
200304,49.2,4.6
200305,54.3,-0.1
200306,62.1,-1.2
200307,75.3,4.4
200308,75.3,6.4
200309,57.4,-0.4
200310,50.7,4.2
200311,27.8,-4.3
200312,27.8,5.4
200401,17.4,-0.7
200402,24.8,1.2
200403,42.0,9.2
200404,47.8,3.2
200405,52.0,-2.4
200406,60.2,-3.1
200407,70.9,0.0
200408,66.8,-2.1
200409,58.9,1.1
200410,47.6,1.1
200411,37.6,5.5
200412,31.2,8.8
200501,18.1,0.0
200502,32.0,8.4
200503,38.6,5.8
200504,46.0,1.4
200505,52.4,-2.0
200506,62.9,-0.4
200507,72.8,1.9
200508,68.5,-0.4
200509,60.6,2.8
200510,47.4,0.9
200511,37.1,5.0
200512,21.6,-0.8
200601,36.1,18.0
200602,27.4,3.8
200603,34.4,1.6
200604,48.8,4.2
200605,56.1,1.7
200606,66.9,3.6
200607,75.8,4.9
200608,70.4,1.5
200609,57.4,-0.4
200610,43.4,-3.1
200611,34.0,1.9
200612,28.1,5.7
200701,25.5,7.4
200702,23.6,0.0
200703,43.2,10.4
200704,43.7,-0.9
200705,56.7,2.3
200706,65.6,2.3
200707,77.4,6.5
200708,71.1,2.2
200709,60.1,2.3
200710,48.8,2.3
200711,35.5,3.4
200712,25.4,3.0
200801,18.7,0.6
200802,26.5,2.9
200803,35.3,2.5
200804,41.9,-2.7
200805,53.3,-1.1
200806,60.8,-2.5
200807,71.5,0.6
200808,70.6,1.7
200809,56.6,-1.2
200810,46.3,-0.2
200811,38.7,6.6
200812,14.9,-7.5
200901,23.0,4.9
200902,29.8,6.2
200903,32.0,-0.8
200904,43.8,-0.8
200905,54.3,-0.1
200906,60.4,-2.9
200907,69.0,-1.9
200908,67.6,-1.3
200909,63.7,5.9
200910,39.5,-7.0
200911,37.9,5.8
200912,12.0,-10.4
201001,19.4,1.3
201002,20.3,-3.3
201003,41.0,8.2
201004,45.7,1.1
201005,51.1,-3.3
201006,62.7,-0.6
201007,70.2,-0.7
201008,70.0,1.1
201009,57.6,-0.2
201010,51.2,4.7
201011,28.0,-4.1
201012,20.0,-2.4
201101,20.9,2.8
201102,17.9,-5.7
201103,32.4,-0.4
201104,42.2,-2.4
201105,49.1,-5.3
201106,61.2,-2.1
201107,73.0,2.1
201108,71.7,2.8
201109,60.8,3.0
201110,50.4,3.9
201111,32.0,-0.1
201112,29.9,7.5
201201,26.2,8.1
201202,28.2,4.6
201203,45.7,12.9
201204,49.1,4.5
201205,53.4,-1.0
201206,67.2,3.9
201207,77.5,6.6
201208,71.3,2.4
201209,61.3,3.5
201210,44.4,-2.1
201211,35.9,3.8
201212,24.4,2.0
201301,23.6,5.5
201302,31.5,7.9
201303,34.3,1.5
201304,40.0,-4.6
201305,55.8,1.4
201306,63.8,0.5
201307,72.3,1.4
201308,72.4,3.5
201309,63.9,6.1
201310,44.5,-2.0
201311,32.8,0.7
201312,17.1,-5.3
201401,27.1,9.0
201402,15.9,-7.7
201403,31.8,-1.0
201404,45.0,0.4
201405,54.8,0.4
201406,61.7,-1.6
201407,71.8,0.9
201408,69.1,0.2
201409,58.1,0.3
201410,50.3,3.8
201411,27.6,-4.5
201412,26.5,4.1
201501,23.8,5.7
201502,28.0,4.4
201503,43.0,10.2
201504,46.0,1.4
201505,52.6,-1.8
201506,68.0,4.7
201507,70.7,-0.2
201508,69.1,0.2
201509,61.6,3.8
201510,50.7,4.2
201511,32.8,0.7
201512,24.3,1.9
201601,24.0,5.9
201602,37.7,14.1
201603,41.2,8.4
201604,47.3,2.7
201605,54.8,0.4
201606,67.2,3.9
201607,71.3,0.4
201608,68.8,-0.1
201609,58.8,1.0
201610,48.0,1.5
201611,41.0,8.9
201612,14.8,-7.6
201701,14.2,-3.9
201702,28.0,4.4
201703,38.9,6.1
201704,47.1,2.5
201705,55.4,1.0
201706,65.5,2.2
201707,76.8,5.9
201708,68.5,-0.4
201709,58.2,0.4
201710,47.0,0.5
201711,33.8,1.7
201712,24.1,1.7
201801,18.2,0.1
201802,9.5,-14.1
201803,27.5,-5.3
201804,41.5,-3.1
201805,59.0,4.6
201806,63.4,0.1
201807,70.7,-0.2
201808,67.8,-1.1
201809,56.8,-1.0
201810,43.9,-2.6
201811,32.8,0.7
201812,28.7,6.3
201901,26.9,8.8
201902,5.1,-18.5
201903,25.7,-7.1
201904,45.7,1.1
201905,49.4,-5.0
201906,62.5,-0.8
201907,69.7,-1.2
201908,69.3,0.4
201909,59.1,1.3
201910,37.8,-8.7
201911,32.4,0.3
201912,28.4,6.0
202001,25.4,7.3
