Marquette County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,13.3,1.4
200002,20.6,7.0
200003,33.6,10.2
200004,36.8,-0.2
200005,53.8,4.2
200006,58.6,-0.7
200007,62.5,-1.8
200008,62.3,0.2
200009,54.0,-0.3
200010,47.1,3.5
200011,31.9,2.4
200012,11.5,-6.0
200101,19.5,7.6
200102,13.0,-0.6
200103,24.7,1.3
200104,42.2,5.2
200105,53.4,3.8
200106,61.4,2.1
200107,65.5,1.2
200108,67.1,5.0
200109,55.1,0.8
200110,43.6,0.0
200111,39.9,10.4
200112,25.8,8.3
200201,20.9,9.0
200202,22.1,8.5
200203,19.4,-4.0
200204,36.6,-0.4
200205,45.8,-3.8
200206,62.0,2.7
200207,69.8,5.5
200208,64.9,2.8
200209,59.5,5.2
200210,38.7,-4.9
200211,27.7,-1.8
200212,22.3,4.8
200301,11.7,-0.2
200302,8.8,-4.8
200303,22.0,-1.4
200304,35.2,-1.8
200305,49.2,-0.4
200306,59.0,-0.3
200307,64.7,0.4
200308,65.5,3.4
200309,56.8,2.5
200310,43.7,0.1
200311,30.8,1.3
200312,23.3,5.8
200401,8.3,-3.6
200402,19.4,5.8
200403,27.3,3.9
200404,37.4,0.4
200405,48.2,-1.4
200406,57.7,-1.6
200407,61.8,-2.5
200408,59.2,-2.9
200409,60.7,6.4
200410,45.1,1.5
200411,33.8,4.3
200412,17.0,-0.5
200501,12.3,0.4
200502,20.4,6.8
200503,22.4,-1.0
200504,42.3,5.3
200505,48.9,-0.7
200506,64.8,5.5
200507,66.9,2.6
200508,65.8,3.7
200509,60.8,6.5
200510,47.9,4.3
200511,31.0,1.5
200512,19.3,1.8
200601,24.3,12.4
200602,15.7,2.1
200603,27.8,4.4
200604,43.7,6.7
200605,52.7,3.1
200606,61.0,1.7
200607,68.9,4.6
200608,63.9,1.8
200609,53.4,-0.9
200610,40.5,-3.1
200611,34.9,5.4
200612,25.2,7.7
200701,18.1,6.2
200702,10.5,-3.1
200703,28.8,5.4
200704,37.1,0.1
200705,54.2,4.6
200706,63.7,4.4
200707,65.8,1.5
200708,65.4,3.3
200709,57.6,3.3
200710,49.5,5.9
200711,30.4,0.9
200712,17.8,0.3
200801,16.4,4.5
200802,12.0,-1.6
200803,20.2,-3.2
200804,38.4,1.4
200805,46.6,-3.0
200806,60.0,0.7
200807,64.6,0.3
200808,63.4,1.3
200809,57.0,2.7
200810,44.3,0.7
200811,31.4,1.9
200812,13.4,-4.1
200901,7.2,-4.7
200902,16.9,3.3
200903,25.4,2.0
200904,37.6,0.6
200905,48.7,-0.9
200906,57.9,-1.4
200907,60.2,-4.1
200908,61.8,-0.3
200909,59.4,5.1
200910,39.6,-4.0
200911,37.7,8.2
200912,17.5,0.0
201001,18.0,6.1
201002,19.8,6.2
201003,34.0,10.6
201004,45.0,8.0
201005,55.5,5.9
201006,60.2,0.9
201007,68.1,3.8
201008,67.6,5.5
201009,52.1,-2.2
201010,46.6,3.0
201011,33.4,3.9
201012,19.2,1.7
201101,12.4,0.5
201102,17.0,3.4
201103,24.8,1.4
201104,37.8,0.8
201105,49.8,0.2
201106,58.6,-0.7
201107,69.3,5.0
201108,66.3,4.2
201109,55.1,0.8
201110,47.4,3.8
201111,34.0,4.5
201112,22.8,5.3
201201,19.1,7.2
201202,24.0,10.4
201203,39.2,15.8
201204,39.2,2.2
201205,55.4,5.8
201206,63.7,4.4
201207,69.7,5.4
201208,64.8,2.7
201209,53.6,-0.7
201210,43.2,-0.4
201211,32.4,2.9
201212,24.5,7.0
201301,16.0,4.1
201302,15.2,1.6
201303,22.0,-1.4
201304,33.1,-3.9
201305,48.3,-1.3
201306,58.8,-0.5
201307,65.0,0.7
201308,64.6,2.5
201309,56.2,1.9
201310,44.6,1.0
201311,29.6,0.1
201312,11.2,-6.3
201401,5.5,-6.4
201402,6.2,-7.4
201403,15.4,-8.0
201404,33.8,-3.2
201405,50.2,0.6
201406,60.2,0.9
201407,62.5,-1.8
201408,61.3,-0.8
201409,55.2,0.9
201410,42.6,-1.0
201411,22.7,-6.8
201412,21.2,3.7
201501,11.1,-0.8
201502,2.9,-10.7
201503,24.4,1.0
201504,38.3,1.3
201505,51.6,2.0
201506,57.0,-2.3
201507,65.7,1.4
201508,63.6,1.5
201509,61.4,7.1
201510,44.4,0.8
201511,36.5,7.0
201512,29.0,11.5
201601,16.6,4.7
201602,19.6,6.0
201603,29.8,6.4
201604,34.9,-2.1
201605,51.2,1.6
201606,59.9,0.6
201607,66.2,1.9
201608,66.2,4.1
201609,59.1,4.8
201610,46.5,2.9
201611,39.1,9.6
201612,18.9,1.4
201701,18.6,6.7
201702,22.3,8.7
201703,24.6,1.2
201704,40.2,3.2
201705,47.1,-2.5
201706,60.3,1.0
201707,63.9,-0.4
201708,60.0,-2.1
201709,58.7,4.4
201710,47.9,4.3
201711,28.5,-1.0
201712,14.8,-2.7
201801,14.6,2.7
201802,13.7,0.1
201803,23.1,-0.3
201804,29.8,-7.2
201805,54.8,5.2
201806,59.7,0.4
201807,66.7,2.4
201808,64.4,2.3
201809,57.1,2.8
201810,39.3,-4.3
201811,24.8,-4.7
201812,23.2,5.7
201901,10.1,-1.8
201902,11.0,-2.6
201903,22.0,-1.4
201904,36.5,-0.5
201905,45.9,-3.7
201906,58.3,-1.0
201907,67.6,3.3
201908,62.0,-0.1
201909,57.6,3.3
201910,42.7,-0.9
201911,25.8,-3.7
201912,20.6,3.1
202001,20.0,8.1
