Uintah County, Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,27.6,9.0
200002,32.2,8.0
200003,37.0,2.9
200004,49.0,5.1
200005,58.3,4.9
200006,65.4,2.7
200007,72.5,2.9
200008,71.4,4.0
200009,59.1,0.7
200010,47.0,0.4
200011,26.0,-6.1
200012,25.5,4.2
200101,21.8,3.2
200102,27.7,3.5
200103,39.3,5.2
200104,46.2,2.3
200105,57.1,3.7
200106,66.2,3.5
200107,72.0,2.4
200108,70.3,2.9
200109,63.2,4.8
200110,49.3,2.7
200111,36.4,4.3
200112,19.6,-1.7
200201,19.2,0.6
200202,24.3,0.1
200203,33.6,-0.5
200204,48.0,4.1
200205,55.7,2.3
200206,68.1,5.4
200207,75.2,5.6
200208,69.1,1.7
200209,59.0,0.6
200210,44.8,-1.8
200211,31.6,-0.5
200212,22.1,0.8
200301,25.5,6.9
200302,26.3,2.1
200303,38.2,4.1
200304,45.1,1.2
200305,56.0,2.6
200306,63.1,0.4
200307,76.3,6.7
200308,71.5,4.1
200309,59.8,1.4
200310,52.7,6.1
200311,30.2,-1.9
200312,25.1,3.8
200401,19.0,0.4
200402,23.4,-0.8
200403,43.4,9.3
200404,46.8,2.9
200405,56.0,2.6
200406,64.0,1.3
200407,70.1,0.5
200408,66.5,-0.9
200409,58.7,0.3
200410,47.2,0.6
200411,33.1,1.0
200412,26.4,5.1
200501,28.0,9.4
200502,30.1,5.9
200503,37.0,2.9
200504,44.8,0.9
200505,54.6,1.2
200506,60.4,-2.3
200507,73.0,3.4
200508,67.1,-0.3
200509,58.9,0.5
200510,49.1,2.5
200511,35.7,3.6
200512,24.4,3.1
200601,25.4,6.8
200602,28.0,3.8
200603,34.6,0.5
200604,47.4,3.5
200605,57.5,4.1
200606,67.9,5.2
200607,73.7,4.1
200608,67.4,0.0
200609,55.7,-2.7
200610,45.1,-1.5
200611,35.2,3.1
200612,23.1,1.8
200701,13.9,-4.7
200702,29.8,5.6
200703,41.0,6.9
200704,47.1,3.2
200705,56.0,2.6
200706,67.4,4.7
200707,75.0,5.4
200708,71.3,3.9
200709,59.9,1.5
200710,47.2,0.6
200711,37.8,5.7
200712,16.5,-4.8
200801,13.5,-5.1
200802,23.7,-0.5
200803,32.6,-1.5
200804,40.9,-3.0
200805,51.8,-1.6
200806,63.0,0.3
200807,73.0,3.4
200808,69.6,2.2
200809,58.9,0.5
200810,48.5,1.9
200811,38.3,6.2
200812,21.8,0.5
200901,23.0,4.4
200902,29.7,5.5
200903,37.6,3.5
200904,43.6,-0.3
200905,57.0,3.6
200906,60.4,-2.3
200907,71.4,1.8
200908,67.8,0.4
200909,62.2,3.8
200910,43.5,-3.1
200911,36.1,4.0
200912,13.8,-7.5
201001,19.0,0.4
201002,21.0,-3.2
201003,35.4,1.3
201004,44.2,0.3
201005,49.5,-3.9
201006,65.2,2.5
201007,71.7,2.1
201008,68.0,0.6
201009,62.3,3.9
201010,49.6,3.0
201011,32.4,0.3
201012,28.4,7.1
201101,16.9,-1.7
201102,20.1,-4.1
201103,36.5,2.4
201104,42.4,-1.5
201105,50.0,-3.4
201106,62.7,0.0
201107,70.3,0.7
201108,70.7,3.3
201109,61.6,3.2
201110,47.8,1.2
201111,33.2,1.1
201112,22.5,1.2
201201,26.5,7.9
201202,28.3,4.1
201203,42.0,7.9
201204,48.7,4.8
201205,57.5,4.1
201206,68.8,6.1
201207,72.3,2.7
201208,71.4,4.0
201209,61.8,3.4
201210,48.4,1.8
201211,38.8,6.7
201212,22.5,1.2
201301,11.8,-6.8
201302,21.0,-3.2
201303,36.7,2.6
201304,42.0,-1.9
201305,55.4,2.0
201306,68.3,5.6
201307,73.8,4.2
201308,69.5,2.1
201309,60.7,2.3
201310,45.0,-1.6
201311,34.0,1.9
201312,15.2,-6.1
201401,23.4,4.8
201402,30.9,6.7
201403,39.3,5.2
201404,45.1,1.2
201405,55.8,2.4
201406,64.6,1.9
201407,73.2,3.6
201408,66.0,-1.4
201409,61.8,3.4
201410,50.7,4.1
201411,33.7,1.6
201412,27.5,6.2
201501,27.4,8.8
201502,35.1,10.9
201503,43.1,9.0
201504,45.8,1.9
201505,52.0,-1.4
201506,68.8,6.1
201507,68.6,-1.0
201508,69.3,1.9
201509,63.2,4.8
201510,52.8,6.2
201511,32.4,0.3
201512,19.8,-1.5
201601,19.5,0.9
201602,29.4,5.2
201603,39.2,5.1
201604,45.8,1.9
201605,52.7,-0.7
201606,69.8,7.1
201607,71.6,2.0
201608,68.2,0.8
201609,59.8,1.4
201610,50.9,4.3
201611,38.8,6.7
201612,23.6,2.3
201701,19.5,0.9
201702,31.6,7.4
201703,43.7,9.6
201704,44.5,0.6
201705,54.1,0.7
201706,68.4,5.7
201707,73.4,3.8
201708,69.4,2.0
201709,59.8,1.4
201710,44.9,-1.7
201711,39.9,7.8
201712,29.1,7.8
201801,27.5,8.9
201802,29.8,5.6
201803,37.8,3.7
201804,46.3,2.4
201805,58.5,5.1
201806,68.9,6.2
201807,75.0,5.4
201808,70.4,3.0
201809,64.4,6.0
201810,45.4,-1.2
201811,31.4,-0.7
201812,23.5,2.2
201901,19.9,1.3
201902,20.0,-4.2
201903,32.8,-1.3
201904,47.0,3.1
201905,49.6,-3.8
201906,62.6,-0.1
201907,72.8,3.2
201908,71.7,4.3
201909,62.5,4.1
201910,40.2,-6.4
201911,35.4,3.3
201912,24.8,3.5
202001,20.1,1.5
